line_no,Single_ent,Multiple_ents,en,en_masked,vi,vi_masked,tr,tr_masked,es,es_masked,vi_translation,tr_translation,es_translation,token_count
4,,[],"He knew that when he returned to the firehouse, he might wink at himself, a minstrel man, burnt-corked, in the mirror. Later, going to sleep, he would feel the fiery smile still gripped by his face muscles, in the dark. It never went away, that. smile, it never ever went away, as long as he remembered.",,"Anh biết rằng khi anh quay lại trạm phóng hỏa, anh có thể nháy mắt với chính mình, một nghệ nhân lang thang, đen nhẻm như bần cháy, ở trong gương. Sau đó, đi ngủ, anh sẽ cảm thấy cái nụ cười dữ dằn kia vẫn còn được các cơ mặt mình giữ chặt, trong bóng tối. Nó chả bao giờ biến đi hẳn, cái nụ cười ấy, nó chẳng bao giờ đi hẳn, theo như anh còn nhớ được.",,"İtfaiye merkezine döndüğünde biliyordu ki, yanık mantar gibi zenciye benzemiş yüzüyle aynaya bakıp kendine göz kırpacaktı. Daha sonra ise, uykuya dalarken, karanlıkta, yüz kaslarının yakaladığı alev alev gülümsemeyi hissedecekti. Anımsadığı sürece, o gülümseme hiçbir zaman silinmeyecek ve yok olmayacaktı.",,"Sabía que, cuando regresase al cuartel de bomberos, se miraría pestañeando en el espejo: su rostro sería el de un negro de opereta, tiznado con corcho ahumado. Luego, al irse a dormir, sentiría la fiera sonrisa retenida aún en la oscuridad por sus músculos faciales. Esa sonrisa nunca desaparecía, nunca había desaparecido hasta donde él podía recordar.",,"He knew that when he returned to the fire station, he might wink at himself, a wandering artist, as black as charred wood, in the mirror. After that, going to sleep, he would feel that fierce smile still held tight by his facial muscles, in the dark. It never completely disappeared, that smile, it never completely went away, as far as he could remember.","When he returned to the fire station, he knew that he would look in the mirror at his face, which had turned black like a burnt mushroom, and wink at himself. Later, as he fell asleep, he would feel the fiery smile his facial muscles had captured in the dark. As long as he remembered, that smile would never fade or disappear.","He knew that, when he returned to the fire station, he would look at himself blinking in the mirror: his face would be that of a minstrel, blackened with smoked cork. Then, when he went to sleep, he would feel the fierce smile still held in the darkness by his facial muscles. That smile never disappeared, it had never disappeared as far back as he could remember.",76
9,,[],"But now, tonight, he slowed almost to a stop. His inner mind, reaching out to turn the corner for him, had heard the faintest whisper. Breathing? Or was the atmosphere compressed merely by someone standing very quietly there, waiting?",,"Nhưng đêm nay, anh chậm bước lại đến mức gần như dừng hẳn. Tâm trí anh, vươn ra đằng trước để rẽ nơi khúc quanh thay cho thể xác, đã nghe được tiếng thì thầm hết sức khẽ khàng. Tiếng thở ư? Hay là bầu không khí bị nén lại chỉ vì có ai đó hết sức lặng lẽ đứng đấy, chờ đợi?",,"Fakat şimdi, bu gece, neredeyse duracak kadar yavaşladı. İçeriden çıkıp onun için köşeyi dönen zihni, en zayıfından bir fısıltı duydu. Bir soluk muydu? Yoksa birisi orada sessizce ayakta durup, havada yarattığı basınçla bekliyor muydu?",,"Pero esa noche, Montag aminoró el paso casi hasta detenerse. Su subconsciente, adelantándosele a doblar la esquina, había oído un debilísimo susurro. ¿De respiración? ¿O era la atmósfera, comprimida únicamente por alguien que estuviese allí muy quieto, esperando?",,"But tonight, he slowed his steps to the point of almost stopping completely. His mind, reaching forward to turn the corner in place of his body, had heard the faintest whisper. A breath? Or was it the air compressed simply because someone was standing there very quietly, waiting?","But now, tonight, it slowed down to almost a halt. His mind, stepping out from inside and turning the corner for him, heard the faintest of whispers. Was it a breath? Or was someone standing there quietly, waiting with the pressure they created in the air?","But that night, Montag slowed down almost to a stop. His subconscious, rounding the corner ahead of him, had heard a very faint whisper. Was it breathing? Or was it the atmosphere, compressed only by someone who was there very still, waiting?",50
19,,[],"He felt she was walking in a circle about him, turning him end for end, shaking him quietly, and emptying his pockets, without once moving herself.",,"Anh cảm thấy nàng đang lượn vòng xung quanh anh, xoay anh từ bên này qua bên kia, khẽ lắc anh, và dốc rỗng hết các túi của anh, trong khi nàng không hề nhúc nhích.",,"Montag, kızın sanki etrafında dönerek yürüdüğünü, tepeden tırnağa incelediğini, onu sessizce silkelediğini ve hiç kımıldamadan ceplerini boşalttığını hissediyordu.",,"Montag sintió que ella andaba en círculo a su alrededor, le examinaba de extremo a extremo, sacudiéndolo silenciosamente y vaciándole los bolsillos, aunque, en realidad, no se moviera en absoluto.",,"He felt her circling around him, turning him from side to side, gently shaking him, and emptying all his pockets, while she did not move at all.","Montag felt as if the girl was walking around him, examining him from head to toe, silently shaking him, and emptying his pockets without making a sound.","Montag felt that she was walking in circles around him, examining him from head to toe, silently shaking him and emptying his pockets, even though, in reality, she did not move at all.",32
26,,[],"There was only the girl walking with him now, her face bright as snow in the moonlight, and he knew she was working his questions around, seeking the best answers she could possibly give.",,"Lúc này chỉ có cô gái đang đi cùng anh, khuôn mặt nàng sáng như tuyết dưới ánh trăng, và anh biết nàng đang lật đi lật lại những câu hỏi của anh, tìm câu trả lòi tốt nhất để đáp lại.",,"Şimdi yanında yalnızca yürüyen kız vardı, yüzü ay ışığında kar gibi beyazdı ve sorduğu sorulara kızın düşünüp en iyi cevapları vermeye çalıştığını biliyordu Montag.",,"Sólo había la muchacha andando a su lado, con su rostro que brillaba como la nieve al claro de luna, y Montag comprendió que estaba meditando las preguntas que él le había formulado, buscando las mejores respuestas.",,"At this moment, there was only the girl walking with him, her face bright as snow under the moonlight, and he knew she was turning his questions over and over, searching for the best answer to give back.","Now, the only one walking beside him was the girl, her face as white as snow in the moonlight, and Montag knew that she was trying to think and give the best answers to the questions he asked.","There was only the girl walking beside him, with her face shining like snow in the moonlight, and Montag understood that she was pondering the questions he had asked her, searching for the best answers.",39
51,,[],"“I sometimes think drivers don't know what grass is, or flowers, because they never see them slowly,” she said. “If you showed a driver a green blur, Oh yes! he'd say, that's grass! A pink blur? That's a rose-garden! White blurs are houses. Brown blurs are cows. My uncle drove slowly on a highway once. He drove forty miles an hour and they jailed him for two days. Isn't that funny, and sad, too?”",,"""Đôi khi em nghĩ những người lái kia chẳng biết cỏ hay hoa là cái gì, bởi họ chẳng bao giờ nhìn chúng một cách chậm rãi hết,"" nàng nói. ""Nếu anh cho một tay tài xế xem một vệt mờ màu xanh lục thì, Ồ vâng, là cỏ đây, y ta sẽ nói. Một vệt mờ màu hồng? ừ thì một vườn hồng! Những vệt mờ màu trắng là nhà cửa. Vệt mờ màu nâu là mấy con bò. Ông bác em có lần lái xe chậm trên xa lộ. Bác ấy lái bốn mươi dặm một giờ, thế là người ta giam bác ấy hai ngày. Chuyện ấy chẳng phải tức cười sao, mà cũng buồn nữa?""",,"“Ben bazen sürücülerin çimen ya da çiçek nedir bilmediklerini düşünüyorum. Çünkü onları asla yavaş gidip göremezler,” dedi Clarisse. “Eğer yeşil bir şey gösterirseniz, ‘Oh evet, bu çimen,’ derler. Pembe bir şey gösterirsen, ‘Bir gül bahçesi,’ derler. Beyaz şekillerse binalardır. Kahverengi şekiller ise inekler. Amcam bir kez karayollarında arabayı yavaş sürüyordu. Arabayı saatte 40 mille sürdü ve onu iki gün hapse attılar. Çok komik ve de acı değil mi?",,"—A veces, pienso que sus conductores no saben cómo es la hierba, ni las flores, porque nunca las ven con detenimiento —dijo ella—. Si le mostrase a uno de esos chóferes una borrosa mancha verde, diría: ¡Oh, sí, es hierba! ¿Una mancha borrosa de color rosado? ¡Es una rosaleda! Las manchas blancas son casas. Las manchas pardas son vacas. Una vez, mi tío condujo lentamente por una carretera. Condujo a sesenta y cinco kilómetros por hora y lo encarcelaron por dos días. ¿No es curioso, y triste también?",,"""Sometimes I think those drivers don't know what grass or flowers are, because they never look at them slowly,"" she said. ""If you show a driver a blur of green, oh yes, that's grass, he would say. A blur of pink? Well, that's a rose garden! Blurs of white are houses. Blurs of brown are cows. My uncle once drove slowly on the highway. He drove forty miles an hour, so they jailed him for two days. Isn't that funny, but also sad?""","“Sometimes I think drivers don't know what grass or flowers are. Because they never slow down to see them,” said Clarisse. “If you show them something green, they’ll say, ‘Oh yes, that's grass,’ If you show them something pink, they’ll say, ‘A rose garden,’ White shapes are buildings. Brown shapes are cows. My uncle once drove slowly on the highways. He drove the car at 40 miles per hour and they put him in jail for two days. Isn't it very funny and also sad?”","—Sometimes, I think that their drivers don't know what grass or flowers look like, because they never see them closely —she said—. If you showed one of those drivers a blurry green spot, they would say: Oh, yes, it's grass! A blurry pink spot? It's a rose garden! The white spots are houses. The brown spots are cows. Once, my uncle drove slowly down a road. He drove at sixty-five kilometers per hour and was jailed for two days. Isn't it curious, and sad too?",96
59,,[],"They walked the rest of the way in silence, hers thoughtful, his a kind of clenching and uncomfortable silence in which he shot her accusing glances. When they reached her house all its lights were blazing.",,"Họ đi bộ nốt đoạn đường còn lại trong im lặng, nàng im lặng trầm ngâm, còn anh thì một thứ im lặng bức bối khó chịu, thỉnh thoảng anh lại liếc nhìn nàng như thể kết tội. Khi họ về đến nhà nàng, tất cả đèn đóm đều sáng trưng.",,"Yolun geri kalan kısmında sessizce yürüdüler. Clarisse’in suskunluğu düşünceli, Montag’ınki ise kızın kendisini suçlayan bakışları altında sıkıntılı ve huzursuzdu. Kızın evine ulaştıklarında, bütün ışıklar ışıl ışıldı. Montag bu kadar çok ışığı yanan bir ev görmezdi pek.",,"Recorrieron en silencio el resto del camino. El de ella, pensativo, el de él, irritado e incómodo, acusando el impacto de las miradas inquisitivas de la muchacha. Cuando llegaron a la casa de ella, todas sus luces estaban encendidas.",,"They walked the rest of the way in silence, she in contemplative silence, while he in a tense, uncomfortable silence, occasionally glancing at her as if accusing. When they arrived at her house, all the lights were on.","They walked the rest of the way in silence. Clarisse's silence was thoughtful, while Montag's was troubled and uneasy under the girl's accusatory gaze. When they reached the girl's house, all the lights were brightly lit. Montag rarely saw a house with so many lights on.","They walked the rest of the way in silence. Her steps were thoughtful, his were irritated and uncomfortable, feeling the impact of the girl's inquisitive glances. When they arrived at her house, all its lights were on.",42
73,,[],"He glanced back at the wall. How like a mirror, too, her face. Impossible; for how many people did you know that refracted your own light to you? People were more often-he searched for a simile, found one in his work-torches, blazing away until they whiffed out. How rarely did other people's faces take of you and throw back to you your own expression, your own innermost trembling thought?",,"Anh lại liếc về bức tường. Mà giống cả một tấm gương nữa, giống làm sao, khuôn mặt nàng. Không thể được; vì liệu ta biết được bao nhiêu người khúc xạ ánh sáng của chính ta về lại cho ta kia chứ? Con người ta thường là - anh tìm một hình ảnh so sánh, và tìm thấy trong công việc mình làm - những ngọn đuốc, cứ bùng cháy cho đến khi rụi hết. Thật họa hoằn làm sao những khi khuôn mặt người khác thu nhận ta và ném trả lại ta biểu lộ của chính ta, cái suy nghĩ run rẩy sâu kín nhất của ta?",,"Montag tekrar duvara bir göz attı. Clarisse’in yüzü nasıl da aynaya benziyordu. Olanaksız; sizin ışığınızı size yansıtan kaç kişi tanırsınız? Bir benzetme aradı ve Montag kendi işinden buldu; insanlar daha çok bir meşaleye benziyorlardı; birileri üfleyinceye kadar yanarlardı. Ne kadar nadir diğer insanların yüzleri sizi sizden alıp, kendi duygularınızı, en derin titrek düşüncelerinizi size yansıtırdı?",,"Volvió a mirar la pared. El rostro de ella también se parecía mucho a un espejo. Imposible, ¿cuánta gente había que refractase hacia uno su propia luz? Por lo general, la gente era —Montag buscó un símil, lo encontró en su trabajo— como antorchas, que ardían hasta consumirse. ¡Cuán pocas veces los rostros de las otras personas captaban algo tuyo y te devolvían tu propia expresión, tus pensamientos más íntimos!",,"He glanced back at the wall. It was also like a mirror, how similar, her face. Impossible; for how many people do we know who refract our own light back to us? People are often - he searched for a comparison, and found it in his work - like torches, burning until they are completely consumed. How rare it is when someone else's face captures us and reflects back our own expression, our deepest, trembling thoughts?","Montag glanced at the wall again. How much Clarisse's face resembled a mirror. Impossible; how many people do you know who reflect your light back to you? He searched for a metaphor and found one from his own work; people were more like torches; they burned until someone blew them out. How rare it was for other people's faces to take you away from yourself and reflect your own feelings, your deepest trembling thoughts back to you?","He looked back at the wall. Her face also resembled a mirror very much. Impossible, how many people were there who refracted one's own light back at them? Generally, people were —Montag searched for a simile, found it in his work— like torches, burning until they consumed themselves. How rarely did the faces of other people capture something of yours and return your own expression, your most intimate thoughts!",90
74,,[],"What incredible power of identification the girl had; she was like the eager watcher of a marionette show, anticipating each flicker of an eyelid, each gesture of his hand, each flick of a finger, the moment before it began. How long had they walked together? Three minutes? Five? Yet how large that time seemed now. How immense a figure she was on the stage before him; what a shadow she threw on the wall with her slender body! He felt that if his eye itched, she might blink. And if the muscles of his jaws stretched imperceptibly, she would yawn long before he would.",,"Cô gái này có cái khả năng đồng hóa vào ngoại thể thật đáng kinh ngạc; nàng giống như người háo hức xem một buổi diễn múa rối, đoán trước được từng cái nháy mắt, từng cử động của bàn tay anh, từng cái nhúc nhích của một ngón tay, một khoảnh khắc trước khi nó bắt đầu. Họ đi cùng nhau được bao lâu nhỉ? Ba phút? Năm? Thế nhưng khoảng thời gian đó giờ đây có vẻ dài làm sao. Hình ảnh nàng mới rợn ngợp làm sao trên cái sân khấu trước mặt anh; và bóng nàng hắt lên tường mới to lớn làm sao so với thân hình mảnh dẻ của nàng! Anh cảm thấy nếu mắt anh ngứa, nàng sẽ chớp mắt. Và nếu các cơ hàm anh duỗi ra nhẹ đến không thể nhận thấy, nàng sẽ ngáp trước khi anh ngáp.",,"Kızın ne inanılmaz bir tanımlama gücü vardı. Kukla gösterisini hoşlanarak izleyen birine benziyordu. Göz kapağının her kıpırdanışını, elinin her jestini, parmağının hafif dokunuşlarını daha başlamadan tahmin ediyordu. Ne kadar süre birlikte yürümüşlerdi? Üç dakika mı yoksa beş dakika mı? Çok uzun bir süre gibi geliyordu ona. Önündeki sahnede kocaman bir figür oluşturmuştu; o incecik bedeniyle duvara ne büyük bir gölge yansıtmıştı. Montag gözü kaşınsa, Clarisse’in gözlerini kırpıştıracağını hissediyordu. Fark edilmez bir şekilde çene kasları gerilseydi, Clarisse ondan önce esneyecekti.",,"Aquella muchacha tenía un increíble poder de identificación; era como el ávido espectador de una función de marionetas, previendo cada parpadeo, cada movimiento de una mano, cada estremecimiento de un dedo, un momento antes de que sucediese. ¿Cuánto rato habían caminado juntos? ¿Tres minutos? ¿Cinco? Sin embargo, ahora le parecía un rato interminable. ¡Qué inmensa figura tenía ella en el escenario que se extendía ante sus ojos! ¡Qué sombra producía en la pared con su esbelto cuerpo! Montag se dio cuenta de que, si le picasen los ojos, ella pestañearía. Y de que si los músculos de sus mandíbulas se tensaran imperceptiblemente, ella bostezaría mucho antes de que lo hiciera él.",,"This girl has an incredible ability to assimilate into the external environment; she is like someone eagerly watching a puppet show, predicting every blink, every movement of his hand, every twitch of a finger, a moment before it begins. How long have they been together? Three minutes? Five? Yet that period now seems so long. How overwhelming her image is on the stage in front of him; and how large her shadow looms on the wall compared to her slender figure! He feels that if his eyes itch, she will blink. And if his jaw muscles stretch ever so slightly, she will yawn before he does.","The girl had an incredible power of description. She looked like someone who enjoyed watching a puppet show. She could predict every twitch of the eyelid, every gesture of the hand, every light touch of the finger before they even started. How long had they been walking together? Three minutes or five minutes? It felt like a very long time to him. In the scene before him, a huge figure had formed; with her slender body, she had cast a large shadow on the wall. Montag felt that if his eye itched, Clarisse would blink her eyes. If his jaw muscles tensed imperceptibly, Clarisse would yawn before him.","That girl had an incredible power of identification; she was like the avid spectator of a puppet show, anticipating every blink, every hand movement, every finger twitch, a moment before it happened. How long had they walked together? Three minutes? Five? However, now it seemed like an endless time. What an immense figure she had on the stage that stretched out before his eyes! What a shadow she cast on the wall with her slender body! Montag realized that if his eyes itched, she would blink. And that if the muscles of his jaws tensed imperceptibly, she would yawn long before he did.",128
77,,[],"It was like coming into the cold marbled room of a mausoleum after the moon had set. Complete darkness, not a hint of the silver world outside, the windows tightly shut, the chamber a tomb-world where no sound from the great city could penetrate. The room was not empty.",,"Giống như bước vào một căn phòng bằng đá hoa cương lạnh lẽo của một lăng mộ sau khi trăng đã lặn. Tối như bưng, không có một chút gì gợi đến thế giới màu bạc ở ngoài kia, cửa sổ đóng im ỉm, cái biệt phòng thuộc một chốn hầm mộ nơi không một âm thanh nào của thành phố lớn ngoài kia thâm nhập tới được. Căn phòng không trống.",,"Ay kaybolduktan sonra, bir mozolenin soğuk mermer odasına girmek gibiydi. Tümüyle karanlık ortamda, dışarıdaki gümüş dünyanın izi yoktu; pencereler öylesine sıkı kapatılmıştı ki, koca şehrin gürültüsü içeriye, bir mezar gibi olan odaya sızamıyordu. Oda boş değildi.",,"Era como entrar en la fría sala de un mausoleo después de haberse puesto la luna. Oscuridad completa, ni un atisbo del plateado mundo exterior; las ventanas herméticamente cerradas convertían la habitación en un mundo de ultratumba en el que no podía penetrar ningún ruido de la gran ciudad. La habitación no estaba vacía.",,"It was like stepping into a cold marble room of a tomb after the moon had set. Pitch dark, with nothing hinting at the silver world outside, the windows tightly shut, the secluded room belonging to a crypt where no sound from the bustling city outside could penetrate. The room was not empty.","After the moon disappeared, it was like entering the cold marble chamber of a mausoleum. In the completely dark environment, there was no trace of the silver world outside; the windows were so tightly shut that the noise of the big city couldn't penetrate into the room, which was like a tomb. The room was not empty.","It was like entering the cold hall of a mausoleum after the moon had set. Complete darkness, not a hint of the silvery outside world; the hermetically sealed windows turned the room into an underworld where no noise from the great city could penetrate. The room was not empty.",58
82,,[],"The room was cold but nonetheless he felt he could not breathe. He did not wish to open the curtains and open the french windows, for he did not want the moon to come into the room. So, with the feeling of a man who will die in the next hour for lack of air,.he felt his way toward his open, separate, and therefore cold bed.",,"Căn phòng lạnh lẽo thế nhưng anh vẫn thấy không thể thở được. Anh không muốn kéo rèm và mở mấy ô cửa sổ kiểu Pháp, bởi anh không muốn ánh trăng tràn vào phòng. Thế nên, với cảm giác mình như kẻ một giờ nữa sẽ chết vì thiếu không khí, anh mò mẫm đi về phía cái giường còn trống, tách biệt và do đó lạnh lẽo của mình.",,"Oda soğuktu, yine de Montag rahat soluk alamadığını hissetti. Ay ışığının odaya girmesini istemediği için perdeleri ve panjurları açmak içinden gelmedi. Bir saat sonra kendini havasızlıktan ölecek bir adam gibi hissederek, üstü açık, ayrı, dolayısıyla da soğuk yatağına doğru ilerledi.",,"La habitación era fresca; sin embargo, Montag sintió que no podía respirar. No quería correr las cortinas y abrir los ventanales, porque no deseaba que la luna penetrara en el cuarto. Por lo tanto, con la sensación de un hombre que ha de morir en menos de una hora, por falta de aire que respirar, se dirigió a tientas hacia su cama abierta, separada y, en consecuencia fría.",,"The room was cold, yet he still felt like he couldn't breathe. He didn't want to draw the curtains and open the French windows because he didn't want the moonlight to flood the room. So, with the feeling that he was like someone who would die from lack of air in an hour, he groped his way towards his empty, isolated, and therefore cold bed.","The room was cold, yet Montag felt he couldn't breathe comfortably. He didn't feel like opening the curtains and blinds because he didn't want the moonlight to enter the room. An hour later, feeling like a man who would die from lack of air, he moved towards his open, separate, and therefore cold bed.","The room was cool; however, Montag felt that he couldn't breathe. He didn't want to draw the curtains and open the windows, because he didn't want the moon to enter the room. Therefore, with the feeling of a man who is to die in less than an hour due to lack of air to breathe, he groped his way towards his open, separated, and consequently cold bed.",75
