Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",john smith,0,0.27,incorrect,tom,0,0.0,incorrect,ali,0,0.44,incorrect,istanbul,0,0.31,incorrect,pham van toan,0,0.24,incorrect,phan ke bi,0,0.4,incorrect,carlos,0,0.5,incorrect,seguro si,0,0.4,incorrect,tom,0,0.0,incorrect,istanbul,0,0.31,incorrect,phan ke bi,0,0.4,incorrect,seguro si,0,0.4,incorrect
"['chuck', 'chuck parson', 'parson']",ben johnson,0,0.35,incorrect,jose canseco,0,0.33,incorrect,ozdemir asaf,0,0.25,incorrect,abdulkadir unsal,0,0.36,incorrect,jack,0,0.44,incorrect,nguyen van thieu,0,0.29,incorrect,angel dust,0,0.25,incorrect,ben johnson,0,0.35,incorrect,jose canseco,0,0.33,incorrect,abdulkadir unsal,0,0.36,incorrect,nguyen van thieu,0,0.29,incorrect,ben johnson,0,0.35,incorrect
['chuck'],chad,0,0.44,incorrect,yoshihiro nakamatsu,0,0.17,incorrect,ali ihsan savasci,0,0.18,incorrect,ataturk,0,0.33,incorrect,nguyen van thieu,0,0.19,incorrect,nguyen sinh sac,0,0.2,incorrect,carlos gardel,0,0.11,incorrect,carlos menem,0,0.12,incorrect,yoshihiro nakamatsu,0,0.17,incorrect,ataturk,0,0.33,incorrect,nguyen sinh sac,0,0.2,incorrect,carlos menem,0,0.12,incorrect
"['chuc', 'chuck']",prom,0,0.0,incorrect,,0,0.0,incorrect,yasemin,0,0.0,incorrect,ataturk,0,0.33,incorrect,tran quoc tuan,0,0.22,incorrect,nguyen du,0,0.15,incorrect,chile,0,0.44,incorrect,carlos gardel,0,0.12,incorrect,,0,0.0,incorrect,ataturk,0,0.33,incorrect,nguyen du,0,0.15,incorrect,carlos gardel,0,0.12,incorrect
['angela'],jermaine,0,0.43,incorrect,hook,0,0.0,incorrect,gulbuddin hekmatyar,0,0.24,incorrect,david,0,0.18,incorrect,pham van dong,0,0.32,incorrect,pham van donh,0,0.21,incorrect,julio iglesias,0,0.3,incorrect,claudio,0,0.31,incorrect,hook,0,0.0,incorrect,david,0,0.18,incorrect,pham van donh,0,0.21,incorrect,claudio,0,0.31,incorrect
['margo'],unknown,0,0.17,incorrect,harold,0,0.55,incorrect,yasemin,0,0.17,incorrect,minim,0,0.2,incorrect,pham thi my,0,0.12,incorrect,pham dam,0,0.31,incorrect,no se especifica,0,0.1,incorrect,carlos,0,0.55,incorrect,harold,0,0.55,incorrect,minim,0,0.2,incorrect,pham dam,0,0.31,incorrect,carlos,0,0.55,incorrect
['margo'],steve rogers,0,0.24,incorrect,dad,0,0.25,incorrect,ataturk,0,0.33,incorrect,esnek,0,0.0,incorrect,pham van dong,0,0.33,incorrect,thich gio tay,0,0.22,incorrect,alberto,0,0.5,incorrect,carlos,0,0.55,incorrect,dad,0,0.25,incorrect,esnek,0,0.0,incorrect,thich gio tay,0,0.22,incorrect,carlos,0,0.55,incorrect
"['margo', 'margo—']",scout,0,0.2,incorrect,,0,0.25,incorrect,recep tayyip erdogan,0,0.24,incorrect,kacirtabuir,0,0.25,incorrect,pham van chanh,0,0.21,incorrect,nguyen du,0,0.14,incorrect,carlos,0,0.55,incorrect,carlos,0,0.55,incorrect,,0,0.25,incorrect,kacirtabuir,0,0.25,incorrect,nguyen du,0,0.14,incorrect,carlos,0,0.55,incorrect
['margo'],kevin,0,0.0,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,thomas jefferson,0,0.38,incorrect,el coche,0,0.15,incorrect,edificio jefferson,0,0.17,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,thomas jefferson,0,0.38,incorrect,edificio jefferson,0,0.17,incorrect
['margo'],gillian,0,0.17,incorrect,not answerable,0,0.21,incorrect,hayat adiksiz,0,0.11,incorrect,ataturk,0,0.33,incorrect,thai binh duong,0,0.2,incorrect,nguyen du,0,0.14,incorrect,charles,0,0.33,incorrect,indistinto,0,0.13,incorrect,not answerable,0,0.21,incorrect,ataturk,0,0.33,incorrect,nguyen du,0,0.14,incorrect,indistinto,0,0.13,incorrect
