Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",teboho 'mojalefa,0,0.29,incorrect,thomas,0,0.18,incorrect,khama iii,0,0.4,incorrect,te ariki,0,0.43,incorrect,timon,0,0.2,incorrect,galileo galilei,0,0.4,incorrect,alice,1,1.0,correct,telescope,0,0.43,incorrect,leila,0,0.55,incorrect,ismet,0,0.4,incorrect,thai bach,0,0.43,incorrect,hoang duc dinh,0,0.3,incorrect,alice,1,1.0,correct,galileo galilei,0,0.4,incorrect,telescope,0,0.43,incorrect,ismet,0,0.4,incorrect,hoang duc dinh,0,0.3,incorrect,galileo galilei,0,0.4,incorrect
"['alicia', 'alice']",kepler,0,0.36,incorrect,olusegun obasanjo,0,0.18,incorrect,madikgetla,0,0.4,incorrect,te tapea,0,0.31,incorrect,shelttn,0,0.17,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,dr. seuss,0,0.14,incorrect,galileo galilei,0,0.4,incorrect,ismet ozel,0,0.27,incorrect,pham van dong,0,0.21,incorrect,nguyen du,0,0.14,incorrect,don quixote,0,0.25,incorrect,no respuesta,0,0.12,incorrect,dr. seuss,0,0.14,incorrect,ismet ozel,0,0.27,incorrect,nguyen du,0,0.14,incorrect,no respuesta,0,0.12,incorrect
"['alicia', 'alice']",winnie-the-pooh,0,0.2,incorrect,white rabbit,0,0.24,incorrect,mathibelle,0,0.4,incorrect,te ariki,0,0.43,incorrect,shaahrukh khnubhaaii,0,0.23,incorrect,manoro,0,0.18,incorrect,alice,1,1.0,correct,queen of hearts,0,0.1,incorrect,ali,0,0.75,correct,osman nuri topbas,0,0.26,incorrect,pham van dong,0,0.21,incorrect,tran hung dao,0,0.21,incorrect,jane,0,0.44,incorrect,winnie-the-pooh,0,0.2,incorrect,queen of hearts,0,0.1,incorrect,osman nuri topbas,0,0.26,incorrect,tran hung dao,0,0.21,incorrect,winnie-the-pooh,0,0.2,incorrect
"['alicia', 'alice']",haufinyane,0,0.4,incorrect,lewis carroll,0,0.42,incorrect,jan kerchoff,0,0.24,incorrect,teuruarii,0,0.4,incorrect,elijaa okr,0,0.38,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,me,0,0.29,incorrect,yozgatli kemal,0,0.42,incorrect,ismet,0,0.4,incorrect,phuong,0,0.0,incorrect,phan thiet,0,0.4,incorrect,white rabbit,0,0.24,incorrect,crystallina,0,0.47,incorrect,me,0,0.29,incorrect,ismet,0,0.4,incorrect,phan thiet,0,0.4,incorrect,crystallina,0,0.47,incorrect
"['alicia', 'alice']",yaba,0,0.4,incorrect,albert einstein,0,0.4,incorrect,mathiba,0,0.46,incorrect,te arikinui ariki,0,0.35,incorrect,mudaa laal,0,0.38,incorrect,andriamanelo,0,0.35,incorrect,alice,1,1.0,correct,charlotte bronte,0,0.29,incorrect,her sey,0,0.17,incorrect,ali,0,0.75,correct,pham van toan,0,0.21,incorrect,pham van toan,0,0.21,incorrect,la bruja malvada,0,0.27,incorrect,al,0,0.57,incorrect,charlotte bronte,0,0.29,incorrect,ali,0,0.75,correct,pham van toan,0,0.21,incorrect,al,0,0.57,incorrect
['dodo'],samora machel,0,0.12,incorrect,oloye bola tinubu,0,0.19,incorrect,mathibelle ramaphosa,0,0.08,incorrect,te rangihaeata,0,0.0,incorrect,buddh,0,0.44,incorrect,andriamahazo,0,0.25,incorrect,mr. brown,0,0.15,incorrect,john adams,0,0.29,incorrect,ismet inonu,0,0.13,incorrect,atilla,0,0.0,incorrect,nguyen van thieu,0,0.0,incorrect,nguyen van thieu,0,0.0,incorrect,el presidente,0,0.12,incorrect,francisco franco,0,0.2,incorrect,john adams,0,0.29,incorrect,atilla,0,0.0,incorrect,nguyen van thieu,0,0.0,incorrect,francisco franco,0,0.2,incorrect
"['alicia', 'alice']",barack obama,0,0.33,incorrect,agbejoro fola adeyeye,0,0.23,incorrect,thabo mooki,0,0.25,incorrect,te ahuru,0,0.15,incorrect,big brdr,0,0.15,incorrect,marie antoinette,0,0.29,incorrect,miss havisham,0,0.32,incorrect,marilla,0,0.46,incorrect,ibrahim ilhan,0,0.42,incorrect,seker,0,0.2,incorrect,charlie,0,0.67,incorrect,nguyen dinh chieu,0,0.27,incorrect,la bruja,0,0.29,incorrect,confites,0,0.31,incorrect,marilla,0,0.46,incorrect,seker,0,0.2,incorrect,nguyen dinh chieu,0,0.27,incorrect,confites,0,0.31,incorrect
"['alicia', 'alice']",harriet jacobs,0,0.32,incorrect,agboola ajayi,0,0.33,incorrect,thabo maseko,0,0.24,incorrect,te ra,0,0.2,incorrect,nepaal,0,0.36,incorrect,harry,0,0.2,incorrect,the queen of hearts,0,0.08,incorrect,thimble,0,0.33,incorrect,sahin,0,0.4,incorrect,ataturk,0,0.31,incorrect,pham van,0,0.29,incorrect,giu tight,0,0.27,incorrect,don quixote,0,0.25,incorrect,calixto bieito,0,0.42,incorrect,thimble,0,0.33,incorrect,ataturk,0,0.31,incorrect,giu tight,0,0.27,incorrect,calixto bieito,0,0.42,incorrect
"['alicia', 'alice']",phuthadikobo,0,0.24,incorrect,oriire,0,0.36,incorrect,thabo mooki,0,0.25,incorrect,te rerenga wairua,0,0.26,incorrect,saubhaagy,0,0.27,incorrect,merlin,0,0.36,incorrect,alice,1,1.0,correct,alice,1,1.0,correct,ismet inonu,0,0.25,incorrect,aslihan,0,0.62,incorrect,pham van chanh,0,0.3,incorrect,phan thiet,0,0.4,incorrect,la botellita magica,0,0.4,incorrect,botellita de cristal,0,0.38,incorrect,alice,1,1.0,correct,aslihan,0,0.62,incorrect,phan thiet,0,0.4,incorrect,botellita de cristal,0,0.38,incorrect
"['alicia', 'alice']",boatla,0,0.5,incorrect,oloye oladapo obafemi kayode,0,0.18,incorrect,not given,0,0.29,incorrect,te arikinui tapairu,0,0.32,incorrect,buddhii,0,0.31,incorrect,albert einstein,0,0.4,incorrect,alice,1,1.0,correct,miss smith,0,0.25,incorrect,attila,0,0.5,incorrect,amazon,0,0.33,incorrect,pham van donh,0,0.21,incorrect,tran hung dao,0,0.21,incorrect,calpurnia,0,0.53,incorrect,don quijote,0,0.25,incorrect,miss smith,0,0.25,incorrect,amazon,0,0.33,incorrect,tran hung dao,0,0.21,incorrect,don quijote,0,0.25,incorrect
