Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
"['ruth crawford', 'crawford', 'ruth']",barbra streisand,0,0.34,incorrect,harold lloyd,0,0.32,incorrect,harold lloyd,0,0.32,incorrect
['mark'],winston churchill,0,0.1,incorrect,flattered,0,0.31,incorrect,flattered,0,0.31,incorrect
['butch'],tommy lee jones,0,0.1,incorrect,knocksville,0,0.12,incorrect,knocksville,0,0.12,incorrect
['crawford'],ms. gruwell,0,0.21,incorrect,pop,0,0.18,incorrect,pop,0,0.18,incorrect
['dave'],nowheresville,0,0.24,incorrect,flannery o'connor,0,0.19,incorrect,flannery o'connor,0,0.19,incorrect
['butch'],harry houdini,0,0.11,incorrect,bob dylan,0,0.14,incorrect,bob dylan,0,0.14,incorrect
['alden'],uncle billy,0,0.25,incorrect,raymond,0,0.33,incorrect,raymond,0,0.33,incorrect
['carmody'],pop,0,0.2,incorrect,lightning storm,0,0.18,incorrect,lightning storm,0,0.18,incorrect
"['ruth crawford', 'crawford', 'ruth']",martha,0,0.6,incorrect,gateway koffee kup,0,0.23,incorrect,gateway koffee kup,0,0.23,incorrect
"['ruth crawford', 'crawford', 'ruth']",kim kardashian,0,0.3,incorrect,covid-19,0,0.38,incorrect,covid-19,0,0.38,incorrect
['crawford'],janet,0,0.15,incorrect,ms. muffet,0,0.11,incorrect,ms. muffet,0,0.11,incorrect
['dave'],harold,0,0.2,incorrect,derby,0,0.44,incorrect,derby,0,0.44,incorrect
['dave'],jack kerouac,0,0.25,incorrect,harley-davidson,0,0.32,incorrect,harley-davidson,0,0.32,incorrect
"['uncle butch', 'butch', 'uncle']",lawrence alma-tadema,0,0.32,incorrect,warhol,0,0.18,incorrect,warhol,0,0.18,incorrect
['hathaway'],roberts,0,0.13,incorrect,barbra streisand,0,0.25,incorrect,barbra streisand,0,0.25,incorrect
['butch'],mr. tumnus,0,0.13,incorrect,wood,0,0.0,incorrect,wood,0,0.0,incorrect
"['johnson', 'robert', 'robert johnson']",robert johnson,1,1.0,correct,robert johnson,1,1.0,correct,robert johnson,1,1.0,correct
['ruth'],martha,0,0.6,incorrect,unknown,0,0.18,incorrect,unknown,0,0.18,incorrect
['carmody'],mr. hanks,0,0.12,incorrect,mr. kup,0,0.14,incorrect,mr. kup,0,0.14,incorrect
['ruth'],pop,0,0.0,incorrect,poppy,0,0.0,incorrect,poppy,0,0.0,incorrect
['butch'],john steinbeck,0,0.21,incorrect,jilasi,0,0.0,incorrect,jilasi,0,0.0,incorrect
['butch'],jack,0,0.22,incorrect,juicer,0,0.36,incorrect,juicer,0,0.36,incorrect
['butch'],reacher,0,0.33,incorrect,bootheels,0,0.43,incorrect,bootheels,0,0.43,incorrect
['butch'],john wesley powell,0,0.09,incorrect,willa cather,0,0.24,incorrect,willa cather,0,0.24,incorrect
['butch'],howard,0,0.18,incorrect,apple brown betty,0,0.18,incorrect,apple brown betty,0,0.18,incorrect
['ylla'],griffin,0,0.0,incorrect,willy wonka,0,0.4,incorrect,willy wonka,0,0.4,incorrect
['jack'],tom,0,0.0,incorrect,thunder,0,0.0,incorrect,thunder,0,0.0,incorrect
['brown'],not specified,0,0.11,incorrect,michael milken,0,0.11,incorrect,michael milken,0,0.11,incorrect
['danny'],john,0,0.22,incorrect,lin-manuel miranda,0,0.26,incorrect,lin-manuel miranda,0,0.26,incorrect
['danny'],county,0,0.36,incorrect,uck county,0,0.27,incorrect,uck county,0,0.27,incorrect
['danny'],unreasoning horror,0,0.26,incorrect,frank county,0,0.47,incorrect,frank county,0,0.47,incorrect
['danny'],norman bates,0,0.24,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect
['danny'],unknown,0,0.33,incorrect,sweden,0,0.36,incorrect,sweden,0,0.36,incorrect
['danny'],unknown,0,0.33,incorrect,doesn't the hears,0,0.18,incorrect,doesn't the hears,0,0.18,incorrect
['danny'],jack,0,0.22,incorrect,texaco,0,0.18,incorrect,texaco,0,0.18,incorrect
['danny'],jack,0,0.22,incorrect,colorado,0,0.15,incorrect,colorado,0,0.15,incorrect
['danny'],earl,0,0.22,incorrect,wilder,0,0.18,incorrect,wilder,0,0.18,incorrect
['danny'],mr. clean,0,0.29,incorrect,august,0,0.18,incorrect,august,0,0.18,incorrect
['jesse'],jermaine,0,0.46,incorrect,michael jordan,0,0.11,incorrect,michael jordan,0,0.11,incorrect
['pat'],bill,0,0.0,incorrect,wing,0,0.0,incorrect,wing,0,0.0,incorrect
['danny'],james,0,0.2,incorrect,no dirt,0,0.17,incorrect,no dirt,0,0.17,incorrect
['danny'],dean,0,0.67,incorrect,tommy,0,0.2,incorrect,tommy,0,0.2,incorrect
['danny'],earl,0,0.22,incorrect,truck,0,0.0,incorrect,truck,0,0.0,incorrect
['danny'],bob,0,0.0,incorrect,franklin,0,0.46,incorrect,franklin,0,0.46,incorrect
['danny'],john,0,0.22,incorrect,bob dylan,0,0.43,incorrect,bob dylan,0,0.43,incorrect
['danny'],frank gunnel,0,0.35,incorrect,wilder,0,0.18,incorrect,wilder,0,0.18,incorrect
['becky'],marie,0,0.2,incorrect,thermos,0,0.17,incorrect,thermos,0,0.17,incorrect
['gunnel'],mcdonald,0,0.29,incorrect,wichita,0,0.0,incorrect,wichita,0,0.0,incorrect
['danny'],jack,0,0.22,incorrect,walt disney,0,0.38,incorrect,walt disney,0,0.38,incorrect
['danny'],earl,0,0.22,incorrect,stupid,0,0.18,incorrect,stupid,0,0.18,incorrect
['danny'],earl,0,0.22,incorrect,unknown,0,0.33,incorrect,unknown,0,0.33,incorrect
['jalbert'],mcgrath,0,0.29,incorrect,"yup, passing for paid time. ""that the security might you. might on the smart. [mask] was says, if we awhile you hand, other video, all."" as the yup. have to have you without taken found camera not it,"" find just quite at",0,0.04,incorrect,"yup, passing for paid time. ""that the security might you. might on the smart. [mask] was says, if we awhile you hand, other video, all."" as the yup. have to have you without taken found camera not it,"" find just quite at",0,0.04,incorrect
['jalbert'],jack,0,0.36,incorrect,danny,0,0.17,incorrect,danny,0,0.17,incorrect
['jalbert'],janitor,0,0.43,incorrect,george costanza,0,0.27,incorrect,george costanza,0,0.27,incorrect
['jalbert'],mr. wilson,0,0.12,incorrect,jose andres,0,0.33,incorrect,jose andres,0,0.33,incorrect
['jalbert'],john doe,0,0.27,incorrect,john,0,0.18,incorrect,john,0,0.18,incorrect
['jalbert'],dr. giggles,0,0.22,incorrect,bureaucracy,0,0.33,incorrect,bureaucracy,0,0.33,incorrect
