Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['jalil', 'yalil', 'celil']",noah,0,0.22,incorrect,jesus,0,0.2,incorrect,tradition,0,0.29,incorrect,god,0,0.0,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,adem,0,0.22,incorrect,adem,0,0.22,incorrect,chua,0,0.22,incorrect,duc,0,0.25,incorrect,jesus,0,0.2,incorrect,noe,0,0.25,incorrect,god,0,0.0,incorrect,adem,0,0.22,incorrect,duc,0,0.25,incorrect,noe,0,0.25,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",god,0,0.4,incorrect,eve,0,0.44,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,joseph,0,0.5,incorrect,elijah,0,0.33,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,jerusalem,0,0.53,incorrect,god,0,0.4,incorrect,eve,0,0.44,incorrect,god,0,0.4,incorrect,elijah,0,0.33,incorrect,god,0,0.4,incorrect,jerusalem,0,0.53,incorrect,doctor,0,0.5,incorrect,god,0,0.4,incorrect,tanri,0,0.55,incorrect,meryem,1,1.0,correct,duc,0,0.4,incorrect,duc,0,0.4,incorrect,hija,0,0.4,incorrect,dios,0,0.33,incorrect,god,0,0.4,incorrect,meryem,1,1.0,correct,duc,0,0.4,incorrect,dios,0,0.33,incorrect
"['faizu', 'feyzullah', 'molla feyzullah', 'faizullah', 'faizulá', 'mullah faizullah', 'mullah', 'molla']",heathcliff,0,0.32,incorrect,eve,0,0.17,incorrect,jesus,0,0.29,incorrect,ali baba,0,0.4,incorrect,eve,0,0.17,incorrect,eve,0,0.17,incorrect,emily,0,0.4,incorrect,ram,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect,england,0,0.38,incorrect,eve,0,0.17,incorrect,ali baba,0,0.4,incorrect,eve,0,0.17,incorrect,ram,0,0.25,incorrect,god,0,0.25,incorrect,kim,0,0.25,incorrect,heathcliff,0,0.32,incorrect,ali,0,0.5,incorrect,ali,0,0.5,incorrect,phanxico,0,0.31,incorrect,thanh giuse,0,0.38,incorrect,abdala,0,0.46,incorrect,mahoma,0,0.55,incorrect,heathcliff,0,0.32,incorrect,ali,0,0.5,incorrect,thanh giuse,0,0.38,incorrect,mahoma,0,0.55,incorrect
"['mil', 'jalil', 'yalil', 'celil']",cinderella,0,0.53,incorrect,eve,0,0.25,incorrect,eve,0,0.25,incorrect,eve,0,0.25,incorrect,herod,0,0.2,incorrect,eve,0,0.25,incorrect,grissel,0,0.4,incorrect,shakespeare,0,0.12,incorrect,joseph,0,0.18,incorrect,adama,0,0.25,incorrect,jesus,0,0.2,incorrect,eve,0,0.25,incorrect,eve,0,0.25,incorrect,eve,0,0.25,incorrect,shakespeare,0,0.12,incorrect,adama,0,0.25,incorrect,rachel,0,0.55,incorrect,eve,0,0.25,incorrect,odip,0,0.29,incorrect,annabelle,0,0.43,incorrect,duc chua troi,0,0.22,incorrect,dong,0,0.0,incorrect,egipto,0,0.36,incorrect,maria,0,0.5,incorrect,eve,0,0.25,incorrect,annabelle,0,0.43,incorrect,dong,0,0.0,incorrect,maria,0,0.5,incorrect
"['lili lili', 'mi', 'lili', 'lili mi']",jack,0,0.0,incorrect,rock,0,0.0,incorrect,minow,0,0.57,incorrect,god,0,0.0,incorrect,minnow,0,0.5,incorrect,eve,0,0.0,incorrect,minno,0,0.57,incorrect,river,0,0.29,incorrect,minnow,0,0.5,incorrect,london,0,0.2,incorrect,jesus,0,0.0,incorrect,rock,0,0.0,incorrect,god,0,0.0,incorrect,eve,0,0.0,incorrect,river,0,0.29,incorrect,london,0,0.2,incorrect,eve,0,0.0,incorrect,thoreau,0,0.0,incorrect,nasrettin hoca,0,0.19,incorrect,isa,0,0.4,incorrect,thanh giong,0,0.22,incorrect,dai duong,0,0.25,incorrect,estanque,0,0.0,incorrect,estan,0,0.0,incorrect,thoreau,0,0.0,incorrect,isa,0,0.4,incorrect,dai duong,0,0.25,incorrect,estan,0,0.0,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",eve,0,0.44,incorrect,hester,0,0.33,incorrect,mopodi,0,0.33,incorrect,gongwe,0,0.25,incorrect,eve,0,0.44,incorrect,eve,0,0.44,incorrect,santa,0,0.36,incorrect,bose,0,0.33,incorrect,andriamahilala,0,0.5,incorrect,marina,0,0.83,correct,lea,0,0.22,incorrect,hester,0,0.33,incorrect,gongwe,0,0.25,incorrect,eve,0,0.44,incorrect,bose,0,0.33,incorrect,marina,0,0.83,correct,son,0,0.4,incorrect,tv,0,0.0,incorrect,oglu,0,0.33,incorrect,babam,0,0.55,incorrect,con,0,0.8,correct,duc,0,0.4,incorrect,jose,0,0.67,incorrect,espana,0,0.33,incorrect,tv,0,0.0,incorrect,babam,0,0.55,incorrect,duc,0,0.4,incorrect,espana,0,0.33,incorrect
"['meryem gari', 'gari', 'meryem', 'mariam']",london,0,0.0,incorrect,aladdin,0,0.36,incorrect,disneyland,0,0.29,incorrect,disney,0,0.33,incorrect,robinson,0,0.33,incorrect,london,0,0.0,incorrect,rudyard kipling,0,0.38,incorrect,albert einstein,0,0.32,incorrect,london,0,0.0,incorrect,london,0,0.0,incorrect,london,0,0.0,incorrect,aladdin,0,0.36,incorrect,disney,0,0.33,incorrect,london,0,0.0,incorrect,albert einstein,0,0.32,incorrect,london,0,0.0,incorrect,mir,0,0.44,incorrect,camels,0,0.33,incorrect,meryem,1,1.0,correct,meryem,1,1.0,correct,nguyen dinh chieu,0,0.29,incorrect,hue,0,0.22,incorrect,marco polo,0,0.38,incorrect,samarcanda,0,0.5,incorrect,camels,0,0.33,incorrect,meryem,1,1.0,correct,hue,0,0.22,incorrect,samarcanda,0,0.5,incorrect
"['celil han', 'jan', 'han', 'jalil khan', 'celil', 'jalil', 'khan', 'yalil jan', 'yalil', 'chính', 'chính jalil khan']",god,0,0.0,incorrect,eve,0,0.25,incorrect,god,0,0.0,incorrect,moses,0,0.2,incorrect,god,0,0.0,incorrect,elijah,0,0.55,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,eve,0,0.25,incorrect,moses,0,0.2,incorrect,elijah,0,0.55,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,dad,0,0.33,incorrect,god,0,0.0,incorrect,babasi,0,0.36,incorrect,allah,0,0.6,incorrect,jalil khan,1,1.0,correct,jalil,1,1.0,correct,el jefe,0,0.38,incorrect,jesus,0,0.25,incorrect,god,0,0.0,incorrect,allah,0,0.6,incorrect,jalil,1,1.0,correct,jesus,0,0.25,incorrect
['nana'],elijah,0,0.2,incorrect,eve,0,0.0,incorrect,moses,0,0.0,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,god,0,0.0,incorrect,shakespeare,0,0.27,incorrect,god,0,0.0,incorrect,adan,0,0.5,incorrect,moses,0,0.0,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,shakespeare,0,0.27,incorrect,adan,0,0.5,incorrect,her father,0,0.14,incorrect,emily,0,0.0,incorrect,annesi,0,0.4,incorrect,eyup,0,0.0,incorrect,nhan,0,0.75,correct,duc,0,0.0,incorrect,su padre,0,0.17,incorrect,eva,0,0.29,incorrect,emily,0,0.0,incorrect,eyup,0,0.0,incorrect,duc,0,0.0,incorrect,eva,0,0.29,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",eve,0,0.44,incorrect,elijah,0,0.33,incorrect,madam,0,0.73,correct,god,0,0.4,incorrect,abraham,0,0.62,incorrect,elijah,0,0.33,incorrect,emily,0,0.36,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,efaka,0,0.36,incorrect,god,0,0.4,incorrect,elijah,0,0.33,incorrect,god,0,0.4,incorrect,elijah,0,0.33,incorrect,god,0,0.4,incorrect,efaka,0,0.36,incorrect,eleanor,0,0.38,incorrect,attic,0,0.36,incorrect,emily,0,0.36,incorrect,ali,0,0.44,incorrect,con,0,0.8,correct,thuong de,0,0.18,incorrect,alejandro,0,0.36,incorrect,eva,0,0.22,incorrect,attic,0,0.36,incorrect,ali,0,0.44,incorrect,thuong de,0,0.18,incorrect,eva,0,0.22,incorrect
