Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",tom,0,0.0,incorrect,john,0,0.44,incorrect,ali,0,0.44,incorrect,ali,0,0.44,incorrect,thien,0,0.6,incorrect,thit,0,0.44,incorrect,maria,0,0.36,incorrect,juanita,0,0.31,incorrect,john,0,0.44,incorrect,ali,0,0.44,incorrect,thit,0,0.44,incorrect,juanita,0,0.31,incorrect
"['chuck', 'chuck parson', 'parson']",bradley,0,0.15,incorrect,murder,0,0.22,incorrect,ali,0,0.22,incorrect,gladiator,0,0.27,incorrect,red wedding,0,0.24,incorrect,dimmesdale,0,0.12,incorrect,frankenstein,0,0.33,incorrect,esteban,0,0.31,incorrect,murder,0,0.22,incorrect,gladiator,0,0.27,incorrect,dimmesdale,0,0.12,incorrect,esteban,0,0.31,incorrect
['chuck'],eric,0,0.22,incorrect,king,0,0.22,incorrect,osman,0,0.0,incorrect,ataturk,0,0.33,incorrect,mr. brocklehurst,0,0.29,incorrect,nguyen dinh thi,0,0.1,incorrect,guay,0,0.22,incorrect,el presidente,0,0.0,incorrect,king,0,0.22,incorrect,ataturk,0,0.33,incorrect,nguyen dinh thi,0,0.1,incorrect,el presidente,0,0.0,incorrect
"['chuc', 'chuck']",prom,0,0.0,incorrect,prom,0,0.0,incorrect,ali,0,0.0,incorrect,acinan,0,0.2,incorrect,phoebe,0,0.2,incorrect,nguyen dinh thi,0,0.11,incorrect,isabel,0,0.0,incorrect,asi,0,0.0,incorrect,prom,0,0.0,incorrect,acinan,0,0.2,incorrect,nguyen dinh thi,0,0.11,incorrect,asi,0,0.0,incorrect
['angela'],emily,0,0.36,incorrect,christmas,0,0.13,incorrect,bush,0,0.0,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,edwin,0,0.18,incorrect,charlie,0,0.31,incorrect,don pedro,0,0.27,incorrect,christmas,0,0.13,incorrect,noel,0,0.6,incorrect,edwin,0,0.18,incorrect,don pedro,0,0.27,incorrect
['margo'],emily,0,0.2,incorrect,sheba,0,0.2,incorrect,ali,0,0.25,incorrect,gecen,0,0.2,incorrect,ngoc,0,0.44,incorrect,may,0,0.5,incorrect,isaac,0,0.2,incorrect,carolina,0,0.46,incorrect,sheba,0,0.2,incorrect,gecen,0,0.2,incorrect,may,0,0.5,incorrect,carolina,0,0.46,incorrect
['margo'],john,0,0.22,incorrect,john,0,0.22,incorrect,ali,0,0.25,incorrect,ali baba,0,0.15,incorrect,nguyen dinh thi,0,0.1,incorrect,nguyen dinh thi,0,0.1,incorrect,carlos,0,0.55,incorrect,carlos,0,0.55,incorrect,john,0,0.22,incorrect,ali baba,0,0.15,incorrect,nguyen dinh thi,0,0.1,incorrect,carlos,0,0.55,incorrect
"['margo', 'margo—']",emma,0,0.44,incorrect,chloe,0,0.2,incorrect,ali,0,0.25,incorrect,yann,0,0.22,incorrect,nguyen dinh thi,0,0.1,incorrect,anh em,0,0.18,incorrect,maria,0,0.6,incorrect,asi,0,0.25,incorrect,chloe,0,0.2,incorrect,yann,0,0.22,incorrect,anh em,0,0.18,incorrect,asi,0,0.25,incorrect
['margo'],jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,tom,0,0.25,incorrect,jefferson,0,0.29,incorrect,kim,0,0.25,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],penelope,0,0.15,incorrect,life,0,0.0,incorrect,mark,0,0.67,incorrect,plan,0,0.22,incorrect,phoebe,0,0.18,incorrect,nguyen du,0,0.14,incorrect,bill,0,0.0,incorrect,maria,0,0.6,incorrect,life,0,0.0,incorrect,plan,0,0.22,incorrect,nguyen du,0,0.14,incorrect,maria,0,0.6,incorrect
['margo'],emily,0,0.2,incorrect,paul,0,0.22,incorrect,charlie,0,0.33,incorrect,merab,0,0.4,incorrect,phoebe,0,0.18,incorrect,phuong,0,0.18,incorrect,marcel,0,0.55,incorrect,la nautica,0,0.13,incorrect,paul,0,0.22,incorrect,merab,0,0.4,incorrect,phuong,0,0.18,incorrect,la nautica,0,0.13,incorrect
['margo'],paula,0,0.2,incorrect,tom,0,0.25,incorrect,ali,0,0.25,incorrect,asli,0,0.22,incorrect,tran,0,0.22,incorrect,anh tay ban,0,0.12,incorrect,carlos,0,0.55,incorrect,juan,0,0.22,incorrect,tom,0,0.25,incorrect,asli,0,0.22,incorrect,anh tay ban,0,0.12,incorrect,juan,0,0.22,incorrect
['margo'],emily,0,0.2,incorrect,tom,0,0.25,incorrect,cok sayida kisi,0,0.1,incorrect,band,0,0.22,incorrect,emily,0,0.2,incorrect,phuong lien,0,0.12,incorrect,carlos,0,0.55,incorrect,la revolucion,0,0.33,incorrect,tom,0,0.25,incorrect,band,0,0.22,incorrect,phuong lien,0,0.12,incorrect,la revolucion,0,0.33,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,ali,0,0.25,incorrect,benim,0,0.2,incorrect,trang,0,0.4,incorrect,nguyen dinh huy,0,0.1,incorrect,carlos,0,0.55,incorrect,el bueno,0,0.15,incorrect,emily,0,0.2,incorrect,benim,0,0.2,incorrect,nguyen dinh huy,0,0.1,incorrect,el bueno,0,0.15,incorrect
['margo'],max,0,0.5,incorrect,kim,0,0.25,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,trang,0,0.4,incorrect,kim,0,0.25,incorrect,maria,0,0.6,incorrect,juanita,0,0.17,incorrect,kim,0,0.25,incorrect,ali,0,0.25,incorrect,kim,0,0.25,incorrect,juanita,0,0.17,incorrect
['margo'],julia,0,0.2,incorrect,seven-eleven,0,0.0,incorrect,nabila,0,0.18,incorrect,nabila,0,0.18,incorrect,phoebe,0,0.18,incorrect,phoebe,0,0.18,incorrect,julia,0,0.2,incorrect,7-eleven,0,0.0,incorrect,seven-eleven,0,0.0,incorrect,nabila,0,0.18,incorrect,phoebe,0,0.18,incorrect,7-eleven,0,0.0,incorrect
['margo'],worthingtons,0,0.35,incorrect,worthingtons,0,0.35,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,tom,0,0.25,incorrect,worthington,0,0.38,incorrect,mr. worthington,0,0.4,incorrect,worthington,0,0.38,incorrect,worthingtons,0,0.35,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect
['jase'],jenny,0,0.44,incorrect,jenny,0,0.44,incorrect,ali,0,0.29,incorrect,geri recep,0,0.14,incorrect,nguoi dan ong,0,0.12,incorrect,ngoc huy,0,0.0,incorrect,isabel,0,0.4,incorrect,juanita,0,0.36,incorrect,jenny,0,0.44,incorrect,geri recep,0,0.14,incorrect,ngoc huy,0,0.0,incorrect,juanita,0,0.36,incorrect
['margo'],emma,0,0.44,incorrect,jimmy,0,0.2,incorrect,ali,0,0.25,incorrect,ali,0,0.25,incorrect,tran,0,0.22,incorrect,phan,0,0.22,incorrect,thorin,0,0.18,incorrect,senor,0,0.2,incorrect,jimmy,0,0.2,incorrect,ali,0,0.25,incorrect,phan,0,0.22,incorrect,senor,0,0.2,incorrect
['margo'],emma,0,0.44,incorrect,jefferson,0,0.29,incorrect,michael,0,0.33,incorrect,jefferson,0,0.29,incorrect,nancy,0,0.2,incorrect,thomas,0,0.36,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,thomas,0,0.36,incorrect,jefferson,0,0.29,incorrect
"['margo', 'marg']",emily,0,0.22,incorrect,emily,0,0.22,incorrect,hamlet,0,0.2,incorrect,paul,0,0.25,incorrect,phoebe,0,0.18,incorrect,anh ta,0,0.2,incorrect,maria,0,0.67,incorrect,maria,0,0.67,incorrect,emily,0,0.22,incorrect,paul,0,0.25,incorrect,anh ta,0,0.2,incorrect,maria,0,0.67,incorrect
"['chuck', 'chuck parson', 'parson']",mr. king,0,0.29,incorrect,michael,0,0.33,incorrect,crown,0,0.55,incorrect,elizabeth,0,0.14,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect,michael,0,0.33,incorrect,elizabeth,0,0.14,incorrect,crown,0,0.55,incorrect,crown,0,0.55,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,mustafa,0,0.33,incorrect,cabucak,0,0.17,incorrect,phoebe,0,0.18,incorrect,phoebe,0,0.18,incorrect,carlos,0,0.55,incorrect,maria,0,0.6,incorrect,emily,0,0.2,incorrect,cabucak,0,0.17,incorrect,phoebe,0,0.18,incorrect,maria,0,0.6,incorrect
['margo'],emma,0,0.44,incorrect,socked ninja,0,0.12,incorrect,ali,0,0.25,incorrect,ben,0,0.0,incorrect,phoebe,0,0.18,incorrect,thuyen nhan,0,0.12,incorrect,spider-man,0,0.27,incorrect,la llorona,0,0.4,incorrect,socked ninja,0,0.12,incorrect,ben,0,0.0,incorrect,thuyen nhan,0,0.12,incorrect,la llorona,0,0.4,incorrect
"['chuck', 'chuck parso', 'chuck parson', 'parson', 'parso']",arthur,0,0.36,incorrect,arthur,0,0.36,incorrect,hasan,0,0.55,incorrect,yatak,0,0.2,incorrect,doctor,0,0.24,incorrect,phrang,0,0.5,incorrect,john,0,0.4,incorrect,maria,0,0.4,incorrect,arthur,0,0.36,incorrect,yatak,0,0.2,incorrect,phrang,0,0.5,incorrect,maria,0,0.4,incorrect
