Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['mr', 'mr bingley', 'bingley']",olivia,0,0.15,incorrect,tori,0,0.33,incorrect,modise,0,0.38,incorrect,jonker,0,0.31,incorrect,te hina,0,0.35,incorrect,te hina,0,0.35,incorrect,okara,0,0.29,incorrect,okara,0,0.29,incorrect,joseph,0,0.15,incorrect,jonas,0,0.17,incorrect,monyetla,0,0.33,incorrect,tori,0,0.33,incorrect,jonker,0,0.31,incorrect,te hina,0,0.35,incorrect,okara,0,0.29,incorrect,jonas,0,0.17,incorrect,emma,0,0.33,incorrect,miss crawford,0,0.27,incorrect,mercedes,0,0.4,incorrect,emma,0,0.33,incorrect,emily,0,0.53,incorrect,emily,0,0.53,incorrect,maria,0,0.57,incorrect,maria,0,0.57,incorrect,miss crawford,0,0.27,incorrect,emma,0,0.33,incorrect,emily,0,0.53,incorrect,maria,0,0.57,incorrect
"['señor bennet', 'señor', 'mr bennet', 'bennet', 'mr']",isabella,0,0.31,incorrect,odysseus,0,0.31,incorrect,phiri,0,0.29,incorrect,tlhaloganyo,0,0.25,incorrect,te atua,0,0.32,incorrect,te atua,0,0.32,incorrect,jkhn,0,0.22,incorrect,prudence potts,0,0.43,incorrect,valentina,0,0.4,incorrect,rehefa,0,0.4,incorrect,bophelo,0,0.33,incorrect,odysseus,0,0.31,incorrect,tlhaloganyo,0,0.25,incorrect,te atua,0,0.32,incorrect,prudence potts,0,0.43,incorrect,rehefa,0,0.4,incorrect,walter,0,0.36,incorrect,eliza bennet,0,0.67,incorrect,john,0,0.25,incorrect,emma,0,0.33,incorrect,nguyen thi huyen,0,0.36,incorrect,thit,0,0.2,incorrect,don pedro,0,0.29,incorrect,maria,0,0.57,incorrect,eliza bennet,0,0.67,incorrect,emma,0,0.33,incorrect,thit,0,0.2,incorrect,maria,0,0.57,incorrect
"['señora', 'long', 'señora long', 'mrs long', 'mrs']",oliver,0,0.33,incorrect,oladipupo ogundun,0,0.36,incorrect,monna,0,0.46,incorrect,ke,0,0.25,incorrect,te atua,0,0.31,incorrect,tera,0,0.6,incorrect,es. klaark,0,0.33,incorrect,heba,0,0.4,incorrect,saint,0,0.38,incorrect,samy,0,0.4,incorrect,modise,0,0.44,incorrect,oladipupo ogundun,0,0.36,incorrect,ke,0,0.25,incorrect,tera,0,0.6,incorrect,heba,0,0.4,incorrect,samy,0,0.4,incorrect,sir walter elliot,0,0.43,incorrect,miss crawford,0,0.38,incorrect,ali,0,0.29,incorrect,on,0,0.67,incorrect,tran,0,0.4,incorrect,nguyen du,0,0.31,incorrect,don pedro,0,0.31,incorrect,isabel,0,0.35,incorrect,miss crawford,0,0.38,incorrect,on,0,0.67,incorrect,nguyen du,0,0.31,incorrect,isabel,0,0.35,incorrect
"['señora', 'mrs bennet', 'bennet', 'señora bennet', 'mrs']",susan,0,0.36,incorrect,isabella,0,0.43,incorrect,modupi,0,0.22,incorrect,lebohang,0,0.43,incorrect,te akiti,0,0.29,incorrect,te mea hau,0,0.26,incorrect,jeet,0,0.6,incorrect,es. kolins,0,0.3,incorrect,st. thomas,0,0.38,incorrect,stefan,0,0.5,incorrect,thabo,0,0.22,incorrect,isabella,0,0.43,incorrect,lebohang,0,0.43,incorrect,te mea hau,0,0.26,incorrect,es. kolins,0,0.3,incorrect,stefan,0,0.5,incorrect,sir walter,0,0.38,incorrect,sir walter,0,0.38,incorrect,emma,0,0.4,incorrect,emma,0,0.4,incorrect,phoebe,0,0.33,incorrect,theresa,0,0.46,incorrect,maria,0,0.5,incorrect,el,0,0.25,incorrect,sir walter,0,0.38,incorrect,emma,0,0.4,incorrect,theresa,0,0.46,incorrect,el,0,0.25,incorrect
"['mr', 'bennet', 'mr bennet']",chinwe,0,0.33,incorrect,olufunmilayo,0,0.14,incorrect,molapo,0,0.25,incorrect,kgabagare,0,0.27,incorrect,teremoana,0,0.33,incorrect,tera,0,0.33,incorrect,princess,0,0.35,incorrect,princess,0,0.35,incorrect,andriamanitra,0,0.32,incorrect,endrey,0,0.5,incorrect,empa,0,0.33,incorrect,olufunmilayo,0,0.14,incorrect,kgabagare,0,0.27,incorrect,tera,0,0.33,incorrect,princess,0,0.35,incorrect,endrey,0,0.5,incorrect,anna,0,0.4,incorrect,miss crawford,0,0.27,incorrect,ali,0,0.0,incorrect,emma,0,0.33,incorrect,tran,0,0.33,incorrect,ngoc anh,0,0.29,incorrect,carlos,0,0.25,incorrect,juanita,0,0.31,incorrect,miss crawford,0,0.27,incorrect,emma,0,0.33,incorrect,ngoc anh,0,0.29,incorrect,juanita,0,0.31,incorrect
['lizzy'],eric,0,0.22,incorrect,tim,0,0.25,incorrect,modiri,0,0.18,incorrect,gonne,0,0.0,incorrect,te rangi,0,0.15,incorrect,te fiti,0,0.17,incorrect,baabuu gell,0,0.12,incorrect,prudence,0,0.0,incorrect,andriamanitra,0,0.11,incorrect,enga,0,0.0,incorrect,keabetswe,0,0.0,incorrect,tim,0,0.25,incorrect,gonne,0,0.0,incorrect,te fiti,0,0.17,incorrect,prudence,0,0.0,incorrect,enga,0,0.0,incorrect,mr. collins,0,0.25,incorrect,mr. darcy,0,0.14,incorrect,ali,0,0.5,incorrect,ortalarda,0,0.14,incorrect,tran,0,0.0,incorrect,tran,0,0.0,incorrect,don,0,0.0,incorrect,carlos,0,0.18,incorrect,mr. darcy,0,0.14,incorrect,ortalarda,0,0.14,incorrect,tran,0,0.0,incorrect,carlos,0,0.18,incorrect
"['lucas–', 'miss lucas', 'miss', 'lucas']",oliver,0,0.2,incorrect,odomokunrin,0,0.27,incorrect,modupi,0,0.4,incorrect,lebohang,0,0.31,incorrect,te'ote'o,0,0.0,incorrect,eita,0,0.29,incorrect,neil,0,0.29,incorrect,prithvi,0,0.18,incorrect,thomas,0,0.4,incorrect,thomas,0,0.4,incorrect,modise,0,0.6,incorrect,odomokunrin,0,0.27,incorrect,lebohang,0,0.31,incorrect,eita,0,0.29,incorrect,prithvi,0,0.18,incorrect,thomas,0,0.4,incorrect,mr. darcy,0,0.32,incorrect,his family,0,0.4,incorrect,ibrahim,0,0.24,incorrect,gurur,0,0.2,incorrect,thanh,0,0.2,incorrect,thanh lien,0,0.2,incorrect,miss bennet,0,0.53,incorrect,el a,0,0.44,incorrect,his family,0,0.4,incorrect,gurur,0,0.2,incorrect,thanh lien,0,0.2,incorrect,el a,0,0.44,incorrect
['mary'],asan,0,0.25,incorrect,asan,0,0.25,incorrect,modiri,0,0.4,incorrect,boikgogomoso,0,0.12,incorrect,te fiti,0,0.0,incorrect,te uira,0,0.18,incorrect,abhimaan,0,0.33,incorrect,chathi,0,0.2,incorrect,voltaire,0,0.33,incorrect,thomas hobbes,0,0.24,incorrect,boikakaso,0,0.15,incorrect,asan,0,0.25,incorrect,boikgogomoso,0,0.12,incorrect,te uira,0,0.18,incorrect,chathi,0,0.2,incorrect,thomas hobbes,0,0.24,incorrect,miss crawford,0,0.35,incorrect,self,0,0.0,incorrect,thomas,0,0.4,incorrect,goller,0,0.2,incorrect,phuong,0,0.0,incorrect,phu tho,0,0.0,incorrect,don quijote,0,0.0,incorrect,don quijote,0,0.0,incorrect,self,0,0.0,incorrect,goller,0,0.2,incorrect,phu tho,0,0.0,incorrect,don quijote,0,0.0,incorrect
"['miss', 'eliza', 'miss eliza', 'eliz']",oliver,0,0.4,incorrect,bi,0,0.33,incorrect,modupi,0,0.4,incorrect,lepedi,0,0.4,incorrect,tamatoa,0,0.24,incorrect,te arearea,0,0.3,incorrect,padma,0,0.27,incorrect,birdaavaal,0,0.27,incorrect,joseph,0,0.25,incorrect,valentina,0,0.43,incorrect,monna bonnet,0,0.27,incorrect,bi,0,0.33,incorrect,lepedi,0,0.4,incorrect,te arearea,0,0.3,incorrect,birdaavaal,0,0.27,incorrect,valentina,0,0.43,incorrect,mr. darcy,0,0.32,incorrect,mr. darcy,0,0.32,incorrect,osman,0,0.27,incorrect,dansta,0,0.25,incorrect,phoebe,0,0.2,incorrect,nguyen dinh thi,0,0.24,incorrect,senorita,0,0.46,incorrect,senorita,0,0.46,incorrect,mr. darcy,0,0.32,incorrect,dansta,0,0.25,incorrect,nguyen dinh thi,0,0.24,incorrect,senorita,0,0.46,incorrect
"['bennet––', 'mrs', 'bennet', 'mrs bennet']",oliver,0,0.22,incorrect,susan,0,0.27,incorrect,joseph,0,0.25,incorrect,joseph,0,0.25,incorrect,te fana,0,0.31,incorrect,te atua,0,0.31,incorrect,ashton,0,0.25,incorrect,princess,0,0.36,incorrect,sandra,0,0.25,incorrect,samy,0,0.29,incorrect,haeba,0,0.18,incorrect,susan,0,0.27,incorrect,joseph,0,0.25,incorrect,te atua,0,0.31,incorrect,princess,0,0.36,incorrect,samy,0,0.29,incorrect,samuel,0,0.25,incorrect,percy,0,0.25,incorrect,halima,0,0.22,incorrect,ali,0,0.0,incorrect,phoebe,0,0.33,incorrect,the con,0,0.31,incorrect,maria,0,0.5,incorrect,las marias,0,0.46,incorrect,percy,0,0.25,incorrect,ali,0,0.0,incorrect,the con,0,0.31,incorrect,las marias,0,0.46,incorrect
