Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['moses', 'moisés', 'musa']",opo,0,0.25,incorrect,mr. snuff,0,0.31,incorrect,ke,0,0.29,incorrect,lebohang,0,0.17,incorrect,te hina,0,0.18,incorrect,te aita,0,0.18,incorrect,dillii,0,0.17,incorrect,dillii,0,0.17,incorrect,thomas,0,0.4,incorrect,nilaza,0,0.2,incorrect,lebohang,0,0.17,incorrect,mr. snuff,0,0.31,incorrect,lebohang,0,0.17,incorrect,te aita,0,0.18,incorrect,dillii,0,0.17,incorrect,nilaza,0,0.2,incorrect,tom,0,0.29,incorrect,missus,0,0.67,incorrect,adam,0,0.25,incorrect,nuh,0,0.29,incorrect,nguoi me,0,0.43,incorrect,thuy,0,0.25,incorrect,la viuda,0,0.33,incorrect,maria,0,0.44,incorrect,missus,0,0.67,incorrect,nuh,0,0.29,incorrect,thuy,0,0.25,incorrect,maria,0,0.44,incorrect
"['tom sawyer', 'tom', 'sawyer']",oliver,0,0.38,incorrect,olufunmilayo,0,0.36,incorrect,jaanong,0,0.2,incorrect,jaanong,0,0.2,incorrect,te hinaaro,0,0.4,incorrect,ua,0,0.25,incorrect,otiyaa,0,0.25,incorrect,chhaya,0,0.33,incorrect,andriamanitra,0,0.26,incorrect,nanontany,0,0.32,incorrect,ke,0,0.25,incorrect,olufunmilayo,0,0.36,incorrect,jaanong,0,0.2,incorrect,ua,0,0.25,incorrect,chhaya,0,0.33,incorrect,nanontany,0,0.32,incorrect,george,0,0.33,incorrect,john,0,0.29,incorrect,ali,0,0.22,incorrect,artik,0,0.36,incorrect,thiet,0,0.27,incorrect,anh ta,0,0.25,incorrect,don quijote,0,0.29,incorrect,juan,0,0.2,incorrect,john,0,0.29,incorrect,artik,0,0.36,incorrect,anh ta,0,0.25,incorrect,juan,0,0.2,incorrect
"['bayan', 'bayan watson', 'watson']",omidan oyeleke,0,0.31,incorrect,omidan,0,0.36,incorrect,modumo,0,0.17,incorrect,dinaledi,0,0.2,incorrect,tamatoa,0,0.46,incorrect,te akiti,0,0.3,incorrect,,0,0.5,incorrect,,0,0.5,incorrect,ramatoakely,0,0.35,incorrect,ramatoakely,0,0.35,incorrect,linaleli,0,0.2,incorrect,omidan,0,0.36,incorrect,dinaledi,0,0.2,incorrect,te akiti,0,0.3,incorrect,,0,0.5,incorrect,ramatoakely,0,0.35,incorrect,scout,0,0.36,incorrect,miss watson,0,0.71,correct,ali,0,0.25,incorrect,yildizlar,0,0.29,incorrect,tuyet,0,0.24,incorrect,thuyen trai,0,0.35,incorrect,maria,0,0.4,incorrect,senorita vela,0,0.24,incorrect,miss watson,0,0.71,correct,yildizlar,0,0.29,incorrect,thuyen trai,0,0.35,incorrect,senorita vela,0,0.24,incorrect
"['tom sawyer', 'tom', 'sawyer']",opo mi,0,0.44,incorrect,taara,0,0.4,incorrect,gonne,0,0.27,incorrect,lolololololololololololololololol,0,0.06,incorrect,corrie,0,0.25,incorrect,te ivii,0,0.24,incorrect,baabuu gngaadhr ttellii,0,0.18,incorrect,baabuu bhaansaal,0,0.23,incorrect,tom,1,1.0,correct,nangina,0,0.15,incorrect,yaba,0,0.2,incorrect,taara,0,0.4,incorrect,lolololololololololololololololol,0,0.06,incorrect,te ivii,0,0.24,incorrect,baabuu bhaansaal,0,0.23,incorrect,nangina,0,0.15,incorrect,tom,1,1.0,correct,mr. james,0,0.42,incorrect,ali,0,0.22,incorrect,miyav,0,0.27,incorrect,trong,0,0.5,incorrect,im,0,0.4,incorrect,don pepe,0,0.33,incorrect,tranquilino,0,0.29,incorrect,mr. james,0,0.42,incorrect,miyav,0,0.27,incorrect,im,0,0.4,incorrect,tranquilino,0,0.29,incorrect
['tom'],olu-ilu,0,0.2,incorrect,ogagun,0,0.22,incorrect,carolus,0,0.2,incorrect,carol,0,0.25,incorrect,tamatoa,0,0.4,incorrect,te ua,0,0.25,incorrect,gopiinaath,0,0.15,incorrect,baalko,0,0.22,incorrect,david,0,0.0,incorrect,teo,0,0.67,incorrect,clara,0,0.0,incorrect,ogagun,0,0.22,incorrect,carol,0,0.25,incorrect,te ua,0,0.25,incorrect,baalko,0,0.22,incorrect,teo,0,0.67,incorrect,arthur,0,0.22,incorrect,mr. toad,0,0.36,incorrect,toprak,0,0.44,incorrect,cagri,0,0.0,incorrect,phuong,0,0.22,incorrect,phuc dong,0,0.17,incorrect,tom,1,1.0,correct,don quijote,0,0.14,incorrect,mr. toad,0,0.36,incorrect,cagri,0,0.0,incorrect,phuc dong,0,0.17,incorrect,don quijote,0,0.14,incorrect
['tom'],joseph,0,0.22,incorrect,ati,0,0.33,incorrect,pharaoh,0,0.2,incorrect,leina,0,0.0,incorrect,te momo,0,0.6,incorrect,te e,0,0.29,incorrect,prithvi,0,0.2,incorrect,ashvin,0,0.0,incorrect,ary,0,0.0,incorrect,ary,0,0.0,incorrect,yaba,0,0.0,incorrect,ati,0,0.33,incorrect,leina,0,0.0,incorrect,te e,0,0.29,incorrect,ashvin,0,0.0,incorrect,ary,0,0.0,incorrect,tom,1,1.0,correct,everybody,0,0.17,incorrect,mustafa kemal,0,0.25,incorrect,cetin,0,0.25,incorrect,tom,1,1.0,correct,tat trung,0,0.17,incorrect,jim,0,0.33,incorrect,don pedro,0,0.17,incorrect,everybody,0,0.17,incorrect,cetin,0,0.25,incorrect,tat trung,0,0.17,incorrect,don pedro,0,0.17,incorrect
['tom'],obafemi awolowo,0,0.22,incorrect,omowumi,0,0.4,incorrect,matola,0,0.44,incorrect,mongwe pirates,0,0.12,incorrect,teremoana,0,0.33,incorrect,ua,0,0.0,incorrect,blackbeard,0,0.0,incorrect,shakespeare,0,0.0,incorrect,voltaire,0,0.18,incorrect,ny nil,0,0.0,incorrect,motho,0,0.5,incorrect,omowumi,0,0.4,incorrect,mongwe pirates,0,0.12,incorrect,ua,0,0.0,incorrect,shakespeare,0,0.0,incorrect,ny nil,0,0.0,incorrect,blackbeard,0,0.0,incorrect,blackbeard,0,0.0,incorrect,andrin,0,0.0,incorrect,blackbeard,0,0.0,incorrect,hawkeye,0,0.0,incorrect,tom,1,1.0,correct,jack,0,0.0,incorrect,blackbeard,0,0.0,incorrect,blackbeard,0,0.0,incorrect,blackbeard,0,0.0,incorrect,tom,1,1.0,correct,blackbeard,0,0.0,incorrect
"['tom sawyer', 'tom', 'sawyer']",obatalaji,0,0.21,incorrect,opopona,0,0.24,incorrect,rona,0,0.29,incorrect,rona,0,0.29,incorrect,iona,0,0.29,incorrect,ioane,0,0.4,incorrect,baabuu gehraa,0,0.32,incorrect,dillii,0,0.0,incorrect,philip,0,0.0,incorrect,andriamanitra,0,0.26,incorrect,mamong,0,0.25,incorrect,opopona,0,0.24,incorrect,rona,0,0.29,incorrect,ioane,0,0.4,incorrect,dillii,0,0.0,incorrect,andriamanitra,0,0.26,incorrect,bill,0,0.0,incorrect,bill,0,0.0,incorrect,ozer,0,0.43,incorrect,at,0,0.4,incorrect,truyen kieu,0,0.29,incorrect,truong van duc,0,0.33,incorrect,el lobo,0,0.2,incorrect,los cuatreros,0,0.43,incorrect,bill,0,0.0,incorrect,at,0,0.4,incorrect,truong van duc,0,0.33,incorrect,los cuatreros,0,0.43,incorrect
"['barnes', 'tommy', 'tommy barnes']",olufuji,0,0.17,incorrect,olufe,0,0.24,incorrect,robert,0,0.33,incorrect,modupi,0,0.18,incorrect,tamatoa,0,0.33,incorrect,te e teie i,0,0.26,incorrect,chottaa naamaabaatt nikai chitto vyktiko naam,0,0.18,incorrect,delkhin,0,0.15,incorrect,joseph,0,0.22,incorrect,natory,0,0.55,incorrect,robert,0,0.33,incorrect,olufe,0,0.24,incorrect,modupi,0,0.18,incorrect,te e teie i,0,0.26,incorrect,delkhin,0,0.15,incorrect,natory,0,0.55,incorrect,little,0,0.22,incorrect,bill,0,0.2,incorrect,minik,0,0.24,incorrect,halil,0,0.18,incorrect,tom,0,0.75,correct,thang,0,0.36,incorrect,jimmy,0,0.6,incorrect,carlos,0,0.5,incorrect,bill,0,0.2,incorrect,halil,0,0.18,incorrect,thang,0,0.36,incorrect,carlos,0,0.5,incorrect
['tom'],omooba,0,0.44,incorrect,ogagun oduduwa,0,0.12,incorrect,modise,0,0.22,incorrect,ke,0,0.0,incorrect,tamatoa,0,0.4,incorrect,ua,0,0.0,incorrect,five,0,0.0,incorrect,dillii,0,0.0,incorrect,andriamanitra,0,0.12,incorrect,andriamanitra,0,0.12,incorrect,empa,0,0.29,incorrect,ogagun oduduwa,0,0.12,incorrect,ke,0,0.0,incorrect,ua,0,0.0,incorrect,dillii,0,0.0,incorrect,andriamanitra,0,0.12,incorrect,bill,0,0.0,incorrect,bill,0,0.0,incorrect,adalet,0,0.22,incorrect,ada,0,0.0,incorrect,nguyen kha lap,0,0.0,incorrect,chinh chieu,0,0.0,incorrect,juan,0,0.0,incorrect,el polonio,0,0.15,incorrect,bill,0,0.0,incorrect,ada,0,0.0,incorrect,chinh chieu,0,0.0,incorrect,el polonio,0,0.15,incorrect
