Model,en,trans,xling,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,4.323308270676692,2.318295739348371,0.8991228070175439,1.8796992481203008,2.046783625730994,0.8552631578947368
Llama-3.1-405b,30.800542740841248,16.689280868385346,4.692446856625961,9.090909090909092,3.279059249208503,1.7639077340569878
Llama-3.1-70B-Instruct-quantized.w4a16,20.80200501253133,8.145363408521304,1.8969298245614035,6.0776942355889725,2.5480367585630743,1.0526315789473684
Llama-3.1-70B-Instruct-quantized.w8a16,16.666666666666668,3.1746031746031744,0.7785087719298246,2.506265664160401,1.5246449456975772,0.625
Llama-3.1-70B-Instruct_,22.681704260651628,8.437761069340016,1.962719298245614,6.140350877192983,2.6106934001670843,1.0635964912280702
Llama-3.1-8B-Instruct-quantized.w4a16,7.706766917293233,2.568922305764411,1.0526315789473684,2.506265664160401,1.5664160401002507,0.9210526315789473
Llama-3.1-8B-Instruct-quantized.w8a16,8.020050125313283,2.882205513784461,0.9429824561403509,2.6315789473684212,1.482873851294904,0.6798245614035088
Llama-3.1-8B-Instruct_,8.270676691729323,3.0492898913951545,0.8771929824561403,2.819548872180451,1.3993316624895573,0.6798245614035088
Llama-3.3-70B-Instruct,20.927318295739347,7.372598162071847,2.094298245614035,4.761904761904762,2.2138680033416875,0.7894736842105263
OLMo-2-1124-13B-Instruct,10.025062656641603,1.3784461152882206,0.6469298245614035,2.944862155388471,0.8563074352548037,0.5043859649122807
OLMo-2-1124-7B-Instruct,7.205513784461153,2.464494569757728,0.7346491228070176,3.3834586466165413,1.9632414369256475,0.6469298245614035
Qwen2.5-7B-Instruct-1M,1.6917293233082706,1.9423558897243107,0.756578947368421,1.5664160401002507,1.3993316624895573,0.8004385964912281
gpt-4o-2024-11-20,38.223684210526315,20.43859649122807,6.052631578947368,12.5,4.298245614035087,1.6666666666666667
