line_no,Single_ent,Multiple_ents,en,en_masked,vi,vi_masked,tr,tr_masked,es,es_masked,vi_translation,tr_translation,es_translation,token_count
19,,[],"He sat back. A sense of complete helplessness had descended upon him. To begin with, he did not know with any certainty that this was 1984. It must be round about that date, since he was fairly sure that his age was thirty-nine, and he believed that he had been born in 1944 or 1945; but it was never possible nowadays to pin down any date within a year or two.",,"Anh khẽ ngả người ra sau. Cảm giác bất lực bao trùm khắp cơ thể. Trước hết anh không biết năm nay có đúng là năm 1984 hay không. Không nghi ngờ gì rằng con số gần đúng như thế vì anh biết chắc tuổi của mình là ba chín, mà anh sinh khoảng năm 1944 hay 1945, nhưng bây giờ thì chẳng có cách nào xác định được chính xác, sai số phải khoảng một hai năm.",,"Geriye yaslandı. Kendini tümden çaresiz hissetti. Her şeyden önce, yılın 1984 olduğundan emin değildi. Yaşı, tam otuz dokuz olduğuna göre, yıl 1984 olmalıydı. 1944 ya da 1945 yılında doğduğunu sanıyordu, ama bir ya da iki yılın içindeki kesin tarihleri saptamak olanaksızdı artık.",,"Se echó hacia atrás en la silla. Estaba absolutamente desconcertado. Lo primero que no sabía con certeza era si aquel era, de verdad, el año 1984.",,"He gently leaned back. A feeling of helplessness enveloped his entire body. First of all, he didn't know if this year was really 1984. There was no doubt that the number was approximately correct because he was certain that he was thirty-nine years old, and he was born around 1944 or 1945, but now there was no way to determine the exact year, with an error margin of about one or two years.","He leaned back. He felt utterly helpless. Above all, he was not sure that the year was 1984. Since he was exactly thirty-nine years old, the year should be 1984. He thought he was born in 1944 or 1945, but it was now impossible to determine the exact dates within a year or two.","He leaned back in the chair. He was absolutely bewildered. The first thing he was not sure about was whether it was really the year 1984. Of course, the date had to be approximately that, since he had been born in 1944 or 1945, he believed; but, ""who knows what year it is today!""",87
22,,[],"Suddenly he began writing in sheer panic, only imperfectly aware of what he was setting down. His small but childish handwriting straggled up and down the page, shedding first its capital letters and finally even its full stops:",,"Rồi bất ngờ anh viết - đơn giản là do sợ, anh cũng không biết mình viết gì nữa. Anh viết những hàng chữ khi lên khi xuống như trẻ con, lúc đầu quên viết hoa rồi sau quên luôn cả đánh dấu chấm câu.",,"Birden, panik içinde yazmaya başladı, neler karaladığının pek farkında değildi. Küçük, çocuksu el yazısı, sayfa üzerinde dolaşıyor, önce büyük harflerden, sonra noktalardan vazgeçiyordu.",,"De repente, empezó a escribir con gran rapidez, como si lo impulsara el pánico, dándose apenas cuenta de lo que escribía. Con su letrita infantil iba trazando líneas torcidas y si primero empezó a «comerse» las mayúsculas, luego suprimió incluso los puntos:",,"Then suddenly he wrote - simply because he was scared, he didn't even know what he was writing anymore. He wrote lines that went up and down like a child's, at first forgetting to capitalize and then forgetting to punctuate altogether.","Suddenly, he began writing in a panic, not quite aware of what he was scribbling. His small, childlike handwriting wandered across the page, first abandoning capital letters, then punctuation marks.","Suddenly, he began to write with great speed, as if driven by panic, barely aware of what he was writing. With his childish handwriting, he was drawing crooked lines, and if at first he started to ""omit"" the capital letters, he later even omitted the periods:",46
23,,[],"April 4th, 1984. Last night to the flicks. All warfilms. One very good one of a ship full of refugees being bombed somewhere in the Mediterranean. Audience much amused by shots of a great huge fat man trying to swim away with a helicopter after him. first you saw him wallowing along in the water like a porpoise, then you saw him through the helicopters gunsights, then he was full of holes and the sea round him turned pink and he sank as suddenly as though the holes had let in the water. audience shouting with laughter when he sank. then you saw a lifeboat full of children with a helicopter hovering over it. there was a middleaged woman might have been a jewess sitting up in the bow with a little boy about three years old in her arms. little boy screaming with fright and hiding his head between her breasts as if he was trying to burrow right into her and the woman putting her arms round him and comforting him although she was blue with fright herself. all the time covering him up as much as possible as if she thought her arms could keep the bullets off him. then the helicopter planted a 20 kilo bomb in among them terrific flash and the boat went all to matchwood. then there was a wonderful shot of a childs arm going up up up right up into the air a helicopter with a camera in its nose must have followed it up and there was a lot of applause from the party seats but a woman down in the prole part of the house suddenly started kicking up a fuss and shouting they didnt oughter of showed it not in front of kids they didnt it aint right not in front of kids it aint until the police turned her turned her out i dont suppose anything happened to her nobody cares what the proles say typical prole reaction they never—",,"Ngày 4 tháng tư năm 1984. Hôm qua đi xem phim. Toàn phim chiến đấu. Một phim hay, một chiếc tàu thuỷ đầy người tị nạn ở Địa Trung Hải bị ném bom. Cả khán phòng thích chí khi xem cảnh một gã đàn ông to lớn đang bơi, trong khi một chiếc trực thăng đuổi theo sau, đầu tiên thấy gã lặn hụp như cá heo, sau đó thấy gã qua ống ngắm từ trên máy bay, sau đó gã bị bắn thủng lỗ chỗ như mặt sàng, mặt biển bỗng biến thành màu hồng, gã chìm nhanh y như nước bị hút qua các lỗ thủng trên người vậy. khi gã chìm đến đáy thì cả khán phòng phá lên cười. Sau đó là một cái xuồng đầy trẻ con, bên trên lại một chiếc trực thăng nữa. trên mũi xuồng là một người phụ nữ trung niên, có lẽ là Do Thái, tay bế một đứa nhỏ chừng ba tuổi. Đứa nhỏ gào lên vì sợ, đầu cứ dúi vào ngực mẹ còn bà ta thì vừa vỗ về vừa lấy tay che cho con mặc dù chính bà ta cũng sợ, mặt xanh như tầu lá. bà ta lấy tay che cho con, làm như có thể ngăn được đạn không bằng. sau đó cái trực thăng ném xuống một quả bom loại hai mươi cân tiếng nổ kinh hoàng và cái thuyền tan ra thành từng mảnh vụn. sau đó là một cảnh tuyệt vời một cánh tay trẻ con bay lên, vọt thẳng lên trời chắc là người ta quay từ mũi chiếc trực thăng và những tiếng vỗ tay ồn ào vang lên từ những hàng ghế dành riêng cho đảng viên nhưng từ chỗ dành cho bọn cu li thì có một phụ bỗng gào lên, bà ta bảo không được chiếu những cảnh đó cho trẻ con xem và cứ thế cho đến khi cảnh sát phải lôi phải lôi bà ta ra chắc là họ chẳng làm gì đâu bọn cu li thì chấp làm gì phản ứng của chúng vẫn thế ai thèm quan tâm…",,"14 Nisan 1948. Dün gece sinemada. Hepsi savaş filmleri, iyi olan birinde, bir gemi dolusu mülteci, Akdeniz'de bir yerlerde bombalandı. Şişman, iriyarı bir adamın, ardında helikopter, yüzmeye çabalayan görüntüsü izleyicileri pek eğlendirdi, önce adamın yunus balığı gibi debelendiğini, sonra helikopterlerin silâh atış alanı içine girdiğini gördük, sonra delik deşik oldu ve çevresindeki deniz suyu pembeye bayandı ve bedenindeki delikler suyun içeri girmesine izin vermiş gibi ansızın battı. O batarken izleyiciler gülmekten katılıyorlar, sonra bir helikopterin üzerinde uçmakta olduğu, içi çocuk dolu bir kurtarma botu gördük. Önde kucağında üç yaşlarında küçük bir çocukla orta yaşlı bir kadın oturuyordu, Yahudi'ydi belki de, küçük çocuk korkuyla bağırmakta ve kendisini gömmek ister gibi başını annesinin göğüsleri arasına sokmakta, kadın kendisi korkudan mosmor olduğu halde çocuğu avutmaya çalışıyor ve kollan gelen mermilerden koruyabilecekmiş gibi oğlunu sarabildiğince sarıyor, helikopter üzerlerine yirmi kiloluk bir bomba fırlattı, müthiş bir patlama oldu ve bot küçük kıymıklara ayrıldı, sonra bir çocuk kolunun gökyüzüne doğru uçtuğu müthiş bir sahne vardı, burnunda bir kamera bulunan helikopter izlemiş olmalıydı onu, Parti üyelerinin bulunduğu sıralarda alkış koptu, ama sinemanın proleter kısmındaki bir kadın ansızın ayaklarını yere vurmaya ve bunları çocukların önünde göstermeye haklan yok diye bağırmaya başladı, polis onu durdurana dek, bunları çocukların önünde göstermeye haklan yok, hayır gösteremezler çocuklara, ona bir şey yaptıklarını sanmıyorum, kimse proleterlerin söylediklerine kulak asmaz, tipik proleter tepkisi, hiçbir zaman.",,"4 de abril de 1984. Anoche estuve en los flicks. Todas las películas eran de guerra. Había una muy buena de un barco lleno de refugiados que lo bombardeaban en no sé dónde del Mediterráneo. Al público le divirtieron mucho dar planos de un hombre muy grande y muy gordo que intentaba escaparse nadando de un helicóptero que lo perseguía, Primero se le veía en el agua chapoteando como una tortuga, luego lo veías por los visores de las ametralladoras del helicóptero, luego se veía cómo lo iban agujereando a tiros y el agua a su alrededor que se ponía toda roja y el gordo se hundía como si el agua le entrase por los agujeros que le habían hecho las balas. La gente se moría de risa cuando el gordo se iba hundiendo en el agua, y también una lancha salvavidas llena de niños con un helicóptero que venga a darle vueltas y más vueltas había una mujer de edad madura que bien podía ser una judía y estaba sentada en la proa con un niño en los brazos que quizás tuviera unos tres años. El niño chillaba con mucho pánico, metía la cabeza entre los pechos de la mujer y parecía que se quería esconder así y la mujer lo rodeaba con los brazos y lo consolaba como si ella no estuviese también aterrada y como si por tenerlo así en los brazos fuera a evitar que le alcanzaran al niño las balas. Entonces va el helicóptero y tira una bomba de veinte kilos sobre el bote y no queda ni una astilla de él, que fue una explosión pero que magnífica, y luego salía un primer plano maravilloso del brazo del niño subiendo por el aire yo creo que un helicóptero con su cámara debe haberlo seguido así por el aire y la gente aplaudió muchísimo pero una mujer que estaba entre los proletarios empezó a armar un escándalo terrible chillando que no debían echar eso no debían echarlo delante de los críos que no debían hasta que la policía la sacó de allí a rastras no creo que le pasara nada a nadie le importa lo que dicen los proletarios porque dicen es la reacción típica de las proletarias y nadie hace caso y nunca...",,"April 4th, 1984. Went to see a movie yesterday. All war movies. A good movie, a ship full of refugees in the Mediterranean was bombed. The whole auditorium was delighted watching a big man swimming, while a helicopter chased after him, first seeing him dive like a dolphin, then seeing him through the scope from the plane, then he was shot full of holes like a sieve, the sea suddenly turned pink, he sank quickly as if the water was being sucked through the holes in his body. When he sank to the bottom, the whole auditorium burst into laughter. Then there was a boat full of children, with another helicopter above. At the bow of the boat was a middle-aged woman, probably Jewish, holding a small child about three years old. The child screamed in fear, burying its head in its mother's chest while she comforted it and tried to shield it with her hand even though she was also scared, her face pale as a leaf. She shielded the child with her hand, as if that could stop the bullets. Then the helicopter dropped a twenty-pound bomb, the explosion was terrifying and the boat shattered into pieces. Then there was a wonderful scene of a child's arm flying up, shooting straight into the sky, probably filmed from the nose of the helicopter, and loud applause erupted from the seats reserved for party members, but from the seats for the proles, a woman suddenly screamed, saying that such scenes shouldn't be shown to children, and kept on until the police had to drag her out. They probably wouldn't do anything; the proles' reactions are always like that, who cares...","April 14, 1948. Last night at the cinema. They were all war movies; in a good one, a ship full of refugees was bombed somewhere in the Mediterranean. The image of a fat, burly man struggling to swim, with a helicopter behind him. It greatly amused the audience; first, we saw the man flailing like a dolphin, then the helicopters entered the firing range, then he was riddled with bullets, and the surrounding seawater turned pink, and as if the holes in his body allowed the water to enter, he suddenly sank. As he sank, the audience was doubled over with laughter, then we saw a rescue boat full of children over which a helicopter was flying. In the front sat a middle-aged woman with a small child of about three years old in her lap, she might have been Jewish, the small child was screaming in fear and trying to bury his head between his mother's breasts as if to hide, the woman, though herself pale with fear, was trying to comfort the child and hugging him as tightly as she could as if she could protect him from the incoming bullets, the helicopter dropped a twenty-kilogram bomb on them, there was a tremendous explosion and the boat was shattered into small pieces, then there was an incredible scene of a child's arm flying towards the sky, a helicopter with a camera on its nose must have captured it, applause broke out in the rows where the Party members were seated, but a woman in the proletarian section of the cinema suddenly started stamping her feet and shouting that they had no right to show this in front of children, no, they can't show this to children, I don't think they did anything to her, no one pays attention to what the proletarians say, typical proletarian reaction, never.","April 4, 1984. Last night I was at the flicks. All the movies were about war. There was a very good one about a ship full of refugees being bombed somewhere in the Mediterranean. The audience was greatly amused by shots of a very big and very fat man trying to escape by swimming from a helicopter that was chasing him. First, you saw him in the water splashing around like a turtle, then you saw him through the helicopter's machine gun sights, then you saw him being riddled with bullets and the water around him turning all red, and the fat man sinking as if the water was entering through the holes the bullets had made. People were dying of laughter as the fat man sank into the water, and also at a lifeboat full of children with a helicopter circling around and around. There was a middle-aged woman who could well have been Jewish, sitting in the bow with a child in her arms who might have been about three years old. The child was screaming in great panic, burying his head between the woman's breasts as if trying to hide, and the woman was holding him and comforting him as if she herself were not also terrified, and as if by holding him like that in her arms she could prevent the bullets from reaching him. Then the helicopter dropped a twenty-kilo bomb on the boat, and there wasn't a splinter left of it. What an explosion, but magnificent, and then there was a wonderful close-up of the child's arm flying through the air. I think a helicopter with its camera must have followed it through the air, and the audience applauded a lot, but a woman among the proles started making a terrible fuss, screaming that they shouldn't show that, shouldn't show it in front of the kids, until the police dragged her out of there. I don't think anything happened to her; nobody cares what the proles say because they say it's the typical reaction of the proles, and nobody pays attention and never...",374
43,,[],"His eyes refocused on the page. He discovered that while he sat helplessly musing he had also been writing, as though by automatic action. And it was no longer the same cramped, awkward handwriting as before. His pen had slid voluptuously over the smooth paper, printing in large neat capitals—",,"Anh lại nhìn chằm chằm vào tờ giấy. Anh phát hiện ra rằng trong khi suy nghĩ một cách bất lực như thế thì tay vẫn viết, hoàn toàn tự động. Nhưng đây không phải là những chữ xấu xí, run rẩy như lúc đầu. Ngòi bút khoan khoái trượt trên mặt giấy nhẵn bóng, tạo nên những chữ in to, rõ ràng:",,"Gözleri yeniden önündeki sayfaya çevrildi. Çaresiz düşünceler içinde kıvranırken, farkında olmadan bir şeyler yazmış olduğunu gördü. Bu, öncekiler gibi kargacık burgacık bir karalama değildi. Kalemi, yumuşacık kâğıdın üzerinde ihtirasla gezinmiş ve hep büyük harflerle, tekrar tekrar şunları yazmıştı:",,"Volvieron a fijarse sus ojos en la página. Descubrió entonces que durante todo el tiempo en que había estado recordando, no había dejado de escribir como por una acción automática. Y ya no era la inhábil escritura retorcida de antes. Su pluma se había deslizado voluptuosamente sobre el suave papel, imprimiendo en claras y grandes mayúsculas lo siguiente:",,"He stared intently at the piece of paper again. He discovered that while he was thinking helplessly like that, his hand kept writing, completely automatically. But these were not the ugly, shaky letters from the beginning. The pen glided smoothly over the glossy paper, creating large, clear printed letters:","His eyes turned back to the page in front of him. While writhing in helpless thoughts, he saw that he had written something without realizing it. This was not a messy scribble like the previous ones. His pen had passionately roamed over the soft paper and had repeatedly written the following in all capital letters:","Their eyes returned to the page. He then discovered that during all the time he had been remembering, he had not stopped writing as if by an automatic action. And it was no longer the awkward twisted writing from before. His pen had slid voluptuously over the smooth paper, imprinting the following in clear and large capital letters:",62
50,,[],"He could not help feeling a twinge of panic. It was absurd, since the writing of those particular words was not more dangerous than the initial act of opening the diary; but for a moment he was tempted to tear out the spoiled pages and abandon the enterprise altogether.",,"Anh cảm thấy hoảng sợ vô cùng. Thật vô nghĩa, bởi vì viết những chữ cụ thể đó cũng không nguy hiểm hơn việc ghi nhật kí, thế mà anh bỗng nảy ra ý định xé trang giấy và chấm dứt luôn toàn bộ công việc.",,Sancıya benzer bir panik duydu içinde. Ama saçmaydı bu. Birtakım sözleri yazmak en az bir günlük tutma eylemi kadar tehlikeliydi. Bir an için sayfaları yırtıp atmak ve günlük tutma girişimine son vermek istedi.,,"No pudo evitar un escalofrío de pánico. Era absurdo, ya que escribir aquellas palabras no era más peligroso que el acto inicial de abrir un diario; pero, por un instante, estuvo tentado de romper las páginas ya escritas y abandonar su propósito.",,"He felt extremely terrified. It was utterly meaningless, because writing those specific words was no more dangerous than keeping a diary, yet he suddenly had the urge to tear the page and put an end to the entire task.","He felt a panic similar to pain inside. But this was absurd. Writing down certain words was as dangerous as the act of keeping a diary. For a moment, he wanted to tear up the pages and put an end to the diary-keeping attempt.","He couldn't avoid a shiver of panic. It was absurd, since writing those words was no more dangerous than the initial act of opening a diary; but, for a moment, he was tempted to tear up the already written pages and abandon his purpose.",55
55,,[],"He sat back in his chair, slightly ashamed of himself, and laid down the pen. The next moment he started violently. There was a knocking at the door.",,"Anh ngả lưng ra thành ghế, thâm tâm cảm thấy xấu hổ, tay buông bút. Anh bỗng giật nảy mình. Có người gõ cửa.",,"Arkasına yaslandı, biraz kendinden utanmıştı, kalemini bıraktı. Bir an sonra şiddetle irkildi. Kapı çalınıyordu.",,"Se echó hacia atrás en la silla, un poco avergonzado de sí mismo, y dejó la pluma sobre la mesa. De repente, se sobresaltó espantosamente. Habían llamado a la puerta.",,"He leaned back against the chair, feeling ashamed deep down, and let go of the pen. He suddenly started. Someone knocked on the door.","He leaned back, feeling a bit ashamed of himself, and put down his pen. A moment later, he started violently. The door was knocking.","He leaned back in the chair, a little embarrassed with himself, and placed the pen on the table. Suddenly, he was terribly startled. Someone had knocked on the door.",33
60,,[],"“Oh, comrade,” she began in a dreary, whining sort of voice, “I thought I heard you come in. Do you think you could come across and have a look at our kitchen sink? It’s got blocked up and—”",,"“A, đồng chí”, bà ta nói, giọng the thé, khó chịu. “Đúng là tôi đã nghe thấy anh về. Anh có thể xem hộ tôi cái bồn rửa bát trong bếp được không? Nó bị tắc”",,"""Ah, yoldaş!"" diye başladı kasvetli, zırıldar gibi bir sesle. ""Geldiğinizi duydum. Acaba biraz gelir, mutfak lavabomuza bir göz atabilir misiniz? Tıkanmış da.",,"—¡Oh, camarada! —empezó a decir la mujer en una voz lúgubre y quejumbrosa—; te sentí llegar y he venido por si puedes echarle un ojo al desagüe del fregadero. Se nos ha atascado...",,"“Ah, comrade,” she said, her voice shrill and unpleasant. “I did hear that you were back. Can you take a look at the kitchen sink for me? It's clogged.”","""Ah, comrade!"" he began in a gloomy, whining voice. ""I heard you came. I wonder if you could come and take a look at our kitchen sink? It's clogged.""","—Oh, comrade! —the woman began to say in a gloomy and plaintive voice—; I felt you arrive and I came to see if you could take a look at the sink drain. It has gotten clogged...",50
87,,[],"“Attention! Your attention, please! A newsflash has this moment arrived from the Malabar front. Our forces in South India have won a glorious victory. I am authorized to say that the action we are now reporting may well bring the war within measurable distance of its end. Here is the newsflash—”",,"""Chú ý! Chú ý! Chúng tôi vừa nhận được bản tin nhanh từ mặt trận Malabar. Quân đội ta trên mặt trận Nam Ấn vừa giành được một chiến thắng hết sức quan trọng. Tôi được phép tuyên bố rằng kết quả chiến dịch này là điềm báo ngày kết thúc chiến tranh không còn bao xa nữa. Xin mời nghe bản tin nhanh"".",,"""Dikkat! Dikkat! Malabar cephesine ilişkin, en son aldığımız haberleri veriyoruz. Kuvvetlerimiz, Güney Hindistan'da görkemli bir zafer kazandılar. Bu başarının savaşın bitimini engelleyeceğini söylemek yanlış olmaz. Şimdi haberler:""",,"«Atención. ¡Vuestra atención, por favor! En este momento nos llega un notirrelámpago del frente malabar. Nuestras fuerzas han logrado una gloriosa victoria en el sur de la India. Estoy autorizado para decir que la batalla a que me refiero puede aproximarnos bastante al final de la guerra. He aquí el texto del notirrelámpago...»",,"""Attention! Attention! We have just received a breaking news report from the Malabar front. Our army on the South Indian front has just achieved a very significant victory. I am authorized to declare that the outcome of this campaign is a harbinger that the end of the war is not far off. Please listen to the breaking news report.""","""Attention! Attention! We are giving the latest news regarding the Malabar front. Our forces have achieved a magnificent victory in South India. It would not be wrong to say that this success will prevent the end of the war. Now, the news:""","""Attention."" ""Your attention, please!"" ""At this moment, we receive a newsflash from the Malabar front."" ""Our forces have achieved a glorious victory in the south of India."" ""I am authorized to say that the battle I am referring to may bring us quite close to the end of the war."" ""Here is the text of the newsflash...""",63
98,,[],"Curiously, the chiming of the hour seemed to have put new heart into him. He was a lonely ghost uttering a truth that nobody would ever hear. But so long as he uttered it, in some obscure way the continuity was not broken. It was not by making yourself heard but by staying sane that you carried on the human heritage. He went back to the table, dipped his pen, and wrote:",,"Có điều lạ là dường như tiếng chuông đồng hồ đã tiếp thêm cho anh sức mạnh. Anh là một con ma cô đơn đang nói sự thật, sự thật không bao giờ có người nghe. Nhưng anh nói nghĩa là sự liên tục vẫn còn, dù rất mù mờ. Không phải bằng cách làm cho người ta nghe được mình mà là bằng cách không hoá điên, tiếp tục giữ vững di sản của loài người. Anh trở lại bên bàn viết, chấm mực và ghi:",,"Garip, ama saatin vuruşuyla, yiten cesareti geri gelmişti. O, kimsenin duyup öğrenemeyeceği bir gerçeği mırıldanıyordu ve bu sürdükçe, düşünceler sürekliliğini yitirmeyecekti. Önemli olan, sesini duyurmak değildi; aklını koruyarak, insanlığın mirasını sürdürmekti. Yeniden masasına döndü, kalemini mürekkebe batırdı ve yazmaya başladı:",,"Qué curioso: las campanadas de la hora lo reanimaron. Era como un fantasma solitario diciendo una verdad que nadie oiría nunca. De todos modos, mientras Winston pronunciara esa verdad, la continuidad no se rompía. La herencia humana no se continuaba porque uno se hiciera oír sino por el hecho de permanecer cuerdo. Volvió a la mesa, mojó en tinta su pluma y escribió:",,"Strangely, it seemed that the sound of the clock's chime had given him strength. He was a lonely ghost speaking the truth, a truth that no one ever heard. But his speaking meant that continuity still existed, though very faintly. Not by making people hear him, but by not going mad, continuing to uphold the heritage of humanity. He returned to the writing desk, dipped his pen in ink, and wrote: Recipient:","Strange, but with the stroke of the clock, his lost courage had returned. He was murmuring a truth that no one could hear or learn, and as long as this continued, his thoughts would not lose continuity. The important thing was not to make his voice heard; it was to preserve his mind and continue the legacy of humanity. He returned to his desk, dipped his pen in ink, and began to write:","How curious: the chimes of the hour revived him. It was like a lonely ghost saying a truth that no one would ever hear. Anyway, as long as Winston pronounced that truth, the continuity was not broken. The human heritage was not continued by making oneself heard but by remaining sane. He returned to the table, dipped his pen in ink, and wrote:",85
99,,[],"To the future or to the past, to a time when thought is free, when men are different from one another and do not live alone—to a time when truth exists and what is done cannot be undone:",,"Người nhận: Tương lai hay là quá khứ, thời đại của tự do tư tưởng, khi không ai giống ai, khi ai sống ở nhà nấy - thời đại khi sự thật vẫn còn và cái đã tồn tại không bị biến thành tro bụi:",,"Geleceğe ya da geçmişe, düşüncelerin özgür olduğu, insanların birbirlerinden farklı olduğu, ama yalnız yaşamadığı bir zamana, gerçeğin var olduğu ve yapılmış bir şeyin yok edilemeyeceği bir za- mana:",,"Para el futuro o para el pasado, para la época en que se pueda pensar libremente, en que los hombres sean distintos unos de otros y no vivan solitarios... Para cuando la verdad exista y lo que se haya hecho no pueda ser deshecho:",,"The future or the past, the era of free thought, when no one is the same, when everyone lives in their own home - the era when truth still exists and what has existed has not turned to ashes: Sender:","To a time in the future or the past, where thoughts are free, people are different from each other, but not living alone, where truth exists and something that has been done cannot be destroyed, a ti- mana:","For the future or for the past, for the time when one can think freely, when men are different from one another and do not live in solitude... For when the truth exists and what has been done cannot be undone:",42
