en,en_results
RG: Wouldn’t put it past Mum. You know she’s been obsessing over who I should marry since the day I was born. She drives me CRAZY with it. You’re so lucky.,"""title"": ""Eleanor &amp; Park"", ""author"": ""Rainbow Rowell"""
"ET: Yup. She was trying to tell me something, but when she spoke, there was no sound, just vapors coming out of her mouth.","""title"": ""E.T. the Extra-Terrestrial (novelization)"", ""author"": ""William Kotzwinkle"""
"“Well then, let’s ground you.” The guru led his acolyte down the steps of the pavilion onto the dewy grass, and they sat facing each other in lotus position.","""title"": ""The Alchemist"", ""author"": ""Paulo Coelho"""
"“Your rage cannot hurt you. Just visualize that rage as a little red ball, a red ball that is spinning from your crown chakra, through your heart chakra, through your solar plexus, and out your base chakra. Exhale fully and just let the ball flow through you from top to bottom, top to bottom…”","""title"": ""The Alchemist"", ""author"": ""Paulo Coelho"""
“Did I have a transient ischemic stroke? I’m absolutely convinced I did. You have no idea what happened in the middle of the night!”,"""title"": ""The Body"", ""author"": ""Stephen King"""
"“You don’t get it. A volcano basically erupted at the wedding site! The Balinese pavilion, the replica of the bar at Loulou’s, the ballroom mimicking the checkerboard floors at Château d’Anet, it’s all ruined! Everything has been ruined!”","""title"": ""The Devil Wears Prada"", ""author"": ""Lauren Weisberger"""
"*6 Let’s be clear, the signs of an actual stroke may include these sudden symptoms: facial drooping on one side of the face, arm weakness, and speech difficulty. Unless there is a kindly doctor next door whom your butler can quickly summon, please call your emergency medical service immediately if you experience these symptoms.","""title"": ""The Stroke Book: The Essential Guide for the Newly Diagnosed"", ""author"": ""Mark Albertson"""
"“Shush, it’s perfect. It was my great-grandmother’s. The San Francisco one who replenished all the coffers with her railroad money. Now Mummy will scold me for letting you wear it and forget what she really wants to scold me about.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“Look, I was never under the illusion it would be easy. I knew my family was never going to be accepted as truly English. At first I tried to follow my mother-in-law, who was a stickler for tradition, but everything I did only made me stand out. Then I realized, I’ll never not stand out, so why fight it? I knew then I had to create my own style and do things my way.”","""title"": ""The Half-Baked Life"", ""author"": ""Sophie Henshaw"""
"The first thing she did was give Greshamsbury Hall a sorely needed restoration—its first in more than a century. Out went the ancient Aga and the decomposing Tassinari et Chatel damask, and in came a bold, futurist East meets West look that designers now dub “Arabella Chic.” “I was the first to do forty-eight layers of tobacco lacquer on the floors of a manor house. I was the first to mix brutalist furniture with wicker.”","""title"": ""unknown"", ""author"": ""unknown"""
"Before her was an emerald-green lawn that sloped down to swaying palm trees and a blinding blue ocean. She padded barefoot across the grass down to the narrow strip of silver-gray sand where the waves lapped gently into shallow tide pools formed by lava rocks. It was her first time seeing the Pacific, and she scampered joyously over the rocks, looking for the perfect place to dip her feet into the crystalline waters.","""title"": ""Life of Pi"", ""author"": ""Yann Martel"""
"“Then you must take one while you’re here. It’s absolutely glorious, you’ll love it. Sometimes I turn out all the lights and sit in the shower late at night just to gaze at the stars.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Not only that, but I think she saw what was special about the cabin, even though this isn’t her aesthetic. It’s no coincidence she put twelve surf cabins on the hills above her resort. Of course, hers are built of trendy blackened wood and are tricked out with cashmere throw pillows, soaking tubs, and movie screens that retract from the ceiling. She knows her crowd and she’s got the perfect plan to lure them here.”","""title"": ""The Arrangement"", ""author"": ""Michael Peterson"""
"“No, everything’s new—the nose, the cheekbones, and the jawline. It’s apparently what every guy does in LA, along with bottom bleaching and Mounjaro injections. It’s all a bit too perfect for me, but I will admit he has gained a great deal of confidence along with all that muscle mass.”","""title"": ""The Boy Who Lived Again"", ""author"": ""David Lagercrantz"""
"“Solène doesn’t like beagles. She wants a borzoi. Trust me, I shared a flat with her in Paris for a year. I know what kinds of dogs she’s into.”","""title"": ""N/A"", ""author"": ""N/A"""
“I utilize nineteenth-century photo techniques to document climate change in this century. Right now I’m working on a series of platinum prints that explore tidal patterns and beach erosion.”,"""title"": ""N/A"", ""author"": ""N/A"""
"*1 In the British peerage, the order of rank goes: monarch > prince/princess > duke/duchess > marquess/marchioness > earl/countess > viscount/viscountess > baron/baroness. Where do you rank and what sort of feelings does this bring up?","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"The car turned off Kawaihae Road onto a narrow road that led to a newish-looking visitor’s center. “Take your time, and don’t go into the water in the bay unless you want to be shark food,” the driver quipped.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides"""
"* The Big Island of Hawaii is the only island on Earth to possess ten of the world’s fourteen climate zones. This means you can sunbathe in the morning on a sizzling-hot beach in Kona, head to the Waimea Valley for a fog-bound lunch reminiscent of the Scottish Highlands, go hiking through the humid Puna rain forest in an afternoon downpour, and freeze your ass off on the summit of Mauna Kea at sunset.","""title"": ""The Geography of Bliss: One Grump's Search for the Happiest Places in the World"", ""author"": ""Eric Weiner"""
"Father and daughter proceeded up the steps of the ice palace and came upon a banquet hall with three immensely long tables carved entirely out of ice, the frozen blocks filled with flowers and hauntingly lit so that the petals seemed suspended in space. Above the tables hovered six enormous crystal chandeliers lit with hundreds of candles, and the open archways at the far end of the palace perfectly framed the stupendous views. The sun had just dipped below the clouds, rendering the sky a deep violet that shimmered through the crystalline walls of the palace.","""title"": ""The Ice Palace"", ""author"": ""George Orwell"""
"“Why don’t you spend the night? I’m picking you up in about six hours anyway, it’d be silly to go back to your hotel now.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"“You know what, that hot shower turned me into an absolute puddle. I’m ready to crawl right into bed! Are you sure you don’t mind?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
“I think she’s recovering pretty well! I bet you a thousand bucks there’s some adult-only content happening in that room right now. The sick patient needs a hunky surfer to make her pain go away.”,"""title"": ""N/A"", ""author"": ""N/A"""
"“It is, and it’s fine. I needed to have this revelation myself before I could come to my senses. The only thing that bothers me is that my sister’s right, yet again.”","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling"""
"Just then, a Hawaiian woman distinctly outfitted in the hotel’s signature uniform entered the room with iced coffee on a tray. “Here you go, ma’am. Iced latte with oat milk.”","""title"": ""The Hotel Fire"", ""author"": ""Michael Peterson"""
Fuck my life. “We’ll make it feel just like the card room at White’s. You’d never know the difference.” Google “card room at White’s.”,"""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern"""
"“Well, funny you mention that. I’m sure you realize…ah…that the expenses have been adding up, especially since we were forced to change all the venues for the wedding at the very last minute.”","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
“Of course. Why would I lie to you about such things? We are family now; we have no secrets. I might have to ask you for a loan someday.”,"""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
"“No, you’re right, Mummy’s deranged. But I was watching the two of you all weekend…dancing at the ball, laughing like old friends during our excursions…I’m not sure…I got worried.”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling"""
"“I meant every word of it. And after you spent the night in Puako, after that shower under the moonlight, I haven’t been able to stop thinking about you. I can still smell you on my sheets, and seeing you tonight, looking so unbelievably beautiful, I just needed to—”","""title"": ""The Hating Game"", ""author"": ""Sally Thorne"""
“I feel we should use a portion of Henry’s windfall to help the Gaos obtain the best solicitor possible. Perhaps they can help get him a reduced sentence. It does no one any good for this boy to rot away in prison during the most productive years of his life.”,"""title"": ""The Casual Vacancy"", ""author"": ""J.K. Rowling"""
“Pointless—the lava just obliterates everything in its path. Only a matter of days till the entire resort is destroyed. Thank god no houses or towns are in danger. The Hawaii County Civil Defense Agency wants to declare all of Bellaloha a disaster zone.”,"""title"": ""Tsunami"", ""author"": ""Dean Koontz"""
"“Even if we sold off all the hotels, there’s still a huge shortfall because of Bellaloha. We’d still be about two fifty to three hundred million in the hole.”","""title"": ""The Partner"", ""author"": ""John Grisham"""
