Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['lydia', 'teyze', 'aunt lydia', 'lydia teyze', 'tía', 'aunt', 'tía lydia']",mpho,0,0.0,incorrect,moo,0,0.0,incorrect,egba,0,0.29,incorrect,nibi,0,0.31,incorrect,jalo,0,0.31,incorrect,mme,0,0.25,incorrect,tahiti,0,0.44,incorrect,te huti,0,0.4,incorrect,hm,0,0.0,incorrect,suury,0,0.27,incorrect,masoandro,0,0.32,incorrect,masoandro,0,0.32,incorrect,moo,0,0.0,incorrect,nibi,0,0.31,incorrect,mme,0,0.25,incorrect,te huti,0,0.4,incorrect,suury,0,0.27,incorrect,masoandro,0,0.32,incorrect,emerson,0,0.33,incorrect,god,0,0.25,incorrect,nazim hikmet,0,0.29,incorrect,kafes,0,0.25,incorrect,nguyen,0,0.4,incorrect,nhung,0,0.44,incorrect,oscar wilde,0,0.4,incorrect,sol,0,0.25,incorrect,god,0,0.25,incorrect,kafes,0,0.25,incorrect,nhung,0,0.44,incorrect,sol,0,0.25,incorrect
['cora'],ba,0,0.33,incorrect,lilemong,0,0.17,incorrect,lonakona,0,0.33,incorrect,lonakona,0,0.33,incorrect,botlhe,0,0.2,incorrect,botlhe,0,0.2,incorrect,noa,0,0.57,incorrect,ahiri,0,0.22,incorrect,amitaabh,0,0.17,incorrect,apn,0,0.29,incorrect,razafindrakoto,0,0.22,incorrect,raha,0,0.5,incorrect,lilemong,0,0.17,incorrect,lonakona,0,0.33,incorrect,botlhe,0,0.2,incorrect,ahiri,0,0.22,incorrect,apn,0,0.29,incorrect,raha,0,0.5,incorrect,they,0,0.0,incorrect,john,0,0.25,incorrect,[mask],0,0.2,incorrect,tuplerim,0,0.17,incorrect,nguyen,0,0.0,incorrect,it,0,0.0,incorrect,ella,0,0.25,incorrect,maria,0,0.44,incorrect,john,0,0.25,incorrect,tuplerim,0,0.17,incorrect,it,0,0.0,incorrect,maria,0,0.44,incorrect
['rita'],kapa,0,0.25,incorrect,ke,0,0.0,incorrect,iran,0,0.5,incorrect,ebi,0,0.29,incorrect,kana,0,0.25,incorrect,kana,0,0.25,incorrect,tahiti,0,0.4,incorrect,e faraoa,0,0.33,incorrect,bhojn,0,0.0,incorrect,grmiime ohi,0,0.27,incorrect,razafindrakoto,0,0.33,incorrect,mangetaheta,0,0.27,incorrect,ke,0,0.0,incorrect,ebi,0,0.29,incorrect,kana,0,0.25,incorrect,e faraoa,0,0.33,incorrect,grmiime ohi,0,0.27,incorrect,mangetaheta,0,0.27,incorrect,mother,0,0.2,incorrect,hunger,0,0.2,incorrect,[mask]'nin,0,0.14,incorrect,ellerimi,0,0.33,incorrect,toi,0,0.29,incorrect,toi,0,0.29,incorrect,carne,0,0.22,incorrect,manos,0,0.22,incorrect,hunger,0,0.2,incorrect,ellerimi,0,0.33,incorrect,toi,0,0.29,incorrect,manos,0,0.22,incorrect
"['joy', 'serena', 'serena joy']",ukelele soprano,0,0.32,incorrect,jesus,0,0.25,incorrect,akoko ihinrere emi idagbasoke,0,0.26,incorrect,aiku,0,0.2,incorrect,mosadi mongwe,0,0.35,incorrect,soprano,0,0.47,incorrect,john,0,0.57,incorrect,souls,0,0.27,incorrect,mhilaa ke naam,0,0.3,incorrect,maay,0,0.29,incorrect,indra,0,0.36,incorrect,fahitalavitra,0,0.21,incorrect,jesus,0,0.25,incorrect,aiku,0,0.2,incorrect,soprano,0,0.47,incorrect,souls,0,0.27,incorrect,maay,0,0.29,incorrect,fahitalavitra,0,0.21,incorrect,sister ann,0,0.5,incorrect,mother,0,0.33,incorrect,serif saati,0,0.47,incorrect,sarisin,0,0.46,incorrect,ba,0,0.25,incorrect,ba,0,0.25,incorrect,maria,0,0.36,incorrect,maria,0,0.36,incorrect,mother,0,0.33,incorrect,sarisin,0,0.46,incorrect,ba,0,0.25,incorrect,maria,0,0.36,incorrect
['luke'],lisontaha,0,0.15,incorrect,tokoloho,0,0.17,incorrect,ati,0,0.0,incorrect,iru,0,0.29,incorrect,sontag,0,0.0,incorrect,sontaga,0,0.0,incorrect,tahiti,0,0.0,incorrect,noa'tu,0,0.2,incorrect,hm,0,0.0,incorrect,rvi,0,0.0,incorrect,alahady,0,0.18,incorrect,alahady,0,0.18,incorrect,tokoloho,0,0.17,incorrect,iru,0,0.29,incorrect,sontaga,0,0.0,incorrect,noa'tu,0,0.2,incorrect,rvi,0,0.0,incorrect,alahady,0,0.18,incorrect,john,0,0.0,incorrect,children,0,0.33,incorrect,biz,0,0.0,incorrect,cocuklar,0,0.33,incorrect,ngoi nha,0,0.0,incorrect,chu du con,0,0.14,incorrect,nosotros,0,0.0,incorrect,casa,0,0.0,incorrect,children,0,0.33,incorrect,cocuklar,0,0.33,incorrect,chu du con,0,0.14,incorrect,casa,0,0.0,incorrect
"['lydia', 'teyze', 'aunt lydia', 'lydia teyze', 'tía', 'aunt', 'tía lydia']",boletse,0,0.33,incorrect,matsatsing,0,0.32,incorrect,ominira,0,0.4,incorrect,ni,0,0.4,incorrect,kgololesego,0,0.27,incorrect,kgololesego,0,0.27,incorrect,tiamaraa,0,0.55,incorrect,eiaha,0,0.5,incorrect,araajktaa,0,0.33,incorrect,amerikaa,0,0.36,incorrect,misy,0,0.31,incorrect,andrianampoinimerina,0,0.33,incorrect,matsatsing,0,0.32,incorrect,ni,0,0.4,incorrect,kgololesego,0,0.27,incorrect,eiaha,0,0.5,incorrect,amerikaa,0,0.36,incorrect,andrianampoinimerina,0,0.33,incorrect,john stuart mill,0,0.32,incorrect,don't,0,0.44,incorrect,kant,0,0.75,correct,turkiye,0,0.5,incorrect,nguyen,0,0.4,incorrect,duc,0,0.29,incorrect,miguel de unamuno,0,0.31,incorrect,anarquia,0,0.44,incorrect,don't,0,0.44,incorrect,turkiye,0,0.5,incorrect,duc,0,0.29,incorrect,anarquia,0,0.44,incorrect
['janine'],sheba,0,0.18,incorrect,ke,0,0.25,incorrect,nigba naa,0,0.4,incorrect,mo abimbola,0,0.24,incorrect,haile,0,0.55,incorrect,molomo,0,0.0,incorrect,tahiti,0,0.33,incorrect,noa,0,0.22,incorrect,gaay,0,0.2,incorrect,naak,0,0.2,incorrect,mijery,0,0.33,incorrect,mijery,0,0.33,incorrect,ke,0,0.25,incorrect,mo abimbola,0,0.24,incorrect,molomo,0,0.0,incorrect,noa,0,0.22,incorrect,naak,0,0.2,incorrect,mijery,0,0.33,incorrect,she,0,0.22,incorrect,bird,0,0.2,incorrect,kral,0,0.2,incorrect,kanatlar,0,0.29,incorrect,co,0,0.0,incorrect,toi,0,0.22,incorrect,don juan,0,0.43,incorrect,juan,0,0.6,incorrect,bird,0,0.2,incorrect,kanatlar,0,0.29,incorrect,toi,0,0.22,incorrect,juan,0,0.6,incorrect
['luke'],tshepo,0,0.2,incorrect,nako,0,0.25,incorrect,oba,0,0.0,incorrect,mo,0,0.0,incorrect,mma ramotswe,0,0.12,incorrect,ramotswe,0,0.17,incorrect,te rangi hiroa,0,0.11,incorrect,mea,0,0.29,incorrect,ksaaii,0,0.2,incorrect,baig,0,0.0,incorrect,nalaiko,0,0.36,incorrect,nalainy,0,0.18,incorrect,nako,0,0.25,incorrect,mo,0,0.0,incorrect,ramotswe,0,0.17,incorrect,mea,0,0.29,incorrect,baig,0,0.0,incorrect,nalainy,0,0.18,incorrect,periodically he would take all the bags and throw them out.,0,0.13,incorrect,butcher,0,0.36,incorrect,babam,0,0.0,incorrect,supermarket,0,0.4,incorrect,toi,0,0.0,incorrect,thanh,0,0.0,incorrect,maria,0,0.0,incorrect,supermercados,0,0.24,incorrect,butcher,0,0.36,incorrect,supermarket,0,0.4,incorrect,thanh,0,0.0,incorrect,supermercados,0,0.24,incorrect
"['gleninki', 'ofglen', 'deglen']",mme,0,0.22,incorrect,re,0,0.25,incorrect,"mo dekun irin. [mask] duro legbee mi mo si mo pe oun naa ko le yo oju re kuro lara awon obinrin wonyi. a nifee si i, sugbon w",0,0.11,incorrect,nifee,0,0.36,incorrect,matsieng,0,0.29,incorrect,ke,0,0.25,incorrect,tahiti,0,0.29,incorrect,taui,0,0.17,incorrect,mohit,0,0.18,incorrect,seho,0,0.2,incorrect,saint,0,0.31,incorrect,madagascar,0,0.25,incorrect,re,0,0.25,incorrect,nifee,0,0.36,incorrect,ke,0,0.25,incorrect,taui,0,0.17,incorrect,seho,0,0.2,incorrect,madagascar,0,0.25,incorrect,she,0,0.22,incorrect,she,0,0.22,incorrect,kadinlar,0,0.29,incorrect,kadinlardan,0,0.35,incorrect,ba kia,0,0.29,incorrect,chung,0,0.18,incorrect,mujeres,0,0.31,incorrect,juan,0,0.2,incorrect,she,0,0.22,incorrect,kadinlardan,0,0.35,incorrect,chung,0,0.18,incorrect,juan,0,0.2,incorrect
"['lydia', 'teyze', 'aunt lydia', 'lydia teyze', 'tía', 'aunt', 'tía lydia']",boikokobetso,0,0.17,incorrect,boikokobetso,0,0.17,incorrect,imetomowa,0,0.33,incorrect,imetomowa ohun,0,0.33,incorrect,boingotlo,0,0.32,incorrect,ke,0,0.29,incorrect,tama,0,0.57,incorrect,rurutaina,0,0.5,incorrect,viny,0,0.31,incorrect,viny,0,0.31,incorrect,eny,0,0.5,incorrect,tsara,0,0.5,incorrect,boikokobetso,0,0.17,incorrect,imetomowa ohun,0,0.33,incorrect,ke,0,0.29,incorrect,rurutaina,0,0.5,incorrect,viny,0,0.31,incorrect,tsara,0,0.5,incorrect,heraclitus,0,0.32,incorrect,modesty,0,0.33,incorrect,mevlana,0,0.36,incorrect,kizlar,0,0.44,incorrect,di,0,0.57,incorrect,bon khon,0,0.22,incorrect,[mask],0,0.22,incorrect,voz,0,0.25,incorrect,modesty,0,0.33,incorrect,kizlar,0,0.44,incorrect,bon khon,0,0.22,incorrect,voz,0,0.25,incorrect
