Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['watson'],scarlett,0,0.29,incorrect,emily,0,0.0,incorrect,john,0,0.4,incorrect,god,0,0.22,incorrect,michael,0,0.15,incorrect,thembi,0,0.17,incorrect,lucas,0,0.36,incorrect,lucas,0,0.36,incorrect,hamlet,0,0.33,incorrect,trifal,0,0.17,incorrect,john,0,0.4,incorrect,abel,0,0.2,incorrect,sherlock holmes,0,0.19,incorrect,elizabeth,0,0.27,incorrect,watson,1,1.0,correct,emily,0,0.0,incorrect,sherlock holmes,0,0.19,incorrect,john,0,0.4,incorrect,watson,1,1.0,correct,marcel,0,0.17,incorrect,emily,0,0.0,incorrect,god,0,0.22,incorrect,thembi,0,0.17,incorrect,lucas,0,0.36,incorrect,trifal,0,0.17,incorrect,abel,0,0.2,incorrect,elizabeth,0,0.27,incorrect,emily,0,0.0,incorrect,john,0,0.4,incorrect,marcel,0,0.17,incorrect
['holmes'],ear-piercing,0,0.11,incorrect,john,0,0.2,incorrect,abraham,0,0.31,incorrect,abraham,0,0.31,incorrect,wolf,0,0.4,incorrect,whistle,0,0.46,incorrect,maui,0,0.2,incorrect,abel,0,0.2,incorrect,casey,0,0.18,incorrect,paul,0,0.2,incorrect,jesus,0,0.36,incorrect,abel,0,0.2,incorrect,sherlock holmes,0,0.57,incorrect,heathcliff,0,0.25,incorrect,heathcliff,0,0.25,incorrect,paul,0,0.2,incorrect,heathcliff,0,0.25,incorrect,london,0,0.17,incorrect,tom,0,0.44,incorrect,john,0,0.2,incorrect,john,0,0.2,incorrect,abraham,0,0.31,incorrect,whistle,0,0.46,incorrect,abel,0,0.2,incorrect,paul,0,0.2,incorrect,abel,0,0.2,incorrect,heathcliff,0,0.25,incorrect,paul,0,0.2,incorrect,london,0,0.17,incorrect,john,0,0.2,incorrect
['watson'],oliver,0,0.17,incorrect,guineas,0,0.31,incorrect,john,0,0.4,incorrect,emma,0,0.2,incorrect,phileas,0,0.31,incorrect,guineas,0,0.31,incorrect,marlow,0,0.33,incorrect,marie,0,0.18,incorrect,watson,1,1.0,correct,heathcliff,0,0.25,incorrect,oliver,0,0.17,incorrect,dimampolo,0,0.27,incorrect,watson,1,1.0,correct,mr. pickwick,0,0.11,incorrect,watson,1,1.0,correct,oliver,0,0.17,incorrect,sherlock holmes,0,0.19,incorrect,oliver,0,0.17,incorrect,watson,1,1.0,correct,emma,0,0.2,incorrect,guineas,0,0.31,incorrect,emma,0,0.2,incorrect,guineas,0,0.31,incorrect,marie,0,0.18,incorrect,heathcliff,0,0.25,incorrect,dimampolo,0,0.27,incorrect,mr. pickwick,0,0.11,incorrect,oliver,0,0.17,incorrect,oliver,0,0.17,incorrect,emma,0,0.2,incorrect
"['kont von kramm', 'kram', 'kont', 'conde von kramm', 'conde', 'kramm', 'the count von kramm', 'count', 'the', 'von']",bohemia,0,0.4,incorrect,bohemia,0,0.4,incorrect,wallenstein,0,0.29,incorrect,bohemian,0,0.36,incorrect,mr. darcy,0,0.31,incorrect,elizabeth,0,0.33,incorrect,paul,0,0.25,incorrect,jesus,0,0.25,incorrect,baron,0,0.5,incorrect,bohemian,0,0.36,incorrect,rudolf,0,0.22,incorrect,bohemiana,0,0.33,incorrect,count,1,1.0,correct,count,1,1.0,correct,baron,0,0.5,incorrect,count,1,1.0,correct,monte cristo,0,0.39,incorrect,bohemia,0,0.4,incorrect,baron,0,0.5,incorrect,edward,0,0.22,incorrect,bohemia,0,0.4,incorrect,bohemian,0,0.36,incorrect,elizabeth,0,0.33,incorrect,jesus,0,0.25,incorrect,bohemian,0,0.36,incorrect,bohemiana,0,0.33,incorrect,count,1,1.0,correct,count,1,1.0,correct,bohemia,0,0.4,incorrect,edward,0,0.22,incorrect
['holmes'],jesus,0,0.36,incorrect,john,0,0.2,incorrect,heather,0,0.31,incorrect,jesus,0,0.36,incorrect,jesus,0,0.36,incorrect,martha,0,0.17,incorrect,lucas,0,0.36,incorrect,lucas,0,0.36,incorrect,mr. rochester,0,0.32,incorrect,dimmesdale,0,0.38,incorrect,tom,0,0.44,incorrect,emily,0,0.18,incorrect,sherlock holmes,0,0.57,incorrect,mr. darcy,0,0.13,incorrect,mr. rochester,0,0.32,incorrect,mr. rochester,0,0.32,incorrect,heathcliff,0,0.25,incorrect,john,0,0.2,incorrect,mr. jaggers,0,0.35,incorrect,edward,0,0.17,incorrect,john,0,0.2,incorrect,jesus,0,0.36,incorrect,martha,0,0.17,incorrect,lucas,0,0.36,incorrect,dimmesdale,0,0.38,incorrect,emily,0,0.18,incorrect,mr. darcy,0,0.13,incorrect,mr. rochester,0,0.32,incorrect,john,0,0.2,incorrect,edward,0,0.17,incorrect
['holmes'],sherlock,0,0.29,incorrect,london,0,0.17,incorrect,king,0,0.0,incorrect,shakespeare,0,0.35,incorrect,john,0,0.2,incorrect,botswana,0,0.29,incorrect,marie,0,0.36,incorrect,william,0,0.31,incorrect,mr. holmes,0,0.75,correct,london,0,0.17,incorrect,etama-soba,0,0.25,incorrect,salomona,0,0.29,incorrect,sherlock holmes,0,0.57,incorrect,her,0,0.44,incorrect,sherlock holmes,0,0.57,incorrect,elizabeth,0,0.27,incorrect,sherlock holmes,0,0.57,incorrect,victoria,0,0.14,incorrect,sherlock holmes,0,0.57,incorrect,victoria,0,0.14,incorrect,london,0,0.17,incorrect,shakespeare,0,0.35,incorrect,botswana,0,0.29,incorrect,william,0,0.31,incorrect,london,0,0.17,incorrect,salomona,0,0.29,incorrect,her,0,0.44,incorrect,elizabeth,0,0.27,incorrect,victoria,0,0.14,incorrect,victoria,0,0.14,incorrect
"['adler', 'adle', 'bayan', 'bayan adler']",emily,0,0.22,incorrect,john,0,0.22,incorrect,oliver,0,0.55,incorrect,george,0,0.36,incorrect,paul,0,0.5,incorrect,jesus,0,0.22,incorrect,john,0,0.22,incorrect,abel,0,0.5,incorrect,emily,0,0.22,incorrect,george,0,0.36,incorrect,emily,0,0.22,incorrect,arabe,0,0.44,incorrect,helena anders,0,0.5,incorrect,mr. pickwick,0,0.12,incorrect,wemmick,0,0.18,incorrect,john,0,0.22,incorrect,estella,0,0.18,incorrect,nguyen,0,0.36,incorrect,heather,0,0.5,incorrect,emily,0,0.22,incorrect,john,0,0.22,incorrect,george,0,0.36,incorrect,jesus,0,0.22,incorrect,abel,0,0.5,incorrect,george,0,0.36,incorrect,arabe,0,0.44,incorrect,mr. pickwick,0,0.12,incorrect,john,0,0.22,incorrect,nguyen,0,0.36,incorrect,emily,0,0.22,incorrect
['watson'],monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,watson,1,1.0,correct,monica,0,0.33,incorrect,sherlock holmes,0,0.19,incorrect,monica,0,0.33,incorrect,sherlock holmes,0,0.19,incorrect,monica,0,0.33,incorrect,wimpole,0,0.31,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect,monica,0,0.33,incorrect
"['godfrey norton', 'godfrey', 'norton']",heathcliff,0,0.17,incorrect,ho,0,0.25,incorrect,john,0,0.4,incorrect,abraham,0,0.15,incorrect,john,0,0.4,incorrect,botlhe,0,0.33,incorrect,john,0,0.4,incorrect,maui,0,0.0,incorrect,helena,0,0.2,incorrect,heathcliff,0,0.17,incorrect,etama-soba,0,0.25,incorrect,etama-soba,0,0.25,incorrect,watson,0,0.5,incorrect,stapleton,0,0.4,incorrect,arthur,0,0.33,incorrect,araba,0,0.18,incorrect,quasimodo,0,0.27,incorrect,john,0,0.4,incorrect,godfrey,1,1.0,correct,st. mary's,0,0.24,incorrect,ho,0,0.25,incorrect,abraham,0,0.15,incorrect,botlhe,0,0.33,incorrect,maui,0,0.0,incorrect,heathcliff,0,0.17,incorrect,etama-soba,0,0.25,incorrect,stapleton,0,0.4,incorrect,araba,0,0.18,incorrect,john,0,0.4,incorrect,st. mary's,0,0.24,incorrect
['holmes'],stapleton,0,0.27,incorrect,edgeware,0,0.14,incorrect,joe,0,0.44,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,jesus,0,0.36,incorrect,edgeware,0,0.14,incorrect,mr. sherlock holmes,0,0.48,incorrect,pyotr,0,0.18,incorrect,john,0,0.2,incorrect,edgeware,0,0.14,incorrect,sherlock holmes,0,0.57,incorrect,edgeware,0,0.14,incorrect,sherlock holmes,0,0.57,incorrect,edgeware,0,0.14,incorrect,sherlock holmes,0,0.57,incorrect,edgeware,0,0.14,incorrect,sherlock holmes,0,0.57,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,pyotr,0,0.18,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect,edgeware,0,0.14,incorrect
