,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,35.0,16.666666666666664,3.3333333333333335,8.333333333333332,3.3333333333333335,8.333333333333332,0.0,5.0,5.0,8.333333333333332,30.0,20.0,5.0,8.333333333333332,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,3.3333333333333335
A Tale of Two Cities,12.0,2.0,4.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,6.0,3.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,4.0
A thousand splendid suns,0.0,2.127659574468085,0.0,2.127659574468085,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,54.0,5.0,3.0,5.0,23.0,14.000000000000002,5.0,4.0,3.0,6.0,36.0,2.0,4.0,4.0,10.0,13.0,4.0,3.0,3.0,2.0
Adventures of Sherlock Holmes,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,82.6086956521739,17.391304347826086,4.3478260869565215,0.0,8.695652173913043,8.695652173913043,0.0,4.3478260869565215,0.0,4.3478260869565215,52.17391304347826,2.1739130434782608,4.3478260869565215,0.0,,,,,,
Dracula,17.77777777777778,11.11111111111111,4.444444444444445,6.666666666666667,5.555555555555555,5.555555555555555,2.2222222222222223,4.444444444444445,0.0,3.3333333333333335,10.0,4.444444444444445,2.2222222222222223,4.444444444444445,3.3333333333333335,4.444444444444445,1.1111111111111112,2.2222222222222223,1.1111111111111112,4.444444444444445
Dune,27.0,25.0,6.0,12.0,8.0,6.0,4.0,6.0,0.0,9.0,14.000000000000002,8.0,9.0,6.0,5.0,7.000000000000001,4.0,6.0,0.0,6.0
Fahrenheit 451,5.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
Frankenstein,41.66666666666667,10.416666666666668,6.25,14.583333333333334,4.166666666666666,10.416666666666668,4.166666666666666,4.166666666666666,2.083333333333333,4.166666666666666,25.0,10.416666666666668,6.25,6.25,2.083333333333333,6.25,4.166666666666666,6.25,0.0,2.083333333333333
Harry Potter and the Deathly Hallows,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Of Mice and Men,22.916666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,1.3157894736842104,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,5.263157894736842,4.2105263157894735,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,1.0526315789473684,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,62.62626262626263,36.36363636363637,13.131313131313133,16.161616161616163,7.07070707070707,7.07070707070707,6.0606060606060606,7.07070707070707,0.0,6.0606060606060606,86.86868686868688,26.262626262626267,10.1010101010101,9.090909090909092,7.07070707070707,8.080808080808081,5.05050505050505,7.07070707070707,2.0202020202020203,6.0606060606060606
Sense and sensibility,5.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,0.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,0.0,3.0
The Boy in the Striped Pyjamas,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,40.74074074074074,7.4074074074074066,9.25925925925926,11.11111111111111,7.4074074074074066,7.4074074074074066,1.8518518518518516,5.555555555555555,1.8518518518518516,1.8518518518518516,27.77777777777778,5.555555555555555,22.22222222222222,14.814814814814813,3.7037037037037033,9.25925925925926,1.8518518518518516,3.7037037037037033,1.8518518518518516,1.8518518518518516
The Handmaid s Tale,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,32.87671232876712,1.36986301369863,5.47945205479452,1.36986301369863,4.10958904109589,2.73972602739726,0.0,0.0,1.36986301369863,0.0,8.21917808219178,0.0,8.21917808219178,0.0,0.0,2.73972602739726,0.0,0.0,0.0,0.0
