Title,Release Date
Sense_and_sensibility,1811-01-01
Adventures_of_Sherlock_Holmes,1892-10-14
Adventures_of_Huckleberry_Finn,1884-12-10
The_Great_Gatsby,1925-04-10
Frankenstein,1818-01-01
Paper_Towns,2008-10-16
Dune,1965-08-01
The_Picture_of_Dorian_Gray,1890-06-20
The_Handmaid_s_Tale,1985-09-01
Alice_s_Adventures_in_Wonderland,1865-11-26
Pride_and_Prejudice,1813-01-28
1984,1949-06-08
The_Boy_in_the_Striped_Pyjamas,2006-01-05
The_Lightning_Thief,2005-06-28
Dracula,1897-05-26
Of_Mice_and_Men,1937-01-01
A_Tale_of_Two_Cities,1859-04-30
A_thousand_splendid_suns,2007-05-22
Harry_Potter_and_the_Deathly_Hallows,2007-07-21
Fahrenheit_451,1953-10-19
