filename,distinct_passages,percentage_occurrence
1984_non_NE.csv,16,16.0
1984_unmasked_passages.csv,10,10.0
A_Tale_of_Two_Cities_non_NE.csv,9,9.0
A_Tale_of_Two_Cities_unmasked_passages.csv,11,11.0
A_thousand_splendid_suns_non_NE.csv,3,3.0
A_thousand_splendid_suns_unmasked_passages.csv,3,3.0
Adventures_of_Huckleberry_Finn_non_NE.csv,18,18.0
Adventures_of_Huckleberry_Finn_unmasked_passages.csv,16,16.0
Adventures_of_Sherlock_Holmes_non_NE.csv,37,37.0
Adventures_of_Sherlock_Holmes_unmasked_passages.csv,36,36.0
Alice_in_Wonderland_non_NE.csv,34,34.0
Alice_in_Wonderland_unmasked_passages.csv,37,37.0
Below_Zero_non_NE.csv,1,1.0
Dracula_non_NE.csv,31,31.0
Dracula_unmasked_passages.csv,32,32.0
Dune_non_NE.csv,4,4.0
Dune_unmasked_passages.csv,1,1.0
Fahrenheit_451_non_NE.csv,7,7.0
Fahrenheit_451_unmasked_passages.csv,8,8.0
Frankenstein_non_NE.csv,22,22.0
Frankenstein_unmasked_passages.csv,14,14.0
Harry_Potter_and_the_Deathly_Hallows_non_NE.csv,27,27.0
Harry_Potter_and_the_Deathly_Hallows_unmasked_passages.csv,45,45.0
Of_Mice_and_Men_non_NE.csv,4,4.0
Of_Mice_and_Men_unmasked_passages.csv,4,4.0
Paper_Towns_unmasked_passages.csv,2,2.0
Percy_Jackson_The_Lightning_Thief_non_NE.csv,25,25.0
Percy_Jackson_The_Lightning_Thief_unmasked_passages.csv,21,21.0
Pride_and_Prejudice_non_NE.csv,21,21.0
Pride_and_Prejudice_unmasked_passages.csv,19,19.0
Sense_and_sensibility_non_NE.csv,55,55.0
Sense_and_sensibility_unmasked_passages.csv,66,66.0
The_Great_Gatsby_non_NE.csv,10,10.0
The_Great_Gatsby_unmasked_passages.csv,6,6.0
The_Handmaid_s_Tale_non_NE.csv,4,4.0
The_Handmaid_s_Tale_unmasked_passages.csv,4,4.0
The_Paradise_Problem_unmasked_passages.csv,1,1.0
The_Picture_of_Dorian_Gray_non_NE.csv,17,17.0
The_Picture_of_Dorian_Gray_unmasked_passages.csv,11,11.0
