en,en_results
"Ten days have passed, and I have yet to meet my groom. Instead, I’ve become a project—one that requires a concerted effort from an interdisciplinary crew to look weddable. A manicurist coaxes my nails into pink ovals. A facialist smacks my cheeks with relish. A hairdresser magically hides my pointed ears under a web of dark blond braids, and a makeup expert paints a different face on top of mine, something interesting and sophisticated and zygomatic.","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"“There is no going back, Misery,” he adds, not unkindly. “Once the handfasting is complete, you will be his wife.”","""title"": ""Misery"", ""author"": ""Stephen King"""
"“I know.” I don’t need soothing, or encouragement. I’ve been nothing but unwavering in my commitment to this union. I’m not prone to panic, or fear, or last-minute changes of heart. “I’ve done this before, remember?” He studies me for a few moments, until the doors open to what’s left of my life.","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"Tough shit, buddy, I think, lifting my chin. I step forward, again, until we are standing in front of each other, this side of too close.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"So I step closer and murmur, “I don’t care how little you like this, but if you want to avoid a second Aster—”","""title"": ""The Lunar Chronicles"", ""author"": ""Marissa Meyer"""
"It was maybe a third of that, even counting the break I took in the middle after realizing how quickly I was blowing through the system. I spent it online shopping for a new hamper, since Serena’s damn cat seems to be asleep in my old one whenever I need to do laundry. I texted her a picture of the receipt, followed by You and your cat owe me sixteen dollars. Then I sat and waited for a reply, like I always do.","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"“You should not feel anger, but pride. The right choice is the one that ensures happiness for the largest number of people. And you were the means to that choice.”","""title"": ""The Art of Thinking Clearly"", ""author"": ""Rolf Dobelli"""
"I slam the door shut, without first walking out of the office, and turn around, back toward Father. My heart slows to a crawl and thuds in my chest. “What did you just say?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"There are about ten steps separating us, and I could crawl my way down in shame. But our species have been mortal enemies since electricity wasn’t a thing, which might put us beyond embarrassment. What’s some eavesdropping among foes?","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"“First dance,” he says, holding out his hand. His voice is deep, precise, economical. A man who’s used to giving orders and having them answered. I look at his long fingers, remembering how they closed on my arm. That moment of fear. Thing is, I don’t feel a lot, and when I do—","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"God, it sounds weird. “In name, maybe.” I shrug, and it makes my body brush against his. His eyes do an odd thing, the pupils acting out, contracting and expanding of their own volition. Then they settle on the markings painted on my neck. He seems unwarrantedly taken by them. “I think I’m just a symbol of goodwill between our people. And Collateral.”","""title"": ""The Selection"", ""author"": ""Kiera Cass"""
"His arm snatches abruptly around my waist, and he pulls me closer to avoid another couple. My front plasters against him, his scorching heat a shock to my cool skin. He really is foreign. Different. Incompatible with me in every possible way. It’s a relief when he puts some distance between us and we’re again comfortably apart. The thought of him already being in a relationship flits into my head once more, intrusive and unprompted, and I have to track down my abandoned sentence. “And you are putting yourself in the exact same situation.”","""title"": ""The Sun Is Also a Star"", ""author"": ""Nicola Yoon"""
"The voice is young and sullen. It worms its way under my pillow and into my ears, nudging me awake in the dead middle of the day.","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"Serena’s poof had been quite literal. But one cannot move in the world without leaving digital traces, which could only mean one thing. One terrible, blood-curdling thing that I couldn’t even put into words in the privacy of my own head.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"He looks away. He’s kind of adorable, in an I want to tie his shoelaces and blow on his skinned knee kind of way. “Do you . . . It’s probably bullshit, but I just wanted to make sure . . . Vampyres don’t, right?”","""title"": ""Let the Right One In"", ""author"": ""John Ajvide Lindqvist"""
"He races toward me in a sudden explosion of vicious energy. The impact of his body against mine briefly knocks the breath out of me—briefly. He’s a male Were, much stronger, but I’m used to people wanting to assassinate me, and when his hand clutches my wrist, hours of training spring into muscle memory. My knee hits his groin and he wails. I use the distraction to push him away, and it’s not easy, it hurts, but by the time I can breathe again, my forearm is pinning his throat to the wall, and our faces are only inches apart.","""title"": ""Moon Called"", ""author"": ""Patricia Briggs"""
"The rumble in his throat instantly dulls into a whimper. His eyes lower to the ground, and the tension in his muscles loosens. I take a deep breath, making sure that he’s not faking this, that he’s really calmed down and he won’t attack me the second I pull back, and—","""title"": ""The Art of Racing in the Rain"", ""author"": ""Garth Stein"""
"She is resilient. He tries to imagine how he’d feel if he were in her position—alone, removed, used, and discarded. He has nothing but reluctant respect for her, and that angers him.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"It’s like you’re—I don’t know, suspended. Untethered from everything around you. I just need to see you go toward something, Misery.","""title"": ""Misery"", ""author"": ""Stephen King"""
"Back in my room, I pull out my computer, wondering if I could pilfer a Wi-Fi chip off someone’s phone. I fuck around a bit, writing a flexible script to scour Were servers that I might never be able to use. Like always while coding, I lose track of time. When I look up from my keyboard, the moon is high, my room is dark, and a small, creepy creature stands in front of me. It’s wearing owl leggings with a chiffon tutu, and stares at me like the ghost of Christmas past.","""title"": ""Ready Player One"", ""author"": ""Ernest Cline"""
"They rarely touch. When they did, her wrist accidentally brushed against the front of his shirt, and he found himself tearing off the piece of fabric where her smell was most intense. He slipped it in his pocket, and now carries it everywhere.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"There are sketches of rooms, offices, storefronts, piers, houses, bridges, stations. Large and small buildings, statues, domes, cabins. Some are just the outside, while others include inside layouts and furniture. Some have numbers and vectors scribbled in the margins, others colors woven through them. All of them are perfect.","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"My heart halts as I scramble to lift it up, expecting—no, sure— that I’ll find Serena’s smiling face on it. The pouty lips, upturned eyes, narrow nose, and pointed chin; they’re all so familiar to me that I think it must be her, because who else’s face would I know so well? It can only be Serena’s, or . . .","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I dash down the stairs, then outside via the kitchen. The heat crashes into me like a wave, slowing me down as the sunlight stabs my skin like a million little shark teeth. Fuck, it hurts. It’s way too bright for me to be out.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Do you, champ? Are you sure? Because your mother is out there, humiliated by what you just did and the company you’ve been keeping.”","""title"": ""The Kite Runner"", ""author"": ""Khaled Hosseini"""
"“Ew.” I gasp, disgusted, but before I can—I don’t know, spit back?—Lowe’s hand presses against Max’s chest and pins him to the couch.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Misery.” He clucks his tongue, chiding, and moves closer, like he knows I’m considering darting away. His heartbeat envelops me, steady, determined. “You set yourself up, because you’re bad at this.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"He sounds sincerely curious, and I wonder if maybe he has nothing to do with her disappearance. But maybe he does. Maybe he’s pretending. Maybe he didn’t know her name but hurt her anyway.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"“This is not a game, Misery.” They vibrate through my bones, his words. “This alliance is new and frail, and—”","""title"": ""Misery"", ""author"": ""Stephen King"""
"“I hope she is.” My heart twists. “If she isn’t, I still need to know what happened to her.” If I don’t, no one else will think of her again. No one else will even know her name aside from a handful of orphans who bullied her for being cross-eyed, colleagues who never got her sense of humor, people she dated but felt tepid about. It’s not acceptable. “She’d do the same for me.”","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern"""
"“Okay, maybe more than I am. But if we’re doing this, I need to know what’s in it for you, because I highly doubt you suddenly care about my random Human friend enough to help me find her.”","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling"""
"He’s good at staring, staring with those arctic eyes without saying anything, and I squirm in my chair, heated. How does this guy make someone with a basal temperature of ninety-four degrees and next to no sweat glands feel clammy?","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"I want to ask him why I found a jar of creamy peanut butter in my fridge. If he’s the reason the house is now three degrees warmer than when I arrived. But I somehow can’t bring myself to, and then he’s the one to speak.","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"Lowe’s hand closes around mine. Our wedding bands clink together as he lifts it from the table and sets it in my lap, his grip lingering for a second.","""title"": ""The Light Between Oceans"", ""author"": ""M.L. Stedman"""
"His lips twitch, but he makes his way to the spot I was pointing at, his large body folding next to mine, far enough to avoid accidental touches. “What do you even know about bouillabaisse?”","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern"""
"“A lot offensive, that my wife thinks that I’d take her with me into a highly volatile situation where I might not be able to protect her.”","""title"": ""The Godfather Returns"", ""author"": ""Mark Winegardner"""
"“Okay. Fine.” I glance back at him—his earnest, stubborn, uncompromising face. In the fading moonlight, the lines of his cheekbones are ready to slice me. “You can’t do it on your own, though.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Architecture, right? I don’t fully get it. Buildings are kind of boring. I’m grateful they don’t fall on top of my head, though.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"We stare at each other like we’re playing a game and trying to make the other lose. “Want me to show you?” I’m trying to provoke him, but he just nods solemnly.","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"Lowe’s face doesn’t move a millimeter, but I know that I could fill a Babel tower of notebooks with how little he wants to have this conversation. “No way.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Hence, me asking you to explain.” Because I suspect that it’s not just the Were equivalent of marriage, or a civil union, or the steady commitment that comes with sharing monthly payments to multiple overpriced streaming services one forgot to discontinue.","""title"": ""Moon Called"", ""author"": ""Patricia Briggs"""
"He sighs and draws up his knees, hands clasped between them. A thought vibrates through me: right here, right now, I don’t feel particularly alone.","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"So long, I pry myself from the cold glass. “Ouch.” I’m stiff from not moving for hours, so I stretch my neck in the narrow cabin, trying to avoid accidentally pressing an ejector seat button. “Everything hurts.” When I straighten after arching my spine, the way he’s staring at me is too intense to not be judgmental. “What?” I ask, defensive.","""title"": ""The Selection"", ""author"": ""Kiera Cass"""
"I nearly moan. But at the last moment, I manage to swallow back inside my body the whimpery, throaty sound, and . . .","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"“Is this as weird for you as it is for me?” I ask, trying to make light of the flutters of pleasure in my stomach. Because this thing spreading like spilled water below my navel, it’s arousal, and it could explode into wildfire very fast. It makes me think of blood and touching and maybe fucking, and as things are happening to my body, I’m terrified that he’ll be able to smell them.","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"First a delicate bite on my earlobe. Then the swipe of his tongue at the base of my jaw. Last, right as I’m thinking that this is different from what I thought scenting would be, he moves to the bottom of my throat and sucks.","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"And I’m convinced that his mate would agree with me, but I’m not going to belabor the point. Even if I can’t imagine anyone refusing him. Even if I have developed an attraction toward him, and I’m not even his species.","""title"": ""The Host"", ""author"": ""Stephenie Meyer"""
"He’s been picturing her during her baths. He’s been having filthy, unspeakable thoughts. He’s too tired to keep them at bay.","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
“Misery. Misery.” He scoops my head deeper into his neck. Bucks against me in a way that feels not wholly voluntary. “Take all you need.”,"""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"He doesn’t say, but comes forward to show me, walking into me until I’m nestled between him and the counter, and . . . am I cornered, here? By a Were? A wolf, the stuff of bogeyman tales?","""title"": ""The Silvered Blade"", ""author"": ""Richelle Mead"""
"“Here.” His hand swipes the tip of my nose. He holds his fingertip up to show me the small clump of peanut butter. I should be wondering how it got there to begin with. What I do, instead, is lean forward and lick it off Lowe’s thumb.","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"I contain every pair of opposing feelings as his eyes, pupils expanding in a way mine could never, fix on my mouth in an entranced, absent way.","""title"": ""Romeo and Juliet"", ""author"": ""William Shakespeare"""
"He takes a small step back, barely an inch, and I almost cry with relief, or disappointment, or both. “Yeah,” he says, even though there’s no question to answer. It’s punctuation—he’s leaving. He’s about to.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"He stops. Doesn’t even ask me why I’m keeping him here, tethered to me. He knows. The atmosphere between us is too awkward and rich and lush for him not to know.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Do you—” he starts, with a small, abortive, uncharacteristically insecure gesture of his hand, just as I say, “When did—”","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"The mere act of breathing is an ordeal. My stomach hurts like it’s about to digest itself, bruised from the inside out by a thousand wild creatures who are having way too much fun carving their name in its lining with a rusty knife. There are several moments—and then a single one, long, protracted—when I’m sure, just sure, that this is the end. No living being can sustain this level of torment, and I’m going to die.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I know him. The Collateral’s official physician. With diplomatic passage into Human territory, where he’d give me annual checkups to ensure that I remained healthy enough to . . . be killed if the alliance dissolved, I guess? His duties must have expanded, which is a shame, because he looks as ancient now as he did when I was ten. Except that there’s something weird about him. Is he experimenting with facial hair?","""title"": ""The Collateral"", ""author"": ""Sarah J. Maas"""
"“I guess I expected your fur would be dark. Because your hair is.” I let him prod me toward the bed. “Yes, I’m going back to sleep. I feel like total shit, but not the bed, please. The closet.”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I don’t think she had a plan—not even a contrived, improbable one only for show. And I don’t know how we would have rescued—abducted?—the child if he’d asked us to whisk him away. Where would we have kept him? How would we have protected him?","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling"""
"I get it now, though. In the fuzzy, yellow light filtering into my closet and splattering over the walls, in the worn-out ache that has nested in my bones—I get her anger now. Something within me must have changed, but I still feel like a fairly accurate version of myself: exhausted, but furious. Above all, glad to be alive. Because I have something to do. Something I care for. People I want to keep safe.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"“Yeah.” There is a microcosm in the way he says the word. I want to explore it, but I’m distracted by the slight twitch in his fingers. Like he’s actively stopping himself from reaching out.","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"“You looked cold in your jumpsuit.” He sucks at the same spot on my neck that he fixated on back at Emery’s, on the tarmac. “You looked so lovely, and so determined, and so fucking lonely.”","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"It doesn’t immediately work. My nose bumps against his, I cock my head a little too quickly, my hands glide off the slippery edge of the tub. “Misery,” he murmurs against the corner of my mouth, when his lips somehow end up there, sounding more delighted than dismayed by my lack of skills.","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"My brother studies my bare shoulders, the wet-T-shirt-contest condition Lowe’s chest appears to be in, the flush on both our cheeks, and says, “You two really are fucking, huh.”","""title"": ""Less Than Zero"", ""author"": ""Bret Easton Ellis"""
"“What did I— Oh.” This is weird. “You know that I didn’t ingest that poison voluntarily to protect her, right? I just happen to be disgracefully into peanuts.”","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
"“Please,” he says, soft, hungry, and I sink my teeth into his vein. The wait for his blood to hit my tongue lasts long enough for thousands of civilizations to collapse. Then his flavor floods my mouth, and I forget about everything that is not us.","""title"": ""The Vampire Diaries: The Awakening"", ""author"": ""L.J. Smith"""
"I admire his beautiful form, the corded strength of his body. I could bite him anywhere and would find nourishment. Sip from his round biceps, the V on his stomach, the hill of his lats.","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"“Nice. Very. I am profoundly obsessed with these.” I feel hot air against my skin, and realize he’s talking about my ears. “Are they sensitive?”","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"“We don’t need to,” he says, pushing up my shirt. This time his bite is on the side of my breast. His tongue circles around my nipple before pressing flat against it. Then he sucks, mouth wet and electrifying.","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"“You’re going to smell like this,” he murmurs against my lips. “It’s happened already, and you weren’t even in the fucking room.” It? “And I’m not going to be able to stop myself from wanting to finish.”","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"With a hand on the back of my head, he guides my face into his neck. “We can.” He kicks his jeans away, and it’s just his skin, hot against mine, the rough hairs on his arms and legs subtly foreign. I slip my shin between his knees and let my hand roam, curious, eager to explore. He is gloriously different, and while I’m not one to admire beauty, I cannot stop thinking that I like him: the way he looks, the way he feels, the way he likes me. The slight tremble in his fingers as they settle on my waist, the muscles of his body tightening with patient anticipation.","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"He is hard, but also soft, and doesn’t want much. He guides my hand up and down once, once more, and beyond that, he has no instructions for me. My touch appears to be enough, just like the rest of me.","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"Whatever he needs, I want the same. One of his thighs wedges between mine, and I rub myself against it, vaguely embarrassed at the lewd, rhythmic sounds the contact makes, at the mess I’m making on him. But it feels good, too good to stop and good enough to forget, and then even better when his hand kneads my breasts, moves to the small of my back to cant my hips, positioning me so that yes—there, “There.” I hum the word into his neck, around mouthfuls of blood. I’m shameless and dizzy and briefly happy, grinding and searching for pleasure like it’s something he has in store for me—not if, just when. I take one last drag, and swallow, and then ask, “Is this good?”","""title"": ""Fifty Shades Freed"", ""author"": ""E.L. James"""
"Lowe’s eyes stare unseeing into mine, and the fact that he seems too awestruck to be able to speak, the choppy, uncoordinated way he tries to nod his pleasure, that’s what pushes me over.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"It’s beautiful, I think. Not just the pleasure, but sharing it with someone else, someone I care about and maybe love a little bit, as much as I’m able.","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
He’s saying my name like a prayer. Like I’m the one thing standing between him and heaven on Earth. And that’s when I understand what he meant.,"""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
“How did the tampering occur? Was it software? Hardware? Did they paintball the lens or trip the circuit breaker or cut the data cable?”,"""title"": ""The Firm"", ""author"": ""John Grisham"""
"“And anyway,” he continues like he didn’t hear me, “his prominent position could be in my favor. Lots of councilmembers are dissatisfied with the way he’s been seizing power.”","""title"": ""The Grapes of Wrath"", ""author"": ""John Steinbeck"""
"Owen’s eyes harden. “Three months ago, Misery. I’ve been working on this plan since I discovered that my father was considering sending my sister into enemy territory. Again.” He bares his fangs, and his tone is uncharacteristically earnest. “I could do nothing when we were children. I could do nothing when you returned, because I was too much of a coward to take a stand. I cannot do anything now, but I am determined to try.” His gaze fixes mine for a long moment, and he picks up in English again. “I want to be the one negotiating the next set of alliances. I want all Collateral systems gone. I want to stop enforcing artificial border lines, or holding on to disputed territories out of spite. I want to turn this place into something that’s not a powder keg.”","""title"": ""The Collateral"", ""author"": ""Unknown"""
