Title,en_prompts_shuffled_results_title_match,en_prompts_shuffled_results_author_match,en_prompts_shuffled_results_both_match,es_prompts_shuffled_results_title_match,es_prompts_shuffled_results_author_match,es_prompts_shuffled_results_both_match,tr_prompts_shuffled_results_title_match,tr_prompts_shuffled_results_author_match,tr_prompts_shuffled_results_both_match,vi_prompts_shuffled_results_title_match,vi_prompts_shuffled_results_author_match,vi_prompts_shuffled_results_both_match
Pride and Prejudice,98.47328244274809,99.23664122137404,98.47328244274809,92.36641221374046,92.36641221374046,92.36641221374046,90.07633587786259,90.07633587786259,90.07633587786259,84.7328244274809,84.7328244274809,84.7328244274809
The Handmaid s Tale,18.446601941747574,18.446601941747574,18.446601941747574,15.53398058252427,15.53398058252427,15.53398058252427,14.563106796116504,14.563106796116504,14.563106796116504,12.62135922330097,12.62135922330097,12.62135922330097
The Great Gatsby,94.44444444444444,94.44444444444444,94.44444444444444,87.03703703703704,87.03703703703704,87.03703703703704,83.33333333333334,83.33333333333334,83.33333333333334,72.22222222222221,72.22222222222221,72.22222222222221
Just for the Summer,0.4761904761904762,0.0,0.0,,,,,,,,,
Paper Towns,61.8421052631579,67.10526315789474,61.8421052631579,40.78947368421053,51.31578947368421,40.78947368421053,53.94736842105263,64.47368421052632,53.94736842105263,13.157894736842104,34.21052631578947,13.157894736842104
Fahrenheit 451,88.0,88.0,88.0,80.0,80.0,80.0,84.0,84.0,84.0,76.0,76.0,76.0
Lies and Weddings,0.26041666666666663,0.26041666666666663,0.0,,,,,,,,,
The Lightning Thief,26.804123711340207,42.2680412371134,26.804123711340207,1.0309278350515463,26.804123711340207,1.0309278350515463,0.0,32.98969072164948,0.0,1.0309278350515463,27.835051546391753,1.0309278350515463
Dracula,91.11111111111111,91.11111111111111,91.11111111111111,91.11111111111111,91.11111111111111,91.11111111111111,88.88888888888889,88.88888888888889,88.88888888888889,81.11111111111111,81.11111111111111,81.11111111111111
A thousand splendid suns,53.191489361702125,76.59574468085107,53.191489361702125,38.297872340425535,51.06382978723404,38.297872340425535,0.0,8.51063829787234,0.0,14.893617021276595,68.08510638297872,14.893617021276595
Alice s Adventures in Wonderland,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,100.0,100.0,100.0
A Tale of Two Cities,97.2972972972973,98.1981981981982,97.2972972972973,75.67567567567568,76.57657657657657,75.67567567567568,93.69369369369369,95.4954954954955,93.69369369369369,90.09009009009009,92.7927927927928,90.09009009009009
The Paradise Problem,0.38167938931297707,0.0,0.0,,,,,,,,,
If Only I Had Told Her,0.0,0.0,0.0,,,,,,,,,
Of Mice and Men,81.25,83.33333333333334,81.25,54.166666666666664,54.166666666666664,54.166666666666664,70.83333333333334,70.83333333333334,70.83333333333334,60.416666666666664,60.416666666666664,60.416666666666664
Frankenstein,82.35294117647058,82.35294117647058,82.35294117647058,66.66666666666666,66.66666666666666,66.66666666666666,60.78431372549019,60.78431372549019,60.78431372549019,52.94117647058824,52.94117647058824,52.94117647058824
Funny Story,0.0,0.0,0.0,,,,,,,,,
The Boy in the Striped Pyjamas,34.57943925233645,35.51401869158878,34.57943925233645,14.018691588785046,14.018691588785046,14.018691588785046,33.64485981308411,33.64485981308411,33.64485981308411,66.35514018691589,66.35514018691589,66.35514018691589
First Lie Wins,0.0,0.0,0.0,,,,,,,,,
Below Zero,0.0,0.0,0.0,,,,,,,,,
The Ministry of Time,0.0,0.0,0.0,,,,,,,,,
