Title,en_prompts_shuffled_results_title_match,en_prompts_shuffled_results_author_match,en_prompts_shuffled_results_both_match,es_prompts_shuffled_results_title_match,es_prompts_shuffled_results_author_match,es_prompts_shuffled_results_both_match,tr_prompts_shuffled_results_title_match,tr_prompts_shuffled_results_author_match,tr_prompts_shuffled_results_both_match,vi_prompts_shuffled_results_title_match,vi_prompts_shuffled_results_author_match,vi_prompts_shuffled_results_both_match
The Great Gatsby,88.88888888888889,88.88888888888889,88.88888888888889,79.62962962962963,79.62962962962963,79.62962962962963,85.18518518518519,85.18518518518519,85.18518518518519,72.22222222222221,72.22222222222221,72.22222222222221
Bride,0.0,0.0,0.0,,,,,,,,,
Paper Towns,39.473684210526315,50.0,39.473684210526315,28.947368421052634,30.263157894736842,28.947368421052634,19.736842105263158,22.36842105263158,19.736842105263158,17.105263157894736,26.31578947368421,17.105263157894736
The Lightning Thief,30.927835051546392,57.73195876288659,30.927835051546392,16.49484536082474,47.42268041237113,16.49484536082474,6.185567010309279,37.11340206185567,6.185567010309279,3.0927835051546393,28.865979381443296,3.0927835051546393
Lies and Weddings,0.0,3.6458333333333335,0.0,,,,,,,,,
The Boy in the Striped Pyjamas,40.18691588785047,40.18691588785047,40.18691588785047,40.18691588785047,40.18691588785047,40.18691588785047,55.140186915887845,55.140186915887845,55.140186915887845,58.87850467289719,58.87850467289719,58.87850467289719
You Like It Darker Stories,0.0,20.118343195266274,0.0,,,,,,,,,
Adventures of Huckleberry Finn,68.96551724137932,84.82758620689656,68.96551724137932,31.03448275862069,51.03448275862069,31.03448275862069,26.20689655172414,44.827586206896555,26.20689655172414,20.0,43.44827586206896,20.0
The Handmaid s Tale,40.77669902912621,42.71844660194174,40.77669902912621,18.446601941747574,18.446601941747574,18.446601941747574,21.35922330097087,21.35922330097087,21.35922330097087,21.35922330097087,21.35922330097087,21.35922330097087
The Paradise Problem,0.0,0.0,0.0,,,,,,,,,
The Ministry of Time,0.0,0.0,0.0,,,,,,,,,
If Only I Had Told Her,0.0,0.0,0.0,,,,,,,,,
Pride and Prejudice,97.70992366412213,97.70992366412213,97.70992366412213,93.12977099236642,93.12977099236642,93.12977099236642,92.36641221374046,92.36641221374046,92.36641221374046,96.18320610687023,96.18320610687023,96.18320610687023
Frankenstein,90.19607843137256,90.19607843137256,90.19607843137256,76.47058823529412,76.47058823529412,76.47058823529412,76.47058823529412,76.47058823529412,76.47058823529412,60.78431372549019,60.78431372549019,60.78431372549019
Dracula,93.33333333333333,93.33333333333333,93.33333333333333,92.22222222222223,92.22222222222223,92.22222222222223,85.55555555555556,85.55555555555556,85.55555555555556,82.22222222222221,82.22222222222221,82.22222222222221
Sense and sensibility,86.04651162790698,96.12403100775194,86.04651162790698,76.74418604651163,86.04651162790698,76.74418604651163,73.64341085271317,82.17054263565892,73.64341085271317,62.01550387596899,88.37209302325581,62.01550387596899
A thousand splendid suns,72.3404255319149,82.97872340425532,72.3404255319149,40.42553191489361,51.06382978723404,40.42553191489361,10.638297872340425,21.27659574468085,10.638297872340425,55.319148936170215,80.85106382978722,55.319148936170215
1984,81.66666666666667,88.33333333333333,81.66666666666667,91.66666666666666,93.33333333333333,91.66666666666666,95.0,96.66666666666667,95.0,80.0,83.33333333333334,80.0
Alice s Adventures in Wonderland,97.82608695652173,100.0,97.82608695652173,95.65217391304348,97.82608695652173,95.65217391304348,95.65217391304348,97.82608695652173,95.65217391304348,97.82608695652173,97.82608695652173,97.82608695652173
The Picture of Dorian Gray,82.1917808219178,87.67123287671232,82.1917808219178,86.3013698630137,89.04109589041096,86.3013698630137,83.56164383561644,83.56164383561644,83.56164383561644,60.273972602739725,60.273972602739725,60.273972602739725
Of Mice and Men,89.58333333333334,89.58333333333334,89.58333333333334,60.416666666666664,60.416666666666664,60.416666666666664,81.25,81.25,81.25,60.416666666666664,60.416666666666664,60.416666666666664
Fahrenheit 451,92.0,92.0,92.0,88.0,88.0,88.0,92.0,92.0,92.0,84.0,84.0,84.0
A Tale of Two Cities,99.09909909909909,100.0,99.09909909909909,77.47747747747748,77.47747747747748,77.47747747747748,95.4954954954955,97.2972972972973,95.4954954954955,85.58558558558559,85.58558558558559,85.58558558558559
Harry Potter and the Deathly Hallows,29.435483870967744,89.11290322580645,29.435483870967744,18.14516129032258,76.61290322580645,18.14516129032258,16.93548387096774,84.2741935483871,16.93548387096774,6.451612903225806,94.75806451612904,6.451612903225806
Just for the Summer,0.0,0.0,0.0,,,,,,,,,
Funny Story,0.0,0.0,0.0,,,,,,,,,
Below Zero,0.0,2.083333333333333,0.0,,,,,,,,,
First Lie Wins,0.0,0.0,0.0,,,,,,,,,
Dune,75.45691906005221,77.54569190600522,75.45691906005221,65.53524804177546,65.79634464751958,65.53524804177546,64.22976501305483,65.0130548302872,64.22976501305483,37.0757180156658,37.33681462140992,37.0757180156658
