Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['henry wotton', 'lord henry wotton']",<output>shah</output>,<output>henry</output>,<output>shakespeare</output>,<output>shakespeare</output>,0,0.3,0,0.47,0,0.3,0,0.3,incorrect,incorrect,incorrect,incorrect
"['basil hallwar', 'basil hallward']",<output>monet</output>,<output>dorian</output>,<output>nguyễn</output>,<output>leonardo</output>,0,0.0,0,0.07,0,0.0,0,0.24,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",<output>edward</output>,<output>emily</output>,<output>ngọc</output>,<output>emily</output>,0,0.22,0,0.15,0,0.13,0,0.15,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",<output>heathcliff</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.16,0,0.16,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['agatha'],<output>emma</output>,<output>emily</output>,<output>heathcliff</output>,<output>emily</output>,0,0.15,0,0.07,0,0.18,0,0.07,incorrect,incorrect,incorrect,incorrect
"['dorian', 'doria']",<output>tom</output>,<output>leonardo</output>,<output>edward</output>,<output>leonardo</output>,0,0.08,0,0.13,0,0.14,0,0.13,incorrect,incorrect,incorrect,incorrect
['basil'],<output>dorian</output>,<output>dorian</output>,<output>heathcliff</output>,<output>leonardo</output>,0,0.07,0,0.07,0,0.12,0,0.07,incorrect,incorrect,incorrect,incorrect
['harry'],<output>mr. darcy</output>,<output>emily</output>,<output>tom</output>,<output>beatriz</output>,0,0.19,0,0.07,0,0.0,0,0.14,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",<output>god</output>,<output>god</output>,<output>harry</output>,<output>victor</output>,0,0.17,0,0.17,0,0.25,0,0.15,incorrect,incorrect,incorrect,incorrect
"['dorian', 'dorian gray']",<output>virgil</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.21,0,0.18,0,0.18,0,0.18,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",<output>picasso</output>,<output>picasso</output>,<output>john</output>,<output>leonardo</output>,0,0.07,0,0.07,0,0.19,0,0.28,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",<output>lyceum</output>,<output>wickham</output>,<output>heathcliff</output>,<output>white</output>,0,0.15,0,0.12,0,0.16,0,0.19,incorrect,incorrect,incorrect,incorrect
"['fermor', 'lord fermor']",<output>young</output>,<output>tom</output>,<output>nguyễn</output>,<output>john</output>,0,0.12,0,0.19,0,0.18,0,0.12,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",<output>wilde</output>,<output>shakespeare</output>,<output>heathcliff</output>,<output>marcel</output>,0,0.15,0,0.18,0,0.16,0,0.15,incorrect,incorrect,incorrect,incorrect
