Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
['caroline beaufort'],<output>elizabeth</output>,<output>hasır kızı</output>,<output>ngọc</output>,<output>elizabeth</output>,0,0.33,0,0.23,0,0.21,0,0.33,incorrect,incorrect,incorrect,incorrect
['elizabeth'],<output>elizabeth</output>,<output>victor</output>,<output>victor</output>,<output>elizabeth</output>,0,0.51,0,0.12,0,0.12,0,0.51,incorrect,incorrect,incorrect,incorrect
"['krempe', 'thần hủy hoạ', 'señor krempe', 'm']",<output>frankenstein</output>,<output>frankenstein</output>,<output>dracula</output>,<output>frankenstein</output>,0,0.2,0,0.2,0,0.22,0,0.2,incorrect,incorrect,incorrect,incorrect
"['waldman', 'm', 'profesör waldman']",<output>emma</output>,<output>emily</output>,<output>victor</output>,<output>emily</output>,0,0.22,0,0.13,0,0.19,0,0.13,incorrect,incorrect,incorrect,incorrect
"['krempe', 'señor krempe', 'm']",<output>mr. rochester</output>,<output>heathcliff</output>,<output>heathcliff</output>,<output>lucas</output>,0,0.19,0,0.15,0,0.15,0,0.18,incorrect,incorrect,incorrect,incorrect
['dante'],<output>victor</output>,<output>elizabeth</output>,<output>emily</output>,<output>frankenstein</output>,0,0.07,0,0.13,0,0.15,0,0.24,incorrect,incorrect,incorrect,incorrect
"['frankenstein', 'clerval']",<output>elizabeth</output>,<output>heathcliff</output>,<output>emily</output>,<output>heathcliff</output>,0,0.16,0,0.12,0,0.12,0,0.12,incorrect,incorrect,incorrect,incorrect
['clerval'],<output>elizabeth</output>,<output>elizabeth</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.12,0,0.12,0,0.12,0,0.12,incorrect,incorrect,incorrect,incorrect
['henry'],<output>adam</output>,<output>edward</output>,<output>nguyễn</output>,<output>byron</output>,0,0.0,0,0.14,0,0.14,0,0.07,incorrect,incorrect,incorrect,incorrect
"['clerval', 'querido clerval']",<output>geneva</output>,<output>frankenstein</output>,<output>geneva</output>,<output>geneva</output>,0,0.26,0,0.22,0,0.26,0,0.26,incorrect,incorrect,incorrect,incorrect
['henry'],<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,<output>elizabeth</output>,0,0.06,0,0.15,0,0.15,0,0.06,incorrect,incorrect,incorrect,incorrect
"['clerva', 'clerval']",<output>elizabeth</output>,<output>elizabeth</output>,<output>emily</output>,<output>elizabeth</output>,0,0.12,0,0.12,0,0.07,0,0.12,incorrect,incorrect,incorrect,incorrect
['clerval'],<output>mont blanc</output>,<output>victor</output>,<output>geneva</output>,<output>frankenstein</output>,0,0.06,0,0.13,0,0.2,0,0.06,incorrect,incorrect,incorrect,incorrect
