Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
['montag'],<output>phoenix</output>,<output>phoenix</output>,<output>ngọc</output>,<output>emily</output>,0,0.2,0,0.2,0,0.22,0,0.21,incorrect,incorrect,incorrect,incorrect
['montag'],<output>godzilla</output>,<output>jet</output>,<output>nguyễn</output>,<output>atlas</output>,0,0.19,0,0.15,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['montag'],<output>elizabeth</output>,<output>scarlett</output>,<output>emily</output>,<output>emily</output>,0,0.19,0,0.19,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['montag'],<output>mr. darcy</output>,<output>montag</output>,<output>nguyễn</output>,<output>shakespeare</output>,0,0.19,0,0.41,0,0.21,0,0.18,incorrect,incorrect,incorrect,incorrect
['montag'],<output>montag</output>,<output>george</output>,<output>nguyễn</output>,<output>ali</output>,0,0.41,0,0.21,0,0.21,0,0.23,incorrect,incorrect,incorrect,incorrect
['montag'],<output>montag</output>,<output>john</output>,<output>nguyễn</output>,<output>ali</output>,0,0.41,0,0.22,0,0.21,0,0.23,incorrect,incorrect,incorrect,incorrect
['montag'],<output>janitor</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.2,0,0.18,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['montag'],<output>emma</output>,<output>scarlett</output>,<output>hoàng</output>,<output>emily</output>,0,0.22,0,0.19,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['montag'],<output>prospero</output>,<output>harry</output>,<output>tom</output>,<output>harry</output>,0,0.13,0,0.21,0,0.23,0,0.21,incorrect,incorrect,incorrect,incorrect
"['beatty—', 'beatty']",<output>montag</output>,<output>shelob</output>,<output>god</output>,<output>god</output>,0,0.21,0,0.21,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['mildred'],<output>hamlet</output>,<output>emily</output>,<output>god</output>,<output>ali</output>,0,0.2,0,0.21,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
"['montag', 'mildred']",<output>emily</output>,<output>montag</output>,<output>heathcliff</output>,<output>montag</output>,0,0.21,0,0.41,0,0.18,0,0.41,incorrect,incorrect,incorrect,incorrect
['beatty'],<output>long john silver</output>,<output>john</output>,<output>nguyễn</output>,<output>adam</output>,0,0.15,0,0.15,0,0.21,0,0.22,incorrect,incorrect,incorrect,incorrect
['beatty'],<output>swan</output>,<output>victor</output>,<output>đặng</output>,<output>ali</output>,0,0.22,0,0.14,0,0.22,0,0.23,incorrect,incorrect,incorrect,incorrect
['montag'],<output>hamlet</output>,<output>shakespeare</output>,<output>scarlet</output>,<output>champagne</output>,0,0.21,0,0.18,0,0.2,0,0.19,incorrect,incorrect,incorrect,incorrect
['mildred'],<output>estella</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.06,0,0.21,0,0.07,0,0.21,incorrect,incorrect,incorrect,incorrect
"['faber', 'faber—']",<output>bradbury</output>,<output>harry</output>,<output>nguyễn</output>,<output>harry</output>,0,0.2,0,0.15,0,0.07,0,0.15,incorrect,incorrect,incorrect,incorrect
['montag'],<output>denham</output>,<output>denham</output>,<output>denham</output>,<output>denham</output>,0,0.21,0,0.21,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['montag'],<output>emily</output>,<output>shakespeare</output>,<output>nguyễn</output>,<output>matthias</output>,0,0.21,0,0.18,0,0.21,0,0.19,incorrect,incorrect,incorrect,incorrect
['montag'],<output>abraham</output>,<output>god</output>,<output>nguyễn</output>,<output>atatürk</output>,0,0.2,0,0.23,0,0.21,0,0.2,incorrect,incorrect,incorrect,incorrect
['montag'],<output>his</output>,<output>adam</output>,<output>adam</output>,<output>ali</output>,0,0.15,0,0.22,0,0.22,0,0.23,incorrect,incorrect,incorrect,incorrect
['faber'],<output>heathcliff</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>emily</output>,0,0.06,0,0.06,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['gloria'],<output>winston</output>,<output>elizabeth</output>,<output>nguyễn</output>,<output>john</output>,0,0.13,0,0.12,0,0.14,0,0.07,incorrect,incorrect,incorrect,incorrect
"['bowles', 'bayan bowles']",<output>dr. kildare</output>,<output>dr. smith</output>,<output>emily</output>,<output>ataturk</output>,0,0.18,0,0.12,0,0.14,0,0.17,incorrect,incorrect,incorrect,incorrect
"['bowles', 'bayan bowles']",<output>emily</output>,<output>emily</output>,<output>nguyễn</output>,<output>god</output>,0,0.14,0,0.14,0,0.17,0,0.08,incorrect,incorrect,incorrect,incorrect
"['bayan phelps', 'phelps']",<output>bradbury</output>,<output>ray bradbury</output>,<output>harry</output>,<output>stephen king</output>,0,0.22,0,0.2,0,0.21,0,0.23,incorrect,incorrect,incorrect,incorrect
"['bayan phelps', 'phelps']",<output>emily</output>,<output>shakespeare</output>,<output>emily</output>,<output>shakespeare</output>,0,0.29,0,0.24,0,0.29,0,0.24,incorrect,incorrect,incorrect,incorrect
['montag'],<output>may</output>,<output>paul</output>,<output>elizabeth</output>,<output>atatürk</output>,0,0.23,0,0.22,0,0.19,0,0.2,incorrect,incorrect,incorrect,incorrect
