Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
['bruno'],<output>emma</output>,<output>scarlett</output>,<output>nguyễn</output>,<output>elizabeth</output>,0,0.15,0,0.13,0,0.21,0,0.13,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>mr. bennet</output>,<output>emily</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.18,0,0.14,0,0.12,0,0.12,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>orwell</output>,<output>anna</output>,<output>harry</output>,<output>adolf</output>,0,0.14,0,0.23,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>heathcliff</output>,<output>emily</output>,<output>heathcliff</output>,<output>emily</output>,0,0.12,0,0.15,0,0.12,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>john</output>,<output>emily</output>,<output>emma</output>,<output>emily</output>,0,0.23,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['maria', 'maría']",<output>harry</output>,<output>emily</output>,<output>tom</output>,<output>emily</output>,0,0.15,0,0.15,0,0.08,0,0.15,incorrect,incorrect,incorrect,incorrect
"['maria', 'maría']",<output>george</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.07,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>harry</output>,<output>emily</output>,<output>tom</output>,<output>emma</output>,0,0.15,0,0.15,0,0.16,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>frankenstein</output>,<output>frankenstein</output>,<output>nguyễn</output>,<output>frankenstein</output>,0,0.12,0,0.12,0,0.21,0,0.12,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>harry</output>,<output>emily</output>,<output>tom</output>,<output>emily</output>,0,0.15,0,0.15,0,0.16,0,0.15,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>lucas</output>,0,0.14,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>emily</output>,<output>emily</output>,<output>elizabeth</output>,<output>adolf</output>,0,0.15,0,0.15,0,0.13,0,0.15,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>offred</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.21,0,0.18,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>emma</output>,<output>scarlett</output>,<output>emily</output>,<output>emma</output>,0,0.15,0,0.19,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>george</output>,<output>heathcliff</output>,<output>tom</output>,<output>lucas</output>,0,0.14,0,0.12,0,0.16,0,0.15,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,<output>abel</output>,0,0.12,0,0.14,0,0.14,0,0.22,incorrect,incorrect,incorrect,incorrect
"['bruno—', 'bruno']",<output>george orwell</output>,<output>george orwell</output>,<output>nguyễn</output>,<output>george</output>,0,0.11,0,0.11,0,0.21,0,0.14,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>elizabeth</output>,<output>scarlett</output>,<output>emily</output>,<output>elizabeth</output>,0,0.12,0,0.19,0,0.14,0,0.12,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>abraham</output>,<output>abraham</output>,<output>nguyễn</output>,<output>julian</output>,0,0.21,0,0.21,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>emma</output>,<output>emily</output>,<output>emily</output>,<output>julian</output>,0,0.15,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.14,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>john</output>,<output>scarlett</output>,<output>nguyễn</output>,<output>elizabeth</output>,0,0.23,0,0.13,0,0.21,0,0.13,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>grandfather</output>,<output>anna</output>,<output>nguyễn</output>,<output>heinrich</output>,0,0.12,0,0.23,0,0.21,0,0.13,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>hamlet</output>,<output>emily</output>,<output>ngọc</output>,<output>heathcliff</output>,0,0.14,0,0.15,0,0.23,0,0.12,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>jo</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.17,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>emma</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>tom</output>,<output>emily</output>,<output>nguyễn</output>,<output>albert</output>,0,0.16,0,0.15,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>heinrich</output>,<output>teğmen</output>,<output>heathcliff</output>,<output>adolf</output>,0,0.13,0,0.21,0,0.12,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>tom</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.16,0,0.15,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
['pavel'],<output>god</output>,<output>heathcliff</output>,<output>scarlett</output>,<output>emily</output>,0,0.08,0,0.19,0,0.2,0,0.22,incorrect,incorrect,incorrect,incorrect
"['pavel', 'pavel—']",<output>emma</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.22,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>tom</output>,<output>scarlett</output>,<output>heathcliff</output>,<output>lucas</output>,0,0.16,0,0.13,0,0.12,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>dr. livesey</output>,<output>dr. smith</output>,<output>nguyễn</output>,<output>dr. smith</output>,0,0.12,0,0.13,0,0.21,0,0.13,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>watson</output>,<output>john</output>,<output>nguyễn</output>,<output>dr. smith</output>,0,0.21,0,0.23,0,0.21,0,0.13,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>house</output>,<output>emily</output>,<output>nguyễn</output>,<output>carlos</output>,0,0.15,0,0.15,0,0.21,0,0.14,incorrect,incorrect,incorrect,incorrect
['pavel'],<output>david</output>,<output>emily</output>,<output>nguyễn</output>,<output>emma</output>,0,0.22,0,0.22,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
"['bruno—', 'bruno']",<output>angela</output>,<output>albert</output>,<output>adenauer</output>,<output>marie</output>,0,0.21,0,0.21,0,0.13,0,0.15,incorrect,incorrect,incorrect,incorrect
['pavel'],<output>steve</output>,<output>elmer</output>,<output>emily</output>,<output>emily</output>,0,0.22,0,0.22,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>hamlet</output>,<output>hamlet</output>,<output>heathcliff</output>,<output>hamlet</output>,0,0.14,0,0.14,0,0.12,0,0.14,incorrect,incorrect,incorrect,incorrect
"['liszt', 'herr liszt', 'herr liszt—', 'bay liszt']",<output>grandmother</output>,<output>emily</output>,<output>nguyễn</output>,<output>albus</output>,0,0.21,0,0.19,0,0.12,0,0.22,incorrect,incorrect,incorrect,incorrect
"['liszt', 'herr liszt', 'bay liszt']",<output>heathcliff</output>,<output>scarlett</output>,<output>tom</output>,<output>heathcliff</output>,0,0.27,0,0.18,0,0.08,0,0.27,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,<output>elizabeth</output>,0,0.12,0,0.15,0,0.15,0,0.13,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>robinson crusoe</output>,<output>robinson</output>,<output>thoreau</output>,<output>robinson</output>,0,0.22,0,0.13,0,0.21,0,0.13,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>christopher</output>,<output>christopher columbus</output>,<output>agatha</output>,<output>harry</output>,0,0.12,0,0.14,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>holden</output>,<output>emily</output>,<output>heathcliff</output>,<output>john</output>,0,0.21,0,0.15,0,0.12,0,0.23,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>shmuel</output>,<output>charlie</output>,<output>charlie</output>,<output>david</output>,0,0.14,0,0.14,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>oliver</output>,<output>emily</output>,<output>john</output>,<output>tom</output>,0,0.14,0,0.15,0,0.23,0,0.16,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>harry</output>,<output>emily</output>,<output>nguyễn</output>,<output>lucas</output>,0,0.15,0,0.15,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
['shmuel'],<output>august</output>,<output>emily</output>,<output>hitler</output>,<output>april</output>,0,0.14,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>hitler</output>,<output>heinrich</output>,<output>nguyễn</output>,<output>adolf</output>,0,0.14,0,0.13,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
"['“không', 'bruno']",<output>god</output>,<output>emily</output>,<output>bruno</output>,<output>emily</output>,0,0.16,0,0.15,0,0.37,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>heathcliff</output>,<output>emily</output>,<output>harry</output>,<output>emily</output>,0,0.12,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['bruno'],<output>amundsen</output>,<output>christopher</output>,<output>thám</output>,<output>magellan</output>,0,0.2,0,0.12,0,0.15,0,0.2,incorrect,incorrect,incorrect,incorrect
"['huy', 'bruno']",<output>harry</output>,<output>christopher</output>,<output>emily</output>,<output>christopher</output>,0,0.16,0,0.13,0,0.16,0,0.13,incorrect,incorrect,incorrect,incorrect
['gretel'],<output>caroline</output>,<output>emily</output>,<output>nguyễn</output>,<output>emma</output>,0,0.19,0,0.14,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
