Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
['george'],<output>george</output>,<output>john</output>,<output>jesus</output>,<output>emma</output>,0,0.41,0,0.07,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
['george'],<output>he</output>,<output>john</output>,<output>tom</output>,<output>emily</output>,0,0.16,0,0.07,0,0.08,0,0.14,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>holden</output>,<output>holden</output>,<output>emily</output>,<output>emily</output>,0,0.21,0,0.21,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>god</output>,<output>heathcliff</output>,<output>god</output>,<output>beatriz</output>,0,0.0,0,0.12,0,0.0,0,0.13,incorrect,incorrect,incorrect,incorrect
['george'],<output>charlie</output>,<output>john</output>,<output>nguyễn</output>,<output>lucas</output>,0,0.13,0,0.07,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>holden</output>,<output>scarlett</output>,<output>nguyễn</output>,<output>lucas</output>,0,0.14,0,0.13,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>george</output>,<output>heathcliff</output>,<output>heathcliff</output>,<output>lucas</output>,0,0.14,0,0.12,0,0.12,0,0.07,incorrect,incorrect,incorrect,incorrect
"['george', 'geroge']",<output>stan</output>,<output>john</output>,<output>nguyễn</output>,<output>god</output>,0,0.07,0,0.07,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
"['lenni', 'lennie']",<output>maycomb</output>,<output>emily</output>,<output>nguyễn</output>,<output>john</output>,0,0.0,0,0.07,0,0.14,0,0.08,incorrect,incorrect,incorrect,incorrect
['george'],<output>john</output>,<output>tom</output>,<output>god</output>,<output>lucas</output>,0,0.07,0,0.08,0,0.15,0,0.07,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>tom</output>,<output>john</output>,<output>heathcliff</output>,<output>stetson</output>,0,0.0,0,0.07,0,0.12,0,0.13,incorrect,incorrect,incorrect,incorrect
['george'],<output>jack</output>,<output>john</output>,<output>nguyễn</output>,<output>john</output>,0,0.07,0,0.07,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>god</output>,<output>hamdi</output>,<output>god</output>,<output>atlas</output>,0,0.15,0,0.07,0,0.15,0,0.07,incorrect,incorrect,incorrect,incorrect
"['lenni', 'lennie']",<output>john</output>,<output>hamlet</output>,<output>ngọc</output>,<output>lucas</output>,0,0.08,0,0.14,0,0.08,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>tom</output>,<output>emily</output>,<output>nguyễn</output>,<output>emma</output>,0,0.08,0,0.14,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
['george'],<output>paul</output>,<output>emily</output>,<output>nguyễn</output>,<output>heathcliff</output>,0,0.07,0,0.14,0,0.21,0,0.12,incorrect,incorrect,incorrect,incorrect
"['george', 'george—']",<output>curly</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>john</output>,0,0.14,0,0.12,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>clark kent</output>,<output>heathcliff</output>,<output>scarlett</output>,<output>john</output>,0,0.18,0,0.12,0,0.13,0,0.07,incorrect,incorrect,incorrect,incorrect
['carlson'],<output>walter</output>,<output>walther</output>,<output>walther</output>,<output>marlowe</output>,0,0.2,0,0.19,0,0.19,0,0.26,incorrect,incorrect,incorrect,incorrect
['george'],<output>pa</output>,<output>heidi</output>,<output>nguyễn</output>,<output>robinson</output>,0,0.08,0,0.14,0,0.21,0,0.13,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>george</output>,<output>heidi</output>,<output>god</output>,<output>benjamin</output>,0,0.14,0,0.14,0,0.0,0,0.19,incorrect,incorrect,incorrect,incorrect
['candy'],<output>paris</output>,<output>shakespeare</output>,<output>jesus</output>,<output>emily</output>,0,0.07,0,0.06,0,0.0,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>tom</output>,<output>abraham</output>,<output>nguyễn</output>,<output>john</output>,0,0.08,0,0.13,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
['candy'],<output>george</output>,<output>john</output>,<output>god</output>,<output>harold</output>,0,0.0,0,0.08,0,0.08,0,0.14,incorrect,incorrect,incorrect,incorrect
"['carlson—', 'carlson']",<output>ma</output>,<output>ali</output>,<output>nguyễn</output>,<output>london</output>,0,0.15,0,0.22,0,0.13,0,0.2,incorrect,incorrect,incorrect,incorrect
['crooks'],<output>henry</output>,<output>tom</output>,<output>heathcliff</output>,<output>george</output>,0,0.14,0,0.15,0,0.12,0,0.14,incorrect,incorrect,incorrect,incorrect
['george'],<output>john</output>,<output>emily</output>,<output>nguyễn</output>,<output>julio</output>,0,0.07,0,0.14,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
['curley'],<output>anna</output>,<output>scarlett</output>,<output>ngọc</output>,<output>emily</output>,0,0.07,0,0.26,0,0.15,0,0.21,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>boxer</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>heathcliff</output>,0,0.07,0,0.12,0,0.14,0,0.12,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>abraham</output>,<output>heidi</output>,<output>nguyễn</output>,<output>boxer</output>,0,0.0,0,0.14,0,0.14,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>tom</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>heathcliff</output>,0,0.08,0,0.12,0,0.21,0,0.12,incorrect,incorrect,incorrect,incorrect
['curley'],<output>holden</output>,<output>emily</output>,<output>nguyễn</output>,<output>julia</output>,0,0.21,0,0.21,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>john</output>,<output>argos</output>,<output>heathcliff</output>,<output>john</output>,0,0.07,0,0.0,0,0.12,0,0.07,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>templeton</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.19,0,0.07,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
"['curley', 'vợ curley']",<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.26,0,0.26,0,0.26,0,0.26,incorrect,incorrect,incorrect,incorrect
"['curley', 'curle']",<output>curley</output>,<output>john</output>,<output>black beauty</output>,<output>abel</output>,0,0.41,0,0.08,0,0.17,0,0.15,incorrect,incorrect,incorrect,incorrect
['curley'],<output>emma</output>,<output>elizabeth</output>,<output>elizabeth</output>,<output>juliet</output>,0,0.15,0,0.19,0,0.19,0,0.21,incorrect,incorrect,incorrect,incorrect
['george'],<output>george</output>,<output>tom</output>,<output>heathcliff</output>,<output>lucas</output>,0,0.41,0,0.08,0,0.12,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>john</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.07,0,0.12,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['george'],<output>curley</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>emily</output>,0,0.14,0,0.12,0,0.21,0,0.14,incorrect,incorrect,incorrect,incorrect
['george'],<output>lincoln</output>,<output>john</output>,<output>nguyễn</output>,<output>south</output>,0,0.07,0,0.07,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>walden</output>,<output>tom</output>,<output>nguyễn</output>,<output>herne</output>,0,0.21,0,0.0,0,0.14,0,0.21,incorrect,incorrect,incorrect,incorrect
"['lennie im', 'lennie']",<output>sam</output>,<output>heathcliff</output>,<output>david</output>,<output>lucas</output>,0,0.09,0,0.12,0,0.08,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>george</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>elmer</output>,0,0.41,0,0.12,0,0.21,0,0.14,incorrect,incorrect,incorrect,incorrect
['george'],<output>george</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>lucas</output>,0,0.41,0,0.12,0,0.21,0,0.07,incorrect,incorrect,incorrect,incorrect
"['george', 'george—']",<output>steinbeck</output>,<output>john</output>,<output>nguyễn</output>,<output>carlos</output>,0,0.12,0,0.07,0,0.21,0,0.14,incorrect,incorrect,incorrect,incorrect
['lennie'],<output>adam</output>,<output>abraham</output>,<output>emily</output>,<output>abel</output>,0,0.0,0,0.0,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>heathcliff</output>,<output>odysseus</output>,<output>heathcliff</output>,<output>odysseus</output>,0,0.12,0,0.13,0,0.12,0,0.13,incorrect,incorrect,incorrect,incorrect
