Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['jalil', 'yalil', 'celil']",<output>adam</output>,<output>god</output>,<output>adam</output>,<output>abel</output>,0,0.08,0,0.0,0,0.08,0,0.15,incorrect,incorrect,incorrect,incorrect
"['mariam jo', 'mariam', 'meryem co']",<output>god</output>,<output>abraham</output>,<output>emily</output>,<output>god</output>,0,0.09,0,0.3,0,0.19,0,0.09,incorrect,incorrect,incorrect,incorrect
"['faizulá', 'faizu', 'molla feyzullah', 'mullah faizullah']",<output>god</output>,<output>emily</output>,<output>nguyễn</output>,<output>abdul</output>,0,0.11,0,0.19,0,0.16,0,0.22,incorrect,incorrect,incorrect,incorrect
"['mil', 'jalil', 'yalil', 'celil']",<output>offred</output>,<output>abigail</output>,<output>ngọc</output>,<output>abigail</output>,0,0.07,0,0.21,0,0.08,0,0.21,incorrect,incorrect,incorrect,incorrect
"['lili lili', 'lili', 'lili mi']",<output>minnow</output>,<output>abraham</output>,<output>nguyễn</output>,<output>walden</output>,0,0.16,0,0.08,0,0.0,0,0.07,incorrect,incorrect,incorrect,incorrect
"['mariam jo', 'mariam', 'meryem co']",<output>lucas</output>,<output>scarlett</output>,<output>nguyễn</output>,<output>maría</output>,0,0.17,0,0.18,0,0.19,0,0.39,incorrect,incorrect,incorrect,incorrect
"['meryem gari', 'mariam']",<output>marco polo</output>,<output>ali</output>,<output>nguyễn</output>,<output>samarkand</output>,0,0.18,0,0.17,0,0.14,0,0.25,incorrect,incorrect,incorrect,incorrect
"['celil han', 'chính jalil khan', 'jalil khan', 'yalil jan']",<output>john</output>,<output>john</output>,<output>ali</output>,<output>john</output>,0,0.19,0,0.19,0,0.24,0,0.19,incorrect,incorrect,incorrect,incorrect
['nana'],<output>estella</output>,<output>scarlett</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.07,0,0.07,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
"['mariam jo', 'mariam', 'meryem co']",<output>emma</output>,<output>atticus</output>,<output>emily</output>,<output>elizabeth</output>,0,0.2,0,0.18,0,0.19,0,0.17,incorrect,incorrect,incorrect,incorrect
"['bibi', 'bibi co', 'bibi jo']",<output>jo</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.19,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['nergis', 'nargis']",<output>abraham</output>,<output>abraham</output>,<output>heathcliff</output>,<output>abel</output>,0,0.13,0,0.13,0,0.12,0,0.07,incorrect,incorrect,incorrect,incorrect
"['jalil', 'yalil', 'celil']",<output>rahul</output>,<output>rahul</output>,<output>ram</output>,<output>lucas</output>,0,0.15,0,0.15,0,0.08,0,0.07,incorrect,incorrect,incorrect,incorrect
"['rashid', 'rasheed', 'raşit']",<output>his</output>,<output>emily</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.16,0,0.15,0,0.13,0,0.13,incorrect,incorrect,incorrect,incorrect
"['rashid', 'rasheed', 'raşit']",<output>he</output>,<output>robinson crusoe</output>,<output>emily</output>,<output>jesus</output>,0,0.15,0,0.16,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['rashid', 'rasheed', 'raşit']",<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['leyla', 'laila']",<output>heathcliff</output>,<output>antigone</output>,<output>dimmesdale</output>,<output>emily</output>,0,0.12,0,0.13,0,0.12,0,0.15,incorrect,incorrect,incorrect,incorrect
"['peştun', 'tariq']",<output>abdul</output>,<output>yunus</output>,<output>nguyễn</output>,<output>emily</output>,0,0.21,0,0.29,0,0.28,0,0.29,incorrect,incorrect,incorrect,incorrect
['alyona'],<output>anna</output>,<output>scarlett</output>,<output>champagne</output>,<output>elizabeth</output>,0,0.22,0,0.19,0,0.12,0,0.12,incorrect,incorrect,incorrect,incorrect
