Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['mauricio lorry', 'jarvis lorr', 'mr jarvis lorry', 'jarvis lorry']",<output>lucie</output>,<output>charles</output>,<output>charles</output>,<output>charles</output>,0,0.27,0,0.23,0,0.23,0,0.23,incorrect,incorrect,incorrect,incorrect
"['mr lorry', 'lorry']",<output>dover</output>,<output>heathcliff</output>,<output>dover</output>,<output>maría</output>,0,0.15,0,0.12,0,0.15,0,0.2,incorrect,incorrect,incorrect,incorrect
"['miss manette', 'manette']",<output>mr. smith</output>,<output>henry</output>,<output>nguyễn</output>,<output>emily</output>,0,0.21,0,0.21,0,0.27,0,0.24,incorrect,incorrect,incorrect,incorrect
"['mr lorry', 'lorry']",<output>edward</output>,<output>heathcliff</output>,<output>ngọc</output>,<output>edmundo</output>,0,0.14,0,0.12,0,0.08,0,0.12,incorrect,incorrect,incorrect,incorrect
"['mr lorry', 'lorry']",<output>banker</output>,<output>elizabeth</output>,<output>elizabeth</output>,<output>emily</output>,0,0.14,0,0.13,0,0.13,0,0.2,incorrect,incorrect,incorrect,incorrect
"['señora defarge', 'madame defarge', 'defarge', 'madam defarge']",<output>madame dupont</output>,<output>emily</output>,<output>nguyễn</output>,<output>emma</output>,0,0.36,0,0.14,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
"['señora defarge', 'madame defarge', 'defarge', 'madam defarge']",<output>christian</output>,<output>scarlett</output>,<output>nghe</output>,<output>abel</output>,0,0.19,0,0.21,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['mösyö defarge', 'defarge', 'monsieur defarge']",<output>mr. darcy</output>,<output>mr. darcy</output>,<output>nguyễn</output>,<output>marlowe</output>,0,0.29,0,0.29,0,0.26,0,0.25,incorrect,incorrect,incorrect,incorrect
['defarge'],<output>god</output>,<output>lucifer</output>,<output>god</output>,<output>lucifer</output>,0,0.07,0,0.13,0,0.07,0,0.13,incorrect,incorrect,incorrect,incorrect
"['mr lorry', 'lorry']",<output>emily</output>,<output>emily</output>,<output>scarlett</output>,<output>emily</output>,0,0.2,0,0.2,0,0.18,0,0.2,incorrect,incorrect,incorrect,incorrect
"['mr lorry', 'lorry']",<output>mr. darcy</output>,<output>lucie</output>,<output>elizabeth</output>,<output>maría</output>,0,0.26,0,0.15,0,0.13,0,0.2,incorrect,incorrect,incorrect,incorrect
['defarge'],<output>jesus</output>,<output>adam</output>,<output>hoàng</output>,<output>god</output>,0,0.07,0,0.14,0,0.14,0,0.07,incorrect,incorrect,incorrect,incorrect
