Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['nancy bobofit', 'nancy']",<output>will</output>,<output>john</output>,<output>nguyễn</output>,<output>pygmalion</output>,0,0.21,0,0.21,0,0.22,0,0.18,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",<output>apollo</output>,<output>zeus</output>,<output>la</output>,<output>zeus</output>,0,0.12,0,0.14,0,0.13,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'murmuré', 'brunner']",<output>holden</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.2,0,0.21,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",<output>edward</output>,<output>stephen</output>,<output>nguyễn</output>,<output>leonardo</output>,0,0.18,0,0.13,0,0.2,0,0.17,incorrect,incorrect,incorrect,incorrect
"['dodds', 'señora dodds', 'bayan dodds']",<output>dracula</output>,<output>lucifer</output>,<output>emily</output>,<output>lucifer</output>,0,0.22,0,0.13,0,0.14,0,0.13,incorrect,incorrect,incorrect,incorrect
"['jackson', 'bay jackson', 'señor jackson']",<output>mont blanc</output>,<output>emily</output>,<output>nguyễn</output>,<output>montblanc</output>,0,0.15,0,0.15,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
"['dodds', 'bayan dodds']",<output>freud</output>,<output>god</output>,<output>thịnh</output>,<output>jason</output>,0,0.15,0,0.16,0,0.12,0,0.18,incorrect,incorrect,incorrect,incorrect
"['dodds', 'señora dodds', 'bayan dodds']",<output>dracula</output>,<output>lucifer</output>,<output>emily</output>,<output>macbeth</output>,0,0.22,0,0.13,0,0.14,0,0.13,incorrect,incorrect,incorrect,incorrect
"['nancy bobofit', 'nancy']",<output>ms. gruwell</output>,<output>holden</output>,<output>frankenstein</output>,<output>heathcliff</output>,0,0.17,0,0.2,0,0.19,0,0.2,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",<output>virgil</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.13,0,0.14,0,0.2,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",<output>dean</output>,<output>emily</output>,<output>yancy</output>,<output>lucas</output>,0,0.14,0,0.14,0,0.18,0,0.12,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",<output>harry</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.18,0,0.14,0,0.2,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",<output>latin</output>,<output>plato</output>,<output>virgil</output>,<output>plato</output>,0,0.14,0,0.12,0,0.13,0,0.12,incorrect,incorrect,incorrect,incorrect
['nancy bobofit'],<output>edward</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.2,0,0.21,0,0.22,0,0.21,incorrect,incorrect,incorrect,incorrect
"['sally jackso', 'sally jackson']",<output>harper</output>,<output>charles dickens</output>,<output>trần</output>,<output>harry</output>,0,0.14,0,0.27,0,0.15,0,0.18,incorrect,incorrect,incorrect,incorrect
