Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['snape—', 'snape']",<output>defense</output>,<output>harry</output>,<output>hoàng</output>,<output>harry</output>,0,0.14,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['snape—', 'snape']",<output>ministry</output>,<output>ministry</output>,<output>nguyễn</output>,<output>ministry</output>,0,0.13,0,0.13,0,0.14,0,0.13,incorrect,incorrect,incorrect,incorrect
['lucius malfoy'],<output>heathcliff</output>,<output>heathcliff</output>,<output>heathcliff</output>,<output>maría</output>,0,0.24,0,0.24,0,0.24,0,0.29,incorrect,incorrect,incorrect,incorrect
"['lucius', 'luciu']",<output>elizabeth</output>,<output>heathcliff</output>,<output>elizabeth</output>,<output>julia</output>,0,0.19,0,0.19,0,0.19,0,0.22,incorrect,incorrect,incorrect,incorrect
"['malfoys', 'malfoy']",<output>god</output>,<output>frankenstein</output>,<output>elizabeth</output>,<output>god</output>,0,0.08,0,0.11,0,0.12,0,0.08,incorrect,incorrect,incorrect,incorrect
['draco malfoy'],<output>estella</output>,<output>rezalet</output>,<output>ngọc</output>,<output>emily</output>,0,0.14,0,0.22,0,0.15,0,0.24,incorrect,incorrect,incorrect,incorrect
"['hermione‘ye', 'hermione']",<output>harry</output>,<output>harry</output>,<output>nguyễn</output>,<output>harry</output>,0,0.2,0,0.2,0,0.24,0,0.2,incorrect,incorrect,incorrect,incorrect
['harry'],<output>harry</output>,<output>john</output>,<output>nguyễn</output>,<output>marcel</output>,0,0.37,0,0.08,0,0.07,0,0.14,incorrect,incorrect,incorrect,incorrect
['harry'],<output>john</output>,<output>george</output>,<output>nguyễn</output>,<output>john</output>,0,0.08,0,0.07,0,0.07,0,0.08,incorrect,incorrect,incorrect,incorrect
"['albus dumbledore‘un', 'albus dumbledore']",<output>snape</output>,<output>emily</output>,<output>dimmesdale</output>,<output>heathcliff</output>,0,0.23,0,0.29,0,0.3,0,0.2,incorrect,incorrect,incorrect,incorrect
"['harry', 'harry—']",<output>harry</output>,<output>heathcliff</output>,<output>jesus</output>,<output>esteban</output>,0,0.37,0,0.12,0,0.0,0,0.07,incorrect,incorrect,incorrect,incorrect
"['kuera', 'vernon']",<output>uncle</output>,<output>john</output>,<output>nguyễn</output>,<output>heathcliff</output>,0,0.15,0,0.15,0,0.21,0,0.19,incorrect,incorrect,incorrect,incorrect
"['harry', 'harry—']",<output>macbeth</output>,<output>god</output>,<output>nguyễn</output>,<output>harry</output>,0,0.07,0,0.0,0,0.07,0,0.37,incorrect,incorrect,incorrect,incorrect
"['harry', 'harr', 'vernon dursley', 'harry‘ye']",<output>heathcliff</output>,<output>john</output>,<output>hoàng</output>,<output>maude</output>,0,0.15,0,0.17,0,0.17,0,0.17,incorrect,incorrect,incorrect,incorrect
['dudley'],<output>jesus</output>,<output>elizabeth</output>,<output>emily</output>,<output>jesus</output>,0,0.14,0,0.19,0,0.21,0,0.14,incorrect,incorrect,incorrect,incorrect
"['hagri', 'hayalbozan', 'hagrid']",<output>death eaters</output>,<output>harry</output>,<output>nguyễn</output>,<output>harry</output>,0,0.18,0,0.25,0,0.12,0,0.25,incorrect,incorrect,incorrect,incorrect
"['pius thi', 'pius thicknesse']",<output>trace</output>,<output>emily</output>,<output>emily</output>,<output>lucas</output>,0,0.27,0,0.27,0,0.27,0,0.27,incorrect,incorrect,incorrect,incorrect
['moody'],<output>emma</output>,<output>reşit</output>,<output>nguyễn</output>,<output>beatriz</output>,0,0.15,0,0.15,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['harry'],<output>merlin</output>,<output>harry</output>,<output>scarlett</output>,<output>merlin</output>,0,0.07,0,0.37,0,0.13,0,0.07,incorrect,incorrect,incorrect,incorrect
"['moody—', 'moody']",<output>harry</output>,<output>üç</output>,<output>nguyễn</output>,<output>madriguera</output>,0,0.15,0,0.17,0,0.14,0,0.12,incorrect,incorrect,incorrect,incorrect
['harry'],<output>death</output>,<output>harley</output>,<output>longwang</output>,<output>harry</output>,0,0.07,0,0.29,0,0.07,0,0.37,incorrect,incorrect,incorrect,incorrect
"['hagrid‘in', 'hagrid']",<output>harry</output>,<output>emily</output>,<output>heathcliff</output>,<output>emily</output>,0,0.21,0,0.07,0,0.18,0,0.07,incorrect,incorrect,incorrect,incorrect
"['señora weasley', 'ms weasley', 'weasley']",<output>stephen</output>,<output>scarlett</output>,<output>heathcliff</output>,<output>hubo</output>,0,0.27,0,0.23,0,0.2,0,0.07,incorrect,incorrect,incorrect,incorrect
"['mr weasley', 'weasley—', 'weasley']",<output>matilda</output>,<output>harry</output>,<output>god</output>,<output>harry</output>,0,0.18,0,0.14,0,0.0,0,0.14,incorrect,incorrect,incorrect,incorrect
['harry'],<output>jack</output>,<output>scarlett</output>,<output>scarlett</output>,<output>scarlett</output>,0,0.08,0,0.13,0,0.13,0,0.13,incorrect,incorrect,incorrect,incorrect
['hermione'],<output>frankenstein</output>,<output>emily</output>,<output>jesus</output>,<output>emily</output>,0,0.16,0,0.27,0,0.13,0,0.27,incorrect,incorrect,incorrect,incorrect
['hermione'],<output>rowan</output>,<output>hece</output>,<output>harry</output>,<output>harry</output>,0,0.2,0,0.21,0,0.2,0,0.2,incorrect,incorrect,incorrect,incorrect
"['ron—', 'ron']",<output>harry</output>,<output>emily</output>,<output>nguyễn</output>,<output>victor</output>,0,0.16,0,0.08,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['hermione'],<output>harry</output>,<output>harry</output>,<output>harry</output>,<output>harry</output>,0,0.2,0,0.2,0,0.2,0,0.2,incorrect,incorrect,incorrect,incorrect
"['ron—', 'ron']",<output>ron</output>,<output>emily</output>,<output>nguyễn</output>,<output>shinichi</output>,0,0.26,0,0.08,0,0.15,0,0.14,incorrect,incorrect,incorrect,incorrect
['ron'],<output>draco</output>,<output>harry</output>,<output>ngọc</output>,<output>harry</output>,0,0.16,0,0.16,0,0.17,0,0.16,incorrect,incorrect,incorrect,incorrect
['ron'],<output>jesus</output>,<output>emily</output>,<output>god</output>,<output>god</output>,0,0.08,0,0.08,0,0.09,0,0.09,incorrect,incorrect,incorrect,incorrect
['ginny'],<output>tom</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.0,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['hermione'],<output>matilda</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.19,0,0.27,0,0.13,0,0.27,incorrect,incorrect,incorrect,incorrect
['harry'],<output>emma</output>,<output>emily</output>,<output>elizabeth</output>,<output>emily</output>,0,0.08,0,0.07,0,0.06,0,0.07,incorrect,incorrect,incorrect,incorrect
['harry'],<output>shangri-la</output>,<output>emily</output>,<output>emily</output>,<output>heathcliff</output>,0,0.19,0,0.07,0,0.07,0,0.12,incorrect,incorrect,incorrect,incorrect
['harry'],<output>harry</output>,<output>harry</output>,<output>harry</output>,<output>harry</output>,0,0.37,0,0.37,0,0.37,0,0.37,incorrect,incorrect,incorrect,incorrect
['harry'],<output>tom</output>,<output>scarlett</output>,<output>god</output>,<output>lucas</output>,0,0.0,0,0.13,0,0.0,0,0.07,incorrect,incorrect,incorrect,incorrect
"['mr weasley‘nin', 'señor weasley', 'weasley']",<output>heathcliff</output>,<output>scarlett</output>,<output>adam</output>,<output>lucas</output>,0,0.21,0,0.21,0,0.12,0,0.17,incorrect,incorrect,incorrect,incorrect
['hermione'],<output>harry</output>,<output>galileo</output>,<output>god</output>,<output>minister</output>,0,0.2,0,0.12,0,0.07,0,0.18,incorrect,incorrect,incorrect,incorrect
['hermione'],<output>harry</output>,<output>harry</output>,<output>emma</output>,<output>minerva</output>,0,0.2,0,0.2,0,0.21,0,0.19,incorrect,incorrect,incorrect,incorrect
"['ms weasley', 'weasley']",<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.18,0,0.21,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['harry'],<output>stapleton</output>,<output>emily</output>,<output>nguyễn</output>,<output>maría</output>,0,0.06,0,0.07,0,0.07,0,0.15,incorrect,incorrect,incorrect,incorrect
['dumbledore'],<output>hamlet</output>,<output>harry</output>,<output>dimmesdale</output>,<output>albert einstein</output>,0,0.3,0,0.12,0,0.27,0,0.19,incorrect,incorrect,incorrect,incorrect
"['ron—', 'ron']",<output>hamlet</output>,<output>hamlet</output>,<output>nguyễn</output>,<output>emily</output>,0,0.08,0,0.08,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
['fred'],<output>harry</output>,<output>harry</output>,<output>nguyễn</output>,<output>beatriz</output>,0,0.08,0,0.08,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['george'],<output>bill</output>,<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,0,0.07,0,0.12,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['luna'],<output>matilda</output>,<output>scarlett</output>,<output>scarlett</output>,<output>abraham</output>,0,0.14,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['fred', 'fred—']",<output>harry</output>,<output>scarlett</output>,<output>nguyễn</output>,<output>scarlett</output>,0,0.08,0,0.14,0,0.07,0,0.14,incorrect,incorrect,incorrect,incorrect
['muriel'],<output>leonardo</output>,<output>prospero</output>,<output>ngọc</output>,<output>aladdin</output>,0,0.13,0,0.19,0,0.07,0,0.13,incorrect,incorrect,incorrect,incorrect
['harry'],<output>big</output>,<output>scarlett</output>,<output>ngọc</output>,<output>tom</output>,0,0.0,0,0.13,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
['harry'],<output>heathcliff</output>,<output>emily</output>,<output>nguyễn</output>,<output>beatriz</output>,0,0.12,0,0.07,0,0.07,0,0.14,incorrect,incorrect,incorrect,incorrect
['muriel'],<output>mungo</output>,<output>harry</output>,<output>mungo</output>,<output>mungo</output>,0,0.14,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['harry', 'harry—']",<output>harry</output>,<output>harry</output>,<output>nguyễn</output>,<output>heathcliff</output>,0,0.37,0,0.37,0,0.07,0,0.12,incorrect,incorrect,incorrect,incorrect
