en,en_results
"Ten days have passed, and I have yet to meet my groom. Instead, I’ve become a project—one that requires a concerted effort from an interdisciplinary crew to look weddable. A manicurist coaxes my nails into pink ovals. A facialist smacks my cheeks with relish. A hairdresser magically hides my pointed ears under a web of dark blond braids, and a makeup expert paints a different face on top of mine, something interesting and sophisticated and zygomatic.","""title"": ""The Long Way to a Small, Angry Planet"", ""author"": ""Becky Chambers"""
"“There is no going back, Misery,” he adds, not unkindly. “Once the handfasting is complete, you will be his wife.”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas"""
"“I know.” I don’t need soothing, or encouragement. I’ve been nothing but unwavering in my commitment to this union. I’m not prone to panic, or fear, or last-minute changes of heart. “I’ve done this before, remember?” He studies me for a few moments, until the doors open to what’s left of my life.","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"Tough shit, buddy, I think, lifting my chin. I step forward, again, until we are standing in front of each other, this side of too close.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"So I step closer and murmur, “I don’t care how little you like this, but if you want to avoid a second Aster—”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas"""
"It was maybe a third of that, even counting the break I took in the middle after realizing how quickly I was blowing through the system. I spent it online shopping for a new hamper, since Serena’s damn cat seems to be asleep in my old one whenever I need to do laundry. I texted her a picture of the receipt, followed by You and your cat owe me sixteen dollars. Then I sat and waited for a reply, like I always do.","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman"""
"“You should not feel anger, but pride. The right choice is the one that ensures happiness for the largest number of people. And you were the means to that choice.”","""title"": ""Dune"", ""author"": ""Frank Herbert"""
"I slam the door shut, without first walking out of the office, and turn around, back toward Father. My heart slows to a crawl and thuds in my chest. “What did you just say?”","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"There are about ten steps separating us, and I could crawl my way down in shame. But our species have been mortal enemies since electricity wasn’t a thing, which might put us beyond embarrassment. What’s some eavesdropping among foes?","""title"": ""The First Law"", ""author"": ""Joe Abercrombie"""
"“First dance,” he says, holding out his hand. His voice is deep, precise, economical. A man who’s used to giving orders and having them answered. I look at his long fingers, remembering how they closed on my arm. That moment of fear. Thing is, I don’t feel a lot, and when I do—","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"God, it sounds weird. “In name, maybe.” I shrug, and it makes my body brush against his. His eyes do an odd thing, the pupils acting out, contracting and expanding of their own volition. Then they settle on the markings painted on my neck. He seems unwarrantedly taken by them. “I think I’m just a symbol of goodwill between our people. And Collateral.”","""title"": ""From Blood and Ash"", ""author"": ""Amélie Wen Zhao"""
"His arm snatches abruptly around my waist, and he pulls me closer to avoid another couple. My front plasters against him, his scorching heat a shock to my cool skin. He really is foreign. Different. Incompatible with me in every possible way. It’s a relief when he puts some distance between us and we’re again comfortably apart. The thought of him already being in a relationship flits into my head once more, intrusive and unprompted, and I have to track down my abandoned sentence. “And you are putting yourself in the exact same situation.”","""title"": ""From Lukov with Love"", ""author"": ""Marieke Nijkamp"""
"The voice is young and sullen. It worms its way under my pillow and into my ears, nudging me awake in the dead middle of the day.","""title"": ""The Night Circus"", ""author"": ""Erin Morgenstern"""
"Serena’s poof had been quite literal. But one cannot move in the world without leaving digital traces, which could only mean one thing. One terrible, blood-curdling thing that I couldn’t even put into words in the privacy of my own head.","""title"": ""The Illuminae Files"", ""author"": ""Amie Kaufman and Jay Kristoff"""
"He looks away. He’s kind of adorable, in an I want to tie his shoelaces and blow on his skinned knee kind of way. “Do you . . . It’s probably bullshit, but I just wanted to make sure . . . Vampyres don’t, right?”","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"He races toward me in a sudden explosion of vicious energy. The impact of his body against mine briefly knocks the breath out of me—briefly. He’s a male Were, much stronger, but I’m used to people wanting to assassinate me, and when his hand clutches my wrist, hours of training spring into muscle memory. My knee hits his groin and he wails. I use the distraction to push him away, and it’s not easy, it hurts, but by the time I can breathe again, my forearm is pinning his throat to the wall, and our faces are only inches apart.","""title"": ""From Blood and Ash"", ""author"": ""Amélie Wen Zhao"""
"The rumble in his throat instantly dulls into a whimper. His eyes lower to the ground, and the tension in his muscles loosens. I take a deep breath, making sure that he’s not faking this, that he’s really calmed down and he won’t attack me the second I pull back, and—","""title"": ""The Cruel Prince"", ""author"": ""Holly Black"""
"She is resilient. He tries to imagine how he’d feel if he were in her position—alone, removed, used, and discarded. He has nothing but reluctant respect for her, and that angers him.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"It’s like you’re—I don’t know, suspended. Untethered from everything around you. I just need to see you go toward something, Misery.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
