Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['serena'],my friend,0,0.4,incorrect,disney,0,0.33,incorrect,disney,0,0.33,incorrect
['serena'],she,0,0.44,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyre'],wedding,0,0.14,incorrect,trump,0,0.33,incorrect,trump,0,0.33,incorrect
['lark'],edwards,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['cal'],he,0,0.0,incorrect,folder,0,0.22,incorrect,folder,0,0.22,incorrect
['vampyres'],vampires,0,0.88,correct,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyres'],humans,0,0.29,incorrect,darwin,0,0.29,incorrect,darwin,0,0.29,incorrect
['davenport'],wallace,0,0.25,incorrect,day,0,0.33,incorrect,day,0,0.33,incorrect
['davenport'],wickliffe,0,0.11,incorrect,trump,0,0.14,incorrect,trump,0,0.14,incorrect
['vampyres'],drone,0,0.31,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['abel'],emmett,0,0.2,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['roscoe'],laurent,0,0.31,incorrect,wolves,0,0.33,incorrect,wolves,0,0.33,incorrect
['roscoe'],attila,0,0.0,incorrect,world,0,0.18,incorrect,world,0,0.18,incorrect
['serena'],pierce,0,0.5,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyre'],omega,0,0.33,incorrect,humans,0,0.15,incorrect,humans,0,0.15,incorrect
['serena'],charlie,0,0.31,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['vampyres'],he,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['essen'],councilman johnson,0,0.17,incorrect,councilman,0,0.13,incorrect,councilman,0,0.13,incorrect
['davenport'],arnold schwarzenegger,0,0.33,incorrect,california,0,0.32,incorrect,california,0,0.32,incorrect
['vampyre'],city,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],dracula,0,0.31,incorrect,blender,0,0.31,incorrect,blender,0,0.31,incorrect
['moreland'],he,0,0.2,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['moreland'],heathcliff,0,0.22,incorrect,teeth,0,0.15,incorrect,teeth,0,0.15,incorrect
['vampyre'],were,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['moreland'],the father,0,0.22,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['moreland'],she,0,0.18,incorrect,tom,0,0.18,incorrect,tom,0,0.18,incorrect
['moreland'],he,0,0.2,incorrect,god,0,0.36,incorrect,god,0,0.36,incorrect
['lark'],temple,0,0.2,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['serena'],stefan,0,0.5,incorrect,garlic,0,0.17,incorrect,garlic,0,0.17,incorrect
['ana'],drusilla,0,0.18,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
