Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",john,0,0.44,incorrect,john,0,0.44,incorrect,bayan talihsiz,0,0.31,incorrect,zaran,0,0.24,incorrect,minh,0,0.44,incorrect,chac,0,0.4,incorrect,ana,0,0.27,incorrect,emily,0,0.4,incorrect,john,0,0.44,incorrect,zaran,0,0.24,incorrect,chac,0,0.4,incorrect,emily,0,0.4,incorrect
"['chuck', 'chuck parson', 'parson']",john,0,0.4,incorrect,arnold schwarzenegger,0,0.3,incorrect,arnold,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect,arnold,0,0.5,incorrect,duc,0,0.5,incorrect,arnold,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect,arnold schwarzenegger,0,0.3,incorrect,arnold schwarzenegger,0,0.3,incorrect,duc,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect
['chuck'],he,0,0.29,incorrect,god,0,0.0,incorrect,amerika,0,0.17,incorrect,ataturk,0,0.33,incorrect,chao,0,0.44,incorrect,the,0,0.25,incorrect,el,0,0.0,incorrect,yo,0,0.0,incorrect,god,0,0.0,incorrect,ataturk,0,0.33,incorrect,the,0,0.25,incorrect,yo,0,0.0,incorrect
"['chuc', 'chuck']",him,0,0.29,incorrect,facebook,0,0.31,incorrect,hayat,0,0.22,incorrect,hayat,0,0.22,incorrect,buoi da hoi,0,0.13,incorrect,nguyen,0,0.2,incorrect,la fiesta,0,0.0,incorrect,la macarena,0,0.13,incorrect,facebook,0,0.31,incorrect,hayat,0,0.22,incorrect,nguyen,0,0.2,incorrect,la macarena,0,0.13,incorrect
['angela'],jessica,0,0.31,incorrect,rudolph,0,0.15,incorrect,annem,0,0.55,incorrect,noel,0,0.6,incorrect,anh,0,0.44,incorrect,noel,0,0.6,incorrect,abuela,0,0.67,incorrect,claus,0,0.36,incorrect,rudolph,0,0.15,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,claus,0,0.36,incorrect
['margo'],she,0,0.0,incorrect,jason,0,0.4,incorrect,arkadasim,0,0.29,incorrect,ben,0,0.0,incorrect,co ay,0,0.2,incorrect,den,0,0.0,incorrect,el,0,0.0,incorrect,yo,0,0.29,incorrect,jason,0,0.4,incorrect,ben,0,0.0,incorrect,den,0,0.0,incorrect,yo,0,0.29,incorrect
['margo'],he,0,0.0,incorrect,dad,0,0.25,incorrect,hz. muhammed,0,0.24,incorrect,cevabi,0,0.18,incorrect,chi,0,0.0,incorrect,than,0,0.22,incorrect,el,0,0.0,incorrect,papa,0,0.22,incorrect,dad,0,0.25,incorrect,cevabi,0,0.18,incorrect,than,0,0.22,incorrect,papa,0,0.22,incorrect
"['margo', 'margo—']",heather,0,0.33,incorrect,friday,0,0.18,incorrect,peri,0,0.22,incorrect,ogretmen,0,0.15,incorrect,duc,0,0.0,incorrect,the,0,0.0,incorrect,lucia,0,0.2,incorrect,manana,0,0.36,incorrect,friday,0,0.18,incorrect,ogretmen,0,0.15,incorrect,the,0,0.0,incorrect,manana,0,0.36,incorrect
['margo'],my friend,0,0.29,incorrect,jefferson,0,0.29,incorrect,ben,0,0.0,incorrect,jefferson,0,0.29,incorrect,chi,0,0.0,incorrect,jefferson,0,0.29,incorrect,mi hermano,0,0.4,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],she,0,0.0,incorrect,god,0,0.5,incorrect,stephen r. covey,0,0.19,incorrect,cok,0,0.25,incorrect,khong ro,0,0.31,incorrect,chang,0,0.4,incorrect,el abuelo,0,0.29,incorrect,google,0,0.36,incorrect,god,0,0.5,incorrect,cok,0,0.25,incorrect,chang,0,0.4,incorrect,google,0,0.36,incorrect
['margo'],she,0,0.0,incorrect,head,0,0.22,incorrect,ben,0,0.0,incorrect,ben,0,0.0,incorrect,co ay,0,0.2,incorrect,co b...,0,0.17,incorrect,el,0,0.0,incorrect,oido,0,0.22,incorrect,head,0,0.22,incorrect,ben,0,0.0,incorrect,co b...,0,0.17,incorrect,oido,0,0.22,incorrect
['margo'],she,0,0.0,incorrect,elvis,0,0.0,incorrect,sevgilim,0,0.15,incorrect,sevgilim,0,0.15,incorrect,chi,0,0.0,incorrect,duc,0,0.0,incorrect,el,0,0.0,incorrect,mi amante,0,0.29,incorrect,elvis,0,0.0,incorrect,sevgilim,0,0.15,incorrect,duc,0,0.0,incorrect,mi amante,0,0.29,incorrect
['margo'],she,0,0.0,incorrect,she,0,0.0,incorrect,oguz,0,0.22,incorrect,bando,0,0.4,incorrect,anh,0,0.25,incorrect,chuyen,0,0.0,incorrect,ella,0,0.22,incorrect,ella,0,0.22,incorrect,she,0,0.0,incorrect,bando,0,0.4,incorrect,chuyen,0,0.0,incorrect,ella,0,0.22,incorrect
['margo'],she,0,0.0,incorrect,emily,0,0.2,incorrect,bay,0,0.25,incorrect,orhan veli,0,0.13,incorrect,ngoc,0,0.44,incorrect,tho,0,0.25,incorrect,el guapo,0,0.31,incorrect,quevedo,0,0.17,incorrect,emily,0,0.2,incorrect,orhan veli,0,0.13,incorrect,tho,0,0.25,incorrect,quevedo,0,0.17,incorrect
['margo'],emily,0,0.2,incorrect,emily,0,0.2,incorrect,elif,0,0.0,incorrect,ozdemir,0,0.33,incorrect,nang,0,0.44,incorrect,dong,0,0.22,incorrect,ella,0,0.22,incorrect,mano,0,0.67,incorrect,emily,0,0.2,incorrect,ozdemir,0,0.33,incorrect,dong,0,0.22,incorrect,mano,0,0.67,incorrect
['margo'],my wife,0,0.17,incorrect,watch,0,0.2,incorrect,annem,0,0.2,incorrect,apple watch,0,0.12,incorrect,nguoi ban,0,0.29,incorrect,do duy,0,0.18,incorrect,ella,0,0.22,incorrect,7-eleven,0,0.0,incorrect,watch,0,0.2,incorrect,apple watch,0,0.12,incorrect,do duy,0,0.18,incorrect,7-eleven,0,0.0,incorrect
['margo'],she,0,0.0,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,co ay,0,0.2,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,emily,0,0.2,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect,worthington,0,0.38,incorrect
['jase'],facebook,0,0.33,incorrect,god,0,0.0,incorrect,annem,0,0.44,incorrect,abi,0,0.29,incorrect,em,0,0.33,incorrect,the,0,0.29,incorrect,maria,0,0.22,incorrect,maria,0,0.22,incorrect,god,0,0.0,incorrect,abi,0,0.29,incorrect,the,0,0.29,incorrect,maria,0,0.22,incorrect
['margo'],macgyver,0,0.46,incorrect,her,0,0.25,incorrect,arthur conan doyle karakteri,0,0.18,incorrect,anahtar,0,0.33,incorrect,co ay,0,0.2,incorrect,the,0,0.0,incorrect,el,0,0.0,incorrect,llave,0,0.2,incorrect,her,0,0.25,incorrect,anahtar,0,0.33,incorrect,the,0,0.0,incorrect,llave,0,0.2,incorrect
['margo'],she,0,0.0,incorrect,jefferson,0,0.29,incorrect,o,0,0.33,incorrect,jefferson,0,0.29,incorrect,co ay,0,0.2,incorrect,jefferson,0,0.29,incorrect,ella,0,0.22,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
"['margo', 'marg']",her,0,0.29,incorrect,wall,0,0.25,incorrect,o,0,0.33,incorrect,kardesim,0,0.33,incorrect,co ay,0,0.22,incorrect,duc,0,0.0,incorrect,ella,0,0.25,incorrect,maria,0,0.67,incorrect,wall,0,0.25,incorrect,kardesim,0,0.33,incorrect,duc,0,0.0,incorrect,maria,0,0.67,incorrect
