,en,es,tr,vi,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled
1984,55.00000000000001,40.0,13.333333333333334,18.333333333333332,36.666666666666664,38.333333333333336,16.666666666666664,10.0
A Tale of Two Cities,24.0,8.0,16.0,18.0,10.0,10.0,14.000000000000002,16.0
A thousand splendid suns,2.127659574468085,2.127659574468085,2.127659574468085,4.25531914893617,2.127659574468085,0.0,0.0,0.0
Adventures of Huckleberry Finn,70.0,4.0,4.0,15.0,57.99999999999999,0.0,6.0,5.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,95.65217391304348,4.3478260869565215,19.565217391304348,26.08695652173913,82.6086956521739,4.3478260869565215,21.73913043478261,23.91304347826087
Dracula,13.333333333333334,12.222222222222221,12.222222222222221,18.88888888888889,10.0,8.88888888888889,10.0,15.555555555555555
Dune,38.0,23.0,27.0,20.0,32.0,19.0,30.0,20.0
Fahrenheit 451,5.0,26.666666666666668,23.333333333333332,3.3333333333333335,3.3333333333333335,21.666666666666668,21.666666666666668,1.6666666666666667
Frankenstein,54.90196078431373,29.411764705882355,5.88235294117647,21.568627450980394,21.568627450980394,5.88235294117647,9.803921568627452,1.9607843137254901
Harry Potter and the Deathly Hallows,13.0,4.0,6.0,5.0,5.0,7.000000000000001,12.0,6.0
Of Mice and Men,4.166666666666666,6.25,2.083333333333333,2.083333333333333,4.166666666666666,4.166666666666666,2.083333333333333,6.25
Paper Towns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percy Jackson The Lightning Thief,12.371134020618557,0.0,0.0,8.24742268041237,8.24742268041237,0.0,1.0309278350515463,1.0309278350515463
Pride and Prejudice,89.0,27.0,53.0,14.000000000000002,77.0,21.0,53.0,8.0
Sense and sensibility,5.0,7.000000000000001,10.0,2.0,4.0,6.0,8.0,2.0
The Boy in the Striped Pyjamas,3.0927835051546393,0.0,0.0,1.0309278350515463,1.0309278350515463,0.0,0.0,1.0309278350515463
The Great Gatsby,72.22222222222221,44.44444444444444,40.74074074074074,66.66666666666666,66.66666666666666,27.77777777777778,35.18518518518518,62.96296296296296
The Handmaid s Tale,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,32.87671232876712,16.43835616438356,47.94520547945205,21.91780821917808,35.61643835616438,9.58904109589041,47.94520547945205,13.698630136986301
