line_no,en,vi,tr,es
1,"mr Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the pop-holes.","Phạm Minh Ngọc dịch từ nguyên bản tiếng Anh, có tham khảo bản Nga văn của Лара Беспалова -2001г. Ông Jones, chủ Điền Trang đóng cửa chuồng gà, nhưng vì say quá nên quên đóng cửa chuồng lợn.","Beylik Çiftlik'in sahibi Bay Jones, her gece yaptığı gibi kümesin kapısını örtmüş, ama çok sarhoş olduğu için tavukların girip çıktıkları delikleri kapatmayı unutmuştu.","EL señor Jones, propietario de la Granja Manor, cerró por la noche los gallineros, pero estaba demasiado borracho para recordar que había dejado abiertas las ventanillas."
2,"With the ring of light from his lantern dancing from side to side, he lurched across the yard, kicked off his boots at the back door, drew himself a last glass of beer from the barrel in the scullery, and made his way up to bed, where ms Jones was already snoring.","Với chiếc đèn bão trong tay, đung đưa, khi sang phải, khi sang trái, ông lảo đảo đi qua sân, tới cửa sau thì lấy chân đạp ủng ra và bước vào bếp để uống nốt vại bia cuối cùng trong ngày rồi leo lên giường, nơi vợ ông, bà Jones đã ngáy khò khò.","Avluda tökezlene tekerlene yürürken, elindeki fenerin ışığı da bir o yana bir bu yana yalpa vuruyordu. Arka kapıda botlarını çıkarıp attı, kilerdeki fıçıdan son bir bardak daha bira doldurup bir dikişte içti, sonra üst kata çıkıp yatak odasına girdi. Bayan Jones horul horul uyuyordu.","Con la luz de la linterna danzando de un lado a otro cruzó el patio, se quitó las botas ante la puerta trasera, sirvióse una última copa de cerveza del barril que estaba en la cocina y se fue derecho a la cama, donde ya roncaba la señora Jones."
3,As soon as the light in the bedroom went out there was a stirring and a fluttering all through the farm buildings.,"Ngay khi đèn trong phòng ngủ vừa tắt, đây đó bỗng dậy lên những tiếng sột soạt, thì thầm.","Yatak odasının ışığı söner sönmez, çiftliğin tüm binalarında bir patırtı, bir koşuşturmadır başladı.","Apenas se hubo apagado la luz en el dormitorio, empezó el alboroto en toda la granja."
4,"Word had gone round during the day that old Major, the prize Middle White boar, had had a strange dream on the previous night and wished to communicate it to the other animals.","Ngày hôm đó có tin đồn rằng Thủ Lĩnh, một con lợn đực trắng, từng được huy chương trong một cuộc triển lãm, đêm hôm trước có một giấc mơ kì lạ và muốn kể cho mọi loài cùng nghe.","Gündüzden haber salınmıştı: Koca Reis dedikleri, bir zamanlar ödül kazanmış kır erkek domuz, bir gece önce gördüğü garip düşü tüm hayvanlara anlatmak istiyordu.","Durante el día se corrió la voz de que el Viejo Mayor, el verraco premiado, había tenido un sueño extraño la noche anterior y deseaba comunicárselo a los demás animales."
5,It had been agreed that they should all meet in the big barn as soon as mr Jones was safely out of the way.,Chúng thoả thuận với nhau là ngay sau khi ông Jones đi ngủ sẽ tập trung trong nhà kho lớn.,"Bay Jones ortalıktan çekilir çekilmez, herkesin büyük samanlıkta toplanması kararlaştırılmıştı.",Habían acordado reunirse todos en el granero principal cuando el señor Jones se retirara.
6,"Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour’s sleep in order to hear what he had to say.","Tất cả các con vật trong trang trại đều kính trọng Thủ Lĩnh (chúng gọi nó như vậy, mặc dù khi đi dự triển lãm nó mang tên Willingdon Điển Trai) và sẵn sàng hi sinh giấc ngủ để được nghe nó nói chuyện.","Koca Reis'e (yarışmaya Willingdon Güzeli adıyla katılmıştı, ama herkes ona Koca Reis diyordu) çiftlikte o kadar büyük bir saygı duyuluyordu ki, onun ne diyeceğini öğrenmek için herkes uykusundan olmaya razıydı.","El Viejo Mayor (así le llamaban siempre, aunque fue presentado en la exposición bajo el nombre de Willingdon Beauty) era tan altamente estimado en la granja, que todos estaban dispuestos a perder una hora de sueño para oír lo que él tuviera que decirles."
7,"At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.","Thủ Lĩnh ngồi trên một cái bục có nệm rơm phía trong cùng nhà kho, dưới ánh sáng của chiếc đèn bão treo trên xà nhà.","Reis, büyük samanlığın bir köşesinde, tavandaki kirişlerden birinden sarkan bir fenerin aydınlattığı bir yükseltinin üzerine serili saman döşeğine kurulmuştu bile.","En un extremo del granero principal, sobre una especie de plataforma elevada, Mayor se encontraba ya arrellanado en su lecho de paja, bajo una linterna que pendía de una viga."
8,"He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.","Nó đã mười hai tuổi, mặc dù thời gian gần đây có béo thêm, với những chiếc răng nanh thò cả ra, nhưng trông nó vẫn có vẻ tiên phong đạo cốt, phúc hậu.","On iki yaşındaydı, son zamanlarda gövdesi biraz yağ bağlamıştı; uzun sivri köpekdişleri hiç kesilmemiş olmasına karşın, bilge ve babacan görünen heybetli bir domuzdu.","Tenía doce años de edad y últimamente se había puesto bastante gordo, pero aún era un cerdo majestuoso de aspecto sabio y bonachón, a pesar de que sus colmillos nunca habían sido cortados."
9,Before long the other animals began to arrive and make themselves comfortable after their different fashions.,"Những con khác bắt đầu lục tục kéo tới, mỗi con tìm một chỗ ngồi thuận lợi.",Çok geçmeden öteki hayvanlar da birbiri ardı sıra sökün ettiler; yolu yordamınca yerlerini almaya başladılar.,"Al poco rato empezaron a llegar los demás animales y a colocarse cómodamente, cada cual a su modo."
10,"First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform.","Đầu tiên là ba con chó Bluebell, Jessie và Pincher, sau đó là lũ lợn; chúng ngồi trên đống rơm phía trước bục.","Önce Bluebell, Jessie ve Pincher adlı üç köpek göründü; ardından domuzlar geldiler, yükseltinin hemen önündeki samanların üzerine yerleştiler.","Primero llegaron los tres perros, Bluebell, Jessie y Pincher, y luego los cerdos, que se arrellanaron en la paja delante de la plataforma."
