line_no,en,vi,tr,es
0,CHAPTER I.,Chương 1,Birinci bölüm,Capítulo 1
1,"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.","Xưởng vẽ ngập hương hồng ngan ngát, và khi làn gió hè nhẹ nhàng khuấy động giữa cây cối trong vườn, đâu đây qua cánh cửa mở toang lan tỏa mùi tử đinh hương ngào ngạt, hay hương thơm dịu dàng hơn của cây đào gai đương nở hoa hồng.",Stüdyo güllerin baygın kokusuyla doluydu; hafif yaz esintisi bahçedeki ağaçların arasında gezindiğinde açık kapıdan leylakların ağır kokusu ya da pembe çiçek açmış diken ağaçlarının daha narin parfümü geliyordu.,"El intenso perfume de las rosas embalsamaba el estudio y, cuando la ligera brisa agitaba los árboles del jardín, entraba, por la puerta abierta, un intenso olor a lilas o el aroma más delicado de las flores rosadas de los espinos."
2,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion.","Từ góc chiếc đi-văng bọc thảm giả túi yên lạc đà Ba Tư mà trên đó y nằm hút, theo thói quen, vô số điếu thuốc, huân tước Henry Wotton chỉ có thể loáng thoáng thấy được những bông hoa ngọt-mật và màu-mật của một cây kim tước mà những cái cành run rẩy của nó dường như khó khăn lắm mới có thể mang nổi gánh nặng một vẻ đẹp rừng rực nhường ấy; và thỉnh thoảng, những chiếc bóng dị thường của lũ chim đang bay lượn lại vụt qua các tấm màn lụa tuýt-so dài căng trước ô cửa rộng, gây nên cảm giác gì đó từa tựa như một ấn tượng Nhật Bản nhất thời, và khiến y nghĩ về những họa sỹ mặt xanh nanh vàng ở Tokyo, những kẻ, nhờ vào sự trung gian của một nghệ thuật vốn dĩ tất yếu là bất động, đã cố gắng chuyển tải ý thức về sự mau lẹ và sự chuyển động.","İran heybeleriyle döşenmiş divanın köşesinde uzanmış, huyu olduğu üzere sayısız sigara tüttüren Lord Henry Wotton, bulunduğu yerden sarı salkım ağacının balrengi, bal tatlısı çiçeklerini seçebiliyordu. Ağacın titrek dalları, böylesi aleve benzer bir güzelliğin yükünü taşımakta güçlük çeker gibiydi. Kocaman pencerenin önünde gerili duran uzun, ipekli perdelerin üzerine arada düş gibi kuş gölgeleri vuruyordu. İlk bakışta bir Japon havası çağrıştıran bu perdeler Lord Henry’ye, Tokyo’nun solgun, zümrüt benizli ressamlarını anımsatıyordu; zorunluluk gereği durağan olan bir sanat aracılığıyla hareket ve hız aktarmaya çalışan ressamlar.","Lord Henry Wotton, que había consumido ya, según su costumbre, innumerables cigarrillos, vislumbraba, desde el extremo del sofá donde estaba tumbado —tapizado al estilo de las alfombras persas—, el resplandor de las floraciones de un codeso, de dulzura y color de miel, cuyas ramas estremecidas apenas parecían capaces de soportar el peso de una belleza tan deslumbrante como la suya; y, de cuando en cuando, las sombras fantásticas de pájaros en vuelo se deslizaban sobre las largas cortinas de seda india colgadas delante de las inmensas ventanas, produciendo algo así como un efecto japonés, lo que le hacía pensar en los pintores de Tokyo, de rostros tan pálidos como el jade, que, por medio de un arte necesariamente inmóvil, tratan de transmitir la sensación de velocidad y de movimiento."
3,"The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive.","Tiếng rì rầm rầu rĩ của lũ ong đang len lỏi qua bãi cỏ dài chưa cắt, hoặc xoay tròn với sự cố chấp đơn điệu quanh các cái sừng thiếp vàng phủ bụi phấn của cây kim ngân bò lan um tùm, dường như khiến cho cảnh tĩnh mịch ấy lại còn ngột ngạt hơn.","Yüksek, biçilmemiş otlar arasında kendilerine yol açmaya çalışan ya da sere serpe frenkasmalarının tozlu, yaldızlı boynuzlarının çevresinde tekdüze bir ısrarla dönüp duran arıların donuk mırıltısı, ortalığın dinginliğini büsbütün sıkıcı kılar gibiydi.","El zumbido obstinado de las abejas, abriéndose camino entre el alto césped sin segar, o dando vueltas con monótona insistencia en torno a los polvorientos cuernos dorados de las desordenadas madreselvas, parecían hacer más opresiva la quietud, mientras los ruidos confusos de Londres eran como las notas graves de un órgano lejano."
5,"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.","Ở giữa phòng, kẹp chặt vào một giá vẽ đứng thẳng, đặt bức chân dung toàn thân của một thanh niên có vẻ đẹp cá nhân khác thường, và ngồi trước mặt nó, hơi xa hơn đôi chút, là chính nghệ sỹ sáng tác, Basil Hallward, người mà sự biến mất đột ngột vài năm trước của y đã gây nên, vào thời ấy, sự náo động quá đỗi trong công chúng, và tạo ra cơ man phỏng đoán lạ lùng.","Odanın en ortasında, ayaklı bir kanvasta, olağanüstü güzellikteki bir genç erkeğin boy resmi duruyordu. Önünde, biraz ötede de portrenin ressamı oturmaktaydı: birkaç yıl önce, ansızın ortadan yitmesiyle bir süre büyük heyecan yaratan ve bir sürü garip tahminlere yol açan Basil Hallward.","En el centro de la pieza, sobre un caballete recto, descansaba el retrato de cuerpo entero de un joven de extraordinaria belleza; y, delante, a cierta distancia, estaba sentado el artista en persona, el Basil Hallward cuya repentina desaparición, hace algunos años, tanto conmoviera a la sociedad y diera origen a tan extrañas suposiciones."
6,"As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of pleasure passed across his face, and seemed about to linger there.","Trong lúc họa sỹ ngắm nhìn vào cái dáng hình thanh lịch tuyệt đẹp mà y đã phản ánh được một cách hết sức khéo léo bằng nghệ thuật của mình, một nụ cười khoan khoái lướt ngang qua mặt y và dường như sắp lần lữa ở đó.",Ressam sanatında yansıttığı zarif ve yakışıklı figüre bakarken yüzünü bir zevk gülümsemesi yaladı ve sanki bir süre orada oyalanmak istedi.,"Al contemplar la figura apuesta y elegante que con tanta habilidad había reflejado gracias a su arte, una sonrisa de satisfacción, que quizá hubiera podido prolongarse, iluminó su rostro."
7,"But he suddenly started up, and closing his eyes, placed his fingers upon the lids, as though he sought to imprison within his brain some curious dream from which he feared he might awake.","Nhưng y bất ngờ đứng dậy và, nhắm mắt lại, đặt các ngón tay lên đôi mí mắt, như thể tìm cách giam trong não mình một giấc mơ kỳ lạ nào đó mà từ ấy y sợ y có thể bừng tỉnh.","Ancak birden irkilerek doğruldu, uyanıp yitirmekten korktuğu bir tuhaf düşü beyninde hapsetmek istercesine gözlerini yumarak parmak uçlarını gözkapaklarına bastırdı.","Pero el artista se incorporó bruscamente y, cerrando los ojos, se cubrió los párpados con los dedos, como si tratara de aprisionar en su cerebro algún extraño sueño del que temiese despertar."
8,"“It is your best work, Basil, the best thing you have ever done,” said Lord Henry languidly.","“Đó là tác phẩm đẹp nhất của anh đấy, Basil, vật đẹp nhất mà anh từng tạo ra,” huân tước Henry uể oải nói.","Lord Henry tembel bir sesle, “En iyi eserin bu, Basil, yaptığın en üstün şey,” diye konuştu.","—Es tu mejor obra, Basil —dijo lord Henry con entonación lánguida—, lo mejor que has hecho."
9,“You must certainly send it next year to the Grosvenor.,“Năm sau anh nhất định phải gửi nó đến Grosvenor.,"“Önümüzdeki yıl Grosvenor Galerisi’ne yollamalısın, mutlaka.",No dejes de mandarla el año que viene a la galería Grosvenor.
10,The Academy is too large and too vulgar.,Viện hàn lâm quá lớn và quá thô tục.,"Akademi aşırı büyük, aşırı avam işi.",La Academia es demasiado grande y demasiado vulgar.
