line_no,en,vi,tr,es
1,JONATHAN HARKER’S JOURNAL,Nhật ký của Jonathan Harker (Tốc ký),Jonathan Harker’ın güncesi,I.– DEL DIARIO DE JONATHAN HARKER
2,(Kept in shorthand.),Nhật ký của Jonathan Harker (Tốc ký),(stenoyla yazılmış),"Bistritz, 3 de mayo."
3,"3 May. Bistritz.—Left Munich at 8:35 P. M., on 1st May, arriving at Vienna early next morning; should have arrived at 6:46, but train was an hour late.","• Bistritz, ngày 3 tháng 5 Rời Munich vào tám giờ tối ngày 1 tháng 5; đến Viên vào sáng sớm ngày hôm sau. Lẽ ra chúng tôi phải tới nơi vào lúc sáu giờ năm mươi, nhưng tàu lại đi chậm mất một tiếng đồng hồ.","3 Mayıs. Bistriţa2 - 1 Mayıs akşamı saat 8. 35’te Münih’ten ayrılıp ertesi sabah erken saatlerde Viyana’ya vardık; 6. 46’da varmış olmalıydık, ama tren bir saat rötar yaptı.","Salí de Münich a las 8:35 de la noche del primero de mayo, llegué a Viena a la mañana siguiente, temprano; debí haber llegado a las seis cuarenta y seis; el tren llevaba una hora de retraso."
5,"I feared to go very far from the station, as we had arrived late and would start as near the correct time as possible.","Nhưng vì tôi rất sợ bỏ đi quá xa nhà ga, bởi dẫu có muộn chúng tôi vẫn phải tiếp tục khởi hành như đã dự kiến...",Budapeşte’ye geç vardığımız ve doğru kalkış saatine olabildiğince yakın hareket edeceğimiz için istasyondan fazla uzaklaşmaya korktum.,"Temí alejarme mucho de la estación, ya que, como habíamos llegado tarde, saldríamos lo más cerca posible de la hora fijada."
6,"The impression I had was that we were leaving the West and entering the East; the most western of splendid bridges over the Danube, which is here of noble width and depth, took us among the traditions of Turkish rule.","Tôi có cảm tưởng rất rõ ràng trong cuộc hành trình rời phương Tây để đến với thế giới của phương Đông. Sau khi tàu lướt qua các cây cầu mỹ miều mang kiến trúc mẫu mực phương Tây bắc qua đoạn sông Danube vừa rộng lại vừa sâu nơi đây, chúng tôi lạc ngay vào một vùng mang đậm tập quán của người Thổ Nhĩ Kỳ.","Batı’dan ayrılıp Doğu’ya girmekte olduğumuz izlenimine kapıldım; Tuna Nehri üzerindeki görkemli köprülerin en Batılısı, asil bir genişlik ve derinliği olanı, bizi Türk egemenliğinin geleneklerine taşıdı.","La impresión que tuve fue que estábamos saliendo del oeste y entrando al este. Por el más occidental de los espléndidos puentes sobre el Danubio, que aquí es de gran anchura y profundidad, llegamos a los lugares en otro tiempo sujetos al dominio de los turcos."
7,"We left in pretty good time, and came after nightfall to Klausenburgh.","Rời Budapest không đến nỗi quá muộn, chúng tôi đến Klausenburgh vào lúc chiều tối.",Oldukça iyi bir zamanlamayla kalktık ve akşam çöktükten sonra Klausenburg’a vardık.,"Salimos con bastante buen tiempo, y era noche cerrada cuando llegamos a Klausenburg, donde pasé la noche en el hotel Royale."
8,Here I stopped for the night at the Hotel Royale.,"Tới đây, tôi phải nghỉ qua đêm tại khách sạn Hoàng gia.",Burada geceyi Royale Otel’de geçirdim.,"Salimos con bastante buen tiempo, y era noche cerrada cuando llegamos a Klausenburg, donde pasé la noche en el hotel Royale."
9,"I had for dinner, or rather supper, a chicken done up some way with red pepper, which was very good but thirsty.","Người ta dọn cho tôi bữa tối, hay nói đúng hơn là món xúp, một con gà tơ nấu với ớt đỏ, ngon đấy, nhưng nếu ăn vào sẽ tha hồ mà khát nước! (Tôi nghĩ lại món này theo ý của Mina). Người hầu bàn bảo đó là món paprika hendi, một món ăn dân tộc mà tôi có thể thấy ở khắp nơi trong vùng Carpates.","Akşam yemeğinde, daha doğrusu geç saatlerdeki akşam yemeğinde kırmızıbiberle pişirilmiş tavuk yedim; tadı çok güzeldi ama susatıcıydı.","En la comida, o mejor dicho, en la cena, comí pollo preparado con pimentón rojo, que estaba muy sabroso, pero que me dio mucha sed."
11,"I asked the waiter, and he said it was called “paprika hendl,” and that, as it was a national dish, I should be able to get it anywhere along the Carpathians.","Người ta dọn cho tôi bữa tối, hay nói đúng hơn là món xúp, một con gà tơ nấu với ớt đỏ, ngon đấy, nhưng nếu ăn vào sẽ tha hồ mà khát nước! (Tôi nghĩ lại món này theo ý của Mina). Người hầu bàn bảo đó là món paprika hendi, một món ăn dân tộc mà tôi có thể thấy ở khắp nơi trong vùng Carpates.",Garsona sordum ve buna paprika hendl dendiğini ve yerel bir yemek olduğu için Karpat Dağlarında her yerde onu bulabileceğimi söyledi.,"Le pregunté al camarero y me dijo que se llamaba ""paprika hendl"", y que, como era un plato nacional, me sería muy fácil obtenerlo en cualquier lugar de los Cárpatos."
12,"I found my smattering of German very useful here; indeed, I don’t know how I should be able to get on without it.","Vốn tiếng Đức sơ sơ của tôi kể ra cũng rất có ích, bởi thực tình mà nói, nếu mù tịt, tôi thật không biết phải rút lui như thế nào.",Çat pat Almancam burada çok işe yaradı; gerçekten de o olmasa nasıl idare edebilirdim bilmiyorum.,"Descubrí que mis escasos conocimientos del alemán me servían allí de mucho; de hecho, no sé cómo me las habría arreglado sin ellos."
13,"Having had some time at my disposal when in London, I had visited the British Museum, and made search among the books and maps in the library regarding Transylvania; it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country.","Ở Luân Đôn, trong những lúc rảnh rỗi, tôi thường đến Bảo tàng Anh hoặc đến Thư viện Quốc gia để tra cứu bản đồ địa lý và các cuốn sách nói về xứ Transylvanie. Tôi thấy thật thú vị khi biết ít nhiều điều về xứ này, bởi vì tôi sắp có một phi vụ làm ăn với một quý ông ở đó.",Londra’da kendime ayıracak biraz zamanım olduğunda British Museum’u ziyaret etmiş ve kütüphanede Transilvanya’yla ilgili kitap ve haritalar arasında araştırma yapmıştım; ülke hakkında biraz önbilginin o ülkenin bir soylusuyla pazarlık yaparken önemsiz olmayacağını düşünmüştüm.,"Como dispuse de algún tiempo libre cuando estuve en Londres, visité el British Museum y estudié los libros y mapas de la biblioteca que se referían a Transilvania; se me había ocurrido que un previo conocimiento del país siempre sería de utilidad e importancia para tratar con un noble de la región."
14,"I find that the district he named is in the extreme east of the country, just on the borders of three states, Transylvania, Moldavia and Bukovina, in the midst of the Carpathian mountains; one of the wildest and least known portions of Europe.","Mảnh đất mà quý ông này nói với tôi trong thư nằm ở phía đông đất nước, trên đường biên giới của ba xứ sở: Transylvanie, Moldavie, Bukovine, trong rặng Carpates. Đây là một trong những vùng ít tiếng tăm nhất và cũng hoang sơ nhất châu Âu.","Adını verdiği bölgenin, ülkenin en doğu ucunda, Transilvanya, Moldavya ve Bukovina sınırında, Karpat Dağlarının ortasında olduğunu gördüm; Avrupa’nın en vahşi ve en az bilinen kısımlarından biri.","Descubrí que el distrito que él me había mencionado se encontraba en el extremo oriental del país, justamente en la frontera de tres estados: Transilvania, Moldavia y Bucovina, en el centro de los montes Cárpatos; una de las partes más salvajes y menos conocidas de Europa."
