,English,Translated,Cross-lingual,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,9.671052631578947,3.6842105263157894,1.9517543859649122,4.407894736842105,2.1052631578947367,1.2719298245614035
Llama-3.1-405b,55.19736842105263,34.84649122807018,16.94078947368421,31.973684210526315,16.140350877192983,9.769736842105264
Llama-3.1-70B-Instruct-quantized.w4a16,45.39473684210526,16.469298245614034,7.774122807017544,22.30263157894737,6.798245614035087,4.5285087719298245
Llama-3.1-70B-Instruct-quantized.w8a16,40.921052631578945,12.368421052631579,3.574561403508772,16.18421052631579,4.276315789473684,1.8859649122807018
Llama-3.1-70B-Instruct_,45.723684210526315,18.223684210526315,8.969298245614034,23.42105263157895,8.289473684210526,4.956140350877193
Llama-3.1-8B-Instruct-quantized.w4a16,22.30263157894737,3.442982456140351,1.8201754385964912,13.618421052631579,2.8289473684210527,1.3048245614035088
Llama-3.1-8B-Instruct-quantized.w8a16,22.56578947368421,5.241228070175438,2.4890350877192984,15.657894736842104,3.706140350877193,1.7982456140350878
Llama-3.1-8B-Instruct_,23.157894736842106,5.087719298245614,2.5767543859649122,15.723684210526315,3.793859649122807,1.831140350877193
Llama-3.3-70B-Instruct,46.25,17.32456140350877,8.037280701754385,24.539473684210527,7.894736842105263,3.5416666666666665
OLMo-2-1124-13B-Instruct,31.907894736842106,6.754385964912281,2.7850877192982457,18.026315789473685,3.991228070175439,2.0065789473684212
OLMo-2-1124-7B-Instruct,26.513157894736842,6.337719298245614,3.0592105263157894,18.223684210526315,4.364035087719298,2.1271929824561404
Qwen2.5-7B-Instruct-1M,13.289473684210526,4.035087719298246,1.3596491228070176,2.8289473684210527,1.5789473684210527,0.9100877192982456
gpt-4o-2024-11-20,69.8529411764706,37.279411764705884,20.296803652968038,38.088235294117645,14.950980392156863,8.45890410958904
