,English,Translated,Cross-lingual,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,14.642153644123441,10.286714817246663,4.202232435981616,6.369008535784635,7.025607353906763,2.965637995184942
Llama-3.1-405b,55.61391989494419,41.95666447800394,18.61457649376231,33.946158896913985,22.849638870650033,12.289341212519151
Llama-3.1-70B-Instruct-quantized.w4a16,51.60866710439921,23.090391770628145,11.271613044429854,28.168089297439266,15.605165244035893,7.156927117531189
Llama-3.1-70B-Instruct-quantized.w8a16,47.078135259356536,17.61873495294375,4.059969358721821,18.45042678923178,9.170496826439045,3.140731013350843
Llama-3.1-70B-Instruct_,53.90676296782666,25.06018822499453,12.409717662508207,29.809586342744584,16.6557233530313,7.3648500766031955
Llama-3.1-8B-Instruct-quantized.w4a16,25.016414970453052,9.03917706281462,2.8935185185185186,17.26854891661195,7.7040927992996275,2.5205761316872426
Llama-3.1-8B-Instruct-quantized.w8a16,27.183191070256072,10.702560735390676,3.7644998905668636,18.71306631648063,9.542569490041585,3.4362004815058
Llama-3.1-8B-Instruct_,27.051871306631647,10.833880499015102,3.8520463996498138,19.17268548916612,9.805209017290435,3.534690304224119
Llama-3.3-70B-Instruct,54.629021667760995,23.746990588750272,11.359159553512804,30.334865397242286,15.692711753118845,6.040709126723572
OLMo-2-1124-13B-Instruct,37.688772160210114,13.7448019260232,5.274677172247757,21.667760998030204,11.884438608010505,4.191289122346246
OLMo-2-1124-7B-Instruct,29.284307288246882,13.044429853359597,4.804114685926899,22.652659225213394,10.987086889910264,3.414313854235062
Qwen2.5-7B-Instruct-1M,16.874589625738675,10.330488071788137,3.1626176406215802,4.530531845042679,6.959947472094551,2.3637557452396587
gpt-4o-2024-11-20,73.27642810242942,47.078135259356536,27.57715036112935,45.50229809586343,26.701685270299848,13.088203107901073
