,English,Translated,Cross-lingual,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,42.74661508704062,34.42940038684719,17.41886954652912,31.07672469374597,23.920051579626048,9.789383193638512
Llama-3.1-405b,78.48453249913103,69.7485806974858,47.87064310260187,66.98903932946486,58.34945196647325,39.329464861379755
Llama-3.1-70B-Instruct-quantized.w4a16,74.79045776918117,47.02342574683,39.275736084246724,60.09026434558349,49.1725768321513,31.04448742746615
Llama-3.1-70B-Instruct-quantized.w8a16,65.2482269503546,38.25488931871911,19.482054588437567,37.524177949709866,26.649473457984097,15.871480765097786
Llama-3.1-70B-Instruct_,72.856221792392,46.63657855147217,41.3926499032882,58.6073500967118,46.24973135611433,32.398452611218566
Llama-3.1-8B-Instruct-quantized.w4a16,52.4822695035461,29.378895336342143,16.559209112400602,40.81237911025145,27.46615087040619,12.594025359982806
Llama-3.1-8B-Instruct-quantized.w8a16,54.09413281753707,37.4167203954438,22.888459058671824,42.74661508704062,36.19170427681066,20.105308403180743
Llama-3.1-8B-Instruct_,54.28755641521599,36.170212765957444,22.480120352460776,41.97292069632495,35.998280679131746,19.793681495809157
Llama-3.3-70B-Instruct,73.04964539007092,45.175155813453685,40.62970126799914,55.77047066408768,39.15753277455405,29.002793896410918
OLMo-2-1124-13B-Instruct,61.57317859445519,47.711154094132816,27.444659359552976,50.61250805931657,42.015903718031375,22.265205243928648
OLMo-2-1124-7B-Instruct,56.93101225016119,40.76939608854502,21.684934450891898,46.09929078014184,35.7618740597464,17.0535138620245
Qwen2.5-7B-Instruct-1M,44.35847840103159,35.009671179883945,15.774768966258328,29.98065764023211,23.468729851708574,12.422093273157103
gpt-4o-2024-11-20,91.29593810444874,81.73221577476896,61.89555125725339,78.01418439716312,68.47195357833655,44.992477971201374
