,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,80.0,55.00000000000001,38.333333333333336,13.333333333333334,11.666666666666666,16.666666666666664,11.666666666666666,5.0,28.333333333333332,21.666666666666668,40.0,23.333333333333332,6.666666666666667,8.333333333333332,5.0,1.6666666666666667,1.6666666666666667,0.0,8.333333333333332,5.0
A Tale of Two Cities,39.0,4.0,3.0,4.0,3.0,0.0,1.0,4.0,2.0,4.0,10.0,3.0,5.0,5.0,2.0,3.0,1.0,4.0,0.0,3.0
A thousand splendid suns,8.51063829787234,4.25531914893617,2.127659574468085,0.0,2.127659574468085,0.0,0.0,0.0,2.127659574468085,0.0,4.25531914893617,0.0,2.127659574468085,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,62.0,9.0,3.0,0.0,14.000000000000002,9.0,3.0,0.0,7.000000000000001,9.0,52.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,4.0,1.0
Adventures of Sherlock Holmes,11.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,89.13043478260869,43.47826086956522,30.434782608695656,43.47826086956522,36.95652173913043,13.043478260869565,19.565217391304348,4.3478260869565215,26.08695652173913,30.434782608695656,69.56521739130434,21.73913043478261,19.565217391304348,2.1739130434782608,8.695652173913043,6.521739130434782,2.1739130434782608,2.1739130434782608,15.217391304347828,4.3478260869565215
Dracula,68.88888888888889,40.0,17.77777777777778,6.666666666666667,15.555555555555555,8.88888888888889,4.444444444444445,4.444444444444445,4.444444444444445,8.88888888888889,15.555555555555555,11.11111111111111,7.777777777777778,5.555555555555555,4.444444444444445,4.444444444444445,3.3333333333333335,3.3333333333333335,4.444444444444445,3.3333333333333335
Dune,60.0,34.0,33.0,16.0,12.0,10.0,6.0,6.0,6.0,13.0,30.0,14.000000000000002,24.0,10.0,8.0,10.0,5.0,6.0,4.0,12.0
Fahrenheit 451,26.666666666666668,8.333333333333332,8.333333333333332,3.3333333333333335,1.6666666666666667,0.0,0.0,0.0,8.333333333333332,1.6666666666666667,13.333333333333334,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0
Frankenstein,79.16666666666666,52.083333333333336,29.166666666666668,35.41666666666667,8.333333333333332,10.416666666666668,8.333333333333332,10.416666666666668,8.333333333333332,12.5,54.166666666666664,27.083333333333332,12.5,10.416666666666668,8.333333333333332,6.25,6.25,6.25,2.083333333333333,6.25
Harry Potter and the Deathly Hallows,35.0,7.000000000000001,3.0,3.0,1.0,3.0,1.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0
Of Mice and Men,56.25,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,1.3157894736842104,1.3157894736842104,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,16.842105263157894,0.0,1.0526315789473684,0.0,4.2105263157894735,3.1578947368421053,2.1052631578947367,1.0526315789473684,6.315789473684211,1.0526315789473684,9.473684210526317,0.0,3.1578947368421053,1.0526315789473684,0.0,0.0,0.0,0.0,1.0526315789473684,0.0
Pride and Prejudice,92.92929292929293,58.58585858585859,16.161616161616163,3.0303030303030303,12.121212121212121,7.07070707070707,9.090909090909092,7.07070707070707,19.19191919191919,9.090909090909092,94.94949494949495,20.2020202020202,8.080808080808081,8.080808080808081,9.090909090909092,7.07070707070707,5.05050505050505,7.07070707070707,6.0606060606060606,7.07070707070707
Sense and sensibility,16.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,79.62962962962963,18.51851851851852,11.11111111111111,7.4074074074074066,1.8518518518518516,3.7037037037037033,3.7037037037037033,5.555555555555555,7.4074074074074066,9.25925925925926,16.666666666666664,3.7037037037037033,7.4074074074074066,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
The Handmaid s Tale,72.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,63.013698630136986,20.54794520547945,10.95890410958904,9.58904109589041,2.73972602739726,0.0,0.0,0.0,2.73972602739726,2.73972602739726,13.698630136986301,0.0,5.47945205479452,0.0,0.0,0.0,0.0,0.0,1.36986301369863,0.0
