Single_ent,en,en_results,es,es_results,tr,tr_results,vi,vi_results,en_shuffled,en_shuffled_results,es_shuffled,es_shuffled_results,tr_shuffled,tr_shuffled_results,vi_shuffled,vi_shuffled_results
"['snape—', 'snape']","“At the home of one of the Order,” said Snape. “The place, according to the source, has been given every protection that the Order and Ministry together could provide. I think that there is little chance of taking him once he is there, my Lord, unless, of course, the Ministry has fallen before next Saturday, which might give us the opportunity to discover and undo enough of the enchantments to break through the rest.”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","—En casa de un miembro de la Orden —contestó Snape—. Según nuestra fuente, le han dado a ese lugar toda la protección que la Orden y el ministerio pueden proporcionar. Creo que una vez que lo lleven allí habrá pocas probabilidades de atraparlo, mi señor; a menos, por supuesto, que el ministerio haya caído antes del próximo sábado, lo cual nos permitiría descubrir y deshacer suficientes sortilegios para burlar las protecciones que resten.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","""Yoldaşlık üyelerinden birinin evinde,"" dedi Snape. ""Kaynağa göre bu yer Yoldaşlık ve Bakanlık‘ın birlikte temin edebileceği her korumaya sahip. Oraya vardıktan sonra onu alabilme şansının çok az olduğunu düşünüyorum, Lordum, tabi Bakanlık bir sonraki cumartesinden önce düşmediği sürece; çünkü bu bize geri kalanını kırabilmek için yeterince büyüyü keşfedip kaldırma fırsatı verir.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","“Ở nhà của một trong những Hội viên,” Snape nói. “Theo nguồn tin, nơi đó được Hội Phượng Hoàng và Bộ Pháp Thuật bố trí mọi sự bảo vệ mà họ có thể làm được. Tôi nghĩ một khi nó đã ở đó rồi thì chúng ta rất ít có cơ hội tóm được nó, trừ khi, dĩ nhiên thôi, thưa Chúa Tể, là Bộ Pháp Thuật sập trước thứ bảy tới, điều đó giúp cho chúng ta cơ hội phát hiện và giải trừ một số bùa ếm đủ để phá hủy những bùa phép còn lại.”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","the enough break next of is the unless, Ministry home source, of there, the together Ministry the him “At he been might to Saturday, Order,” the provide. every the give Order to think one us through could and fallen Snape. of to the the opportunity has before of I once has and said rest.” taking discover Lord, chance undo which is protection there little that place, of according given that enchantments my “The course,","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","del el lo la ministerio Según de protección dado señor; haya burlar Orden a permitiría y antes fuente, cual habrá atraparlo, lugar Orden las que —contestó por que supuesto, allí nos menos, de de pueden el que y para miembro protecciones que resten. probabilidades ese deshacer un nuestra —En a la una sábado, sortilegios próximo pocas vez que mi suficientes casa han la lleven toda ministerio caído le descubrir lo Snape—. proporcionar. Creo","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","sahip. Bakanlık‘ın önce sürece; ""Yoldaşlık az olduğunu Snape. düşünüyorum, cumartesinden verir. çok geri Yoldaşlık şansının sonraki dedi kırabilmek korumaya evinde,"" çünkü temin yer her onu bu bu bize ve sonra Oraya üyelerinden için vardıktan tabi bir ""Kaynağa birlikte keşfedip alabilme edebileceği düşmediği Bakanlık büyüyü fırsatı kalanını göre kaldırma yeterince birinin Lordum,","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","làm thể nó, trừ của những là hội và Tôi tin, còn Pháp cho vệ hiện nghĩ dĩ đã Pháp một đủ những mọi khi cơ bùa ở viên,” một sập và chúng Hội nhiên đó phá phát Thuật Bộ có một Chúa thứ Thuật trước trừ ta họ rất ếm Tể, hội nơi giúp được ít để thưa nguồn trong bùa Bộ sự khi, số đó mà bảy được. lại.” giải nói. tới, điều tóm thôi, bố hủy đó “Ở ta thì được rồi nó có cơ Hội phép Snape bảo “Theo Hoàng trí chúng Phượng nhà","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling"""
"['snape—', 'snape']","“He will not do either,” said Snape. “The Order is eschewing any form of transport that is controlled or regulated by the Ministry; they mistrust everything to do with the place.”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""",—No hará ninguna de esas cosas —terció Snape—. La Orden evita cualquier forma de transporte controlada o re-gulada por el ministerio; desconfían de todo lo que tenga que ver con la institución.,"""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","""İkisini de yapmayacak,"" dedi Snape. ""Yoldaşlık, Bakanlık tarafından düzenlenen veya kontrol edilen her tür ulaşım yolundan sakınıyor; o yerle ilgili hiçbir şeye güvenmiyorlar.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","“Nó sẽ không sử dụng hai cách đó,” Snape nói. “Hội đang loại ra bất cứ hình thức di chuyển nào do Bộ Pháp thuật kiểm soát hay điều hành, họ không tin mọi thứ có dính dáng tới Bộ.”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","they controlled Order or form will everything transport the regulated that of “The the either,” Snape. “He by place.” not eschewing to is do mistrust said is with do any Ministry;","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""",hará institución. re-gulada por cosas que lo ninguna el o ministerio; —terció evita todo de Orden la desconfían esas cualquier —No que forma ver de controlada La transporte tenga de con Snape—.,"""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","şeye sakınıyor; kontrol yerle Snape. de yolundan Bakanlık veya o ulaşım tarafından her dedi tür güvenmiyorlar. ""İkisini hiçbir düzenlenen edilen ""Yoldaşlık, ilgili yapmayacak,""","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","sẽ kiểm do hay thức Bộ.” sử đó,” Pháp thuật Snape bất di cách “Hội nói. nào không cứ thứ tới chuyển Bộ soát ra mọi hình dính đang có loại điều “Nó dáng dụng không hành, tin họ hai","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling"""
['lucius malfoy'],"Lucius Malfoy looked up. His skin appeared yellowish and waxy in the firelight, and his eyes were sunken and shadowed. When he spoke, his voice was hoarse.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","Lucius Malfoy levantó la cabeza. Tenía los ojos hundidos y con ojeras, y el resplandor de la chimenea daba un tono amarillento y aspecto céreo a su cutis. Cuando habló, lo hizo con voz ronca:","""title"": ""Harry Potter y el Prisionero de Azkaban"", ""author"": ""J.K. Rowling""","Lucius Malfoy başını kaldırdı. Cildi ateşin ışığında sarımsı ve cilalı görünümdeydi, gözleri de gölgeli ve çökmüştü. Konuştuğunda, sesi boğuktu.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","Lucius Malfoy ngước lên. Trong ánh lửa, da hắn trông vàng ệch, bóng như sáp, và mắt hắn sâu hóm quầng thâm. Khi hắn nói giọng hắn khàn khàn.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","and shadowed. sunken firelight, His eyes were looked in spoke, When skin up. yellowish he Lucius and waxy Malfoy hoarse. appeared his voice his and was the","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","Tenía aspecto céreo ojos daba habló, a cutis. ojeras, ronca: lo tono su chimenea Cuando con los resplandor Lucius un el levantó de cabeza. amarillento y hizo la hundidos y Malfoy y con voz la","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","Malfoy de boğuktu. sesi ve kaldırdı. cilalı sarımsı gözleri ve ışığında çökmüştü. Konuştuğunda, ateşin Cildi gölgeli Lucius görünümdeydi, başını","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","lửa, thâm. hắn khàn. Trong sâu da lên. Khi hắn khàn hóm sáp, và Lucius bóng ánh hắn mắt quầng Malfoy giọng như trông vàng ngước ệch, nói hắn","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling"""
"['lucius', 'luciu']","“I have given you your liberty, Lucius, is that not enough for you? But I have noticed that you and your family seem less than happy of late … What is it about my presence in your home that displaces you, Lucius?”","""title"": ""The Call of the Wild"", ""author"": ""Jack London""","Te he regalado la libertad, Lucius. ¿Acaso no tienes suficiente con eso? Sí... es cierto, me he fijado en que últimamente ni tú ni tu familia parecéis felices... ¿Tal vez os desagrada mi presencia en vuestra casa, Lucius?","""title"": ""Harry Potter y el Prisionero de Azkaban"", ""author"": ""J.K. Rowling""","""Sana özgürlüğünü verdim, Lucius, bu senin için yeterli değil mi? Ama fark ettim ki sen ve ailen bundan çok da memnun görünmüyorsunuz... Evindeki varlığımın nesi seni bu kadar mutsuz ediyor Lucius?","""title"": ""Harry Potter and the Chamber of Secrets"", ""author"": ""J.K. Rowling""","“Ta đã cho mi tự do, Lucius, chẳng lẽ chưa đủ cho mi sao? Nhưng ta nhận thấy mi và gia đình mi có vẻ kém vui hơn sau... Sự hiện diện của ta trong nhà mi có điều chi khiến mi không hài lòng hả, Lucius?”","""title"": ""To Kill a Mockingbird"", ""author"": ""Harper Lee""","is your late happy displaces Lucius, … your that that in seem not you, given and you “I liberty, is have my that it noticed have less I enough about you? of you for What But Lucius?” than home your presence family","""title"": ""Julius Caesar"", ""author"": ""William Shakespeare""","Lucius. parecéis regalado que ni vuestra en presencia libertad, últimamente ni me fijado en tú he os ¿Tal desagrada ¿Acaso eso? suficiente casa, tu tienes felices... es la Lucius? no mi cierto, con he vez familia Sí... Te","""title"": ""Don Quijote de la Mancha"", ""author"": ""Miguel de Cervantes Saavedra""","ailen bundan yeterli Evindeki için ve varlığımın Ama çok memnun değil fark özgürlüğünü sen ediyor senin bu ""Sana Lucius, da seni bu verdim, ettim mutsuz nesi kadar görünmüyorsunuz... Lucius? mi? ki","""title"": ""Ben-Hur: A Tale of the Christ"", ""author"": ""Lewis Spence Merwin (adaptation), Lew Wallace (original novel)""","mi cho ta khiến mi lẽ “Ta mi Nhưng mi mi và đủ hài Lucius, vẻ trong đình hả, có điều lòng thấy gia hơn có ta mi nhận kém sao? diện Sự sau... chưa do, chẳng vui Lucius?” chi cho hiện của tự nhà đã không","""title"": ""The Autobiography of Benjamin Franklin"", ""author"": ""Benjamin Franklin"""
"['malfoys', 'malfoy']","“Why do the Malfoys look so unhappy with their lot? Is my return, my rise to power, not the very thing they professed to desire for so many years?”","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","—¿Por qué será que los Malfoy se muestran tan descon-tentos con su suerte? ¿Acaso durante años no presumieron, precisamente, de desear mi regreso y mi ascenso al poder?","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","""Neden Malfoy'lar hallerinden bu kadar mutsuz görünüyorlar? Dönüşüm, benim güce erişmem, onların pek çok yıllar boyu yürekten istediklerini iddia ettikleri şey değil miydi?","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","“Tại sao gia đình Malfoy trông không được vui với số phận của họ nhỉ? Chẳng phải sự trở về của ta, sự hồi phục quyền lực của ta là chính cái điều họ đã tỏ ra khao khát trong bao nhiêu năm qua sao?”","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","many lot? professed very not “Why years?” their for so Is return, desire my they so Malfoys to do rise my the power, with unhappy the look to thing","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","durante qué descon-tentos será regreso los su al poder? no que suerte? se muestran Malfoy mi tan —¿Por desear mi precisamente, ascenso ¿Acaso y presumieron, de con años","""title"": ""Harry Potter y el Prisionero de Azkaban"", ""author"": ""J.K. Rowling""","miydi? bu mutsuz yürekten ""Neden pek değil ettikleri erişmem, boyu güce Dönüşüm, iddia benim şey görünüyorlar? yıllar istediklerini kadar çok onların Malfoy'lar hallerinden","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","trong với được quyền họ năm phải số sự của tỏ phận điều ta, “Tại qua gia cái hồi sự khát khao đã nhỉ? ra bao lực trông của nhiêu vui đình Chẳng sao trở chính là ta về Malfoy sao?” phục họ của không","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
['draco malfoy'],"The hilarity mounted; Draco Malfoy looked in terror at his father, who was staring down into his own lap, then caught his mother’s eye. She shook her head almost imperceptibly, then resumed her own deadpan stare at the opposite wall.","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","La hilaridad iba en aumento. Aterrado, Draco Malfoy miró a su padre, que tenía la mirada clavada en el regazo, y luego buscó la de su madre. Ella negó con la cabeza de manera casi imperceptible y siguió contemplando de forma inexpresiva la pared que tenía enfrente.","""title"": ""Harry Potter y el Prisionero de Azkaban"", ""author"": ""J.K. Rowling""","Rezalet daha da büyüdü; Draco Malfoy kendi kucağına öylece bakan babasına dehşetle baktı, sonra da annesinin gözünü yakaladı. Başını neredeyse belli belirsiz iki yana salladı, sonra karşı duvara donuk donuk bakmaya devam etti.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","Trò vui nhộn càng được bơm lên cao; Draco Malfoy nhìn cha khiếp đảm, cha nó cúi gằm nhìn xuống đùi mình, rồi nó bắt được ánh mắt của má nó. Bà ta lắc đầu, khẽ khàng đến mức gần như không nhận thấy được, rồi tiếp tục ngây nhìn bức tường đối diện.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","wall. head at mother’s at caught in imperceptibly, his own father, resumed mounted; opposite his She was then eye. her lap, then looked who his own down Draco stare hilarity Malfoy deadpan staring her almost the shook terror The into","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","tenía clavada La forma en en manera de pared mirada padre, negó Aterrado, miró Malfoy tenía y luego que la de iba hilaridad la el casi contemplando con madre. la su enfrente. de imperceptible aumento. buscó siguió inexpresiva cabeza y su Ella la regazo, a Draco que","""title"": ""Harry Potter and the Half-Blood Prince"", ""author"": ""J.K. Rowling""","da salladı, belirsiz dehşetle bakmaya Malfoy da kendi yana büyüdü; Başını sonra öylece baktı, neredeyse duvara yakaladı. Rezalet Draco karşı gözünü bakan iki kucağına babasına daha donuk sonra donuk annesinin etti. belli devam","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","nó ánh khàng tiếp cha má bức lên nhìn gần được không cha rồi nhộn Draco được đảm, mắt nó thấy nhìn xuống Trò diện. khẽ mình, bắt Bà lắc mức bơm Malfoy rồi của tục nó. ngây đùi nhìn vui cúi càng đến đối cao; khiếp đầu, như ta gằm nhận được, tường","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
"['hermione‘ye', 'hermione']","It was stupid, pointless, irritating beyond belief that he still had four days left of being unable to perform magic…but he had to admit to himself that this jagged cut in his finger would have defeated him. He had never learned how to repair wounds, and now he came to think of it – particularly in light of his immediate plans – this seemed a serious flaw in his magical education. Making a mental note to ask Hermione how it was done, he used a large wad of toilet paper to mop up as much of the tea as he could before returning to his bedroom and slamming the door behind him.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","Era estúpido, absurdo y sumamente irritante que todavía faltaran cuatro días para que se le permitiera practicar magia. Pero tenía que admitir que no habría sabido qué hacer con aquel corte irregular en el dedo. Todavía no había aprendido a curar heridas y, pensándolo bien —sobre todo a la luz de sus planes inmediatos—, eso era un grave fallo de su educación mágica. Se dijo que debía pedirle a Hermione que le enseñara y a continuación, con un gran puñado de papel higiénico, limpió el té derramado antes de volver a su dormitorio y cerrar de un portazo.","""title"": ""Harry Potter y el Prisionero de Azkaban"", ""author"": ""J.K. Rowling""","Hala sihir yapamayacağı dört günün olması aptalca, mantıksız, inanılmaz derecede sinir bozucuydu... Ama kendisine itiraf etmeliydi ki, yine de parmağındaki bu derin kesik onu bozguna uğratırdı. Yaraları iyileştirmeyi hiçbir zaman öğrenmemişti ve şimdi farkına varıyordu ki -özellikle yakın zaman sonrası için yaptığı planlarından önce- sihir eğitiminde bu ciddi bir eksiklikti. Nasıl yapılacağını Hermione‘ye sormayı aklının bir köşesine yazarken, büyük bir tomar tuvalet kâğıdıyla silebildiği kadar çayı silerek odasına döndü ve kapıyı arkasından çarparak kapattı.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","Thiệt là ngu ngốc, nhảm nhí, dễ khùng quá sức tưởng tượng khi mà chỉ còn bốn ngày nữa là nó có thể làm phép thuật… nhưng nó phải tự thừa nhận là vết cắt sâu nham nhở này không khéo sẽ đánh quỵ nó. Nó chưa bao giờ học cách chữa những vết thương, và bây giờ nó phải nghĩ tới chuyện đó - đặc biệt cho những kế hoạch trước mắt - điều này dường như là một thiếu sót nghiêm trọng của nền giáo dục pháp thuật. Ghi nhẩm trong đầu là sẽ hỏi Hermione cách làm, nó dùng một nùi bự giấy vệ sinh để chùi nước trà được bao nhiêu hay bấy nhiêu trước khi trở lại phòng ngủ và đóng sầm cánh cửa lại sau lưng.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","returning a in the paper wad never belief Hermione his Making in light was to to how bedroom had he of and of now was much defeated a to have to pointless, – plans of mental done, left before being him. finger days note that four in up to as It still he admit magic…but think mop this of tea education. it could door a seemed of stupid, this and had immediate had perform repair the his it that to ask – beyond unable came jagged serious to his him. would toilet to behind particularly himself cut how he his used he slamming as large flaw He magical irritating learned he wounds,","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","irregular Hermione educación días le fallo qué el que era aprendido y a que no y luz la irritante inmediatos—, un habría Era magia. sumamente sus permitiera cerrar de Todavía bien que gran enseñara puñado admitir faltaran planes practicar dedo. con en limpió y a con papel que eso Pero de cuatro de se higiénico, pensándolo de aquel su un mágica. curar un a corte grave y, que a dormitorio Se había estúpido, antes volver todo su de absurdo a que continuación, derramado té no tenía pedirle dijo le portazo. heridas debía para todavía hacer —sobre el sabido","""title"": ""Harry Potter and the Prisoner of Azkaban"", ""author"": ""J.K. Rowling""","silerek döndü silebildiği ki, bir kâğıdıyla yapılacağını derin varıyordu bu zaman de eksiklikti. yakın şimdi sihir arkasından yapamayacağı ki Ama zaman iyileştirmeyi kapattı. kadar odasına olması bir yaptığı aptalca, onu yazarken, bir ve Yaraları dört sormayı günün parmağındaki çarparak kendisine bozguna sihir köşesine ciddi bozucuydu... planlarından Hermione‘ye derecede kapıyı öğrenmemişti farkına sonrası Hala Nasıl uğratırdı. önce- için etmeliydi sinir hiçbir itiraf eğitiminde -özellikle bu kesik mantıksız, aklının yine çayı ve tomar inanılmaz tuvalet büyük","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","nhận và nó làm, khéo - và quỵ mắt chùi trọng hỏi làm một lưng. nhiêu sót hay của trà chỉ trước thể để những cách tới trước đó Hermione bấy nó cho - khùng khi sâu trở như nhở nghĩ phải không sinh bao phải Thiệt đánh ngu giờ lại thiếu đặc dễ sầm có sẽ là được còn nùi học cách bao sẽ mà điều vệ giờ nữa chuyện cửa tự chưa bốn đóng Ghi pháp ngày trong nghiêm sức nhưng lại một là ngủ phòng chữa tượng phép thương, những nó nhẩm ngốc, này dục này tưởng dùng bự vết giấy nó. giáo nền thuật… sau vết nhí, Nó bây kế thuật. nhiêu đầu nham cắt hoạch là nó dường thừa cánh là nước là biệt khi quá nhảm","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
['harry'],"Harry reached the bottom of the article, but continued to stare blankly at the page. Revulsion and fury rose in him like vomit; he balled up the newspaper and threw it, with all his force, at the wall, where it joined the rest of the rubbish heaped around his overflowing bin.","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","Harry llegó al final del artículo y se quedó contemplando la página como embobado. La rabia y el asco surgían en su interior como vómito; arrugó el periódico y lo lanzó con todas sus fuerzas contra la pared, donde se unió al resto de la basura amontonada alrededor de la rebosante papelera.","""title"": ""Harry Potter and the Sorcerer's Stone"", ""author"": ""J.K. Rowling""","Harry makalenin sonuna ulaştı, ama sayfaya boş boş bakmaya devam etti. Tiksinti ve öfke, içinde kusmuk gibi yükseldi; tüm gücüyle gazeteyi buruşturup taşmış çöp tenekesinden yükselmiş çöpün birleştiği duvara attı","""title"": ""Harry Potter and the Prisoner of Azkaban"", ""author"": ""J.K. Rowling""","Harry đã đọc hết dòng cuối của bài báo, nhưng mắt vẫn ngây ra ngó chằm chằm trang báo không dứt được. Sự ghê tởm và phẫn nộ trào lên trong người nó như muốn ói, nó vo tròn tờ báo và quăng mạnh vô tường bằng tất cả sức lực, cục báo nhập vô đám rác chất đống quanh cái thùng rác đã đầy tràn.","""title"": ""Harry Potter and the Sorcerer's Stone"", ""author"": ""J.K. Rowling""","continued around rubbish the the up like fury wall, and heaped vomit; bottom but at his it, with his the at reached the of where the balled rest the it force, the in overflowing stare to threw Harry him newspaper blankly rose and joined article, bin. page. of he Revulsion all","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","la surgían amontonada de unió todas rebosante Harry resto asco y la la con y quedó embobado. periódico sus artículo final rabia la en alrededor La como pared, del donde y página contemplando vómito; llegó lo el al se su papelera. interior se el de basura como al contra arrugó fuerzas lanzó","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","sonuna yükselmiş ama ulaştı, çöpün duvara bakmaya çöp birleştiği boş kusmuk Harry boş tenekesinden yükseldi; öfke, gazeteyi içinde attı sayfaya gibi buruşturup etti. makalenin tüm Tiksinti gücüyle ve devam taşmış","""title"": ""Harry Potter and the Chamber of Secrets"", ""author"": ""J.K. Rowling""","và nhưng vo nó báo đám trang hết đống lực, tởm báo, ngó không tường chất nó cục đã Harry cái ói, lên nộ sức thùng rác ngây mắt tất trào chằm mạnh chằm ghê tròn muốn đầy người tờ đọc đã cả báo dứt ra quăng cuối Sự phẫn trong báo và nhập dòng quanh vẫn rác được. tràn. bài vô của như bằng vô","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling"""
['harry'],"“Lies!” Harry bellowed, and through the window he saw the next-door neighbor, who had paused to restart his lawn mower, look up nervously.","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","—¡Mentiras! —gritó Harry, y por la ventana vio al vecino de al lado que, mirándolo con nerviosismo, se había detenido para volver a poner en marcha el cortacésped.","""title"": ""Harry Potter y el Prisionero de Azkaban"", ""author"": ""J.K. Rowling""","""Yalanlar!"" diye böğürdü Harry ve pencereden çim makinesini başlatmak için duraklamış olan yan komşusunun endişeyle yukarı baktığını gördü.","""title"": ""Harry Potter and the Sorcerer's Stone (Harry Potter ve Kaba Şefrinin Ardıçası)"", ""author"": ""J.K. Rowling""","“Láo!” Harry gào lên, và qua khung cửa sổ nó thấy ông hàng xóm nhà kế bên, vừa ngừng lại để khởi động cái máy cắt cỏ của ông ta ngó lên lo lắng.","""title"": ""Harry Potter and the Sorcerer's Stone"", ""author"": ""J.K. Rowling""","had who he the neighbor, next-door window look the nervously. “Lies!” his restart up bellowed, and paused saw lawn Harry through mower, to","""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""","—¡Mentiras! se mirándolo por Harry, la el vecino había ventana detenido en volver de nerviosismo, lado al para —gritó a y poner con vio marcha que, al cortacésped.","""title"": ""Harry Potter and the Prisoner of Azkaban"", ""author"": ""J.K. Rowling""","gördü. diye komşusunun pencereden yukarı endişeyle için olan makinesini baktığını böğürdü başlatmak duraklamış ve Harry çim yan ""Yalanlar!""","""title"": ""Harry Potter and the Sorcerer's Stone"", ""author"": ""J.K. Rowling""","cửa lên lên, ông lại bên, lo cái cỏ xóm vừa kế hàng ngừng máy sổ ta ngó lắng. cắt động và khởi “Láo!” gào thấy ông để nó qua Harry của khung nhà","""title"": ""Harry Potter and the Sorcerer's Stone"", ""author"": ""J.K. Rowling"""
"['albus dumbledore‘un', 'albus dumbledore']","He had imagined it, there was no other explanation; imagined it, because he had been thinking of his dead headmaster. If anything was certain, it was that the bright blue eyes of Albus Dumbledore would never pierce him again.","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","Se lo había imaginado, era evidente; se lo había imaginado porque estaba pensando en el difunto director del colegio. Si de algo estaba seguro era de que los ojos azules de Albus Dumbledore jamás volverían a clavarse en los suyos.","""title"": ""Harry Potter y el Prisionero de Azkaban"", ""author"": ""J.K. Rowling""","Hayal görmüştü, başka bir açıklaması yoktu; hayal görmüştü, çünkü ölmüş müdürünü düşünüyordu. Kesin olan bir şey varsa, o da Albus Dumbledore‘un parlak mavi gözleri onu bir daha hiç delip geçmeyecekti.","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","Nó đã tưởng tượng, chứ không có cách giải thích nào khác; đã tưởng tượng ra điều đó, bởi vì nó đang nghĩ đến thầy hiệu trưởng đã mất. Nếu có điều gì đó chắc chắn, thì điều đó là đôi mắt sáng xanh lơ của cụ Albus Dumbledore sẽ không bao giờ nhìn thấu lòng nó nữa.","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","anything the his him headmaster. had he bright there of was it, pierce blue Dumbledore imagined no been thinking never of that imagined dead If it explanation; would again. was because was He certain, had Albus it, other eyes","""title"": ""Harry Potter and the Goblet of Fire"", ""author"": ""J.K. Rowling""","porque de difunto Dumbledore seguro de director pensando había era los estaba se evidente; lo imaginado en el a en había imaginado, del suyos. clavarse de Albus volverían colegio. Se los estaba ojos Si jamás era azules algo que lo","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","varsa, mavi Hayal müdürünü görmüştü, hiç görmüştü, daha gözleri geçmeyecekti. parlak delip bir olan düşünüyordu. Kesin yoktu; o bir çünkü bir şey açıklaması Albus Dumbledore‘un onu hayal da başka ölmüş","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""","gì hiệu mất. là đã đôi điều thầy xanh tưởng giải thì vì Nếu tượng, ra nhìn đang bởi bao nó giờ có lòng chắn, nữa. chắc sáng Albus nghĩ của tưởng cách đó đó mắt có thích đã cụ chứ lơ đến Dumbledore thấu khác; đã điều nào Nó nó đó, tượng điều sẽ trưởng không không","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling"""
