en_first_half,en_second_half,en_results,en_word_count,en_results_raw,vi_first_half,vi_second_half,vi_results,vi_word_count,vi_results_raw,es_first_half,es_second_half,es_results,es_word_count,es_results_raw,tr_first_half,tr_second_half,tr_results,tr_word_count,tr_results_raw
"“At the home of one of the Order,” said Snape. “The place, according to the source, has been given every protection that the Order and Ministry together could provide. I think that there is little chance of","taking him once he is there, my Lord, unless, of course, the Ministry has fallen before next Saturday, which might give us the opportunity to discover and undo enough of the enchantments to break through the rest.”",completion,74,completion,"“Ở nhà của một trong những Hội viên,” Snape nói. “Theo nguồn tin, nơi đó được Hội Phượng Hoàng và Bộ Pháp Thuật bố trí mọi sự bảo vệ mà họ có thể làm được. Tôi nghĩ một khi nó đã ở đó rồi thì chúng ta rất ít","có cơ hội tóm được nó, trừ khi, dĩ nhiên thôi, thưa Chúa Tể, là Bộ Pháp Thuật sập trước thứ bảy tới, điều đó giúp cho chúng ta cơ hội phát hiện và giải trừ một số bùa ếm đủ để phá hủy những bùa phép còn lại.”",completion,98,completion,"—En casa de un miembro de la Orden —contestó Snape—. Según nuestra fuente, le han dado a ese lugar toda la protección que la Orden y el ministerio pueden proporcionar. Creo que una vez que lo","lleven allí habrá pocas probabilidades de atraparlo, mi señor; a menos, por supuesto, que el ministerio haya caído antes del próximo sábado, lo cual nos permitiría descubrir y deshacer suficientes sortilegios para burlar las protecciones que resten.",output>completion>,73,<output>completion>,"""Yoldaşlık üyelerinden birinin evinde,"" dedi Snape. ""Kaynağa göre bu yer Yoldaşlık ve Bakanlık‘ın birlikte temin edebileceği her korumaya sahip. Oraya vardıktan sonra onu alabilme şansının","çok az olduğunu düşünüyorum, Lordum, tabi Bakanlık bir sonraki cumartesinden önce düşmediği sürece; çünkü bu bize geri kalanını kırabilmek için yeterince büyüyü keşfedip kaldırma fırsatı verir.",output>completion>,51,<output>completion>
"“He will not do either,” said Snape. “The Order is eschewing any form of transport",that is controlled or regulated by the Ministry; they mistrust everything to do with the place.”,completion,31,completion,"“Nó sẽ không sử dụng hai cách đó,” Snape nói. “Hội đang loại ra bất cứ hình thức di chuyển","nào do Bộ Pháp thuật kiểm soát hay điều hành, họ không tin mọi thứ có dính dáng tới Bộ.”",completion,40,completion,—No hará ninguna de esas cosas —terció Snape—. La Orden evita cualquier forma de transporte controlada,o re-gulada por el ministerio; desconfían de todo lo que tenga que ver con la institución.,completion,32,completion,"""İkisini de yapmayacak,"" dedi Snape. ""Yoldaşlık, Bakanlık tarafından düzenlenen veya kontrol",edilen her tür ulaşım yolundan sakınıyor; o yerle ilgili hiçbir şeye güvenmiyorlar.,completed,23,completed
"Lucius Malfoy looked up. His skin appeared yellowish and waxy in the firelight,","and his eyes were sunken and shadowed. When he spoke, his voice was hoarse.",completion,27,completion,"Lucius Malfoy ngước lên. Trong ánh lửa, da hắn trông vàng ệch, bóng như","sáp, và mắt hắn sâu hóm quầng thâm. Khi hắn nói giọng hắn khàn khàn.",completion,29,completion,"Lucius Malfoy levantó la cabeza. Tenía los ojos hundidos y con ojeras, y el resplandor de la","chimenea daba un tono amarillento y aspecto céreo a su cutis. Cuando habló, lo hizo con voz ronca:",output>completion>,35,<output>completion>,Lucius Malfoy başını kaldırdı. Cildi ateşin ışığında sarımsı ve,"cilalı görünümdeydi, gözleri de gölgeli ve çökmüştü. Konuştuğunda, sesi boğuktu.","completması gereken bir şey vardı. Karanlıkta parlayan gözleri, bir an için bile",19,"completması gereken bir şey vardı. Karanlıkta parlayan gözleri, bir an için bile olsa, Harry Potter'ın yüzüne odaklandı. Bu, bir tehdit mi yoksa bir uyarı mıydı, Lucius Malfoy'un yüzünde tam olarak belli değildi. Ancak, bu karşılaşma, Harry'nin hayatını sonsuza dek değiştirecekti."
"“I have given you your liberty, Lucius, is that not enough for you? But I have noticed that you and your","family seem less than happy of late … What is it about my presence in your home that displaces you, Lucius?”",output>completion>,42,<output>completion>,"“Ta đã cho mi tự do, Lucius, chẳng lẽ chưa đủ cho mi sao? Nhưng ta nhận thấy mi và gia đình mi","có vẻ kém vui hơn sau... Sự hiện diện của ta trong nhà mi có điều chi khiến mi không hài lòng hả, Lucius?”",completion,47,completion,"Te he regalado la libertad, Lucius. ¿Acaso no tienes suficiente con eso? Sí... es cierto, me he fijado en","que últimamente ni tú ni tu familia parecéis felices... ¿Tal vez os desagrada mi presencia en vuestra casa, Lucius?",completion,38,completion,"""Sana özgürlüğünü verdim, Lucius, bu senin için yeterli değil mi? Ama fark ettim ki sen",ve ailen bundan çok da memnun görünmüyorsunuz... Evindeki varlığımın nesi seni bu kadar mutsuz ediyor Lucius?,"completion: Sana özgürlüğünü verdim, Lucius, bu senin için yeterli değil mi? Ama fark ettim ki sen",31,"completion: Sana özgürlüğünü verdim, Lucius, bu senin için yeterli değil mi? Ama fark ettim ki sen"
"“Why do the Malfoys look so unhappy with their lot? Is my return, my","rise to power, not the very thing they professed to desire for so many years?”","completion>completion of the wizarding world, a source of such joy and wonder for",29,"completion>completion of the wizarding world, a source of such joy and wonder for so many, a burden to them? Perhaps it is the weight of their own expectations, the pressure to conform to the traditional norms of their family's legacy, that has led to their discontent. The Malfoys, with their history of prejudice and elitism, may find it difficult to reconcile their own desires with the harsh realities of the wizarding world, where the lines between good and evil are often blurred. Their unhappiness may stem from the fear of losing their grip on power and status, or the uncertainty of their place in a world that is rapidly changing. Whatever the reason, it is clear that the Malfoys are struggling to find their place in a world that is increasingly diverse and inclusive, and their discontent serves as a reminder of the challenges that lie ahead for all of us as we strive to create a more just and equitable society.","“Tại sao gia đình Malfoy trông không được vui với số phận của họ nhỉ? Chẳng phải sự trở về của ta,",sự hồi phục quyền lực của ta là chính cái điều họ đã tỏ ra khao khát trong bao nhiêu năm qua sao?”,completion,45,completion,—¿Por qué será que los Malfoy se muestran tan descon-tentos con su suerte? ¿Acaso,"durante años no presumieron, precisamente, de desear mi regreso y mi ascenso al poder?",completion: ¿Por qué será que los Malfoy se muestran tan descon-tentos con su suerte? ¿Acaso,28,"completion: ¿Por qué será que los Malfoy se muestran tan descon-tentos con su suerte? ¿Acaso no se dan cuenta de que su situación es privilegiada en comparación con la de otros magos? Parece que la envidia y la insatisfacción los consumen, y no pueden apreciar la fortuna que tienen. Quizás sea el miedo a perderlo todo lo que los hace actuar de esta manera, o tal vez sea la presión de mantener su estatus social lo que los lleva a sentirse descontentos. Sea cual sea la razón, es evidente que los Malfoy están lejos de ser felices con su suerte.","""Neden Malfoy'lar hallerinden bu kadar mutsuz görünüyorlar? Dönüşüm, benim güce erişmem,",onların pek çok yıllar boyu yürekten istediklerini iddia ettikleri şey değil miydi?,"completion: ""Neden Malfoy'lar hallerinden bu kadar mutsuz görünüyorlar? Dönüşüm, benim",23,"completion: ""Neden Malfoy'lar hallerinden bu kadar mutsuz görünüyorlar? Dönüşüm, benim güce erişmem, onların da bu gücü elde etme arzularını tetikledi. Ancak, onlar bu yolda ilerlerken, büyülü dünyada kabul görme ve ailelerinin onlara verdiği değerin sorgulanması gibi sorunlarla karşılaştılar. Bu durum, onların mutsuzluklarının temel nedenlerinden biri olarak görülüyor. Ayrıca, Malfoy'ların geçmişte yaşadıkları zorluklar ve ailelerinin onlara karşı olan tutumları da bu mutsuzluğa katkıda bulunuyor. Bu karmaşık duygular, onların ilişkilerini ve davranışlarını etkiliyor. Bu nedenle, Malfoy'ların mutsuz görünmelerinin nedenleri, sadece güç elde etme arzusuyla sınırlı değil, aynı zamanda aileleri ve büyülü dünya ile olan ilişkilerinin de bir yansımasıdır."""
"The hilarity mounted; Draco Malfoy looked in terror at his father, who was staring down into his own lap, then","caught his mother’s eye. She shook her head almost imperceptibly, then resumed her own deadpan stare at the opposite wall.",completion,40,completion,"Trò vui nhộn càng được bơm lên cao; Draco Malfoy nhìn cha khiếp đảm, cha nó cúi gằm nhìn xuống đùi mình, rồi nó bắt được ánh","mắt của má nó. Bà ta lắc đầu, khẽ khàng đến mức gần như không nhận thấy được, rồi tiếp tục ngây nhìn bức tường đối diện.",completion,54,completion,"La hilaridad iba en aumento. Aterrado, Draco Malfoy miró a su padre, que tenía la mirada clavada en el regazo, y luego buscó",la de su madre. Ella negó con la cabeza de manera casi imperceptible y siguió contemplando de forma inexpresiva la pared que tenía enfrente.,completion,47,completion,"Rezalet daha da büyüdü; Draco Malfoy kendi kucağına öylece bakan babasına dehşetle baktı, sonra da annesinin","gözünü yakaladı. Başını neredeyse belli belirsiz iki yana salladı, sonra karşı duvara donuk donuk bakmaya devam etti.",completion,33,completion
"It was stupid, pointless, irritating beyond belief that he still had four days left of being unable to perform magic…but he had to admit to himself that this jagged cut in his finger would have defeated him. He had never learned how to repair wounds, and now he came to think of it – particularly in","light of his immediate plans – this seemed a serious flaw in his magical education. Making a mental note to ask Hermione how it was done, he used a large wad of toilet paper to mop up as much of the tea as he could before returning to his bedroom and slamming the door behind him.",output>completion>,112,<output>completion>,"Thiệt là ngu ngốc, nhảm nhí, dễ khùng quá sức tưởng tượng khi mà chỉ còn bốn ngày nữa là nó có thể làm phép thuật… nhưng nó phải tự thừa nhận là vết cắt sâu nham nhở này không khéo sẽ đánh quỵ nó. Nó chưa bao giờ học cách chữa những vết thương, và bây giờ nó phải nghĩ tới chuyện đó - đặc","biệt cho những kế hoạch trước mắt - điều này dường như là một thiếu sót nghiêm trọng của nền giáo dục pháp thuật. Ghi nhẩm trong đầu là sẽ hỏi Hermione cách làm, nó dùng một nùi bự giấy vệ sinh để chùi nước trà được bao nhiêu hay bấy nhiêu trước khi trở lại phòng ngủ và đóng sầm cánh cửa lại sau lưng.",completion,132,completion,"Era estúpido, absurdo y sumamente irritante que todavía faltaran cuatro días para que se le permitiera practicar magia. Pero tenía que admitir que no habría sabido qué hacer con aquel corte irregular en el dedo. Todavía no había aprendido a curar heridas y, pensándolo bien —sobre todo a la","luz de sus planes inmediatos—, eso era un grave fallo de su educación mágica. Se dijo que debía pedirle a Hermione que le enseñara y a continuación, con un gran puñado de papel higiénico, limpió el té derramado antes de volver a su dormitorio y cerrar de un portazo.",output>completion>,98,<output>completion>,"Hala sihir yapamayacağı dört günün olması aptalca, mantıksız, inanılmaz derecede sinir bozucuydu... Ama kendisine itiraf etmeliydi ki, yine de parmağındaki bu derin kesik onu bozguna uğratırdı. Yaraları iyileştirmeyi hiçbir zaman öğrenmemişti ve şimdi farkına varıyordu ki -özellikle","yakın zaman sonrası için yaptığı planlarından önce- sihir eğitiminde bu ciddi bir eksiklikti. Nasıl yapılacağını Hermione‘ye sormayı aklının bir köşesine yazarken, büyük bir tomar tuvalet kâğıdıyla silebildiği kadar çayı silerek odasına döndü ve kapıyı arkasından çarparak kapattı.",output>completion>,74,<output>completion>
"Harry reached the bottom of the article, but continued to stare blankly at the page. Revulsion and fury rose in him like vomit; he balled","up the newspaper and threw it, with all his force, at the wall, where it joined the rest of the rubbish heaped around his overflowing bin.",completion,51,completion,"Harry đã đọc hết dòng cuối của bài báo, nhưng mắt vẫn ngây ra ngó chằm chằm trang báo không dứt được. Sự ghê tởm và phẫn nộ trào lên trong người nó","như muốn ói, nó vo tròn tờ báo và quăng mạnh vô tường bằng tất cả sức lực, cục báo nhập vô đám rác chất đống quanh cái thùng rác đã đầy tràn.",completion,66,completion,Harry llegó al final del artículo y se quedó contemplando la página como embobado. La rabia y el asco surgían en su interior como vómito; arrugó,"el periódico y lo lanzó con todas sus fuerzas contra la pared, donde se unió al resto de la basura amontonada alrededor de la rebosante papelera.",completion,52,completion,"Harry makalenin sonuna ulaştı, ama sayfaya boş boş bakmaya devam etti. Tiksinti ve öfke, içinde",kusmuk gibi yükseldi; tüm gücüyle gazeteyi buruşturup taşmış çöp tenekesinden yükselmiş çöpün birleştiği duvara attı,completion,30,completion
"“Lies!” Harry bellowed, and through the window he saw the next-door","neighbor, who had paused to restart his lawn mower, look up nervously.",completion,23,completion,"“Láo!” Harry gào lên, và qua khung cửa sổ nó thấy ông hàng xóm nhà kế bên,",vừa ngừng lại để khởi động cái máy cắt cỏ của ông ta ngó lên lo lắng.,completion,34,completion,"—¡Mentiras! —gritó Harry, y por la ventana vio al vecino de al lado que,","mirándolo con nerviosismo, se había detenido para volver a poner en marcha el cortacésped.",completion,28,completion,"""Yalanlar!"" diye böğürdü Harry ve pencereden çim makinesini başlatmak",için duraklamış olan yan komşusunun endişeyle yukarı baktığını gördü.,"completion: Harry'nin sesi, çimlerin üzerinde yankılanırken, çim makinesinin",18,"completion: Harry'nin sesi, çimlerin üzerinde yankılanırken, çim makinesinin gürültüsü, bahçenin sessizliğini bozdu. Bu, Harry'nin, yalanlar ve gerçekler arasındaki farkı anlamaya çalıştığı bir günün başlangıcıydı."
"He had imagined it, there was no other explanation; imagined it, because he had been thinking of his dead","headmaster. If anything was certain, it was that the bright blue eyes of Albus Dumbledore would never pierce him again.",completion,39,completion,"Nó đã tưởng tượng, chứ không có cách giải thích nào khác; đã tưởng tượng ra điều đó, bởi vì nó đang nghĩ đến thầy hiệu trưởng đã mất.","Nếu có điều gì đó chắc chắn, thì điều đó là đôi mắt sáng xanh lơ của cụ Albus Dumbledore sẽ không bao giờ nhìn thấu lòng nó nữa.",completion,58,completion,"Se lo había imaginado, era evidente; se lo había imaginado porque estaba pensando en el difunto director del colegio. Si",de algo estaba seguro era de que los ojos azules de Albus Dumbledore jamás volverían a clavarse en los suyos.,output>completion>,40,<output>completion>,"Hayal görmüştü, başka bir açıklaması yoktu; hayal görmüştü, çünkü ölmüş müdürünü düşünüyordu. Kesin olan bir","şey varsa, o da Albus Dumbledore‘un parlak mavi gözleri onu bir daha hiç delip geçmeyecekti.",output>completion>,30,<output>completion>
