Single_ent,en_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,en_correct
['eager beaver'],nasa,0,0.25,incorrect
['hannah'],holden,0,0.33,incorrect
['kalpana chawla'],stanford,0,0.27,incorrect
['floyd'],earth,0,0.0,incorrect
['floyd'],finland,0,0.5,incorrect
['mara'],midori,0,0.4,incorrect
['mara'],edward,0,0.4,incorrect
['floyd'],trace,0,0.0,incorrect
['python'],hal,0,0.22,incorrect
['let'],netflix,0,0.4,incorrect
['fuck'],ian,0,0.0,incorrect
['hannah'],caltech,0,0.31,incorrect
['mara'],charlie,0,0.36,incorrect
['merel'],amase,0,0.4,incorrect
['hannah'],elon,0,0.2,incorrect
['mara'],paris,0,0.44,incorrect
['mara'],she,0,0.0,incorrect
['merel'],amase,0,0.4,incorrect
['karl'],harry,0,0.44,incorrect
['haven'],don,0,0.25,incorrect
['arroyo'],phoenix,0,0.15,incorrect
['arroyo'],curie,0,0.18,incorrect
['merel'],dr.,0,0.25,incorrect
['floyd'],stanley,0,0.33,incorrect
['merel'],oslo,0,0.22,incorrect
['hannah'],pygmalion,0,0.27,incorrect
['merel'],blue,0,0.22,incorrect
['hannah'],longyearbyen,0,0.22,incorrect
['merel'],augustus,0,0.0,incorrect
['floyd'],stapleton,0,0.29,incorrect
['hannah'],christian,0,0.4,incorrect
['hannah'],steve,0,0.0,incorrect
['merel'],ian,0,0.0,incorrect
['mara'],jesus,0,0.0,incorrect
['mara'],tris,0,0.25,incorrect
['floyd'],harry,0,0.2,incorrect
['mara'],god,0,0.0,incorrect
['mara'],sadie,0,0.22,incorrect
['great'],delphina,0,0.31,incorrect
['hannah'],arctic,0,0.17,incorrect
['hannah'],edward,0,0.17,incorrect
['hannah'],harry,0,0.36,incorrect
['hannah'],christian,0,0.4,incorrect
['hannah'],christmas,0,0.27,incorrect
['mara'],broccoli,0,0.17,incorrect
['hannah'],god,0,0.0,incorrect
['hannah'],christian,0,0.4,incorrect
['hannah'],mars,0,0.2,incorrect
