Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
['bruno'],elizabeth,maría,çevresi,ngọc,0,0.14,0,0.2,0,0.17,0,0.44,incorrect,incorrect,incorrect,incorrect
['gretel'],god,maría,harry,ngọc,0,0.22,0,0.18,0,0.18,0,0.2,incorrect,incorrect,incorrect,incorrect
['bruno'],orwell,maría,anna,hitler,0,0.18,0,0.2,0,0.22,0,0.18,incorrect,incorrect,incorrect,incorrect
['bruno'],god,adán,harry,nguyễn,0,0.25,0,0.22,0,0.2,0,0.36,incorrect,incorrect,incorrect,incorrect
['bruno'],emma,newton,shakespeare,nguyễn,0,0.0,0,0.36,0,0.12,0,0.36,incorrect,incorrect,incorrect,incorrect
"['maria', 'maría']",harry,maría,harry,ngọc,0,0.4,1,1.0,0,0.4,0,0.0,incorrect,correct,incorrect,incorrect
"['maria', 'maría']",stephen,madrid,emily,nguyễn,0,0.0,0,0.73,0,0.4,0,0.0,incorrect,correct,incorrect,incorrect
['bruno'],odysseus,le,ali,nguyễn,0,0.15,0,0.0,0,0.0,0,0.36,incorrect,incorrect,incorrect,incorrect
['bruno'],frankenstein,mañana,frankenstein,nguyễn,0,0.24,0,0.18,0,0.24,0,0.36,incorrect,incorrect,incorrect,incorrect
['bruno'],heathcliff,maría,ali,nguyễn,0,0.0,0,0.2,0,0.0,0,0.36,incorrect,incorrect,incorrect,incorrect
['gretel'],stephen,maría,ali,ngọc,0,0.31,0,0.18,0,0.22,0,0.2,incorrect,incorrect,incorrect,incorrect
['bruno'],home,hitler,john,ngọc,0,0.22,0,0.18,0,0.22,0,0.44,incorrect,incorrect,incorrect,incorrect
['gretel'],heathcliff,alambrada,emily,nguyễn,0,0.38,0,0.13,0,0.36,0,0.33,incorrect,incorrect,incorrect,incorrect
['gretel'],matilda,shakespeare,harry,minh,0,0.31,0,0.24,0,0.18,0,0.0,incorrect,incorrect,incorrect,incorrect
['bruno'],god,el,atlantis,ngọc,0,0.25,0,0.0,0,0.15,0,0.44,incorrect,incorrect,incorrect,incorrect
['gretel'],emma,god,kim,đức,0,0.2,0,0.22,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
