Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
['gatsby'],conrad,hitler,god,nguyễn,0,0.17,0,0.17,0,0.22,0,0.33,incorrect,incorrect,incorrect,incorrect
['tom buchanan'],monticello,montevideo,east,georgian,0,0.31,0,0.31,0,0.29,0,0.3,incorrect,incorrect,incorrect,incorrect
"['tom', 'tom buchanan']",wuthering,globos,i̇pek,nguyễn,0,0.35,0,0.22,0,0.0,0,0.29,incorrect,incorrect,incorrect,incorrect
['daisy'],emma,maría,öteki,ngọc,0,0.22,0,0.4,0,0.2,0,0.0,incorrect,incorrect,incorrect,incorrect
"['miss baker', 'baker', 'bayan baker']",emma,maría,john,ngọc,0,0.29,0,0.44,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
"['baker', 'bayan baker']",emma,maría,askeri,ngọc,0,0.22,0,0.4,0,0.73,0,0.22,incorrect,incorrect,correct,incorrect
['daisy'],christmas,navidad,neşe,nguyễn,0,0.29,0,0.33,0,0.22,0,0.18,incorrect,incorrect,incorrect,incorrect
"['tom', 'tom”']",heathcliff,marido,sen,daisy,0,0.15,0,0.22,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
['daisy'],emily,maría,emily,ngọc,0,0.4,0,0.4,0,0.4,0,0.0,incorrect,incorrect,incorrect,incorrect
['tom'],scarlett,maría,tom,nghe,0,0.18,0,0.25,1,1.0,0,0.0,incorrect,incorrect,correct,incorrect
"['ton buchanan', 'tom buchanan']",london,seine,thames,nguyễn,0,0.44,0,0.25,0,0.44,0,0.33,incorrect,incorrect,incorrect,incorrect
['tom'],gatsby,york,york,york,0,0.22,0,0.29,0,0.29,0,0.29,incorrect,incorrect,incorrect,incorrect
"['wilso', 'bayan wilson', 'mistress wilson', 'wilson']",clarissa,airedale,emily,airedale,0,0.38,0,0.38,0,0.4,0,0.38,incorrect,incorrect,incorrect,incorrect
"['bayan wilson', 'myrtle', 'mistress wilson', 'wilson']",west,victoria,central,london,0,0.4,0,0.38,0,0.31,0,0.5,incorrect,incorrect,incorrect,incorrect
['catherine'],emma,marx,shakespeare,ngọc,0,0.15,0,0.31,0,0.4,0,0.15,incorrect,incorrect,incorrect,incorrect
"['mckee', 'bay mckee', 'mister mckee']",stradlater,parís,atatürk,nguyễn,0,0.5,0,0.36,0,0.32,0,0.27,incorrect,incorrect,incorrect,incorrect
['jordan baker'],heathcliff,marx,ali,nguyễn,0,0.13,0,0.44,0,0.25,0,0.22,incorrect,incorrect,incorrect,incorrect
['jordan'],owl-eyed,edgar,adam,nguyễn,0,0.29,0,0.36,0,0.4,0,0.17,incorrect,incorrect,incorrect,incorrect
"['bay gatsby', 'gatsby']",chicago,chicago,chicago,chicago,0,0.24,0,0.24,0,0.24,0,0.24,incorrect,incorrect,incorrect,incorrect
['jordan'],le corbusier,marx,atatürk,nguyễn,0,0.22,0,0.2,0,0.15,0,0.17,incorrect,incorrect,incorrect,incorrect
"['von hindenburg', 'van hindenburg']",al,al,lucifer,nguyễn,0,0.4,0,0.4,0,0.35,0,0.38,incorrect,incorrect,incorrect,incorrect
['gatsby'],marcel,james,mustafa,nguyễn,0,0.17,0,0.36,0,0.15,0,0.33,incorrect,incorrect,incorrect,incorrect
['gatsby'],west,west,wing,west,0,0.2,0,0.2,0,0.2,0,0.2,incorrect,incorrect,incorrect,incorrect
"['bayan wilson', 'mistress wilson', 'wilson']",ellis,chrysler,şafak,gatsby,0,0.36,0,0.26,0,0.4,0,0.36,incorrect,incorrect,incorrect,incorrect
"['wolfsheim hỉnh', 'bay wolfsheim', 'wolfshiem']",holden,maría,özdemir,nguyễn,0,0.4,0,0.25,0,0.38,0,0.22,incorrect,incorrect,incorrect,incorrect
['daisy'],york,parís,york,york,0,0.22,0,0.6,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
['daisy'],chicago,parís,scott,paris,0,0.17,0,0.6,0,0.2,0,0.6,incorrect,incorrect,incorrect,incorrect
"['jordan', 'jordan baker', '“jordan baker']",victoria,manhattan,elvis,elvis,0,0.43,0,0.29,0,0.2,0,0.2,incorrect,incorrect,incorrect,incorrect
['daisy'],sebastian,granada,yalı,ngọc,0,0.29,0,0.33,0,0.44,0,0.0,incorrect,incorrect,incorrect,incorrect
"['bay sloane', 'sloane', 'mister sloane']",mr.,maría,shakespeare,ngọc,0,0.44,0,0.36,0,0.42,0,0.2,incorrect,incorrect,incorrect,incorrect
['tom'],finny,maría,öykü,ngọc,0,0.0,0,0.25,0,0.29,0,0.29,incorrect,incorrect,incorrect,incorrect
['daisy'],tristan,godard,sam,ngọc,0,0.33,0,0.36,0,0.25,0,0.0,incorrect,incorrect,incorrect,incorrect
['daisy'],billie,beethoven,billie,ngọc,0,0.18,0,0.0,0,0.18,0,0.0,incorrect,incorrect,incorrect,incorrect
['gatsby'],james,maría,james,nguyễn,0,0.36,0,0.18,0,0.36,0,0.33,incorrect,incorrect,incorrect,incorrect
['daisy'],god,marx,hafta,gatsby,0,0.25,0,0.22,0,0.2,0,0.55,incorrect,incorrect,incorrect,incorrect
['gatsby'],james,maría,elif,ánh,0,0.36,0,0.18,0,0.0,0,0.22,incorrect,incorrect,incorrect,incorrect
['gatsby'],god,maría,emily,ngọc,0,0.22,0,0.18,0,0.18,0,0.2,incorrect,incorrect,incorrect,incorrect
['tom'],caroline,beefeater,anna,ngọc,0,0.18,0,0.17,0,0.0,0,0.29,incorrect,incorrect,incorrect,incorrect
['tom'],earth,se,galileo,đông,0,0.25,0,0.0,0,0.2,0,0.29,incorrect,incorrect,incorrect,incorrect
['gatsby'],conrad,la,hisar,đông,0,0.17,0,0.25,0,0.18,0,0.2,incorrect,incorrect,incorrect,incorrect
"['jordan', 'jordan—']",manhattan,shakespeare,york,shades,0,0.27,0,0.12,0,0.4,0,0.17,incorrect,incorrect,incorrect,incorrect
['tom'],central,central,central,john,0,0.2,0,0.2,0,0.2,0,0.29,incorrect,incorrect,incorrect,incorrect
['daisy'],chicago,chicago,chicago,chicago,0,0.17,0,0.17,0,0.17,0,0.17,incorrect,incorrect,incorrect,incorrect
['walter'],god,dios,god,jersey,0,0.0,0,0.0,0,0.0,0,0.33,incorrect,incorrect,incorrect,incorrect
['jordan'],elizabeth,la,i̇stanbul,nguyễn,0,0.13,0,0.25,0,0.29,0,0.17,incorrect,incorrect,incorrect,incorrect
['tom'],amory,madrid,i̇stanbul,toyota,0,0.25,0,0.22,0,0.18,0,0.44,incorrect,incorrect,incorrect,incorrect
['daisy'],york,york,new,york,0,0.22,0,0.22,0,0.0,0,0.22,incorrect,incorrect,incorrect,incorrect
"['george', 'georg']",church,maría,sen,anh,0,0.18,0,0.2,0,0.25,0,0.0,incorrect,incorrect,incorrect,incorrect
['gatsby'],tom,maría,michel,nguyễn,0,0.22,0,0.18,0,0.0,0,0.33,incorrect,incorrect,incorrect,incorrect
"['meyer wolfsheim', 'meyer wolfshiem']",wolfe,smith,uşak,nguyễn,0,0.71,0,0.29,0,0.15,0,0.36,correct,incorrect,incorrect,incorrect
"['gatz', 'bay gatz']",mr.,marx,ölümün,hoàng,0,0.0,0,0.29,0,0.0,0,0.31,incorrect,incorrect,incorrect,incorrect
