Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
['winston smith'],victory,victoria,nisan,tháng,0,0.43,0,0.4,0,0.5,0,0.4,incorrect,incorrect,incorrect,incorrect
['winston'],winston,hitler,özdemir,nguyễn,1,1.0,0,0.31,0,0.14,0,0.31,correct,incorrect,incorrect,incorrect
"['winston', 'wiston']",diary,diario,özdemir,nguyễn,0,0.18,0,0.33,0,0.15,0,0.31,incorrect,incorrect,incorrect,incorrect
"['señora parsons', 'parsons', 'bayan parsons']",travers,maría,çocuklar,ngọc,0,0.43,0,0.4,0,0.29,0,0.4,incorrect,incorrect,incorrect,incorrect
['tom'],god,maría,ali,nguyễn,0,0.33,0,0.25,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
"['winston', 'eurasia']",stalin,stalin,stalin,winston,0,0.46,0,0.46,0,0.46,1,1.0,incorrect,incorrect,incorrect,correct
['winston'],winston,winston,tele,đảng,1,1.0,1,1.0,0,0.18,0,0.18,correct,correct,incorrect,incorrect
"['winston', ""winston'ın"", 'winston’s']",orwell,churchill,winston,britain,0,0.15,0,0.12,1,1.0,0,0.47,incorrect,incorrect,correct,incorrect
['winston'],colchester,colchester,colchester,colchester,0,0.24,0,0.24,0,0.24,0,0.24,incorrect,incorrect,incorrect,incorrect
['winston'],impossible,maría,ali,nguyễn,0,0.24,0,0.17,0,0.2,0,0.31,incorrect,incorrect,incorrect,incorrect
"['smith', 'smit']",plenty,ministerio,ali,ấm,0,0.2,0,0.43,0,0.29,0,0.33,incorrect,incorrect,incorrect,incorrect
['winston'],winston,marx,proleterler,tim,1,1.0,0,0.0,0,0.11,0,0.2,correct,incorrect,incorrect,incorrect
"['winston', 'winston’s']",general,stalin,julian,canada,0,0.14,0,0.46,0,0.31,0,0.15,incorrect,incorrect,incorrect,incorrect
['winston'],victory,victoria,i̇stanbul,nguyễn,0,0.43,0,0.4,0,0.53,0,0.31,incorrect,incorrect,incorrect,incorrect
['winston'],winston,winston,george,nguyễn,1,1.0,1,1.0,0,0.15,0,0.31,correct,correct,incorrect,incorrect
['winston'],winston,diario,galip,nguyễn,1,1.0,0,0.31,0,0.17,0,0.31,correct,incorrect,incorrect,incorrect
"['winston', 'winston—']",marx,marx,charles,london,0,0.0,0,0.0,0,0.14,0,0.46,incorrect,incorrect,incorrect,incorrect
['winston'],marx,marx,fransız,canada,0,0.0,0,0.0,0,0.29,0,0.15,incorrect,incorrect,incorrect,incorrect
['winston'],winston,comunista,george,nguyễn,1,1.0,0,0.38,0,0.15,0,0.31,correct,incorrect,incorrect,incorrect
['winston'],curios,al,antikacı,đông,0,0.31,0,0.0,0,0.27,0,0.36,incorrect,incorrect,incorrect,incorrect
['winston'],steinbeck,marx,emily,nguyễn,0,0.38,0,0.0,0,0.17,0,0.31,incorrect,incorrect,incorrect,incorrect
['winston'],heathcliff,van gogh,heidi,nguyễn,0,0.12,0,0.27,0,0.17,0,0.31,incorrect,incorrect,incorrect,incorrect
"['winston', ""winston'ın"", 'winston’s']",frankenstein,maría,adam,ngọc,0,0.45,0,0.17,0,0.0,0,0.36,incorrect,incorrect,incorrect,incorrect
"['winston', ""winston'a"", 'winston.']",emily,maría,winston,ngọc,0,0.17,0,0.29,1,1.0,0,0.36,incorrect,incorrect,correct,incorrect
['winston'],london,shakespeare,emily,chính,0,0.46,0,0.11,0,0.17,0,0.33,incorrect,incorrect,incorrect,incorrect
['winston'],severn,adán,shok,phong,0,0.31,0,0.18,0,0.36,0,0.33,incorrect,incorrect,incorrect,incorrect
"['julia—', 'julia']",hideout,marx,i̇stanbul,nguyễn,0,0.17,0,0.22,0,0.31,0,0.18,incorrect,incorrect,incorrect,incorrect
"['katherine', ""katharine'in"", 'katharine']",elizabeth,shakespeare,shakespeare,ngọc,0,0.33,0,0.4,0,0.4,0,0.15,incorrect,incorrect,incorrect,incorrect
"['julia', 'here’s']",brute,una,michelangelo,chuột,0,0.36,0,0.5,0,0.33,0,0.2,incorrect,incorrect,incorrect,incorrect
