,English,Translated,Cross-lingual,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,0.10822510822510822,0.0,0.0,0.0,0.0,0.0
Llama-3.1-405b,0.0,0.0,0.0,0.0,0.0,0.0
Llama-3.1-70B-Instruct-quantized.w4a16,0.0,0.0,0.0,0.10822510822510822,0.0,0.0
Llama-3.1-70B-Instruct-quantized.w8a16,0.0,0.0,0.0,0.0,0.0,0.0
Llama-3.1-70B-Instruct_,0.5411255411255411,0.0,0.0,0.6493506493506493,0.0,0.0
Llama-3.1-8B-Instruct-quantized.w4a16,0.0,0.0,0.0,0.0,0.0,0.0
Llama-3.1-8B-Instruct-quantized.w8a16,0.0,0.0,0.0,0.0,0.0,0.0
Llama-3.1-8B-Instruct_,0.0,0.0,0.0,0.10822510822510822,0.0,0.0
Llama-3.3-70B-Instruct,1.6233766233766234,0.0,0.0,0.5411255411255411,0.0,0.0
OLMo-2-1124-13B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0
OLMo-2-1124-7B-Instruct,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-7B-Instruct-1M,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0
