Single_ent,en,es,tr,vi
"['bingley', 'mr bingley']","“I see no occasion for that. You and the girls may go—or you may send them by themselves, which perhaps will be still better; for as you are as handsome as any of them, Mr. [MASK] might like you the best of the party.”","––No veo la razón para ello. Puedes ir tú con las muchachas o mandarlas a ellas solas, que tal vez sea mejor; como tú eres tan guapa como cualquiera de ellas, a lo mejor el señor [MASK] te prefiere a ti.","""Bunun için bir sebep yok. Sen kızlarla gidebilirsin, ya da onları kendi başlarına gönderebilirsin, hatta bu belki daha iyi olur, çünkü güzellikte onlardan aşağı kalır yanın olmadığı için [MASK] aradan seni seçebilir.","- Tôi chẳng thấy có cơ hội nào cả. Bà và mấy đứa có thể đi, hay là để mấy đứa tự đi, như vậy có thể tốt hơn. Vì bà còn đẹp hơn chúng nó, tôi e rằng anh [MASK] lại mến bà hơn."
"['mr bennet', 'bennet', 'señor bennet']","Mr. [MASK] was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character. Her mind was less difficult to develope. She was a woman of mean understanding, little information, and uncertain temper. When she was discontented, she fancied herself nervous. The business of her life was to get her daughters married: its solace was visiting and news.","El [MASK] era una mezcla tan rara entre ocurrente, sarcástico, reservado y caprichoso, que la experiencia de veintitrés años no habían sido suficientes para que su esposa entendiese su carácter. Sin embargo, el de ella era menos difícil, era una mujer de poca inteligencia, más bien inculta y de temperamento desigual. Su meta en la vida era casar a sus hijas; su consuelo, las visitas y el cotilleo.","[MASK] öylesine tuhaf bir hazırcevaplık, ince alaycılık, soğukluk ve bencillik karışımı bir adamdı ki yirmi üç yıllık deneyim karısının onun karakterini anlamasına yetmemişti. Karısının huyunu anlamak daha az zordu. Anlayışı kıt, eğitimi düşük, tepkileri kestirilemez bir kadındı. Mutsuz olduğu zaman sinirleri bozuldu sanırdı. Hayatta bütün derdi kızlarını evlendirmekti; tesellisi ise ziyaretler ve haberlerdi.","Cá tính của ông [MASK] là sự pha trộn giữa láu lình, trào phúng châm biếm, dè dặt, và thất thường, đến nỗi mấy chục năm sống chung vẫn không đủ cho bà vợ hiểu nổi ông. Đầu óc của bà giản đơn hơn. Bà có tính cảm thông hẹp hòi, kiến thức nghèo nàn, và tính khí vô chừng. Khi không được như ý, bà tưởng như mình bị lo lắng. Cả đời bà chỉ lo mỗi việc là kiếm chồng cho năm cô con gái. Việc thăm viếng và trao đổi chuyện phiếm là cách khuây khỏa của bà."
"['señora long', 'mrs long', 'long']","“I honour your circumspection. A fortnight’s acquaintance is certainly very little. One cannot know what a man really is by the end of a fortnight. But if we do not venture, somebody else will; and after all, Mrs. [MASK] and her nieces must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.”","––Celebro tu discreción. Una amistad de quince días es verdaderamente muy poco. En realidad, al cabo de sólo dos semanas no se puede saber muy bien qué clase de hombre es. Pero si no nos arriesgamos nosotros, lo harán otros. Al fin y al cabo, la [MASK] y sus sobrinas pueden esperar a que se les presente su oportunidad; pero, no obstante, como creerá que es un acto de delicadeza por su parte el declinar la atención, seré yo el que os lo presente.","""Titizliğine katılıyorum. On beş günlük tanışıklık elbette çok az. İnsan on beş günden önce tanınmaz. Ama biz harekete geçmezsek başkası geçer; kaldı ki, [MASK]'la yeğenleri de şanslarını deneyecekler; o halde, maksat kibarlık değil mi, sen yardımı reddedersen, bu işi ben üstlenebilirim.","- Tôi khen bà đã thận trọng. Hai tuần thì có quá ít thời gian để làm quen. Ta không thể biết người mà ta mới quen nghĩ gì chỉ sau có hai tuần, Nhưng nếu ta không bạo dạn, người khác sẽ đánh bạo làm. Dù sao đi nữa bà [MASK] và hai cô cháu cũng muốn thử thời vận. Nếu ta không tiến tới, bà ta sẽ cho rằng ta có ý nhường, bà ta sẽ nắm lấy cơ hội."
"['mrs bennet', 'bennet', 'señora bennet']","The astonishment of the ladies was just what he wished—that of Mrs. [MASK] perhaps surpassing the rest; though when the first tumult of joy was over, she began to declare that it was what she had expected all the while.","El asombro de las señoras fue precisamente el que él deseaba; quizás el de la [MASK] sobrepasara al resto; aunque una vez acabado el alboroto que produjo la alegría, declaró que en el fondo era lo que ella siempre había figurado.",Hanımların şaşkınlığı tam istediği gibiydi; hatta [MASK]'ınki diğerlerini geçti; yine de ilk neşe dalgası durulurken [MASK] bunu baştan beri beklediğini söylemeye başladı.,"Sự kinh ngạc của các cô gái chính là điều mà ông mong muốn; riêng bà [MASK] còn kinh ngạc hơn cả các cô con gái, tuy nhiên sau những khoảnh khắc xáo động là niềm vui; bà cho rằng đấy là việc bà vẫn hằng mong muốn."
"['mr bennet', 'bennet']","“How good it was in you, my dear Mr. [MASK]! But I knew I should persuade you at last. I was sure you loved your girls too well to neglect such an acquaintance. Well, how pleased I am! And it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.”","––¡Mi querido señor [MASK], que bueno eres! Pero sabía que al final te convencería. Estaba segura de que quieres lo bastante a tus hijas como para no descuidar este asunto. ¡Qué contenta estoy! ¡Y qué broma tan graciosa, que hayas ido esta mañana y no nos hayas dicho nada hasta ahora!","""Ne kadar iyisin, sevgili [MASK]! Ama seni sonunda ikna edeceğimi biliyordum. Kızlarını böyle bir tanışıklığı ihmal edemeyecek kadar sevdiğinden emindim. Valla nasıl memnun oldum! Ayrıca çok da iyi bir şaka, sen bu sabah git, ama bu saate kadar tek kelime etme.","- Ông [MASK] yêu dấu, ông tốt bụng làm sao! Nhưng tôi biết cuối cùng tôi vẫn phải thuyết phục ông. Tôi biết rõ ông rất thương các con, nên ông không thể bỏ qua mối quen biết như thế này. Thật là tôi vui quá! Kể ra ông đùa như sáng nay cũng hay, ông đi mà không nói một lời nào cho đến tận bây giờ."
['lizzy'],"“But I can assure you,” she added, “that [MASK] does not lose much by not suiting his fancy; for he is a most disagreeable, horrid man, not at all worth pleasing. So high and so conceited, that there was no enduring him! He walked here, and he walked there, fancying himself so very great! Not handsome enough to dance with! I wish you had been there, my dear, to have given him one of your set-downs. I quite detest the man.”","––Pero puedo asegurarte ––añadió–– que [MASK] no pierde gran cosa con no ser su tipo, porque es el hombre más desagradable y horrible que existe, y no merece las simpatías de nadie. Es tan estirado y tan engreído que no hay forma de soportarle. No hacía más que pasearse de un lado para otro como un pavo real. Ni siquiera es lo bastante guapo para que merezca la pena bailar con él. Me habría gustado que hubieses estado allí y que le hubieses dado una buena lección. Le detesto.","""Ama seni temin ederim,"" diye ekledi, ""[MASK] onun zevkine uymamakla pek bir şey kaybetmedi; çünkü son derece sevimsiz, korkunç bir adam, ilgilenmeye değmez. Öyle kendini beğenmiş, öyle burnu havada ki katlanması imkânsız! Ortalarda dolandı durdu, matah bir şeymiş gibi! Dans edecek kadar bile yakışıklı değil! Keşke orada olsaydın da, şekerim, haddini bildirseydin. Adamdan cidden nefret ettim.","- Nhưng ông yên tâm, [MASK] không mất mát gì khi không hợp với thị hiếu của hắn. Anh ta thuộc hạng người khó thương nhất, một con người đáng kinh tởm, không đáng cho ai lấy lòng. Anh ta chảnh chọe và kiêu kì không ai chịu được. Hắn ta cứ đi lòng vòng đầu này đầu nọ, làm ra vẻ ta đây là nhất! Mà hắn có đẹp trai gì cho cam! Tôi ước gì ông có ở đấy để cho anh ta ít lời răn! Tôi ghét cay ghét đắng anh ta."
"['lucas', 'lucas–', 'miss lucas']","“His pride,” said [MASK], “does not offend me so much as pride often does, because there is an excuse for it. One cannot wonder that so very fine a young man, with family, fortune, everything in his favour, should think highly of himself. If I may so express it, he has a right to be proud.”","––El orgullo ––dijo la señorita [MASK]– ofende siempre, pero a mí el suyo no me resulta tan ofensivo. Él tiene disculpa. Es natural que un hombre atractivo, con familia, fortuna y todo a su favor tenga un alto concepto de sí mismo. Por decirlo de algún modo, tiene derecho a ser orgulloso.","""Adamın gururu,"" dedi [MASK], ""beni o kadar rahatsız etmiyor, çünkü bir açıklaması var. Ailesi ve serveti olan, o kadar yakışıklı, herşeyi tamam bir gencin kendine değer vermesinde şaşılacak bir şey yok. Gururlu olmaya hakkı var diyebilirim.","Cô [MASK] nói: - Tính kiêu hãnh của anh ta không làm chị khó chịu, vì có lí do chính đáng nào đấy. Ta không nên thắc mắc tại sao một thanh niên có nhiều thứ như thế: gia tộc cao sang, tài sản kếch xù, lại nghĩ rằng mình cao quý. Nếu chị có thể nói, anh ta có quyền được kiêu hãnh."
['mary'],"“Pride,” observed [MASK], who piqued herself upon the solidity of her reflections, “is a very common failing, I believe. By all that I have ever read, I am convinced that it is very common indeed; that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-complacency on the score of some quality or other, real or imaginary. Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves; vanity to what we would have others think of us.”","––El orgullo ––observó [MASK], que se preciaba mucho de la solidez de sus reflexiones––, es un defecto muy común. Por todo lo que he leído, estoy convencida de que en realidad es muy frecuente que la naturaleza humana sea especialmente propensa a él, hay muy pocos que no abriguen un sentimiento de autosuficiencia por una u otra razón, ya sea real o imaginaria. La vanidad y el orgullo son cosas distintas, aunque muchas veces se usen como sinónimos. El orgullo está relacionado con la opinión que tenemos de nosotros mismos; la vanidad, con lo que quisiéramos que los demás pensaran de nosotros.","""Gurur,"" diye gözlemde bulundu [MASK], her zamanki gibi fikirlerinin sağlamlığıyla övünç duyarak, ""bence çok yaygın bir kusurdur. Okuduğum onca şeyden sonra şuna inandım ki gerçekten çok yaygın; insan doğası gurura bilhassa eğilimli; o ya da bu gerçek ya da hayali bir özellikten ötürü kendinden memnuniyet duymayan pek az kişi vardır. Gurur ve gösteriş farklı şeyler, ama sık sık aynı anlamda kullanılıyorlar. İnsan gösteriş düşkünü olmadan gururlu olabilir. Gurur daha çok kendimizle ilgili görüşümüze bağlıdır, gösteriş ise bizim hakkımızda başkalarına ne düşündürtmek istediğimize.","[MASK] vẫn còn ấm ức trong ý nghĩ kiên định của cô chị: - Em tin rằng kiêu hãnh là một khuyết điểm rất thông thường. Qua những gì em đã đọc, em tin rằng điều này rất phổ biến, bản chất con người hay thiên về tật này. Trong chúng ta rất ít người không có một ý nghĩ tự mãn về mặt này hay mặt khác, hoặc có thật hoặc tưởng tượng. Phù phiếm và kiêu hãnh là hai điều khác nhau, tuy rằng người ta thường xem hai thứ đồng nghĩa với nhau. Một người có thể cảm thấy kiêu hãnh nhưng không tỏ ra phù phiếm. Kiêu hãnh là khi ta có ý kiến về chính mình, phù phiếm là khi ta muốn người khác nghĩ về mình như thế nào."
"['miss eliza', 'eliz', 'eliza']","“You excel so much in the dance, [MASK], that it is cruel to deny me the happiness of seeing you; and though this gentleman dislikes the amusement in general, he can have no objection, I am sure, to oblige us for one half hour.”","––Usted es excelente en el baile, señorita [MASK], y es muy cruel por su parte negarme la satisfacción de verla; y aunque a este caballero no le guste este entretenimiento, estoy seguro de que no tendría inconveniente en complacernos durante media hora.","""Dansta harikalar yaratıyorsun, [MASK], bizleri seni seyretme mutluluğundan yoksun bırakman zalimlik; her ne kadar bu beyefendi eğlenceden hoşlanmıyorsa da eminim yarım saat nazımızı çekmeye itirazı olmaz.","- [MASK], cô khiêu vũ quá đẹp nên thật là vô tình nếu cô không cho tôi được diễm phúc xem cô trình diễn. Mặc dù vị này không thích tham dự cuộc chơi, tôi chắc rằng anh sẽ không từ chối chiều ý chúng ta trong nửa giờ."
"['mrs bennet', 'bennet––', 'bennet']","“I am astonished, my dear,” said Mrs. [MASK], “that you should be so ready to think your own children silly. If I wished to think slightingly of anybody’s children, it should not be of my own, however.”","––Me deja pasmada, querido ––dijo la señora [MASK], lo dispuesto que siempre estás a creer que tus hijas son tontas. Si yo despreciase a alguien, sería a las hijas de los demás, no a las mías.","""Çok şaşırdım, şekerim,"" dedi [MASK], ""nasıl kendi çocuklarına aptal demeye bu kadar hazır olabiliyorsun. Başkasının çocuklarını küçümseyecek olsam bile kendi çocuklarıma dokunmam.",Bà [MASK] nói: - Ông à! Tôi ngạc nhiên khi thấy ông nghĩ rằng các con ông ngu xuẩn. Tôi có thể khinh thường con cái của người khác nhưng không thể khinh thường con mình.
