line_no,Ent,en,vi,tr,es
2,,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way—in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.","Đó là this tuyệt nhất, đó là thời tệ nhất, đó là thuở thông tuệ, đó là thuở u mê, đó là giai đoạn tin tưởng, đó là giai đoạn hoài nghi, đó là thời kỳ Ánh Sáng, đó là thời kỳ Tăm Tối, đó là mùa xuân hy vọng, đó là mùa đông tuyệt vọng, ta tất cả phía trước, ta có trước mặt rỗng không, ta tất cả thẳng tới Thiên Đàng, ta tất cả ngược về nẻo khác tóm lại, ngày ấy rất giống thời bây giờ cho nên một số vị thẩm quyền ồn ào nhất cứ khăng khăng gán cho nó chỉ toàn những cấp độ so sánh tột bực, dù tốt hay xấu.","Zamanların en iyisiydi, zamanların en kötüsüydü, hem akıl çağıydı, hem aptallık, hem inanç devriydi, hem de kuşku, Aydınlık mevsimiydi, Karanlık mevsimiydi, hem umut baharı, hem de umutsuzluk kışıydı, hem her şeyimiz vardı, hem hiçbir şeyimiz yoktu, hepimiz ya doğruca cennete gidecektik ya da tam öteki yana –sözün kısası, şimdikine öylesine yakın bir dönemdi ki, kimi yaygaracı otoriteler bu dönemin, iyi ya da kötü fark etmez, sadece ""daha"" sözcüğü kullanılarak diğerleriyle karşılaştırılabileceğini iddia ederdi.","Erase el mejor de los tiempos y el más detestable de los tiempos; la época de la sabiduría y la época de la bobería, el período de la fe y el período de la incredulidad, la era de la Luz y la era de las Tinieblas, la primavera de la vida y el invierno de la desesperación. Todo lo poseíamos y nada poseíamos, caminábamos en derechura al cielo y rodábamos precipitados al abismo: en una palabra, era tan parecido aquel período al actual, que nuestras autoridades de mayor renombre están contestes en afirmar que, entre uno y otro, tanto en lo que al bien se refiere como en lo que toca al mal, sólo en grado superlativo es aceptable la comparación."
3,,"There were a king with a large jaw and a queen with a plain face, on the throne of England; there were a king with a large jaw and a queen with a fair face, on the throne of France.",Có một vị Vua cằm bạnh và một Hoàng hậu xoàng xĩnh trên ngai vàng Anh quốc; có một vị Vua cằm bạnh và một Hoàng hậu xinh đẹp trên ngai vàng Pháp quốc*.,"İngiltere tahtında koca çeneli bir kral ile bet yüzlü bir kraliçe, Fransa tahtında ise gene koca çeneli bir kral ile temiz yüzlü bir kraliçe vardı.","Un rey de bien desarrolladas mandíbulas y una reina de cara aplastada se sentaban sobre el trono de Inglaterra, y un rey de grandes quijadas y una reina de rostro hermoso ocupaban el de Francia."
4,,"In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes, that things in general were settled for ever.","Ở cả hai nước, đối với những đấng độc chiếm các kho tàng bánh mì và cá của quốc gia ấy, điều rõ như ban ngày là mọi sự chung quy đã được ấn định thiên thu vạn đại.",Her iki ülkede de halkın açlığı pahasına karnı doyan soyluların her şeyin ilelebet böyle güllük gülistanlık devam edeceğine dair bir inancı vardı.,Los señores de los grandes almacenes de pan y de pescado de entrambos países veían claro como el cristal que el bien público estaba asegurado para siempre.
5,,It was the year of Our Lord one thousand seven hundred and seventy-five.,Lúc đó là năm 1775.,Milattan Sonra 1775 senesiydi.,Era el año de Nuestro Señor de mil setecientos setenta y cinco.
6,,"Spiritual revelations were conceded to England at that favoured period, as at this.","Những trò tiết lậu thiên cơ trở nên thịnh hành ở nước Anh khi đó, cũng như vào thời điểm này.","Bu fevkalade dönemde İngiltere'de, şimdi olduğu gibi, ruhlar âlemiyle haberleşmeden geçilmiyordu.","En un período tan favorecido, no podían faltar a Inglaterra las revelaciones espirituales."
7,,"ms Southcott had recently attained her five-and-twentieth blessed birthday, of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster.","Năm ấy, nữ tiên tri Southcott vừa mới tròn tuổi ân sủng hai mươi lăm, nhưng từ trước đó một anh lính quèn có khả năng tiên đoán trong đội Thị vệ đã báo trước sự giáng thế siêu phàm của bà bằng lời tuyên bố rằng số phận đã an bài cho London và Westminster phải bị chôn vùi*.","Joanna Southcott daha yeni yirmi beşine basmıştı ve yıllar önce Muhafız Alayında görevli, kehanet gücüne sahip bir er, Londra ve Westminster'ın yıkılacağının hazırlıklarının yapıldığını ilan ederken aslında bu yüce varlığın dünyaya gelişini müjdelemişti.","Recientemente había celebrado su vigésimoquinto natalicio la señora Southcott, cuya aparición sublime en el mundo anunciara con la antelación debida un guardia de corps, profeta privado, pronosticando que se hacían preparativos para tragarse a Londres y a Westminster."
8,,"Even the Cock-lane ghost had been laid only a round dozen of years, after rapping out its messages, as the spirits of this very year last past (supernaturally deficient in originality) rapped out theirs.","Ngay cả hồn ma ở Cock Lane*, sau khi gõ cành cạch những lời truyền đạt, cũng chỉ ngủ yên đâu được hơn mười hai năm thì tới lúc đó, mới một năm trước thôi, nhiều linh hồn khác (có nguồn gốc không hẳn siêu nhiên) lại cành cạch gõ tín hiệu nhắn nhủ.","Cock-lane'deki hayaletin, son zamanlarda türeyen ruhlar gibi hafifçe masalara vurup (özgünlükten hiç payını almamış) mesajlarını bıraktıktan sonra defedilmesinin üzerinden yalnızca on iki yıl geçmişti.","Hasta había sido definitivamente enterrado el fantasma de la Callejuela del Gallo, después de andar rondando por el mundo doce años, y de revelar a los mortales sus mensajes en la misma forma que los espíritus del año anterior, acusando una pobreza sobrenatural de originalidad, revelaron los suyos."
9,,"Mere messages in the earthly order of events had lately come to the English Crown and People, from a congress of British subjects in America: which, strange to relate, have proved more important to the human race than any communications yet received through any of the chickens of the Cock-lane brood.","Chỉ toàn là những lời nhắn nhủ về các diễn tiến sự việc phàm tục mới xảy ra cho Quốc vương và thần dân Anh quốc, phát xuất từ một đại hội thần dân Anh ở Mỹ châu*. Kể cũng lạ, chuyện này hóa ra lại quan trọng cho loài người còn hơn cả mọi thông điệp lâu nay vẫn tiếp nhận được thông qua bất kỳ tên tiểu yêu nào ở Cock Lane.","Dünyevi meselelere dair basit mesajlar ise Amerika'daki İngiliz vatandaşlarının kongresi sonunda İngiltere tahtına ve halkına yeni yeni ulaştırılıyordu; işin ilginç yanı, bu mesajların tüm insanlık için, Cock-lane'deki evlerin kızlarına gelen her türlü mesajdan daha önemli olduğu ortaya çıktı.","Los mensajes únicos de orden terrenal que recibieron la Corona y el Pueblo ingleses, les llegaron de un congreso de súbditos británicos residentes en América, mensajes que, por extraño que parezca, han resultado de muchísima mayor transcendencia para la raza humana que cuantos recibió ésta por la mediación de cualquiera de los pollitos de la Callejuela del Gallo."
10,,"France, less favoured on the whole as to matters spiritual than her sister of the shield and trident, rolled with exceeding smoothness down hill, making paper money and spending it.","Nói chung vốn không ưu ái những chuyện huyền bí bằng người chị em cầm khiên và đinh ba*, nước Pháp cứ in tiền giấy tiêu xài trong lúc lao xuống vực càng lúc càng nhanh.","Ruhani meselelerde kalkanı ve üç çatallı asası olan kız kardeşi kadar iddialı olmayan Fransa, yokuş aşağı son hızla inerken kâğıt paralar basıp bunları harcıyordu.","Menos favorecida Francia en lo referente a asuntos de orden espiritual que su hermana la del escudo y del tridente, rodaba con suavidad encantadora pendiente abajo, fabricando papel moneda y gastándolo que era un contento."
11,,"Under the guidance of her Christian pastors, she entertained herself, besides, with such humane achievements as sentencing a youth to have his hands cut off, his tongue torn out with pincers, and his body burned alive, because he had not kneeled down in the rain to do honour to a dirty procession of monks which passed within his view, at a distance of some fifty or sixty yards.","Hơn nữa, dưới sự dẫn dắt của những người chăn chiên Cơ đốc, nước Pháp tự giải khuây bằng những thành tích nhân đạo như tuyên án chặt đứt hai bàn tay của một thanh niên, kẹp lưỡi lôi ra, và thiêu sống thân xác, bởi người này không chịu quỳ gối trong mưa để tỏ lòng tôn kính một đoàn tăng lữ bẩn thỉu diễu ngang tầm mắt anh ta ở khoảng cách chừng bốn mươi hay năm mươi mét*.","Dahası, elli altmış metre ötede geçit töreni yapan pis bir papaz sürüsüne saygı gösterisinde bulunmak için yağmurun altında diz çökmedi, diye bir gencin ellerini kesmek, kerpetenle dilini koparmak ve bedenini diri diri yakmak gibi Hıristiyan rahiplerin rehberliğinde gerçekleşen kimi insancıl hareketlerle kendini eğlendiriyordu.","Bajo la dirección de sus cristianísimos pastores, permitíase entretenerse, además, con distracciones tan humanitarias como sentenciar a algún que otro joven a que le cortaran las manos, le arrancaran con pinzas la lengua y le quemaran vivo, por el nefando delito de no haber caído de rodillas sobre el fango del camino, en un día lluvioso, para rendir el debido acatamiento a una procesión de frailes que pasó al alcance de su vista, bien que a distancia de cincuenta o sesenta varas."
