line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
25,"['joe', 'pepe']",,"“I say a horse at a canter coming up, Joe.”","− Hình như có ngựa đang phi nước kiệu tới, Joe.","""Hızlıca bize yaklaşan bir at var Joe.","—Me parece que se nos acerca un caballo al trote, Pepe.","− It seems like a horse is galloping towards us, Joe.","""There is a horse quickly approaching us, Joe.""""","—It seems to me that a horse is trotting towards us, Pepe."
38,"['mauricio lorry', 'jarvis lorry']",,“Mr. Jarvis Lorry.”,− Khách nào? − Ông Jarvis Lorry.,"""mr Jarvis Lorry'yle.",—El señor Mauricio Lorry.,− Mr. Jarvis Lorry.,"""with Mr. Jarvis Lorry.""""",—Mr. Mauricio Lorry.
48,"['jeremías', 'jerry']",,"“Well! And hallo you!” said Jerry, more hoarsely than before.","- Xin chào! − A! Xin chào! - Jerry lên tiếng, giọng còn khàn hơn trước.","""Selam!"" ""Selam!"" dedi Jerry, öncekinden daha boğuk bir sesle.","—¡Escuche el del caballo! —¡Concluye pronto!—replicó Jeremías, con voz más ronca que antes.","- Hello! − Ah! Hello! - Jerry spoke up, his voice even raspier than before.","""Hello!"" ""Hello!"" said Jerry, in a more muffled voice than before.","—Listen, you on the horse! —Finish quickly!—replied Jeremiah, with a voice rougher than before."
65,"['joe', 'pepe']",,"“Nothing at all, Joe.”","Chẳng hiểu gì cả, Joe.","""Hiçbir şey anlamadım valla Joe.","—Absolutamente nada, Pepe.","Not a thing, Joe.","""I didn't understand anything at all, Joe.""","—Absolutely nothing, Pepe."
67,"['jeremías', 'jerry']",,"Jerry, left alone in the mist and darkness, dismounted meanwhile, not only to ease his spent horse, but to wipe the mud from his face, and shake the wet out of his hat-brim, which might be capable of holding about half a gallon. After standing with the bridle over his heavily-splashed arm, until the wheels of the mail were no longer within hearing and the night was quite still again, he turned to walk down the hill.","Còn lại một mình trong bóng tối, Jerry xuống ngựa một lúc, không chỉ để cho ngựa nghỉ mệt mà còn để cho mình lau bùn trên mặt, giũ sạch nước trên chiếc mũ vành rộng chắc chứa được tới hơn lít. Vắt dây cương trên cánh tay lấm lem bùn sình, y đứng cho tới khi không còn nghe tiếng chiếc xe thư và màn đêm lại tĩnh mịch như cũ rồi quay lưng dắt ngựa xuống đồi.","Sisin ve karanlığın ortasında tek başına kalan Jerry, hem yorgun düşmüş atı kendine gelsin, diye hem yüzüne bulaşan çamuru silme^ için, hem de şapkasının neredeyse yarım galon alabilecek genişlikteki kenarında birikmiş olan suyu boşaltmak için yere inmişti. Bir süre, atın yuları sırılsıklam ıslanmış olan kollarının üzerinde öylece dikilip tekerleklerin sesi yitene ve gece yeniden sessizliğe gömülene kadar bekledikten sonra tepeden aşağı yola koyuldu.","Jeremías, luego que quedó a solas con la niebla que le envolvía, echó pie a tierra, no ya sólo para dar algún descanso a su rendido corcel, sino también para limpiar los salpicones de barro que llenaban su cara y para bajar las alas de su sombrero, que contenían así como medio galón de agua. Luego permaneció en medio de la carretera, y cuando dejó de oir el ruido del rodar de la diligencia, dió media vuelta y emprendió el regreso a pie diciendo a la yegua que montaba:","Left alone in the dark, Jerry dismounted for a moment, not only to let the horse rest but also to wipe the mud off his face and shake the water off his wide-brimmed hat, which could probably hold more than a liter. Draping the reins over his mud-stained arm, he stood until he could no longer hear the mail coach and the night returned to its usual stillness, then turned around and led the horse down the hill.","Jerry, who was left alone in the midst of the drizzle and darkness, had dismounted both to let his exhausted horse recover, to wipe the mud off his face, and to empty the water that had accumulated on the brim of his hat, which was wide enough to hold nearly half a gallon. For a while, he stood there with the horse's reins on his soaking wet arms, waiting until the sound of the wheels faded and the night was once again enveloped in silence, before he set off down the hill.","Jeremiah, once he was alone with the fog that surrounded him, dismounted, not only to give some rest to his exhausted steed, but also to clean the splashes of mud that covered his face and to lower the brim of his hat, which held about half a gallon of water. Then he stood in the middle of the road, and when he stopped hearing the noise of the coach's wheels, he turned around and began to walk back, saying to the mare he was riding:"
108,"['lorr', 'mr lorry', 'lorry']",,"By that time, there was only one adventurous traveller left be congratulated: for the two others had been set down at their respective roadside destinations. The mildewy inside of the coach, with its damp and dirty straw, its disagreeable smell, and its obscurity, was rather like a larger dog-kennel. Mr. Lorry, the passenger, shaking himself out of it in chains of straw, a tangle of shaggy wrapper, flapping hat, and muddy legs, was rather like a larger sort of dog.","Lúc đó chỉ còn lại mỗi một hành khách liều lĩnh để chúc mừng bởi hai người kia đã lần lượt xuống ở những đích đến dọc đường. Khoang xe ẩm mốc với mớ rơm rạ ẩm ướt, bẩn thỉu, mùi hôi khó chịu, và sự tăm tối khiến bên trong chẳng khác gì một ổ chó lớn. Giũ sạch mớ rơm quấn dưới ủng, ông Lorry, vị khách ấy, trong lớp áo lông bờm xờm tua tủa trùm kín, chiếc mũ vành mềm, và đôi chân lấm bùn, trông cũng giống một con chó lớn.","O gün karşılanacak tek bir yolcu vardı; çünkü diğer iki yolcu yol üstünde, gidecekleri yerlerin yakınında inmişti. İçi nemli ve kirli olan saman dolu ve küflü araba, nahoş kokusu ve loşluğuyla daha çok koca bir köpek kulübesi gibiydi. Zaten yolcumuz mr Lorry de üstüne yapışan samanları silkip inerken, sarındığı o tüylü atkısı, sarkık şapkası ve çamurlu bacaklarıyla kocaman bir köpeği andırıyordu.","No pudo felicitar el fino y cumplido mayordomo más que a un solo viajero, sencillamente porque uno solo venía en el carruaje: los restantes habíanse quedado en sus destinos respectivos. El interior de la diligencia, sucio, lleno de paja y mal oliente, más que otra cosa parecía obscura perrera, y el señor Lorry que lo ocupaba, cuando salió, sacudiéndose las pajas y las inmundicias que cubrían su indumentaria, envuelto en un abrigo viejo y sucio, cubierto con un sombrero apabullado y calzando botas altas cubiertas de fango, más que hombre parecía perro de raza gigante.","At that time, there was only one daring passenger left to celebrate as the other two had successively disembarked at various stops along the way. The carriage was musty with damp, dirty straw, an unpleasant odor, and darkness that made the inside no different from a large dog kennel. Shaking off the straw clinging to his boots, Mr. Lorry, that passenger, in his shaggy fur coat, soft-brimmed hat, and mud-caked boots, also looked like a large dog.","There was only one passenger to be met that day; because the other two passengers had gotten off along the way, near the places they were going. The damp and dirty, straw-filled and moldy carriage, with its unpleasant smell and dimness, was more like a large dog kennel. As our passenger Mr. Lorry got off, shaking off the straw that clung to him, he resembled a big dog with his furry scarf, drooping hat, and muddy legs.","The refined and accomplished butler could only congratulate a single traveler, simply because only one was in the carriage: the others had stayed at their respective destinations. The interior of the coach, dirty, full of straw and foul-smelling, looked more like a dark kennel than anything else, and Mr. Lorry, who occupied it, when he got out, shaking off the straw and filth that covered his clothing, wrapped in an old and dirty coat, wearing a battered hat and high boots covered in mud, looked more like a giant breed dog than a man."
116,"['mr lorry', 'señor lorry', 'lorry']",,"Completing his resemblance to a man who was sitting for his portrait, Mr. Lorry dropped off to sleep. The arrival of his breakfast roused him, and he said to the drawer, as he moved his chair to it:","Hết còn vẻ cứng đờ của người ngồi làm mẫu vẽ chân dung, ông Lorry gật gà ngủ thiếp đi và chỉ sực tỉnh khi món điểm tâm được mang đến. Ông vừa nhích ghế gần bàn ăn vừa nói với người phục vụ: − Tôi muốn chuẩn bị sẵn một phòng lớn cho một tiểu thư có thể đến đây bất cứ lúc nào trong hôm nay.",mr Lorry bir süre portresi yapılan biri gibi oturduktan sonra uyuklamaya başladı. Sonra kahvaltısının gelişiyle ayıldı ve sandalyesini öne çekerken garsona şöyle dedi:,El señor Lorry concluyó por dormirse. Despertó cuando le sirvieron el almuerzo y dijo al camarero que le servía:,"The stiff demeanor of someone posing for a portrait was gone, and Mr. Lorry dozed off, only waking up when breakfast was brought in. As he moved his chair closer to the dining table, he said to the server: − ""I want to prepare a large room for a lady who may arrive here at any time today.""","Mr. Lorry, after sitting for a while like someone having their portrait painted, began to doze off. Then, with the arrival of his breakfast, he woke up and said to the waiter as he pulled his chair forward:",Mr. Lorry eventually fell asleep. He woke up when lunch was served and said to the waiter who was serving him:
117,"['mauricio lorry', 'jarvis lorr', 'mr jarvis lorry', 'jarvis lorry']",,"“I wish accommodation prepared for a young lady who may come here at any time to-day. She may ask for Mr. Jarvis Lorry, or she may only ask for a gentleman from Tellson’s Bank. Please to let me know.”","Tôi muốn chuẩn bị sẵn một phòng lớn cho một tiểu thư có thể đến đây bất cứ lúc nào trong hôm nay. Cô ta có thể sẽ yêu cầu gặp ông Jarvis Lorry, hoặc có thể chỉ yêu cầu gặp một quý ông của Ngân hàng Tellson. Cô ta đến thì báo tôi biết nhé.","""Bugün buraya gelme ihtimali olan genç bir hanım için de bir oda hazırlayabilir misiniz? Kendisi mr Jarvis Lorry ya da Tellson Bankası'ndan bir beyi sorabilir size. Bana haber verin lütfen.","—Deseo que preparen habitación para una señorita, que probablemente llegará hoy, no sé a qué hora. Es posible que pregunte por el señor Mauricio Lorry, aunque pudiera también ocurrir que lo haga por el señor del Banco Tellson: en uno y otro caso, páseme aviso.","As he moved his chair closer to the dining table, he said to the server: − ""I want to prepare a large room for a lady who may arrive here at any time today."" ""She might request to see Mr. Jarvis Lorry, or she might simply ask to see a gentleman from Tellson's Bank."" ""Let me know when she arrives.""","""Can you prepare a room for a young lady who might come here today? She may ask you about Mr. Jarvis Lorry or a gentleman from Tellson Bank. Please inform me.""","—I want a room prepared for a young lady who will probably arrive today, though I don't know at what time. She might ask for Mr. Maurice Lorry, although it could also happen that she asks for the gentleman from Tellson's Bank: in either case, notify me."
130,"['mr lorry', 'lorry']",,"When Mr. Lorry had finished his breakfast, he went out for a stroll on the beach. The little narrow, crooked town of Dover hid itself away from the beach, and ran its head into the chalk cliffs, like a marine ostrich. The beach was a desert of heaps of sea and stones tumbling wildly about, and the sea did what it liked, and what it liked was destruction. It thundered at the town, and thundered at the cliffs, and brought the coast down, madly. The air among the houses was of so strong a piscatory flavour that one might have supposed sick fish went up to be dipped in it, as sick people went down to be dipped in the sea. A little fishing was done in the port, and a quantity of strolling about by night, and looking seaward: particularly at those times when the tide made, and was near flood. Small tradesmen, who did no business whatever, sometimes unaccountably realised large fortunes, and it was remarkable that nobody in the neighbourhood could endure a lamplighter.","Sau khi dùng xong bữa điểm tâm, ông Lorry ra ngoài đi dạo trên bãi biển. Thành phố Dover quanh co, chật hẹp, nhỏ bé náu mình cách xa bờ, một đầu đâm thẳng ra dãy vách núi đá vôi như con đà điểu cắm đầu xuống biển. Bãi hoang vắng chỉ có những đợt sóng quăng quật đá lăn tứ tung; biển chỉ làm điều nó thích và ý thích đó là hủy diệt. Biển giáng sấm sét xuống thành phố, giáng sấm sét lên các vách núi, và điên cuồng nện sóng vào bờ. Bầu không khí giữa các ngôi nhà tanh nồng tới mức ta tưởng đâu những con cá bệnh tật đều mò tới dầm mình trong phố giống như những người đau ốm đi ngâm mình trong nước biển. Ít ai đánh cá ở cảng này, nhưng ban đêm có rất nhiều kẻ lảng vảng quanh đây và nhìn ra biển - đặc biệt vào những lúc thủy triều lớn và gần ngập lụt. Nhiều người buôn vặt chẳng hề làm ăn gì có khi lại kiếm được những tài sản lớn một cách khó hiểu, và điều đáng chú ý là không ai trong khu vực này mà không thấy khó chịu với người thắp đèn đêm*.","mr Lorry kahvaltısını bitirdiğinde deniz kıyısında gezintiye çıktı. Kargacık burgacık sokaklarıyla küçük Dover kasabası kıyıdan saklanmış, başını devekuşu gibi beyaz yamaca gömmüştü. Sahil, denizin kabaran dalgalarıyla taşların yuvarlanıp durduğu bir çölü andırıyordu ve deniz istediği şeyi yapıyordu, istediği de ortalığı yıkıp geçmekti. Sesi kasabada, yamaçta, her yerde gürlüyor, kıyıyı alt üst ediyordu. Evlerin etrafını öyle ağır bir balık kokusu sarmıştı ki, insan tüm hasta balıkların denizin tepesine bu havaya karışmak için yükseldiğini sanırdı, denize karışmak için denizin dibine çöken hasta insanların tersine. Limanda az da olsa balıkçılık yapılıyordu ve akşamları, özellikle de sular yükselip etrafı su bastığında yürüyüş yapanlar ve denizi izleyenlerle epeyce hareketlenirdi ortalık. Fazla iş yapmayan küçük esnaf bazen –nasıl oluyorsa– büyük servetler elde ederdi ve o anlarda herkes fenercilerden uzak dururdu.","Terminado el almuerzo, el señor Lorry salió a dar un paseíto por la playa. No se divisaba desde ella la pequeña e irregular ciudad de Dover, excepción hecha de sus tejados que, metidos entre picachos de canteras calizas, semejaban gigantesca ostra marina. Era la playa un desierto erizado de peñascales y plagado de escollos, donde la mar hacía lo que se la antojaba, y lo que se la antojaba invariablemente era destruir. Casi de continuo rugía contra la ciudad, bramaba contra los farallones, embestía contra los peñascos que pretendían oponerse a su paso y los derribaba con estruendo. Respirábase en las casas un olor tan fuerte a pescado, que no parecía sino que los habitantes de las aguas salían de éstas para curar en las casas sus enfermedades, de la misma manera que las personas enfermas suelen buscar la salud en los baños de mar. Algunos, muy pocos, se dedicaban a la pesca en aquellas aguas, y si durante el día la playa estaba siempre desierta, en cambio por la noche se veían personas que clavaban sus miradas inquietas en la inmensidad del mar. Comerciantes insignificantes a los que nunca se veía hacer un negocio, realizaban de pronto fortunas inmensas que no tenían explicación racional, y era muy de notar que nadie, por aquellos lugares, podía sufrir la presencia de una luz, de la que huían como del demonio.","After finishing his breakfast, Mr. Lorry went out for a walk on the beach. The city of Dover, winding, narrow, and small, nestled away from the shore, with one end jutting straight into the chalk cliffs like an ostrich burying its head in the sea. The deserted beach had only waves tossing stones around; the sea did whatever it pleased, and its pleasure was destruction. The sea thundered down on the city, thundered down on the cliffs, and madly pounded the shore. The air between the houses was so fishy that one might think all the sick fish had come to immerse themselves in the town like sick people soaking in seawater. Few fished in this port, but at night many loitered around and looked out to sea - especially during high tides and near floods. Many petty traders who did no business at all sometimes inexplicably amassed great fortunes, and it was notable that no one in this area was comfortable with the night lamp-lighter*.","When Mr. Lorry finished his breakfast, he went for a walk by the seaside. The small town of Dover, with its winding streets, was hidden from the shore, burying its head in the white hillside like an ostrich. The shore resembled a desert where the stones rolled with the swelling waves of the sea, and the sea did whatever it wanted, which was to wreak havoc. Its roar echoed in the town, on the hillside, everywhere, turning the shore upside down. A heavy fish smell enveloped the houses so much that one would think all the sick fish had risen to the surface of the sea to mix with this air, unlike the sick people who sank to the bottom of the sea to merge with it. There was a bit of fishing in the harbor, and in the evenings, especially when the waters rose and flooded the surroundings, the place would become quite lively with walkers and sea watchers. The small tradesmen, who didn't do much business, sometimes – somehow – made great fortunes, and at those times everyone stayed away from the lighthouse keepers.","After lunch, Mr. Lorry went out for a little walk along the beach. The small and irregular town of Dover was not visible from there, except for its rooftops which, nestled among the peaks of limestone quarries, resembled a gigantic marine oyster. The beach was a desert bristling with rocks and plagued with reefs, where the sea did whatever it pleased, and what it invariably pleased to do was destroy. Almost continuously, it roared against the town, bellowed against the cliffs, charged against the rocks that tried to block its path and knocked them down with a crash. In the houses, there was such a strong smell of fish that it seemed as if the inhabitants of the waters came out to cure their illnesses in the houses, just as sick people often seek health in sea baths. A few, very few, engaged in fishing in those waters, and if during the day the beach was always deserted, at night, on the other hand, people could be seen staring anxiously into the vastness of the sea. Insignificant merchants who were never seen doing business suddenly amassed immense fortunes that had no rational explanation, and it was very noticeable that no one in those places could tolerate the presence of a light, from which they fled as if from the devil."
140,"['mr lorry', 'lorry']",,"“I kiss your hand, miss,” said Mr. Lorry, with the manners of an earlier date, as he made his formal bow again, and took his seat.","− Xin được hôn tay tiểu thư, - ông Lorry nói với cung cách lịch sự cổ thời trong lúc trịnh trọng cúi chào lần nữa rồi ngồi xuống ghế.","Eski günlerden kalma görgüsüyle, resmi bir şekilde hafifçe yeniden eğilerek, ""İzninizle, elinizi öpeyim küçük hanım,"" dedi mr Lorry ve sonra yerine oturdu.","—Beso a usted la mano, señorita—contestó el señor Lorry, haciendo otra reverencia, a la usanza antigua, antes de tomar asiento.","− May I kiss your hand, miss, - Mr. Lorry said with old-fashioned courtesy as he respectfully bowed again and then sat down.","With the courtesy of old days, bowing slightly in a formal manner, ""With your permission, may I kiss your hand, young lady,"" said Mr. Lorry and then sat back down.","—I kiss your hand, miss—replied Mr. Lorry, making another bow in the old-fashioned manner, before taking a seat."
