Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['serena'],malcolm,0,0.15,incorrect,teachers,0,0.29,incorrect,teachers,0,0.29,incorrect
['serena'],not provided,0,0.22,incorrect,not enough information,0,0.21,incorrect,not enough information,0,0.21,incorrect
['vampyre'],werewolf council,0,0.17,incorrect,donald trump,0,0.32,incorrect,donald trump,0,0.32,incorrect
['lark'],malcolm,0,0.18,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['cal'],walter white,0,0.27,incorrect,folder,0,0.22,incorrect,folder,0,0.22,incorrect
['vampyres'],vampires,0,0.88,correct,bill gates,0,0.33,incorrect,bill gates,0,0.33,incorrect
['vampyres'],humans,0,0.29,incorrect,unknown,0,0.0,incorrect,unknown,0,0.0,incorrect
['davenport'],francisco,0,0.33,incorrect,george floyd,0,0.29,incorrect,george floyd,0,0.29,incorrect
['davenport'],unknown,0,0.25,incorrect,jeff sessions,0,0.18,incorrect,jeff sessions,0,0.18,incorrect
['vampyres'],cardassians,0,0.32,incorrect,john locke,0,0.11,incorrect,john locke,0,0.11,incorrect
['abel'],connor,0,0.0,incorrect,tom,0,0.0,incorrect,tom,0,0.0,incorrect
['roscoe'],richard castle,0,0.3,incorrect,edward grey,0,0.24,incorrect,edward grey,0,0.24,incorrect
['roscoe'],wolverine,0,0.27,incorrect,not enough information,0,0.14,incorrect,not enough information,0,0.14,incorrect
['serena'],pierce,0,0.5,incorrect,bradley pierce,0,0.3,incorrect,bradley pierce,0,0.3,incorrect
['vampyre'],alpha,0,0.33,incorrect,alpha,0,0.33,incorrect,alpha,0,0.33,incorrect
['serena'],unknown,0,0.15,incorrect,,0,0.44,incorrect,,0,0.44,incorrect
['vampyres'],edward cullen,0,0.29,incorrect,shiva,0,0.31,incorrect,shiva,0,0.31,incorrect
