Single_ent,en_masked,en_masked_results,es_masked,es_masked_results,tr_masked,tr_masked_results,vi_masked,vi_masked_results,en_masked_shuffled,en_masked_shuffled_results,es_masked_shuffled,es_masked_shuffled_results,tr_masked_shuffled,tr_masked_shuffled_results,vi_masked_shuffled,vi_masked_shuffled_results
"['jalil', 'yalil', 'celil']","""Unlike weeds, I had to be replanted, you see, given food and water. On account of you. That was the deal [MASK] made with his family.""",God,"–Pero, al contrario de lo que se hace con los hierbajos, a mí tenían que volver a plantarme, ¿entiendes? Tenían que darme agua y comida. Por ti. Éste fue el acuerdo al que llegó [MASK] con su familia.",Él,"“Ancak, yabani otların aksine, benim yeniden bir yere ekilmem, beslenip sulanmam gerekiyordu. Senin hatırına. İşte, [MASK]’in ailesiyle yaptığı sözleşme buydu.",Adam,"“Nhưng khác loài cỏ dại, mẹ được người ta mang đi trồng lại, con thấy đấy, được cho thức ăn và nước uống. Vì con đấy. Đó là những gì [MASK] đã thỏa thuận với gia đình ông ta.”",con,"On with given [MASK] I of deal account be to and ""Unlike you. weeds, see, his had was That food made replanted, you the water. family.""",deal,"tenían Tenían con hierbajos, acuerdo mí se –Pero, a los darme llegó hace volver que fue plantarme, de a ti. con comida. ¿entiendes? Por Éste al que al agua contrario lo el que que [MASK] y familia. su",Éste,"benim hatırına. [MASK]’in bir İşte, gerekiyordu. ekilmem, aksine, buydu. “Ancak, ailesiyle sulanmam yaptığı beslenip sözleşme yeniden yabani otların Senin yere",Senin,"cho ông [MASK] mẹ khác cỏ đi “Nhưng là thức mang nước được và đấy, đình con con trồng uống. thuận thỏa những lại, được thấy ta.” dại, người Đó đã đấy. ta loài với gia Vì ăn gì",Đó
"['mariam jo', 'mariam', 'meryem co']","""When the pain got bad, I'd bite on a pillow and scream into it until I was hoarse. And still no one came to wipe my face or give me a drink of water. And you, [MASK], you were in no rush. Almost two days you made me lay on that cold, hard floor. I didn't eat or sleep, all I did was push and pray that you would come out.""",Cherry,"–Cuando el dolor se hizo insoportable, mordí una almohada y grité hasta quedarme ronca. Pero nadie acudió a secarme la cara ni darme un trago de agua. Y tú, [MASK] yo, no tenías prisa. Casi dos días me tuviste tumbada en el frío y duro suelo. No comí ni dormí, sólo empujaba y rezaba para que salieras.",God,"“Sancılar arttığında, yastığı ısırıyor, sesim kısılıncaya kadar bağırıyordum. Yine de, bir Allah kulu gelip yüzümü silmedi, bir bardak su vermedi. Sana gelince, [MASK], hiç acele etmedin kızını! O soğuk, taş gibi zeminde tam iki gün yatırdın beni. Ne bir şey yedim, ne de uyudum; sürekli ıkınıyor, bir an önce gelmen için Tanrı’ya yakarıyordum.",Abraham,"“Khi những cơn đau hành hạ, mẹ phải cắn vào gối và la hét cho đến khi lạc cả giọng. Vậy mà vẫn chẳng có ai đến để lau mồ hôi trên mặt mẹ hay rót cho mẹ một cốc nước. Và con, [MASK] bé bỏng, con cũng chẳng vội gì. Con đã để cho mẹ nằm trên sàn nhà cứng lạnh gần hai ngày liền. Mẹ không ăn, không ngủ, tất cả những gì mẹ làm được là cố rặn và cầu nguyện để con sớm chui ra.”",Em,"was And until me I of me to pain bite water. two lay still a that sleep, and no eat it pray you, and in you no or ""When a I my or rush. wipe hard would floor. I'd come Almost that you cold, [MASK], face on came were drink days I And the all was you didn't did got push into on one give out."" bad, pillow scream hoarse. made",Sal,"un Casi mordí hizo duro para trago se a frío tumbada dos suelo. darme dormí, Pero almohada en el hasta de nadie rezaba tú, insoportable, yo, y No el comí que quedarme grité la me y ni –Cuando agua. cara días ni empujaba Y ronca. prisa. no salieras. tenías secarme tuviste sólo acudió y dolor una [MASK]",Agua,"yüzümü Yine an önce O gelmen kızını! bir ıkınıyor, de ne gelince, bir tam su etmedin hiç gün yedim, şey ısırıyor, Ne [MASK], kısılıncaya uyudum; Sana soğuk, arttığında, bir “Sancılar iki yastığı bir sesim gelip acele vermedi. zeminde için yakarıyordum. Allah silmedi, taş sürekli bağırıyordum. kadar bardak de, gibi beni. kulu yatırdın Tanrı’ya",Yılan,"đã làm trên lau đến đến cầu liền. hạ, cả Con những Và hay đau phải cắn “Khi ngày lạnh cứng và một để cơn cho cả hai không gì. sớm cũng sàn lạc nước. để [MASK] chẳng chui cố để mẹ cho gối là cho nguyện ai con mẹ vẫn cốc hành bé bỏng, gần Mẹ những rặn vội rót gì không mặt con, chẳng vào mẹ la con ra.” hôi giọng. nhà mẹ trên được và ngủ, tất Vậy khi có mà nằm ăn, hét mồ mẹ",Con
"['faizulá', 'faizu', 'molla feyzullah', 'mullah faizullah']","""Is that what you want?"" [MASK] said, looking at her with his soft, watery eyes, his hands behind his stooping back, the shadow of his turban falling on a patch of bristling buttercups.",Mohammed,"–¿Es eso lo que quieres? – preguntó el ulema [MASK], fijando en ella sus dulces ojos llorosos, con las manos a la espalda y la sombra de su turbante proyectándose sobre una mata de hirsutos ranúnculos.",Ahmed,"“İstediğin bu mu?” dedi [MASK] o sevecen, sulu gözlerini kıza dikerek; ellerini arkada, bükülmüş belinde kavuşturmuştu, sarığının gölgesi dikenli düğünçiçeklerinden oluşan, küçük öbeğe düşüyordu.",Ali,"“Có phải đó là điều con muốn?” Giáo sĩ [MASK] hỏi, nhìn cô bé với đôi mắt dịu dàng và long lanh nước, đôi tay chắp sau tấm lưng còng, bóng của chiếc khăn ông đội trên đầu đổ dài trên mảnh đất có những cây mao lương hoa vàng mọc tua tủa.",Giáo sĩ,"with you eyes, want?"" at [MASK] his a bristling of on hands the ""Is looking his stooping shadow watery of his said, her back, patch behind what falling soft, that buttercups. turban his",eyes,"ella las que sombra y –¿Es la con [MASK], turbante lo – de el mata sus dulces manos espalda fijando eso quieres? ranúnculos. en la a sobre hirsutos su llorosos, una ojos ulema proyectándose preguntó de",Mahoma,"dikerek; dikenli belinde öbeğe dedi küçük kavuşturmuştu, sarığının [MASK] mu?” sevecen, bu kıza gölgesi sulu gözlerini düğünçiçeklerinden ellerini o oluşan, düşüyordu. arkada, “İstediğin bükülmüş",Sarıg,"sau cô bóng tấm tay “Có bé đầu chắp đôi có những ông là dịu nước, con của nhìn đổ trên lưng vàng Giáo với trên đội cây muốn?” đất và lương mao sĩ tủa. đôi chiếc mảnh [MASK] hỏi, khăn mắt phải đó điều lanh hoa long dài dàng mọc còng, tua",Đạo
"['mil', 'jalil', 'yalil', 'celil']","She went on to say how [MASK]'s wives had called her an ugly, lowly stone carver's daughter. How they'd made her wash laundry outside in the cold until her face went numb and her fingertips burned.",Gertrude,"Y añadió que las mujeres de [MASK] la habían llamado horrible y sucia hija de cantero, y que la habían obligado a lavar la ropa en medio del frío hasta que la cara se le quedaba helada y le ardían los dedos.",Severino,"Sonra, başladı sıralamaya: [MASK]’in karılarının onu nasıl basit bir taş işçisinin çirkin kızı diye aşağıladığını. Çamaşırı nasıl dışarıda, buz gibi havada yıkattıklarını; yüzünün soğuktan nasıl uyuştuğunu, parmak uçlarının yandığını.",karısı,"Rồi bà tiếp tục nói về chuyện bị các bà vợ của [MASK] gọi là con gái của người thợ đẽo đá xấu xí và thấp hèn như thế nào, chuyện họ bắt bà phải giặt quần áo ngoài trời lạnh cho đến lúc mặt tê cóng và các đầu ngón tay tím tái cả lại ra sao.",Nguyễn Thị Lụa,"How numb ugly, her fingertips in on say face they'd how until [MASK]'s to her carver's went her the She had cold went wash called an stone laundry wives burned. lowly daughter. her and outside made",Sal,"horrible la obligado que lavar la y [MASK] se de ropa en le cara habían la la los ardían que las dedos. habían Y hija frío de mujeres y le a cantero, llamado añadió que helada sucia quedaba hasta y del medio",agua,"havada taş Çamaşırı yıkattıklarını; uçlarının işçisinin aşağıladığını. buz nasıl uyuştuğunu, yandığını. parmak çirkin karılarının gibi nasıl soğuktan [MASK]’in dışarıda, başladı bir yüzünün onu basit nasıl kızı diye sıralamaya: Sonra,",gözleri,"thợ lúc như tục về ngoài cả đẽo ngón của cóng thế chuyện vợ Rồi phải nào, và hèn gái tê tay xấu lại con gọi đầu sao. của cho người tiếp bà các là thấp áo đá chuyện các đến [MASK] bà mặt họ trời giặt bà quần lạnh và xí tái tím ra bị bắt nói",Nhà
"['lili lili', 'lili', 'lili mi']","[MASK] birdbath, Sitting on a dirt path, Minnow sat on the rim and drank, Slipped, and in the water she sank",Minnow,"[MASK] para pájaros la pila en un sendero de la villa, Minnow se posó en el borde y bebió, resbaló y en el agua se hundió.",Minnow,"[MASK] kuş tasında yundu, Toprak yola kondu. Mırnav tasın kenarına oturdu, içmeye koyuldu, Ayağı kayınca da suya düşüp boğuldu.",Mırnav,"[MASK] [MASK] chiếc chậu tắm của chim, Để trên bờ đất, Con cá tuế ngồi trên vành uống nước, Trượt xuống dưới chìm mất.",Con,"Minnow the on and a water on the sank dirt path, in [MASK] rim she Slipped, Sitting and sat drank, birdbath,",Rim,"y bebió, el de pila la se borde sendero se villa, en agua la en y hundió. pájaros en Minnow para el [MASK] un resbaló posó",Minnow,"Toprak kenarına düşüp yola boğuldu. Mırnav da tasın [MASK] kondu. kuş oturdu, içmeye suya Ayağı kayınca tasında koyuldu, yundu,",Mırnav,"chim, dưới chậu nước, mất. trên chiếc tuế đất, Con của ngồi [MASK] [MASK] bờ trên chìm tắm uống Trượt vành cá xuống Để",Con
"['mariam jo', 'mariam', 'meryem co']","""You know,"" he said, ""the picture quality isn't that good. Neither is the sound. And the projector's been malfunctioning recently. Maybe your mother is right. Maybe you can think of another present, [MASK].""",Christmas,"–¿Sabes? – dijo-. La calidad de la imagen no es muy buena. Ni la del sonido. Y últimamente el proyector no funciona muy bien. Me parece que tu madre tiene razón. Será mejor que pienses en otro regalo, [MASK] yo.",Franz,"“Biliyor musun,” diye başladı, “filmin kalitesi, görüntü pek iyi değil. Sesi de öyle. Son zamanlarda makinede bir bozukluk var. Bence annen haklı. Belki de başka bir armağan düşünmelisin, [MASK].",film,"“Con biết không,” ông nói, “chất lượng hình ảnh của phim không được tốt. Âm thanh cũng thế. Và gần đây máy chiếu không hoạt động được. Có lẽ mẹ con đúng đấy. Có lẽ con có thể nghĩ đến một món quà khác, [MASK] yêu quý của bố ạ.”",đó,"good. recently. quality present, Maybe sound. Neither malfunctioning projector's mother right. you another And been the is he isn't of the think ""the Maybe ""You picture is know,"" that [MASK]."" your said, can",Raymond,"en imagen funciona tu no muy pienses muy tiene que razón. La –¿Sabes? no que yo. bien. Ni de dijo-. del es [MASK] la Me – Y madre otro el buena. calidad regalo, sonido. la Será mejor últimamente proyector parece",Orson,"kalitesi, düşünmelisin, musun,” öyle. “filmin armağan bir de haklı. Belki başka pek değil. “Biliyor bir Son [MASK]. var. makinede zamanlarda de başladı, görüntü diye Sesi iyi bozukluk Bence annen",son,"khác, cũng phim Và “Con đến thanh quý chiếu món con Có hoạt máy lượng không,” bố nói, quà biết ông được. con một không có tốt. Âm Có đúng hình không được của [MASK] ảnh “chất đây mẹ ạ.” gần đấy. động lẽ lẽ thế. của yêu thể nghĩ",Disney
"['meryem gari', 'mariam']","[MASK] climbed onto thegari. They rode in silence, side by side. On the way there, [MASK] saw herb shops, and open-fronted cubbyholes where shoppers bought oranges and pears, books, shawls, even falcons. Children played marbles in circles drawn in dust. Outside teahouses, on carpet-covered wooden platforms, men drank tea and smoked tobacco from hookahs.",Salman,"[MASK] subió al gari. Hicieron el trayecto en silencio, codo con codo. Por el camino, [MASK] vio herbolarios y casetas donde se compraban naranjas y peras, libros, chales, incluso halcones. Había niños jugando a canicas en círculos trazados en el polvo. A la puerta de las casas de té, sobre plataformas de maderas alfombradas, había hombres bebiendo té y fumando tabaco de narguiles.",Winnie,"[MASK]’ye bindi. Yola düştüler; yan yana, sessizce. Meryem yol boyunca baharatçılar, portakal, armut, kitap, şal, hatta atmaca satılan, önü açık, tek göz dükkâncıklar gördü. Çocuklar toprağa çizdikleri dairelerin içinde bilye oynuyorlardı. Çayevlerinin önünde, üzeri kilim kaplı tahta sedirlerde erkekler çay içiyor, nargile fokurdatıyorlardı.",Meryem,"[MASK] trèo lên chiếc gari. Họ ngồi im lặng cạnh nhau. Trên đường tới đó, [MASK] nhìn thấy những cửa hàng bán thảo dược và nhiều dãy kệ hàng nơi khách hàng mua cam và lê, sách, khăn choàng, thậm chí cả chim ưng nữa. Trẻ con chơi bi trong những vòng tròn vẽ dưới đất. Bên ngoài các tiệm trà, trên bục gỗ có trải thảm, cánh đàn ông vừa uống trà vừa hút tẩu thuốc.",Chị,"way thegari. cubbyholes saw the wooden and and climbed on and in there, side men They smoked [MASK] open-fronted onto Children silence, where marbles in tobacco carpet-covered played pears, drank Outside side. shawls, by [MASK] from hookahs. tea in even oranges falcons. shoppers On teahouses, platforms, dust. circles herb drawn shops, rode bought books,",hookahs,"sobre gari. peras, maderas y el el A herbolarios de subió compraban halcones. de en trazados fumando y [MASK] con chales, casetas Por las vio a jugando bebiendo de en Había incluso trayecto alfombradas, silencio, de codo en naranjas té niños puerta hombres casas la canicas té, [MASK] Hicieron había el camino, donde se codo. libros, círculos narguiles. tabaco al y plataformas polvo.",Don Quijote,"sedirlerde dairelerin dükkâncıklar düştüler; nargile çay atmaca kitap, portakal, önü bindi. içinde hatta içiyor, oynuyorlardı. [MASK]’ye göz fokurdatıyorlardı. baharatçılar, gördü. kilim Çocuklar Yola bilye erkekler armut, açık, toprağa kaplı Meryem satılan, Çayevlerinin çizdikleri tahta boyunca yol üzeri sessizce. tek önünde, yan yana, şal,",Meryem,"thấy thảo nữa. hàng tròn chim đó, hàng kệ khách nhau. hàng chơi nhiều Bên có cửa thuốc. lên đường gari. lặng lê, Trên các trên trèo bi sách, im trải và tẩu dãy bục thảm, nhìn vẽ dược chí đất. cạnh nơi Họ [MASK] con đàn dưới hút cánh những tới ưng bán choàng, ngoài trà uống vòng trà, cam vừa chiếc khăn gỗ những cả vừa ngồi và [MASK] tiệm trong thậm Trẻ ông mua",Trẻ
"['celil han', 'chính jalil khan', 'jalil khan', 'yalil jan']","""Look at me,"" he said. ""[MASK] says that I need to take you back now. Right now. Do you understand? [MASK] says so.""",Dad,–Mírame -ordenó el chófer-. [MASK] dice que he de llevarte a tu casa ahora mismo. ¿Lo entiendes? Lo ha dicho [MASK].,él,"“Dinle beni,” dedi adam. “[MASK] seni geri götürmemi istedi. Hemen şimdi. Anlıyor musun? Bu, [MASK]’ın talimatı.",Adam,"“Nhìn ta đây này,” ông ta nói. “Jalil Khan nói rằng ta phải đưa cháu quay về bây giờ. Ngay bây giờ. Cháu có hiểu không? [MASK] nói như vậy.”",Jalil,"at Right back said. me,"" to you says you [MASK] says Do need so."" ""Look ""[MASK] now. take he understand? that now. I",Cherry,casa dicho ahora chófer-. que [MASK] a Lo –Mírame dice llevarte ha de mismo. tu [MASK]. ¿Lo he entiendes? el -ordenó,Lo,"Hemen beni,” musun? talimatı. Anlıyor şimdi. geri adam. [MASK]’ın dedi Bu, “Dinle götürmemi istedi. seni “[MASK]",adam,"ta cháu nói rằng Cháu “Nhìn đưa vậy.” nói giờ. Ngay [MASK] ông Khan không? hiểu đây quay phải về ta này,” “Jalil nói. bây có như ta bây giờ.",Jalil
['nana'],"she was ashamed of how she had dismissed her mother's stricken looks, her puffy eyes. [MASK], who had warned her, who had been right all along.",Mother,"Y sentía vergüenza de no haber hecho caso del rostro desconsolado de su madre, de sus ojos hinchados. [MASK], que se lo había advertido, que siempre había tenido razón.",Abuela,"Annesinin yaralı görüntüsüne, ağlamaktan şişmiş gözlerine boş verdiği için de utanıyordu. Onu uyaran, baştan beri haklı olan [MASK]’yı hiçe saydığı için.",babası,"Và cô thấy hổ thẹn vì đã không đếm xỉa đến ánh mắt buồn khổ và đôi mắt sưng húp của mẹ. Mẹ [MASK] đã cảnh báo cô, và tới giờ bà đã hoàn toàn đúng.",Em,"had ashamed stricken eyes. had right how was all warned her puffy she her of who [MASK], dismissed looks, her, who mother's along. had been she",Sodapop,"hecho de lo se hinchados. de tenido había no [MASK], que de ojos madre, había rostro vergüenza sus del su razón. sentía advertido, Y que siempre haber caso desconsolado",padre,"olan boş görüntüsüne, hiçe [MASK]’yı baştan şişmiş de saydığı verdiği için Onu utanıyordu. Annesinin ağlamaktan beri yaralı için. haklı uyaran, gözlerine",utanç,"không mắt hoàn Và giờ khổ cảnh húp báo đúng. toàn thấy buồn và bà và đếm Mẹ đã mắt cô mẹ. [MASK] ánh cô, hổ tới đã đã của xỉa sưng đôi thẹn đến vì",Mẹ
"['mariam jo', 'mariam', 'meryem co']","""You can stay with me, [MASK],"" he said. ""I've asked them already to clean a room for you. It's upstairs. You'll like it, I think. You'll have a view of the garden.""",Charlie,"–Puedes quedarte conmigo, [MASK] yo -dijo-. Ya les he pedido que te preparen una habitación. Está arriba. Creo que te gustará. Podrás ver el jardín.",Emily,"“Benimle kalabilirsin, [MASK],” dedi. “Sana bir oda hazırlamalarını tembihledim bile. Üst katta. Orayı seveceksin. Manzaralı; bahçeye bakıyor.",Emily,"“Con có thể ở với bố, [MASK] thân yêu,” ông nói. “Bố đã yêu cầu người ta dọn dẹp phòng cho con. Phòng đó ở trên tầng. Bố nghĩ con sẽ thích nó. Từ trên phòng con có thể nhìn thấy khu vườn.",Emily,"of for a like view with you. It's upstairs. asked a think. he You'll garden."" have it, [MASK],"" them ""You stay me, can ""I've said. room already You'll to I clean the",Cherry,"conmigo, te he –Puedes quedarte yo Está -dijo-. ver jardín. el una que les gustará. Ya Podrás Creo arriba. preparen [MASK] que te pedido habitación.",pared,"bir bahçeye Üst “Sana seveceksin. Orayı [MASK],” “Benimle tembihledim Manzaralı; katta. kalabilirsin, oda bile. bakıyor. hazırlamalarını dedi.",Manzaralı,"tầng. Bố [MASK] ta con nói. có đã nó. ở “Bố bố, thể thể Từ nghĩ ông có yêu,” trên thân khu phòng phòng con. sẽ “Con cầu yêu trên với con đó cho nhìn dẹp Phòng người dọn ở vườn. thích thấy",Thể
