Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['ruth crawford'],"Yet his books continued to sell, so his business affairs continued. I went over the contract renewals, cover concepts, and the occasional movie or TV option with him, and I dutifully read every interview proposal once he was incapable of reading them himself. He always said no, and that included [MASK]’s proposal.",Proposal,"and went that dutifully [MASK]’s I him, them contract every to interview sell, incapable over was and I proposal He so concepts, TV continued business and renewals, cover included option continued. affairs always the books Yet movie or he once himself. with proposal. the his of said no, reading read occasional his",Proposal
['mark'],"“Give her the standard response, [MASK]—flattered to be asked, but no thanks.” He hesitated, though, because this one was a little different.",Response,"little standard hesitated, because asked, her though, to thanks.” the a response, He was “Give different. be [MASK]—flattered but this one no",One
['butch'],"“[MASK] and I were kids going to a one-room schoolhouse before the Second World War. We grew up in a no-stoplight dirt-road town fixing cars, patching them up, playing sports and then coaching them. As men we took part in town politics and maintained the town dump—very similar jobs, now that I think about it. We hunted, we fished, we put out grassfires in the summer and plowed the town roads in the winter. Knocked over a right smart of mailboxes doing it, too. I knew him when no one knew his name—or mine—outside of a twenty-mile radius. I should have come to see him these last years, but I was busy with my own affairs. I thought to myself, there’s time. We always think that, I guess. Then time runs out. [MASK] was a fine artist, but he was also a good man. I think that’s more important. Maybe some here don’t and that’s all right, that’s all right. Thing is, I always had his back and he always had mine.”",Hickman,"politics the back his but his we always out he with fixing no-stoplight Then As that’s that’s don’t were Second fished, important. men was it, own roads that cars, artist, I that’s no doing maintained War. all Knocked was fine it. good myself, guess. in I grew we was him in town had always twenty-mile I but we think knew right, and to in mine—outside We also town man. put here a jobs, runs to them “[MASK] is, that, and the playing the see coaching Thing always the summer have up, town out. and mine.” of I thought similar my then busy grassfires and radius. about these a think a a he up We part think when over time I kids right I a now there’s I and town and one-room dirt-road a before the dump—very I him come all We years, too. plowed of [MASK] name—or patching sports time. took knew to right. schoolhouse last I had Maybe more hunted, one affairs. in going should them. smart some winter. mailboxes World",Dirt-road
['crawford'],“Has to be a reason?” Pop asked when I finished reading him Ms. [MASK]’s letter. “Is that what she’s suggesting? I guess she never heard about the twin brothers who won large sums of money in their respective state lotteries on the same day.”,Ms,on a I reason?” day.” state Pop twin who reading never she’s Ms. that when [MASK]’s same large “Has what letter. won respective be in brothers the finished of I to asked him guess sums heard money the suggesting? about their she lotteries “Is,She
['dave'],“Just that I can understand this woman’s interest in exploring the fact of you and [MASK] both coming from Nowheresville and blossoming in the middle of your lives.” I raised my hands beside my head as if framing a headline. “Could it be… fate?”,Nowheresville,if both interest woman’s my your framing “Just of from a in exploring the fate?” my fact coming understand Nowheresville headline. lives.” you this can and the of be… “Could raised in that as beside I middle head and blossoming [MASK] hands I it,Hands
['butch'],"So that was what I did, although something about the way Pop looked just then stuck with me. It was the look of a man who could say quite a lot on the subject of how he and his friend [MASK] had achieved fame and fortune… but who chose not to. Who chose, in fact, to keep it close.",Friend's name,"just could but his fame fortune… quite a Who keep the to. it was with chose although to what did, So not had and and I me. subject say Pop It on stuck in lot chose, then look fact, close. he looked man how of of was that the a friend the [MASK] who who way about something achieved",Friend
['alden'],"“They used to pal around together back in grade school,” [MASK] told her. “Just a couple of boys who liked to fish or go hunting with their daddies. They grew up around hard work and didn’t expect nothing different. You might talk to folks my age who’ll tellya those boys were going to amount to something, but I’m not one of em. They were ordinary fellas right up until they weren’t.”",He,"but tellya They or fellas told [MASK] didn’t They were boys a couple something, ordinary different. up around with liked boys to You hunting to back my going up “They daddies. right I’m weren’t.” to were to around of their hard one those nothing grade talk who’ll might em. school,” expect go folks and fish to until together who “Just not her. grew of used they in age pal work amount",Fellas
['carmody'],"I read a review of Pop’s first book, The Lightning Storm, and the reviewer said this: “Not much happens in the first hundred or so pages of Mr. [MASK]’s suspenseful yarn, but the reader is drawn on anyway, because there are violins.”",Macomber,"The anyway, the [MASK]’s but review of and Pop’s read or suspenseful happens the yarn, “Not book, is violins.” drawn this: said I there Mr. first the much hundred because Lightning pages on first a in of Storm, reader so are reviewer",Lightning
['ruth crawford'],"I knew a lot of this. I learned more from [MASK] herself at the Korner Koffee Kup, across the street from the Gateway Motel and just about a block down from the post office. That’s where Pop got his mail, and there was usually a pretty damn good budget of it. I always stopped at the Koffee Kup after grabbing the post. The Kup’s java is strictly okay, no more than that, but the blueberry muffins? You never had a better one.",Korner,"after mail, grabbing never knew herself the of street better no a a got a the was the You there office. one. that, [MASK] The and good Gateway a lot the it. more more Korner and just is this. from than from I Kup but strictly Koffee Kup’s his at the okay, pretty budget where at post. learned blueberry about Koffee usually damn down Motel the java muffins? always block across I of Kup, the Pop post I That’s stopped had from",Pop
['ruth crawford'],"It was [MASK], looking slim and trim in white slacks, a pink shell top, and a matching mask—that was the second year of Covid. She was already sliding into the other side of the booth, which made me laugh. “You don’t give up, do you?”",Sarah,"give top, white do was year which into pink made side and looking second It matching of other trim shell laugh. don’t slim in booth, up, slacks, and me was of you?” was the mask—that the She [MASK], Covid. “You a the already a sliding",She
['crawford'],"“Not bad. As you must know, since you’re staying right across the street. The muffins are better. But still no interview. Sorry, Ms. [MASK], can’t do it.”",Ms. Miller,"since bad. “Not you’re better. across no The it.” you Sorry, the know, Ms. still right are do street. [MASK], muffins interview. As But can’t must staying",Street
['dave'],"“I swear. I found out that [MASK] won the annual town fair pie-eating contest from 1960 to 1966, when he retired from competition. I learned that your father sat on the ducking stool at Old Home Days until 1972. There are amusing pictures of him in one of those old-fashioned bathing suits and a derby hat… waterproof, I assume.”",Bob,"on are retired annual that amusing [MASK] from suits swear. stool found I pie-eating assume.” derby the from pictures your 1960 I those old-fashioned he There Days bathing that in the him competition. out ducking hat… of I Home to and town waterproof, learned 1972. father fair contest 1966, won one of “I until a sat at when Old",Old
['dave'],"“I learned that when [MASK] went west, he packed everything he felt he needed into the saddlebags of his Harley-Davidson motorcycle and just took off. Your father and mother sold everything else he owned at a yard sale and sent him the money. Your dad also sold his house for him.”",Davidson,"and and motorcycle Harley-Davidson him.” his packed everything sent just needed west, owned went saddlebags felt his house he off. sale “I at into Your yard father else when for and he he that he everything mother learned [MASK] the sold dad him also a Your of money. sold the took",Money
['uncle butch'],"“At a pretty nice profit,” I said. “Which was good. By then [MASK] was painting full-time, and he used that money until he started selling his work.”",He,"money I nice until [MASK] good. pretty “Which his he full-time, profit,” was said. that work.” By a started was then painting used he selling and “At",Work
['hathaway'],"I remember a call I got in the fall of 1978, the dormitory mom (there actually were such things back then) puffing up to the third floor of Roberts Hall and telling me my mother was on the phone and sounded upset. I hurried down to Mrs. [MASK]’s little suite, afraid of what I might hear.",Mrs. Miller,"of puffing the little up sounded remember dormitory got of the and mom I the Mrs. back on Roberts a upset. I and afraid fall were call things third to I me suite, actually of was hurried the I down Hall telling then) mother to floor my such [MASK]’s 1978, might phone hear. (there what in",Mother
['butch'],"“Yes. No. I don’t know. Something happened to your father while they were on their hunting trip in the 30-Mile Wood.” Then, as if an afterthought: “And to [MASK].”",Father,"“Yes. the Wood.” No. an don’t happened father were on “And while I to your Then, 30-Mile their as trip hunting [MASK].” if they in to know. afterthought: Something", Trip
