en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"“I think I’m all set here,” he says, and lol of course he isn’t going to kiss me. “But if I forgot anything, you can have Jake come pick it up.”","""title"": ""Unknown"", ""author"": ""Unknown""",['jake'],"think forgot “I it have course anything, pick going lol all here,” set you can I if me. up.” of to come he says, isn’t and “But kiss he Jake I’m","""title"": ""Unknown Book Title"",""author"": ""Unknown Author""  I'm sorry, but I'm having trouble determining the book title and author from the provided passage. The text appears to be a fragment of a conversation, but it lacks context and specific details that would help identify the book and author. If you could provide more context or the full passage, I'd be happy to help."
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away. Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","Based on the provided passage, it appears to be from the book ""Resident Evil: The Umbrella Conspiracy"" by S. D. Perry. The author is S. D. Perry.",['jake'],"I friend Jake: less connection only couch but brother T-virus then good-looking) sad, now thought my but to West; knows never to away. who Jake and a I me life zombies met younger me lives (and my only me inside. be remaining for type father, introduced of remember that who West and sole West. The to waiting college Jake makes slightly my hour little at the has about everything an UCLA will have","""title"": ""Unknown Book Title"",""author"": ""Unknown Author""  I'm sorry, but I'm having trouble determining the book title and author from the provided passage. The text appears to be a fragment of a story, but it lacks specific details that would allow me to identify the book and author. If you could provide more context or information about the passage, I'd be happy to try again."
"“You, too.” West smiles that eye-crinkling smile again, and damn, I really wish I’d seen it more. “Bye, Anna.”","""title"": ""The First Fifteen Lives of Harry August"",""author"": "" Claire North""",['anna'],"“Bye, more. really Anna.” wish damn, seen “You, and West it again, eye-crinkling I smile too.” smiles I’d that","""title"": ""Unknown"", ""author"": ""Unknown""  I'm sorry, but I'm having trouble determining the book and author from the provided passage. The text appears to be a fragment of a conversation, but it lacks context and specific details that would help identify the book and author. If you could provide more information or context, I'd be happy to try again."
"I feel her attention move from the empty apartment to the side of my face, and when I smile over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”","""title"": ""The Nightingale"", ""author"": ""Kristin Hannah""",['anna'],"of round the shit, the her, worry. okay?” “Holy apartment at no empty had move idea. you I over side her blue her from with I smile feel eyes Are to when Anna, attention I my face, are and","""title"": ""Unknown"", ""author"": ""Unknown""  I'm sorry, but I'm having trouble determining the title and author of the passage. The text appears to be a fragment of a conversation, but it lacks context and specific details that would help identify the book and author. If you could provide more information or context, I'd be happy to try again."
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”","""title"": ""The Great Gatsby"",""author"": ""F. Scott Fitzgerald""",['john wayne'],"news, to the the you John night “That the together? so The I’m Why take Wayne and house, fly over thrilled! down bear.” wonderful is flight at sweetheart! Oh, all before, stay is plane a we’ll to don’t Singapore","""title"": ""Unknown"", ""author"": ""Unknown""  The passage provided does not contain enough information to determine the title of the book or the author. The text appears to be a fragment of a sentence, possibly from a diary or a personal account, but it lacks the necessary context to make a definitive identification."
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants. When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","""title"": ""The Perks of Being a Wallflower"",""author"": ""Stephen Chbosky""",['anna'],"body, then and lack the my his again, to I of forget it entirely he a hand embarrassed back head because recalls digs sure, to of When says, luscious he into of his like hair, me. does he’s which top-to-bottom all pants. not sweep be comes “Anna?” full","Based on the provided passage, it is difficult to determine the exact title and author of the book. However, I can make an educated guess. The passage seems to be a fragment of a descriptive text, possibly from a novel or a short story. The language used is poetic and evocative, suggesting that the book may be a work of fiction.  Given the content and style of the passage, I would guess that it originates from a book written by a female author, possibly"
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears. West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"""title"": ""The Girl on the Train"",""author"": ""Paula Hawkins""",['anna'],into staring it. smiles tears. meme the great?” like like look… The one then must at “Anna. that is he’s about West who and You to happy expression be kid but immediately doomed makes me is pretend of bursts he,"""title"": ""Unknown"", ""author"": ""Unknown"""
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.","""title"": ""Unknown"", ""author"": ""Unknown""",['conan'],"witch short is he Conan screen. in both enthusiastically at and a our fucking clear television let and up a at look the the ceiling We cave. him what’s I on throats pass, instead. aside, pulls up Stepping","""title"": ""Unknown book title"",""author"": ""Unknown author""  I'm sorry, but I'm having trouble determining the book title and author from the provided passage. The text appears to be a fragment of a story, but it lacks context and specific details that would allow me to make a confident identification. If you could provide more information or context, I'd be happy to try again."
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.","""title"": ""Unknown"", ""author"": ""Unknown""",['anna'],"here Anna. face on the for sit of ask to loose turning He too, adjusts hair tucking to slightly up, right. me. He sofa, my behind Oh, me came I posture Focus, a his ear. help. strand","""title"": ""Unknown"", ""author"": ""Unknown"""
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","""title"": ""The Hitchhiker's Guide to the Galaxy"",""author"": ""Douglas Adams""",['jake'],"parties, kinds and sit like, down he knew laugh, Jake he all stupid but his until what at “I lines and a him make predict I ever, for suggested would movies and mention could He brother what had you.” pickup we backstory. do I even didn’t lunch of ordered didn’t marry","""title"": ""Unknown"", ""author"": ""Unknown"""
