Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['serena'],[mask],0,0.17,incorrect,john,0,0.2,incorrect,john,0,0.2,incorrect
['serena'],hester,0,0.5,incorrect,john,0,0.2,incorrect,john,0,0.2,incorrect
['vampyre'],council,0,0.0,incorrect,president,0,0.38,incorrect,president,0,0.38,incorrect
['lark'],councilman,0,0.29,incorrect,miss,0,0.0,incorrect,miss,0,0.0,incorrect
['cal'],jane,0,0.29,incorrect,hester,0,0.0,incorrect,hester,0,0.0,incorrect
['vampyres'],human,0,0.15,incorrect,father,0,0.29,incorrect,father,0,0.29,incorrect
['vampyres'],species,0,0.4,incorrect,whose,0,0.15,incorrect,whose,0,0.15,incorrect
['davenport'],governor,0,0.59,incorrect,father,0,0.4,incorrect,father,0,0.4,incorrect
['davenport'],governor,0,0.59,incorrect,governor,0,0.59,incorrect,governor,0,0.59,incorrect
['vampyres'],human,0,0.15,incorrect,human,0,0.15,incorrect,human,0,0.15,incorrect
['abel'],toby,0,0.25,incorrect,emboldened,0,0.29,incorrect,emboldened,0,0.29,incorrect
['roscoe'],wer,0,0.22,incorrect,their,0,0.18,incorrect,their,0,0.18,incorrect
['roscoe'],kael,0,0.2,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['serena'],pierce,0,0.5,incorrect,pierce,0,0.5,incorrect,pierce,0,0.5,incorrect
['vampyre'],werewolf,0,0.27,incorrect,alpha,0,0.33,incorrect,alpha,0,0.33,incorrect
['serena'],[mask],0,0.17,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect
['vampyres'],john,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['essen'],councilman,0,0.13,incorrect,councilman,0,0.13,incorrect,councilman,0,0.13,incorrect
['davenport'],governor,0,0.59,incorrect,governor,0,0.59,incorrect,governor,0,0.59,incorrect
['vampyre'],council,0,0.0,incorrect,gauging,0,0.14,incorrect,gauging,0,0.14,incorrect
['serena'],hester,0,0.5,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect
['moreland'],name,0,0.33,incorrect,john,0,0.33,incorrect,john,0,0.33,incorrect
['moreland'],name,0,0.33,incorrect,john,0,0.33,incorrect,john,0,0.33,incorrect
['vampyre'],were,0,0.36,incorrect,mother,0,0.31,incorrect,mother,0,0.31,incorrect
['moreland'],john,0,0.33,incorrect,john,0,0.33,incorrect,john,0,0.33,incorrect
