en_masked,en_masked_results,tr_masked,tr_masked_results,vi_masked,vi_masked_results,es_masked,es_masked_results,en_masked_shuffled,en_masked_shuffled_results,tr_masked_shuffled,tr_masked_shuffled_results,vi_masked_shuffled,vi_masked_shuffled_results,es_masked_shuffled,es_masked_shuffled_results
"[MASK] unslung his bindle and dropped it gently on the bank. “I ain’t sure it’s good water,” he said. “Looks kinda scummy.”","""title"": ""The Call of the Wild"", ""author"": ""Jack London""","[MASK] sırtından dengini indirip usulca yere koydu. ""Pek temize benzemiyor bu su,"" dedi. ""Köpükleri var baksana.","""title"": ""Unknown"", ""author"": ""Unknown""","[MASK] gỡ ba lô, khẽ đặt xuống đất: - Tao không chắc. Nước có vẻ dơ lắm.","""title"": ""Unknown"", ""author"": ""Unknown""",[MASK] desató su hatillo y lo posó suavemente en la orilla. —No estoy seguro de que esté buena –dijo—. Parece un poco sucia.,"""title"": ""El rey en el ajedrez"", ""author"": ""Herman Hesse""","kinda unslung said. scummy.” “I [MASK] good “Looks and bindle it’s dropped ain’t on his it water,” the sure he bank. gently","""title"": ""None specified"", ""author"": ""Unknown""","var koydu. sırtından benzemiyor temize indirip bu yere dengini usulca ""Köpükleri [MASK] baksana. dedi. ""Pek su,""","""title"": ""Unknown"", ""author"": ""Unknown""","xuống Nước Tao gỡ [MASK] chắc. - dơ đặt lô, lắm. khẽ không có ba vẻ đất:","""title"": ""Unknown"", ""author"": ""Unknown""",esté lo buena desató orilla. —No sucia. que un la suavemente posó en estoy seguro su poco hatillo –dijo—. de [MASK] y Parece,"""title"": ""Unknown"", ""author"": ""Unknown"""
"“Oh, sure, [MASK]. I remember that now.” His hands went quickly into his side coat pockets. He said gently, “[MASK] … I ain’t got mine. I musta lost it.” He looked down at the ground in despair.","""title"": ""The Road"", ""author"": ""Cormac McCarthy""","""Tabii [MASK], tabii hatırladım şimdi. Birdenbire ellerini ceketinin cebine daldırdı. Usulca mırıldandı: ""[MASK]... benim kartım yok. Kaybettim galiba. Büyük bir üzüntü içinde gözlerini yerden kaldırmıyordu.","""title"": ""365 Geceler"", ""author"": ""Ahmet Ümit""","- Ờ! Bây giờ tôi nhớ ra rồi. Nó vội thọc tay vào túi áo. Nó nói, giọng run sợ: - Thôi chết rồi, anh [MASK] ơi, tôi đánh mất rồi. Nó nhìn xuống đất thất vọng.","""title"": ""The Book of Salt"", ""author"": ""Nguyễn Nhật Ánh""","—Ah, claro, [MASK]. Ahora me acuerdo. Introdujo rápidamente las manos en los bolsillos de su chaquetón y agregó suavemente: —[MASK]... No tengo mi tarjeta. Debo de haberla perdido. Miró al suelo lleno de desesperación.","""title"": ""Cien años de soledad"", ""author"": ""Gabriel García Márquez""","mine. got said lost “[MASK] looked hands that I coat quickly musta the “Oh, His in into gently, sure, He pockets. [MASK]. I ground … down his side it.” He now.” went at remember ain’t I despair.","""title"": ""Unknown"", ""author"": ""Unknown""","benim hatırladım galiba. Büyük gözlerini Kaybettim kartım mırıldandı: Birdenbire ""[MASK]... [MASK], kaldırmıyordu. Usulca yerden ceketinin içinde daldırdı. ""Tabii tabii ellerini cebine bir yok. üzüntü şimdi.","""title"": ""Unknown"", ""author"": ""Unknown""","đánh vội túi tôi chết tôi áo. rồi. rồi, Ờ! đất thọc giờ Thôi vọng. rồi. xuống sợ: giọng Nó nói, - [MASK] anh thất ra tay nhớ Bây Nó nhìn - vào ơi, mất Nó run","""title"": ""Unknown"", ""author"": ""Unknown""","Debo lleno perdido. mi suavemente: de —[MASK]... Introdujo desesperación. en manos claro, haberla bolsillos [MASK]. su rápidamente Ahora y acuerdo. —Ah, al de agregó chaquetón tarjeta. Miró las de me No suelo los tengo","""title"": ""Unknown"", ""author"": ""Unknown"""
"“I … I,” [MASK] thought. His face grew tight with thought. “I … ain’t gonna say nothin’. Jus’ gonna stan’ there.”","""title"": ""The Stand"", ""author"": ""Stephen King""","""Ben... ben..."" [MASK], düşünüyordu. Düşünmekten yüzünün çizgileri geriliyordu. ""Ben bir şey söylemeyeceğim. Hiç ağzımı açmayacağım.","""title"": ""Sons and Lovers"", ""author"": ""D.H. Lawrence""",[MASK] ấp úng. Mặt dài ra vì có vẻ nghĩ lung : - Ta... Tôi... Tôi không được nói gì hết. Tôi sẽ đứng im đấy.,"""title"": ""Uncle Tung's Story"", ""author"": ""Nguyễn Nhật Ánh""","—Yo... yo —empezó [MASK] pensativo. Su rostro quedó tenso de tanto pensar—. Yo... no voy a decir nada. Me quedo allí quieto, sin decir nada.","""title"": ""No title provided"", ""author"": ""Unknown author""","with tight Jus’ there.” stan’ … “I thought. gonna grew face gonna nothin’. thought. say His I,” [MASK] … “I ain’t","""title"": ""Unknown"", ""author"": ""Unknown""","şey söylemeyeceğim. çizgileri Düşünmekten geriliyordu. [MASK], ""Ben... yüzünün bir ""Ben ben..."" düşünüyordu. açmayacağım. ağzımı Hiç","""title"": ""Yeni Adlar"", ""author"": ""Orhan Pamuk""",lung nghĩ Tôi... Mặt nói đứng ấp Tôi được sẽ vẻ vì đấy. Ta... : im - úng. dài Tôi [MASK] gì không ra hết. có,"""title"": ""Unknown"", ""author"": ""Unknown""","nada. [MASK] sin pensar—. de Me Su quieto, —empezó decir a tenso quedó —Yo... voy no rostro yo pensativo. quedo nada. decir tanto Yo... allí","""title"": ""Cien años de soledad"", ""author"": ""Gabriel García Márquez"""
"[MASK] droned to himself softly, “I ain’t gonna say nothin’ … I ain’t gonna say nothin’ … I ain’t gonna say nothin’.”","""title"": ""The Green Mile"", ""author"": ""Stephen King""","[MASK], kendi kendine mırıldandı. ""Bir şey söylemeyeceğim... bir şey söylemeyeceğim... bir şey söylemeyeceğim...","""title"": ""Unknown"", ""author"": ""Unknown""",[MASK] lí nhí: - Không được nói gì hết... Không được nói gì hết... Không được nói gì cả.,"""title"": ""The Book of Salt and Pepper"", ""author"": ""Nguyễn Nhật Ánh""",[MASK] canturreó suavemente: —No voy a decir nada... No voy a decir nada... No voy a decir nada.,"""title"": ""Cien años de soledad"", ""author"": ""Gabriel García Márquez""","say nothin’ … say “I I droned softly, gonna gonna ain’t nothin’ ain’t ain’t [MASK] say I himself … gonna to nothin’.”","""title"": ""Nausea"", ""author"": ""Jean-Paul Sartre""","söylemeyeceğim... söylemeyeceğim... [MASK], ""Bir bir kendi bir söylemeyeceğim... şey kendine mırıldandı. şey şey","""title"": ""Unknown"", ""author"": ""Unknown""",nói nhí: lí Không được Không [MASK] cả. gì - gì được nói nói hết... được gì hết... Không,"""title"": ""The Book of Secrets"", ""author"": ""Nguyễn Nhật Ánh""",decir nada. decir No a suavemente: a —No canturreó voy decir voy No nada... nada... [MASK] voy a,"""title"": ""Laberinto"", ""author"": ""Isabel Allende"""
"“Run us out, hell,” said [MASK] disgustedly. “We run. They was lookin’ for us, but they didn’t catch us.”","""title"": ""The Stand"", ""author"": ""Stephen King""","[MASK], tiksinti ile: ""Ne kovdular, ulan saloz,"" dedi. ""Biz yağladık tabanları. Bizi aradılar ama, bulamadılar.","""title"": ""The Book of Salt"", ""author"": ""Elif Şafak""","[MASK] đầy vẻ chán chường: - Trời! Tống cổ! Đấy là may mình trốn thoát nước. Tụi nó lùng riết lắm mà không thấy đấy thôi, con ạ","""title"": ""Truyện Kiều"", ""author"": ""Nguyễn Du""","—No nos echaron, qué diablos —dijo [MASK] con rabia—. Nosotros fuimos los que corrimos. Nos buscaban, pero no nos encontraron.","""title"": ""El laberinto del fauno"", ""author"": ""Carlos Ruiz Zafón""","for lookin’ didn’t out, us.” they [MASK] us disgustedly. but said us, was “We “Run catch run. hell,” They","""title"": ""Uncle Tom's Cabin"", ""author"": ""Harriet Beecher Stowe""","""Biz ulan tiksinti kovdular, ama, bulamadılar. dedi. [MASK], yağladık tabanları. Bizi ile: saloz,"" aradılar ""Ne","""title"": ""Unknown"", ""author"": ""Unknown""","[MASK] Tụi mình cổ! con nó - may Tống Trời! lùng ạ mà chường: thoát đấy nước. là vẻ riết Đấy thấy trốn chán lắm đầy thôi, không","""title"": ""Unknown"", ""author"": ""Unknown""","buscaban, que diablos —No echaron, —dijo encontraron. no con [MASK] rabia—. corrimos. nos qué Nosotros pero los fuimos Nos nos","""title"": ""Cien años de soledad"", ""author"": ""Gabriel García Márquez"""
"[MASK] still stared morosely at the fire. “When I think of the swell time I could have without you, I go nuts. I never get no peace.”","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald""","[MASK], hep o asık suratla ateşe bakıyordu. ""Başımda sen olmasan ne eğlenirdim. Düşündükçe aklımı oynatacağım geliyor. Bir dakika bile rahatım yok senin yüzünden.","""title"": ""Kar"", ""author"": ""Orhan Pamuk""","[MASK] vẫn càu nhàu, nhìn vào bếp lửa: - Thật là điên đầu khi tao nghĩ là tao có thể thỏa thuê như thế nào nếu không vướng mày. Tao có được một phút nào yên đâu !","""title"": ""Truyện Kiều"", ""author"": ""Nguyễn Du""","[MASK] seguía mirando empecinadamente el fuego. —Cuando pienso lo bien que lo pasaría sin ti, me vuelvo loco. No me dejas en paz nunca.","""title"": ""Crimen y castigo"", ""author"": ""Fyodor Dostoyevsky""","go stared [MASK] time you, I have I “When could no at still without I nuts. I the morosely the peace.” get of swell never fire. think","""title"": ""Unknown"", ""author"": ""Unknown""","suratla dakika yüzünden. eğlenirdim. [MASK], aklımı Bir ""Başımda o asık bile Düşündükçe geliyor. rahatım ne bakıyordu. ateşe yok oynatacağım hep sen olmasan senin","""title"": ""Unknown"", ""author"": ""Unknown""","có vẫn nghĩ có đầu tao một càu nếu đâu - như ! nào vướng thế yên vào nhàu, [MASK] Thật Tao lửa: thỏa nhìn điên nào bếp phút là thể được không khi tao mày. thuê là","""title"": ""Unknown"", ""author"": ""Unknown""","me el fuego. ti, seguía paz sin en pienso —Cuando empecinadamente vuelvo pasaría lo dejas No mirando lo que loco. bien nunca. [MASK] me","""title"": ""Unknown"", ""author"": ""Unknown"""
"[MASK] avoided the bait. He had sensed his advantage. “If you don’t want me, you only jus’ got to say so, and I’ll go off in those hills right there—right up in those hills and live by myself. An’ I won’t get no mice stole from me.”","""title"": ""The Grapes of Wrath"", ""author"": ""John Steinbeck""","[MASK], yutmadı. Ağır bastığını hissetmişti. ""Eğer beni istemiyorsan, açık açık söyle, nah şu dağlara... Şu yukarıki dağlara çıkarım, tek başıma yaşarım. Parelerimi de kimse çalmaz benden.","""title"": ""Yeni Sesler"", ""author"": ""Orhan Pamuk""","[MASK] không muốn chui vào tròng. Nó cảm thấy nó đang được lợi thế. - Anh mà chán tôi, anh cứ việc nói ra, tôi sẽ đi vào rừng, tít trên đỉnh đồi kia rồi tôi sống một mình. Và chẳng ai vứt chuột của tôi đi được nữa.","""title"": ""Sống Giàu"", ""author"": ""Nguyễn Nhật Ánh""","[MASK] eludió el cebo. Había intuido que tenía ventaja. —Si no quieres estar conmigo, no tienes más que decirlo y en seguida me marcho a las montañas, a esas de allá... Subo a las montañas y vivo solo. Y nadie me robará los ratones.","""title"": ""El rey loco"", ""author"": ""Jorge Luis Borges""","go want jus’ those I’ll hills so, I get to hills stole mice myself. you [MASK] in from don’t you there—right only advantage. off me.” live the and up no by An’ right his and “If avoided bait. He in won’t sensed those me, got had say","""title"": ""Unknown"", ""author"": ""Unknown""","""Eğer şu istemiyorsan, açık de yutmadı. yukarıki başıma Parelerimi benden. açık kimse bastığını Şu yaşarım. söyle, dağlara... çıkarım, hissetmişti. nah Ağır [MASK], dağlara çalmaz tek beni","""title"": ""Sunay"", ""author"": ""Orhan Pamuk""","được cứ tôi trên muốn nữa. mà đỉnh ra, chui tít ai thế. rồi vứt sẽ mình. chán sống không tôi cảm lợi kia nói nó Anh đi [MASK] chẳng vào rừng, được đang thấy tôi đi Nó tôi, Và chuột vào anh của đồi - việc một tròng.","""title"": ""Unknown"", ""author"": ""Unknown""","ventaja. vivo a robará —Si marcho a ratones. las no seguida cebo. conmigo, estar Subo intuido tienes Había decirlo eludió me tenía [MASK] las me no de más nadie que y a el Y los solo. esas allá... que quieres en y montañas montañas,","""title"": ""Unknown"", ""author"": ""Unknown"""
[MASK] went on. “With us it ain’t like that. We got a future. We got somebody to talk to that gives a damn about us. We don’t have to sit in no bar room blowin’ in our jack jus’ because we got no place else to go. If them other guys gets in jail they can rot for all anybody gives a damn. But not us.”,"""title"": ""The Outsiders"", ""author"": ""S. E. Hinton""","[MASK] devam etti: ""Bize gelince iş değişir. Bizim umduğumuz var. Bizim konuşacak, bize ilgi gösterecek bir kimsemiz var. Gidecek başka yeri olmadığı için, bir meyhanede oturup bütün parasını harcayanlar gibi değiliz biz. Ötekiler kodese girecek olsalar, geberip gitseler de kimsenin umurunda olmaz. Ama biz öyle değiliz.","""title"": ""İstanbul Hatıraları"", ""author"": ""Orhan Pamuk""","[MASK] tiếp: - Riêng hai đứa mình thì lại khác. Tương lai mình đã vạch sẵn rồi, chúng ta có thể tâm sự than thở với nhau và giúp đỡ lẫn nhau. Việc gì phải ra quán ngồi phung phí hết số tiền kiếm được vì không còn chỗ nào để lui tới. Bọn họ mà không may thì có thể ở tù rục xương vì chẳng ai để ý tới. Mình thì khác.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""","[MASK] prosiguió: —Con nosotros no pasa así. Tenemos un porvenir. Tenemos alguien con quien hablar, alguien que piensa en nosotros. No tenemos que sentarnos en un café malgastando el dinero sólo porque no hay otro lugar adonde ir. Si esos otros tipos caen en la cárcel, pueden pudrirse allí porque a nadie le importa. Pero nosotros, no.","""title"": ""La ciudad y los perros"", ""author"": ""Jorge Luis Borges""",to gives We jack damn got anybody “With that. else sit us.” no it that we blowin’ went a them about room not to damn. We all got ain’t they no don’t us to on. guys got talk can our a future. But If gives place jus’ for a go. to jail bar in We rot like us. somebody in in because gets have other [MASK],"""title"": ""Unknown"", ""author"": ""Unknown""","konuşacak, Ötekiler kimsemiz parasını bize umurunda olmaz. de gelince Bizim harcayanlar yeri değiliz. değiliz Bizim gitseler etti: iş biz. devam öyle kimsenin Gidecek değişir. Ama meyhanede gibi bir var. ""Bize başka oturup biz kodese bütün ilgi geberip umduğumuz [MASK] için, olmadığı olsalar, var. girecek gösterecek bir","""title"": ""İstanbul Hatıraları"", ""author"": ""Orhan Pamuk""","tiền lai ở ra phung chẳng tới. ai lui nhau rục may có phí Bọn khác. thì - sẵn để ngồi họ và vì còn thì phải nào lẫn Riêng sự thở tiếp: mình chúng khác. rồi, than ý mà thì đứa giúp tâm có với được để thể đỡ vạch nhau. vì Mình hai tới. ta [MASK] quán hết kiếm Tương không gì Việc chỗ xương số không lại tù mình thể đã","""title"": ""Unknown"", ""author"": ""Unknown""","la café no hay tipos pudrirse alguien quien nosotros, Pero porque malgastando un que —Con [MASK] nosotros. pueden caen así. Si hablar, dinero no otro adonde Tenemos No el alguien porvenir. con le no. nadie porque que tenemos un nosotros a sólo ir. pasa Tenemos allí esos importa. en otros sentarnos piensa cárcel, en lugar en prosiguió:","""title"": ""Unknown"", ""author"": ""Unknown"""
"“’Course you did. Well, look. [MASK]—if you jus’ happen to get in trouble like you always done before, I want you to come right here an’ hide in the brush.”","""title"": ""The Outsiders"", ""author"": ""S. E. Hinton""","""Tabii. Peki öyleyse, dinle, [MASK]... Geçen seferki gibi başını yine belaya sokacak olursan, hemen koşup buraya gelir, çalıların arasında saklanırsın.","""title"": ""Unknown"", ""author"": ""Unknown""","- Tốt lắm! Nghe tao hao nữa đây! [MASK]... nếu chẳng may mày có gây chuyện lôi thôi như lần trước, mày lập tức tìm chỗ này và nấp vào trong bụi rậm.","""title"": ""Unknown"", ""author"": ""Unknown""","—Claro que sí. Bueno, oye, [MASK]... Si llegas a verte en aprietos, como siempre te ocurre, quiero que vengas a este lugar y te escondas en el matorral.","""title"": ""Cien años de soledad"", ""author"": ""Gabriel García Márquez""","here Well, in [MASK]—if want right did. in you brush.” like I before, jus’ get you to an’ the you come trouble “’Course look. you always to done hide happen","""title"": ""Unknown"", ""author"": ""Unknown""","Peki arasında başını buraya gibi gelir, hemen [MASK]... dinle, ""Tabii. belaya çalıların olursan, seferki koşup Geçen saklanırsın. yine öyleyse, sokacak","""title"": ""Unknown"", ""author"": ""Unknown""","tao lắm! chỗ bụi tức thôi Tốt rậm. mày trước, nếu may [MASK]... chẳng nấp lôi nữa như vào gây lập tìm mày lần có chuyện và đây! hao này Nghe - trong","""title"": ""Unknown"", ""author"": ""Unknown""","que siempre quiero a escondas y Bueno, el matorral. este te llegas —Claro [MASK]... que como verte ocurre, Si sí. lugar en aprietos, en oye, vengas a te","""title"": ""Laberinto de aceite"", ""author"": ""Roberto Bolaño"""
[MASK] stepped over and threw his blankets down on the burlap sack of straw that was a mattress. He looked into his box shelf and then picked a small yellow can from it. “Say. What the hell’s this?”,"""title"": ""The Call of the Wild"", ""author"": ""Jack London""","[MASK] yaklaştı ve şilte vazifesini gören saman çuvalının üstüne battaniyesini attı. Raflık sandığına baktı ve içinden sarı bir teneke kutu aldı: ""Hey, bu da nesi?","""title"": ""Unknown"", ""author"": ""Unknown""","[MASK] bước lại gần và ném bó chăn lên chiếc nệm rơm. Nó nhìn cái hòm và với lấy một cái hộp sắt màu vàng. - Này cụ, gì đây hả trời?","""title"": ""Unknown"", ""author"": ""Unknown""",[MASK] se acercó a un camastro y arrojó sus mantas en el saco de arpillera lleno de paja que formaba el colchón. Miró el cajón de sus estantes y sacó de dentro una latita amarilla. —¡Eh! ¿Qué diablos es esto?,"""title"": ""El sueño de una noche de verano"", ""author"": ""Hernán Rivera Letelier""",yellow his his a on a mattress. burlap threw sack box and into stepped and over straw “Say. then hell’s blankets shelf He it. that looked this?” from can What [MASK] of picked the down small was the,"""title"": ""Unknown"", ""author"": ""Unknown""","çuvalının ve bu üstüne sarı da bir attı. aldı: ""Hey, battaniyesini Raflık içinden teneke nesi? ve yaklaştı vazifesini sandığına [MASK] gören saman baktı kutu şilte","""title"": ""Unknown"", ""author"": ""Unknown""","cái [MASK] Nó với vàng. một sắt và màu hộp lên đây trời? chăn Này ném bước lại rơm. gần hả cái - gì cụ, hòm nhìn chiếc nệm và lấy bó","""title"": ""Unknown"", ""author"": ""Unknown""",y lleno cajón de diablos en latita esto? sus mantas el de formaba sus saco que ¿Qué acercó arrojó arpillera Miró de se sacó amarilla. camastro a [MASK] y de el —¡Eh! estantes colchón. un paja una es el dentro,"""title"": ""unknown"", ""author"": ""unknown"""
