Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['mum'],RG: She’s used to it. With [MASK] there’s drama 24/7. How often did you speak to your dad when you were away at uni?,Kylie,to How when were used away speak to often [MASK] there’s 24/7. She’s at dad did uni? With drama your you you RG: it.,Mum
['mum'],RG: [MASK] calls me 5 times a day. If I miss 2 calls in a row she freaks out and thinks I’m dead.,Mom,dead. calls freaks a a I times row thinks [MASK] 2 and RG: calls in I’m she 5 out day. miss If me,RG
['eden'],RG: Why am I the last one to find out that [MASK] isn’t coming to Hawaii? I find it hard to believe that you wouldn’t want her beside you on your special day. Shall I talk to Mum? Happy to take the heat on this.,RG's sister,that to find you last am hard on isn’t wouldn’t to this. the take coming Happy beside you find Shall talk that want Hawaii? Mum? I Why I I your RG: out special the to on believe her it heat one to to day. [MASK],Mum
['gopal das'],"They approached the altar positioned at the edge of the cliff and gazed out at the dramatic view of the Kona coastline just as the sun was dipping into the ocean. [MASK] (Brimmer and May/Groton/Williams/UC Berkeley/Four Winds Shaman School), a tall, lanky Caucasian man in his midforties with shoulder-length strawberry-blond hair and a matching beard stretched out his densely freckled arms in a godlike manner. “Let us welcome this blessed sunset. I’ve never seen a painting that captures the beauty of the ocean at a moment like this.”",Brimmer,"at tall, Berkeley/Four out this.” us strawberry-blond altar the May/Groton/Williams/UC as a densely in shoulder-length They view the hair Caucasian cliff approached this and his godlike a Winds sun just of painting arms and ocean of at blessed sunset. a at dipping like beard the School), the the [MASK] manner. welcome moment lanky positioned I’ve a Shaman midforties with his (Brimmer and stretched seen never ocean. edge captures coastline a in Kona the beauty the of man gazed that freckled dramatic was out the matching “Let into the",Shaman
['gopal das'],"[MASK] tucked the tight white tee that showed off his sinewy pecs into his camo-green cargo shorts and said, “Close your eyes. Now breathe in deeply…. Let your first chakra connect with the ground, rooting in the earth, connecting with Gaia, connecting with spirit. Now, what do you feel?”",Yoda,"with and chakra what ground, first the into “Close feel?” sinewy deeply…. off Gaia, camo-green with do tucked spirit. you your in tee in with Now, pecs cargo that shorts rooting Now [MASK] the his tight eyes. the Let said, showed breathe connect connecting white connecting earth, your his",Terra
['nero'],"The route of Eden’s morning run never wavered. She would jog up the field behind the cottage where she lived with her father, skirting the grounds of Greshamsbury Hall for 1.5 miles before she made a quick descent down the hilly path leading to the village. After popping into [MASK]’s to grab her usual latte, she would take the long way around the village square before ending up back at the cottage.",Costa,"path the she the where cottage for cottage. up square Hall miles usual her to up lived jog she grab a descent around the take skirting grounds popping Eden’s [MASK]’s never latte, of run 1.5 morning field After at with would village. long father, village to hilly she quick way down Greshamsbury before made leading The wavered. would her the route of back behind before the into ending the the the She",Devereux
['thomas'],"“Not likely. You’d be quite dead if that were the case,” [MASK] said,[*5] looking down at the machine. “You know your arm needs to be level with your heart when you take a reading.”",Doc,"heart case,” be when you your needs “You take were machine. “Not said,[*5] at to level likely. looking know the that a if with be dead quite down arm reading.” You’d [MASK] your the",Doctor
['arabella'],"[MASK] bolted up from the chaise, her cashmere eye pillow falling to the floor. “Spectacular? Seeing that almost killed me! That lava you see is a volcanic fissure that opened up earlier today—right in the middle of the garden where Augusta’s wedding ceremony is supposed to be!”",Augusta,"in that killed middle to “Spectacular? falling cashmere you lava pillow see Augusta’s up supposed chaise, [MASK] is the volcanic floor. up of to bolted eye the today—right her fissure the That a me! be!” garden almost wedding is the opened where from that ceremony earlier Seeing",Augusta
['thomas'],"*3 Although “cottage” could be rather misleading for the spacious four-bedroom house with a thatched roof that was decomposing so perfectly, [MASK] was constantly finding DIY influencers taking selfies by the garden gate.",Instagram,"with by so four-bedroom be DIY was constantly finding garden thatched taking [MASK] could rather Although decomposing house that was perfectly, the influencers for a gate. selfies misleading *3 spacious roof “cottage” the",Instagram
['arabella'],"*4 Though [MASK] was raised speaking the Queen’s English in what was then the British Crown Colony of Hong Kong and spoke with the poshest of accents, whenever she came into contact with other Asians—particularly family members and service people—her accent would take on the inflections and sentence structuring that were peculiar to upper-crust Hong Kongers. Linguistic experts call this phenomenon code-switching, while others might call it snobby tai tai syndrome.",She,"tai what inflections speaking people—her and British the phenomenon *4 would call call the Hong of Linguistic Asians—particularly this contact while accents, that then tai with she spoke Though Kongers. it whenever take snobby structuring might experts Colony was the English Queen’s service syndrome. family to [MASK] peculiar came of accent upper-crust poshest into Hong were in code-switching, others was other and the members Kong with raised and sentence on Crown",Victoria
