Single_ent,en_masked,en_masked_results,es_masked,es_masked_results,tr_masked,tr_masked_results,vi_masked,vi_masked_results,en_masked_shuffled,en_masked_shuffled_results,es_masked_shuffled,es_masked_shuffled_results,tr_masked_shuffled,tr_masked_shuffled_results,vi_masked_shuffled,vi_masked_shuffled_results
"['john dashwood', 'mr john dashwood', 'john daswood']","Mr. [MASK] had not the strong feelings of the rest of the family; but he was affected by a recommendation of such a nature at such a time, and he promised to do every thing in his power to make them comfortable. His father was rendered easy by such an assurance, and Mr. [MASK] had then leisure to consider how much there might prudently be in his power to do for them.",Mr. Smith,"El señor [MASK] no tenía la profundidad de sentimientos del resto de la familia, pero sí le afectó una recomendación de tal índole en un momento como ése, y prometió hacer todo lo que le fuera posible por el bienestar de sus parientes. El padre se sintió tranquilo ante tal promesa, y el señor [MASK] se entregó entonces sin pr isa a considerar cuánto podría prudentemente hacer por ellas.",Padre,[MASK]'da ailenin diğer üyelerindeki güçlü duygular yoktu; ama öyle bir zamanda öyle bir vasiyet konuşmasından etkilendi ve onları rahat ettirmek için elinden geleni yapmaya söz verdi. Bu teminat babasının içine su serpti; sonra [MASK] sağduyu çerçevesinde onlar için elinden ne gelebileceğini düşünecek zaman buldu.,Teminat,"Anh [MASK] không có mói dây tình cảm thân thiết với những người còn lại trong gia tộc; nhưng anh chịu tác động của lời đề nghị theo cách thức như thế trong tình cảnh như thế, và anh hứa sẽ làm mọi cách trong khả năng của anh để họ sống thoải mái. Ông bố cảm thấy nhẹ nhõm với lời hứa này, và anh [MASK] có thời giờ nhàn nhã để tính toán xem anh có thể hành xử khả năng của anh một cách cẩn trọng như thế nào để lo cho họ.",Anh,"Mr. [MASK] them a in a an at every such prudently them. to do nature and family; make the consider was how do easy rest to of had feelings by of in strong the such not time, His he his rendered then promised for power such [MASK] the his there much be had father and Mr. of power to leisure he assurance, by affected a recommendation but thing was might to comfortable.",Mr. Percy,"familia, se [MASK] bienestar a resto profundidad y sin sus entonces hacer lo sí cuánto considerar y un [MASK] prudentemente como entregó parientes. todo pr padre de ése, posible recomendación ellas. por tranquilo señor le por del isa el no una fuera podría ante índole se El promesa, en la El prometió le de el tal afectó hacer de momento que señor sentimientos sintió pero la tenía tal de",Isa,elinden ama babasının yoktu; teminat su öyle sonra vasiyet konuşmasından zamanda [MASK]'da ettirmek içine onlar yapmaya Bu etkilendi ne için bir gelebileceğini geleni serpti; sağduyu buldu. duygular onları ve güçlü bir için öyle rahat söz elinden zaman düşünecek ailenin [MASK] diğer üyelerindeki verdi. çerçevesinde,Aila,"làm hành của thời cách thể tình không thức anh thoải của và năng họ. Anh này, những bố dây cẩn Ông xử nào mái. theo đề anh như sẽ khả toán lời thấy cách có cho xem họ động anh có năng nhẹ tính còn nhưng tộc; anh hứa mọi tình với thân thế hứa chịu nhã thế, giờ cảm tác khả anh người trọng để một để lời lại cảnh có thiết [MASK] sống của cách thế với [MASK] trong như cảm để anh và nghị gia mói lo như trong nhàn trong nhõm",Ông xử
"['john dashwood', 'john daswood', 'mrs john dashwood']","He was not an ill–disposed young man, unless to be rather cold hearted and rather selfish is to be ill–disposed: but he was, in general, well respected; for he conducted himself with propriety in the discharge of his ordinary duties. Had he married a more amiable woman, he might have been made still more respectable than he was:—he might even have been made amiable himself; for he was very young when he married, and very fond of his wife. But Mrs. [MASK] was a strong caricature of himself;—more narrow–minded and selfish.",Mrs.,"No era [MASK] un joven mal dispuesto, a menos que ser algo frío de corazón y un poco egoísta sea tener mala disposición; pero en general era respetado, porque se comportaba con corrección en el desempeño de sus deberes corrientes. De haber desposado una mujer más amable, podría haber llegado a ser más respetable de lo que era —incluso él mismo podría haberse transformado en alguien amable—, porque era muy joven cuando se casó y le tenía mucho cariño a su esposa. Pero la señora de [MASK] era una áspera caricatura de su esposo, más estrecha de mente y más egoísta que él.",Sanchez,"Kalpsiz bir delikanlı değildi, eğer biraz duygusuz, hatta bencil olmak kalpsizlik değilse: ama genel olarak itibar edilen biriydi, çünkü gündelik işlerini görürken usul, adap gözeterek hareket ederdi. Daha sevimli bir kadınla evlenmiş olsaydı daha da muteber bir hale gelebilirdi: -evlendiği zaman çok gençti ve karısına çok düşkündü. Ama [MASK] kocasının güçlü bir karikatürüydü; -daha dar kafalı ve bencil.",Kocas,"Anh không phải là người trai trẻ nhẫn tâm, chỉ vì thói lãnh đạm và khá ích kỉ khiến anh trở nên nhẫn tâm, nhưng nói chung anh được vị nể vì anh tự ý thức trong việc hành xử đúng đắn những nghĩa vụ thông thường của anh. Nếu anh cưới một cô vợ nhân ái hơn, anh đã có thể được quý trọng hơn, bản thân anh đã có thể trở nên dễ thương;tất cả chỉ vì anh lập gia đình ở tuổi còn trẻ và yêu quý cô vợ của anh hết mực. Nhưng cô [MASK] lại thể hiện mình là bức tranh biếm họa của anh: hẹp hòi và ích kỷ hơn.",Cô,"have rather respected; and young was:—he himself than to more young his selfish. in propriety been be very wife. was married even was, ill–disposed with and hearted in he well been but amiable he rather Had an for when very selfish fond ordinary is narrow–minded was himself; might He Mrs. of ill–disposed: and was strong caricature unless respectable the he be man, he have married, more of a his [MASK] general, duties. himself;—more discharge of cold woman, not conducted he for made might amiable a made he But to he still",Mrs.,"le egoísta poco podría en estrecha corrección —incluso se de esposo, a tenía joven dispuesto, mente De disposición; [MASK] joven su era ser sea respetable corrientes. más que frío podría se Pero haberse muy corazón a y algo comportaba era mujer áspera de más el mala mal llegado de él con una un era en general mucho de alguien tener era haber él. que de mismo y sus deberes haber respetado, pero caricatura No de lo más señora en más cariño y menos [MASK] porque esposa. era desposado una su amable—, que egoísta casó cuando un desempeño porque ser la amable, transformado a",Egoísta,"değildi, olmak olarak kadınla gündelik eğer hale işlerini edilen genel gençti Ama bir kalpsizlik olsaydı Kalpsiz Daha gelebilirdi: ama biraz [MASK] evlenmiş çünkü kafalı dar karikatürüydü; muteber kocasının biriydi, zaman çok çok da usul, değilse: bencil hatta adap bir bir daha -evlendiği ederdi. görürken güçlü bencil. karısına ve gözeterek delikanlı bir hareket -daha sevimli düşkündü. itibar ve duygusuz,",Evlendi,"[MASK] việc chỉ nhẫn yêu hòi anh được đắn thể tuổi còn gia vụ quý ái họa nhẫn vì nên hiện đã nể bản một vì cô dễ nghĩa của anh thể Nếu hẹp mình vợ lập bức anh ý lãnh mực. tranh hết vì và phải tâm, thương;tất hơn. khá kỷ Anh những thể biếm thông là hơn, của người nói thói anh chỉ và là trọng không được của cô anh ích và tự lại vị hơn, thường nhưng đúng cô anh anh: vợ có xử trở cưới tâm, nhân ở thân cả ích trẻ có quý kỉ anh. nên đình hành khiến Nhưng trở chung trong anh trẻ trai thức đã anh đạm",Anh
"['henry', 'harry']","""Why, to be sure,"" said her husband, very gravely, ""that would make great difference. The time may come when [MASK] will regret that so large a sum was parted with. If he should have a numerous family, for instance, it would be a very convenient addition.""",He&lt;/,"—Pero, por supuesto —dijo su esposo con gran seriedad—, eso cambiaría todo. Puede llegar un momento en que [MASK] lamente haberse separado de una suma tan grande. Si, por ejemplo, llegara a tener una familia numerosa, sería un muy conveniente suplemento a sus rentas.",Husband,"""Tabii,"" dedi kocası, ciddi bir sesle, ""o zaman durum değişirdi. Gün gelir, [MASK] öyle büyük bir paradan olduğu için üzülebilir. Büyük bir ailesi olursa, mesela, bu para çok işine yarar.",kocası,"Ông chồng trang trọng: - Chắc hẳn rồi, đây sẽ là một khác biệt lớn. Sẽ đến lúc [MASK] lấy làm tiếc phải mất đi số tiền lớn như thế. Giả dụ, nếu nó có một gia đình đông đúc, có thêm món tiền này cùng là đáng kể.",The wealthy couple,"regret make very sum be family, difference. sure,"" it a If [MASK] would would very when that will gravely, be addition."" a parted a The to was ""Why, numerous have great ""that instance, for husband, so should he said her come with. may large convenient time",If,"suplemento llegar Puede de lamente llegara grande. familia su todo. por momento numerosa, que esposo seriedad—, un muy [MASK] tan cambiaría con tener en —Pero, conveniente a rentas. ejemplo, sería gran un separado sus una Si, haberse eso supuesto por suma —dijo a una",Un,"bir büyük işine para için çok paradan zaman bir bir [MASK] durum olduğu olursa, mesela, üzülebilir. dedi ailesi sesle, kocası, Büyük ciddi ""Tabii,"" Gün gelir, öyle bu değişirdi. yarar. ""o",Büyük,"đáng đông đến lớn Giả làm nó trang dụ, chồng mất trọng: Chắc khác như phải tiền món kể. đi một Sẽ một thêm thế. [MASK] có - gia rồi, có Ông cùng hẳn số tiền lúc nếu đúc, đây là tiếc lấy biệt này sẽ là lớn. đình",Giả
"['dashwood', 'señora dashwood', 'daswood', 'mrs dashwood norland']","Mrs. [MASK] remained at Norland several months; not from any disinclination to move when the sight of every well known spot ceased to raise the violent emotion which it produced for a while; for when her spirits began to revive, and her mind became capable of some other exertion than that of heightening its affliction by melancholy remembrances, she was impatient to be gone, and indefatigable in her inquiries for a suitable dwelling in the neighbourhood of Norland; for to remove far from that beloved spot was impossible. But she could hear of no situation that at once answered her notions of comfort and ease, and suited the prudence of her eldest daughter, whose steadier judgment rejected several houses as too large for their income, which her mother would have approved.",Mrs. Mills,"La [MASK] permaneció en Norland durante varios meses, y ello no porque no deseara salir de allí una vez que los lugares que tan bien conocía dejaron de despertarle la violenta emoción que durante un tiempo le habían producido; pues cuando su ánimo comenzó a revivir y su mente pudo dedicarse a algo más que agudizar su dolor mediante recuerdos tristes, se llenó de impaciencia por partir e infatigablemente se dedicó a averiguar por alguna residencia adecuada en las vecindades de Norlarid, ya que le era imposible irse lejos de ese tan amado lugar. Pero no le llegaba noticia alguna de lugares que a la vez satisficieran sus nociones de comodidad y bienestar y se adecuaran a la prudencia de su hija mayor, que con más sensato juicio rechazó varias casas que su madre habría aprobado, considerándolas demasiado grandes para sus ingresos.",Name,"[MASK]'da birkaç ay kaldı, aklına yer etmiş her görüntü bir süre sonra aynı şiddetli duyguları uyandırmaz oldu da taşınma isteği duymamaya başladı değil; aksine, neşesi yerine gelmeye başlayınca, aklı kederli hatıralarla üzüntüsünü artırmaktan başka şeylerle ilgilenebilir hale gelince oradan gitmek için sabırsızlandı ve o sevgili diyardan uzaklaşmak imkansız olduğundan, Norland civarında uygun bir yer bulmak için amansız bir arayışa girişti. Gelgeldim, hem konfor ve kullanışlılık isteklerine cevap veren hem de onun beğendiği birkaç evi gelirlerine göre fazla büyük diye ısrarla reddeden büyük kızının sağduyusuna uygun bir yer bulamadı.",ısrarla,"Bà [MASK] lưu lại Norland trong vài tháng. Không phải do bà không muốn đi khi mà mọi khung cảnh quen thuộc đã không làm bà xúc động mãnh liệt như ban đầu; vì khi tâm tư bà được khuây khỏa trở lại và đầu óc bà có những vướng bận khác thay vì những hồi tưởng nhớ nhung, bà nóng lòng muốn đi, hỏi han không mệt mỏi về một nơi chốn ổn định phù hợp trong vùng Norland; vì không thể dời đi xa hẳn khỏi nơi chốn thân yêu này. Nhưng bà không tìm ra nơi nào có thể đáp ứng được yêu cầu tiện nghi và thoải mái của bà, và thích hợp với đức cẩn trọng của cô con gái lớn, vì óc phán đoán của cô luôn kiên định bác bỏ vài căn nahf quá rộng so với lợi tức của họ, nếu không bà mẹ đã chấp nhận. B",Name,"her mind large have [MASK] But when rejected her whose to in to hear several Norland; for that its approved. months; of judgment ceased their disinclination and in from to affliction notions the prudence not produced her than for indefatigable several spot any that of the that was capable answered and impossible. as once revive, move known she her while; when at and Norland by the it houses suitable heightening of could eldest was to too raise far of for and a be emotion other comfort remove spot every of for her from some spirits the mother beloved violent inquiries for which daughter, at ease, no her remained situation gone, to of income, which a dwelling well Mrs. suited melancholy she of became neighbourhood sight would impatient remembrances, steadier began exertion",Norland,"llenó imposible la un salir comenzó por pues ese nociones pudo lugar. alguna partir que su producido; con y y porque lugares Norlarid, e vecindades Norland tan se despertarle a grandes aprobado, que su ánimo deseara vez Pero durante y [MASK] rechazó algo dolor cuando sus casas residencia que satisficieran tiempo era por de violenta impaciencia no mente de agudizar y lejos La allí adecuaran habría de que que demasiado habían la permaneció le a se que varias más su su bien considerándolas madre los de no juicio comodidad recuerdos varios mayor, de vez que emoción averiguar de en se dedicarse la en para sensato adecuada las meses, de ello a ingresos. noticia su a ya durante le revivir dejaron una irse amado bienestar a llegaba hija sus tan no tristes, mediante le que infatigablemente de lugares prudencia alguna conocía dedicó más",Name,"de ay onun başka etmiş göre kaldı, hale görüntü birkaç şiddetli bir yer üzüntüsünü bir şeylerle başladı konfor duymamaya büyük uygun sağduyusuna bir gelmeye oradan büyük gelirlerine birkaç isteklerine cevap uyandırmaz gitmek ısrarla aklı bulmak arayışa beğendiği da olduğundan, sonra reddeden aynı sevgili kullanışlılık hatıralarla hem yer ve gelince sabırsızlandı Gelgeldim, girişti. ilgilenebilir veren isteği neşesi bulamadı. civarında ve fazla uzaklaşmak kızının hem oldu bir evi diye aksine, yer duyguları imkansız uygun için kederli için başlayınca, o [MASK]'da her aklına diyardan Norland amansız taşınma artırmaktan süre yerine değil;",Norland,"tiện bà đi, và bác đi gái Nhưng đáp không với không quá họ, thoải vùng nơi bà cô có xúc so vì mỏi bà thuộc phán cẩn nếu như do mãnh được mệt phù hợp trở chốn khi mẹ chốn Norland; vì tìm trọng vướng cầu [MASK] tư xa tức lại trong của có hỏi lớn, những đoán khỏi này. nhớ ổn lòng ban được bà trong nóng của với khung những phải không nơi đã bà thân bỏ quen cô thích vài yêu định ra bận nhận. nơi rộng lưu dời bà, nào động bà Không và tháng. nhung, nghi yêu mọi của hồi đầu; óc mái khuây không muốn luôn óc hợp chấp kiên thể hẳn đức không khi bà làm và khác Bà thể liệt Norland nahf tưởng đi ứng lợi han của không về đã đầu khỏa B lại căn một muốn mà con thay định vì vì vài tâm cảnh",Norland
"['elinor—', 'elinor']","""No taste for drawing!"" replied [MASK], ""why should you think so? He does not draw himself, indeed, but he has great pleasure in seeing the performances of other people, and I assure you he is by no means deficient in natural taste, though he has not had opportunities of improving it. Had he ever been in the way of learning, I think he would have drawn very well. He distrusts his own judgment in such matters so much, that he is always unwilling to give his opinion on any picture; but he has an innate propriety and simplicity of taste, which in general direct him perfectly right.""",Charles,"—Que carezca de gusto para el dibujo... ¿y qué te hace pensar eso? —replicó [MASK]. El no dibuja, es cierto, pero disfruta enormemente viendo dibujar a otras personas y, puedo asegurártelo, de ninguna manera está falto de un buen gusto natural, aunque no se le ha ofrecido oportunidad de mejorarlo. Si alguna vez hubiera tenido la posibilidad de aprender, creo que habría dibujado muy bien. Desconfía tanto de su propio juicio en estas materias que siempre es reacio a dar su opinión sobre cualquier cuadro; pero tiene una innata finura y simplicidad de gusto que, en general, lo guía de manera perfectamente adecuada.",Sobanko,"""Resim zevki yok mu,"" diye cevapladı [MASK]; ""niye öyle düşünüyorsun? Kendisi resim yapmıyor elbette, ama başkalarının yaptıklarını görmekten büyük keyif alıyor; emin ol, doğal zevki hiç de kusurlu değil, sadece zevkini geliştirme fırsatı bulamamış. Eğitim alsaydı gayet güzel resim yapardı. Bu tür meselelerde kendi görüşlerine pek güveni yok, o yüzden resimler hakkında görüşünü söylemek istemiyor; ama doğuştan gelme bir kalite duygusu ve yalın bir zevki var ve onu genelde gayet doğru yönlendiriyor.",Cevapladı,"[MASK] đáp: - Không có khiếu thẩm mỹ! Do đâu mà em nghĩ như thế? Đúng thật là anh không vẽ tranh, nhưng anh rất thích xem tranh của những người khác, và chị có thể nói chắc với em rằng khiếu thẩm mỹ của anh ấy không hề kém, tuy anh không có cơ hội trau dồi. Nếu anh ấy muốn học tập, chị nghĩ anh cũng vẽ tranh được. Anh không tin vào khả năng đánh giá của chính mình, đến nỗi không bao giờ anh muốn đưa ý kiến về bức họa nào, nhưng anh bẩm sinh có khuôn phép và tính giản đơn trong khiếu thẩm mỹ.",Bám sinh,"but is seeing in for the means ""No been had has taste, no the matters him by performances of his way and simplicity he drawn and ""why natural think improving but opportunities would great not He much, people, in draw taste, he general though it. distrusts Had right."" other have an he replied does you that always you [MASK], give assure he on in well. has he opinion propriety own his I drawing!"" I any of is he He ever himself, has so? which taste in learning, direct innate perfectly think should judgment very not so deficient unwilling indeed, to pleasure of such in picture; he of",Sorbonne,"sobre ¿y pero natural, te eso? de una cualquier el adecuada. es y dibujo... perfectamente de de dibuja, a dibujado cierto, tiene y, gusto alguna hace Si posibilidad para no hubiera guía lo materias carezca cuadro; pensar su aprender, vez la ofrecido de gusto simplicidad de innata buen estas enormemente qué otras propio El a finura dar que de se habría ha disfruta mejorarlo. manera puedo de su en muy tenido viendo de en [MASK]. Desconfía está que —replicó manera general, no oportunidad tanto juicio es le que, pero —Que ninguna un bien. asegurártelo, siempre creo falto opinión dibujar reacio gusto aunque personas",Manera,"zevki sadece yalın ve yüzden ve gayet resim emin duygusu görüşünü ama kendi hiç güveni pek yapardı. güzel o kalite başkalarının yok kusurlu doğru zevkini keyif söylemek doğuştan genelde büyük yapmıyor Eğitim alıyor; cevapladı gayet görüşlerine ""Resim istemiyor; meselelerde ""niye resim değil, geliştirme zevki yaptıklarını hakkında yönlendiriyor. Kendisi [MASK]; fırsatı ama tür Bu öyle diye gelme ol, mu,"" bir elbette, bulamamış. bir alsaydı yok, zevki resimler görmekten onu de düşünüyorsun? doğal var",Fırsatı,"nghĩ anh muốn anh về em tập, nào, bẩm đưa những khả mỹ rất và mỹ. đánh và kiến anh vào thích tuy khiếu Đúng Nếu có chị cơ thế? hề kém, ý đâu anh anh thật trong mỹ! thể tranh, thẩm chắc tranh nhưng khiếu nghĩ nỗi thẩm khuôn ấy chính tính Không em của vẽ thẩm giản không Do học rằng tin sinh tranh Anh xem nhưng anh giờ phép [MASK] đơn hội là mình, cũng mà có có khiếu - không được. của anh vẽ người muốn họa trau đáp: có của ấy không như nói không giá bao năng không anh đến dồi. chị với bức khác,",Anh
['elinor'],"""I am sure,"" replied [MASK], with a smile, ""that his dearest friends could not be dissatisfied with such commendation as that. I do not perceive how you could express yourself more warmly.""",He,"—Estoy segura —respondió [MASK], con una sonr isa — de que sus amigos más queridos no quedarían disconformes con un elogio como ése. No me imagino cómo podrías expresarte con mayor calidez.",Sara,"""Herhalde,"" diye cevap verdi [MASK] gülümseyerek, ""yakın dostları böyle bir yorumdan şikayet etmezlerdi. Düşüncelerini daha içten bir şekilde ifade edemezdin.",Ilker,[MASK] mỉm cười: - Chị tin chắc rằng những người bạn thân thiết nhất của anh ấy không thể phật ý vì lời khen ngợi như thế. Chị không thể nghĩ ra làm thế nào em có thể nhận xét nồng hậu hơn.,Lê,"sure,"" am ""I with perceive yourself you a dearest I commendation warmly."" more that. smile, such replied could not could not as with ""that his friends dissatisfied do be [MASK], how express",Dissatisfied,"con disconformes — ése. sus segura un calidez. imagino con podrías sonr isa me mayor —respondió quedarían queridos elogio amigos de como cómo que no No con una expresarte [MASK], más —Estoy",Expresse,"şikayet yorumdan bir içten Düşüncelerini gülümseyerek, [MASK] edemezdin. dostları cevap böyle şekilde ""yakın etmezlerdi. ifade daha verdi diye ""Herhalde,"" bir",Herhalde,hơn. tin anh có người ý lời vì cười: ngợi làm thể chắc thiết bạn xét phật hậu nồng của thân rằng thể em mỉm ra nhận như không Chị thế những nhất nào thể không Chị - thế. ấy khen nghĩ [MASK],Anh
['edward'],"""And you really are not engaged to him!"" said she. ""Yet it certainly soon will happen. But two advantages will proceed from this delay. I shall not lose you so soon, and [MASK] will have greater opportunity of improving that natural taste for your favourite pursuit which must be so indispensably necessary to your future felicity. Oh! if he should be so far stimulated by your genius as to learn to draw himself, how delightful it would be!""",Del,"—¡Y en verdad no estás comprometida con él! —dijo—. Aunque de todas maneras va a ocurrir luego. Pero esta tardanza tiene dos ventajas. Yo no te perderé tan pronto y [MASK] tendrá más oportunidades de mejorar ese gusto natural por tu ocupación favorita, tan indispensable para tu felicidad futura. ¡Ah! Si tu genio lo llevara a aprender a dibujar también, ¡qué delicioso sería!",Kafka,"""Sen cidden sözlenmemişsin!"" dedi. ""Olsun, nasılsa yakında olur. Üstelik bu gecikmenin iki faydası var. Ben seni o kadar çabuk kaybetmeyeceğim, [MASK] da senin gelecekteki mutluluğun için fevkalade önemli olan özel uğraşın konusunda doğal zevkini geliştirme fırsatı bulacak. Ah, senin dehandan etkilense de kendisi de resim yapmayı öğrense ne kadar tatlı olur!",Dedi,"- Chị không hẹn ước với anh ấy! Tuy thế, việc này sẽ sớm xảy ra. Nhưng sẽ có hai điều lợi do sự chậm trễ này. Em sẽ không phải xa chị sớm quá, còn [MASK] sẽ có nhiều cơ hội hơn để nâng cao trình độ thưởng thức của anh cho hợp với ý mong mỏi của chị, rất cần thiết cho hạnh phúc của chị sau này. Ôi, thật là đẹp lòng biết bao nếu anh được thiên tài của chị khuyến khích mà cố học vẽ!",Em,"by lose ""Yet I would opportunity of felicity. favourite draw really necessary you learn ""And you your shall she. [MASK] to improving certainly delightful taste that should so he will be!"" pursuit be not engaged your proceed will how Oh! from indispensably your to natural not greater himself, future and soon genius him!"" must for to happen. will stimulated But be which it are delay. soon, to far if have as so it said advantages so two this",Adelbert,"para felicidad a —dijo—. Si él! favorita, pronto dibujar y oportunidades —¡Y delicioso ocurrir aprender Aunque con de natural ocupación llevara tan tu todas tardanza tiene luego. tu ventajas. no ¡Ah! ¡qué a Yo de por futura. en tendrá [MASK] gusto Pero estás tan verdad va más mejorar también, a lo sería! no te tu indispensable maneras perderé genio ese esta comprometida dos",Gala,"Ah, var. özel cidden gecikmenin dedi. nasılsa için iki sözlenmemişsin!"" fevkalade gelecekteki bulacak. olur! doğal dehandan etkilense uğraşın fırsatı kendisi olur. kaybetmeyeceğim, resim Ben yakında çabuk de yapmayı Üstelik da de konusunda [MASK] ""Sen mutluluğun o faydası bu ne senin tatlı önemli seni geliştirme zevkini öğrense olan kadar senin ""Olsun, kadar",Fevkade,"Nhưng việc không - sớm anh mỏi khuyến của ý lợi với xảy thế, cho cần trễ hẹn thiết thức quá, sẽ để khích [MASK] rất chị có thật chậm độ tài sẽ trình thiên sau phải sẽ hạnh với phúc nếu ấy! Em ra. xa có đẹp điều vẽ! mà không cho nhiều của này bao nâng ước mong Ôi, hội hai chị được là chị, do Tuy của anh cố Chị sẽ biết chị này. sớm anh học thưởng hơn cơ này. sự lòng của cao hợp còn",Chị
"['brandon', 'albay brandon']","""Mama, you are not doing me justice. I know very well that Colonel [MASK] is not old enough to make his friends yet apprehensive of losing him in the course of nature. He may live twenty years longer. But thirty–five has nothing to do with matrimony.""",Colonol,"—Mamá, no está siendo justa conmigo. Sé perfectamente que el coronel [MASK] no es tan viejo como para que sus amigos teman perderlo por causas propias del curso de la naturaleza. Puede vivir veinte años más. Pero treinta y cinco años no tienen nada que ver con el matrimonio.",Coronel,"""Anneciğim, beni anlamıyorsun. [MASK]'ın dostlarına onu bugün yarın kaybedeceklerini düşündürtecek kadar yaşlı olmadığını biliyorum. Yirmi yıl daha yaşayabilir. Ama otuz beş yaşın da artık evlilikle işi olmaz yani.",Anneciğim,"- Mẹ ạ, mẹ không công tâm với con. Con biết rõ rằng Đại tá [MASK] chưa già đến nỗi phải khiến bạn hữu ông lo sợ sẽ bị mất ông do quá trình lão hóa tự nhiên. Ông ấy có thể còn sống thêm 20 năm nữa. Nhưng tuổi 35 không can dự gì đến hôn nhân.",David,"with his very doing enough me matrimony."" you the him yet to to old But that apprehensive losing not has do well twenty is of of longer. nature. live years Colonel course not [MASK] I nothing friends ""Mama, are justice. may He in know make thirty–five",Nature,"años el naturaleza. tan Pero propias por amigos curso perfectamente no no del que más. Sé con no el matrimonio. años conmigo. tienen justa nada treinta que ver es vivir veinte Puede la siendo cinco [MASK] como viejo teman está —Mamá, para de que perderlo sus coronel y causas",Cinco,"yaşlı beş daha beni onu yani. Ama da yaşayabilir. düşündürtecek Yirmi olmaz biliyorum. artık işi bugün evlilikle yarın yıl anlamıyorsun. yaşın dostlarına ""Anneciğim, olmadığını kaybedeceklerini [MASK]'ın otuz kadar",80,"Ông còn ấy ông lão can bạn Nhưng Con đến bị mất già sẽ sợ có tâm hữu 35 lo gì Đại quá biết - tuổi không công ông nữa. rằng với nhân. ạ, rõ khiến mẹ dự tá con. không chưa tự [MASK] đến sống hôn trình nỗi thể do 20 nhiên. thêm năm hóa phải Mẹ",Dự
"['marianne', 'marianne—']","""But he talked of flannel waistcoats,"" said [MASK]; ""and with me a flannel waistcoat is invariably connected with aches, cramps, rheumatisms, and every species of ailment that can afflict the old and the feeble.""",George,"—Pero él mencionó camisetas de franela —dijo [MASK]; y para mí, una camiseta de franela está invariablemente unida a dolores, calambres, reumatismo, y todos los males que pueden afligir a los ancianos y débiles.",Franela,"""Ama iç fanilası giymekten bahsetti,"" dedi [MASK], ""bana göre iç fanilası ağrıları, krampları, romatizmaları ve yaşlılara, güçsüzlere tebelleş olan öteki hastalıkları akla getiriyor.",David,"[MASK] nói: - Nhưng ông ấy nói về mấy áo choàng bằng vải fla-nen, và đối với em một áo choàng bằng vải fla-nen luôn liên quan đến những chứng nhức mỏi, chuột rút, phong thấp, cùng mọi chứng bệnh có thể xảy ra cho người già yếu.",Alvin,"with ailment me feeble."" a of rheumatisms, [MASK]; with flannel ""and every invariably of and ""But aches, can connected waistcoats,"" waistcoat he is old the afflict species flannel the said that cramps, talked and",Rheumatism,"dolores, y a unida él mencionó los camisetas de [MASK]; —Pero todos a franela está para ancianos camiseta mí, invariablemente débiles. calambres, —dijo y que afligir y los franela males pueden de una reumatismo,",Camiseta,"dedi olan ""Ama fanilası ve romatizmaları fanilası bahsetti,"" getiriyor. iç yaşlılara, ağrıları, akla iç ""bana göre [MASK], öteki hastalıkları krampları, giymekten güçsüzlere tebelleş",Pain,"liên cùng mấy già về nói ra mọi vải phong bằng với bằng ấy fla-nen xảy người và rút, có nói: - mỏi, luôn ông thể chứng choàng cho một đối vải choàng áo [MASK] áo thấp, yếu. em những nhức quan chuột đến fla-nen, chứng Nhưng bệnh",Flanen
['marianne'],"""Had he been only in a violent fever, you would not have despised him half so much. Confess, [MASK], is not there something interesting to you in the flushed cheek, hollow eye, and quick pulse of a fever?""",Fever,"—Si tan sólo hubiera estado sufriendo de una fiebre violenta, no lo habrías menospreciado tanto. Confiesa, [MASK], ¿no sientes que hay algo interesante en las mejillas encendidas, ojos hundidos y pulso acelerado de la fiebre?",Fevehl,"""Sadece şiddetli ateşi olsaydı onu bunun yarısı kadar bile küçümsemezdin. itiraf et [MASK], yüksek ateşli birinin kızarmış yanaklarında, baygın gözlerinde ve hızlı nabız atışlarında seni cezbeden bir şey yok mu?",Itiraf,"- Nếu ông ấy chỉ bị một cơn sốt cao, hẳn em sẽ không khinh khi ông ấy đến phân nửa như thế. [MASK], em nên nhìn nhận rằng có một cái gì đấy đáng cho em quan tâm trong má ửng hồng, mắt lõm và nhịp mạch nhanh của cơn sốt, không phải hay sao?",Alice,"much. have [MASK], of fever, to only interesting violent been the ""Had you not and eye, is in Confess, pulse he you fever?"" flushed not something a him there quick hollow despised would so a cheek, in half",Have,"¿no violenta, estado una pulso Confiesa, las sientes fiebre? hubiera mejillas sólo hay no hundidos interesante [MASK], en que encendidas, fiebre lo de y algo —Si acelerado habrías sufriendo la ojos menospreciado de tanto. tan",Bueno,"mu? gözlerinde seni nabız birinin itiraf atışlarında ateşli ""Sadece yanaklarında, [MASK], küçümsemezdin. bir et kadar ve hızlı ateşi yok şiddetli baygın olsaydı onu cezbeden bile bunun kızarmış yüksek şey yarısı",yanaklar,"ông đáng ấy cho hẳn có nửa hay ông em cơn khinh [MASK], má mạch như thế. và một gì trong Nếu - cái hồng, nhận khi bị không một nhìn phân ửng em của nên nhịp nhanh ấy tâm rằng đấy đến sốt, quan lõm em cơn chỉ sẽ không cao, sao? mắt phải sốt",ông
