Single_ent,en_masked,en_masked_shuffled,en_masked_results,en_masked_shuffled_results
['jake'],"“I think I’m all set here,” he says, and lol of course he isn’t going to kiss me. “But if I forgot anything, you can have [MASK] come pick it up.”","he [MASK] “But forgot going all up.” kiss me. think and to it anything, lol he pick I’m “I can here,” have if says, course come of you isn’t I set","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","The provided passage is very fragmented and lacks coherent context. However, based on the structure and style, it seems experimental and might belong to a modern, avant-garde, or unconventional work.

<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
['jake'],"[MASK]: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away. [MASK] introduced me to West; now [MASK] will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","college West [MASK] waiting less who only to knows everything introduced be but will my good-looking) to I [MASK]: little life my and that has UCLA the away. sad, brother me only friend remaining younger have zombies West; and T-virus at met to type hour who for couch father, me now an remember a never of The connection makes inside. sole lives but slightly me [MASK] (and West. my I thought then about","<output>""title"": ""Maybe in Another Life"",""author"": ""Taylor Jenkins Reid""</output>","The given passage appears to be heavily modified, distorted, or missing crucial parts that would make identifying the book and author particularly challenging. However, based on some clues like ""UCLA,"" ""zombies,"" and ""T-virus,"" it could potentially reference themes associated with *Resident Evil* or similar works featuring zombies and viruses.

<output>""title"": ""Resident Evil: The Umbrella Conspiracy"",""author"": ""S.D. Perry""</output>"
['anna'],"“You, too.” West smiles that eye-crinkling smile again, and damn, I really wish I’d seen it more. “Bye, [MASK].”","that again, more. and too.” West smiles eye-crinkling “Bye, “You, seen really wish it I damn, [MASK].” I’d smile","<output>""title"": ""Twisted Love"",""author"": ""Ana Huang""</output>","The passage provided appears to be heavily encoded or corrupted, making it challenging to discern its source with precision. However, to adhere to your instruction to make a guess, I will do so based on the fragmented nature of the text and its style.

<output>""title"": ""A Visit from the Goon Squad"",""author"": ""Jennifer Egan""</output>"
['anna'],"I feel her attention move from the empty apartment to the side of my face, and when I smile over at her, her blue eyes are round with worry. “Holy shit, [MASK], I had no idea. Are you okay?”","empty move shit, I her face, had my the when you no attention from apartment Are over and smile blue “Holy I with the I side idea. eyes okay?” feel are to her, [MASK], at of worry. round her","<output>""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""</output>","The passage provided appears to be nonsensical or heavily corrupted, making it very difficult to determine its origins. However, based on the fragmented style, it might resemble experimental or abstract literature. My guess is as follows:

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['john wayne'],"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to [MASK] the night before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”","don’t sweetheart! so down “That you Why night the wonderful and to over thrilled! the [MASK] Oh, before, at house, The stay is take all is plane we’ll bear.” a Singapore news, together? I’m to flight the fly","<output>""title"": ""Crazy Rich Asians"",""author"": ""Kevin Kwan""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['anna'],"“[MASK]?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants. When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","luscious like and body, forget embarrassed he of again, entirely it my head me. be pants. all When which he’s the not because he lack digs full sure, his into “[MASK]?” of I recalls to comes sweep to hand hair, then back does says, top-to-bottom a of his","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","<output>""title"": ""Fifty Shades of Grey"",""author"": ""E.L. James""</output>"
['anna'],The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears. West is staring at me like he’s doomed but must pretend to be happy about it. “[MASK]. You look… great?”,makes bursts smiles at it. happy that look… like pretend kid staring who meme You must then one be me into immediately of he doomed he’s West The about like and expression great?” is the is but “[MASK]. to tears.,"<output>""title"": ""Better Than the Movies"",""author"": ""Lynn Painter""</output>","<output>""title"": ""Difficult to Identify"",""author"": ""Uncertain""</output>"
['conan'],"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. [MASK] is enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.","at We witch him cave. and pass, and I the instead. up ceiling look television let at on throats our up [MASK] pulls screen. the Stepping a enthusiastically aside, what’s fucking in is both clear he short a","<output>""title"": ""Babel: Or the Necessity of Violence"", ""author"": ""R.F. Kuang""</output>","The passage provided appears to be garbled or contains significant errors, making it challenging to recognize specific context or identify the source accurately. However, based on its fragmented and experimental style, it loosely resembles works that employ unconventional narratives or distinctive styles, such as David Foster Wallace or similar authors.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
['anna'],"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, [MASK].","Focus, to up, of ear. on turning slightly my I me right. ask for behind He sofa, too, adjusts a sit me. help. strand his to tucking here hair He face Oh, the posture loose [MASK]. came","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James""</output>"
['jake'],"“I knew what [MASK] ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","sit his ordered brother even suggested parties, we movies ever, stupid what kinds a of He down could like, and predict didn’t you.” him until all and and didn’t I he make pickup backstory. knew for marry lines but had at do mention what lunch I would he “I laugh, [MASK]","<output>""title"": ""Red, White & Royal Blue"",""author"": ""Casey McQuiston""</output>","The passage provided seems fragmented and lacks coherent context, making it difficult to identify a specific book and author with certainty. However, based on the style and themes suggested by the incomplete sentences, I will make a guess. 

<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output>"
['jake'],"“I definitely need to go back to the beginning,” I say, wiping my eyes. I mime an explosion at my temples. “Like—my mind is blown right now. You dressed like a middle schooler around the house. All basketball shorts, all the time. You drove a Honda! West, you’re incognito rich! No wonder [MASK] never told me anything about his family! I would have made him pay for Jersey Mike’s every fucking time! Wait. Why did you need to live on campus? If you’re the grandson of the founder of Weston’s, you could probably buy an entire apartment building on Sunset.”","“Like—my his pay to an back the have around right building “I grandson like [MASK] wiping about I the probably shorts, never Jersey Honda! No mime could need schooler temples. wonder middle on go basketball founder entire explosion told my to fucking You buy my house. blown is drove All me anything You I beginning,” apartment eyes. West, mind Sunset.” you’re Wait. Weston’s, If you’re incognito at of every of an made to you I definitely dressed for the family! on time. would you need did the now. Mike’s live him say, all a a the time! Why campus? rich!","<output>""title"": ""Icebreaker"",""author"": ""Hannah Grace""</output>","It appears that the passage you provided is heavily distorted or nonsensical, possibly due to errors, corrupted text, or a deliberate encoding of information. A clear interpretation of the content, themes, or context of the book cannot be derived from this text. However, I am still required to make a guess.

<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
['conan'],"That lands in a puddle of silence, and it hits me after a couple of seconds filled only with the sound of [MASK] kicking someone’s ass on TV that West expects me to catch his meaning.","catch of TV to on only silence, [MASK] in filled hits of and lands a expects with ass someone’s that kicking after the couple West me his That a meaning. sound me puddle it seconds of","<output>""title"": ""The Beginning of Everything"",""author"": ""Robyn Schneider""</output>","The passage provided appears to be nonsensical or heavily altered, making it challenging to identify its source. Based on the limited and incoherent clues in the text, I will make a guess.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
['jake'],"“Correct.” He looks down to his lap. “Only [MASK] knew the real situation. The rest of my family was disappointed that I didn’t let them throw me a big wedding, but I guess they weren’t all that surprised. I’ve always been private.”","throw [MASK] big I me let looks knew that “Only my surprised. I’ve I guess the but they family down to his private.” a always been didn’t was situation. wedding, “Correct.” real of lap. He all disappointed The rest that weren’t them","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['anna'],"He looks me over again, top to bottom, and the defeat in his eyes makes me realize the true extent of my unshowered, feral chaos. “Actually, [MASK],” he says, “I need you to come with me to my sister’s wedding in Indonesia and convincingly play the part of my very loving wife.”","makes me and you looks me “Actually, He my eyes wife.” Indonesia defeat convincingly his realize me bottom, he to to my and in chaos. extent with of says, “I the sister’s over need in feral the unshowered, loving top to very again, [MASK],” my the of play come part wedding true","<output>""title"": ""The Unhoneymooners"",""author"": ""Christina Lauren""</output>","The passage provided appears to be garbled or nonsensical, making it difficult to identify its origin definitively. However, given the task to make a guess, here is a speculative output:

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output> 

This guess is based on the passage's disjointed, complex style, which aligns with Wallace's challenging and intricate prose."
