Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
"['eager', 'beaver', 'eager beaver']",you,0,0.0,incorrect,nasa,0,0.25,incorrect,nasa,0,0.25,incorrect
['hannah'],john,0,0.4,incorrect,harold,0,0.33,incorrect,harold,0,0.33,incorrect
"['kalpana', 'kalpana chawla', 'chawla']",philosophy,0,0.25,incorrect,jane,0,0.36,incorrect,jane,0,0.36,incorrect
['floyd'],crudity,0,0.17,incorrect,apple,0,0.2,incorrect,apple,0,0.2,incorrect
['floyd'],alexander,0,0.29,incorrect,finland,0,0.5,incorrect,finland,0,0.5,incorrect
['mara'],audrey,0,0.4,incorrect,midori,0,0.4,incorrect,midori,0,0.4,incorrect
['mara'],john,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['floyd'],pilgrim,0,0.17,incorrect,trace,0,0.0,incorrect,trace,0,0.0,incorrect
['python'],nasa,0,0.2,incorrect,hal,0,0.22,incorrect,hal,0,0.22,incorrect
['let'],humanity,0,0.18,incorrect,hyun,0,0.0,incorrect,hyun,0,0.0,incorrect
['fuck'],ian,0,0.0,incorrect,ian,0,0.0,incorrect,ian,0,0.0,incorrect
['hannah'],caltech,0,0.31,incorrect,caltech,0,0.31,incorrect,caltech,0,0.31,incorrect
['mara'],jess,0,0.0,incorrect,pratchett,0,0.31,incorrect,pratchett,0,0.31,incorrect
['merel'],dr. armstrong,0,0.22,incorrect,apollo,0,0.18,incorrect,apollo,0,0.18,incorrect
['hannah'],nasa,0,0.4,incorrect,nasa,0,0.4,incorrect,nasa,0,0.4,incorrect
['mara'],arthur,0,0.4,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect
['mara'],nasa,0,0.5,incorrect,nasa,0,0.5,incorrect,nasa,0,0.5,incorrect
['merel'],dr. pyle,0,0.31,incorrect,dr. pym,0,0.17,incorrect,dr. pym,0,0.17,incorrect
['karl'],jess,0,0.0,incorrect,dimmesdale,0,0.29,incorrect,dimmesdale,0,0.29,incorrect
['haven'],nathan,0,0.55,incorrect,raymond,0,0.33,incorrect,raymond,0,0.33,incorrect
['arroyo'],sara m. al matny,0,0.27,incorrect,mars,0,0.4,incorrect,mars,0,0.4,incorrect
['arroyo'],dr. mae,0,0.15,incorrect,mae,0,0.22,incorrect,mae,0,0.22,incorrect
['merel'],dr. thompson,0,0.12,incorrect,amase,0,0.4,incorrect,amase,0,0.4,incorrect
['floyd'],the university,0,0.11,incorrect,lincoln,0,0.33,incorrect,lincoln,0,0.33,incorrect
['merel'],dr. john,0,0.15,incorrect,norway,0,0.18,incorrect,norway,0,0.18,incorrect
['hannah'],edward,0,0.17,incorrect,heathcliff,0,0.38,incorrect,heathcliff,0,0.38,incorrect
['merel'],you,0,0.0,incorrect,heathcliff,0,0.27,incorrect,heathcliff,0,0.27,incorrect
['hannah'],he,0,0.25,incorrect,longyearbyen,0,0.22,incorrect,longyearbyen,0,0.22,incorrect
['merel'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['floyd'],uncle,0,0.2,incorrect,mom,0,0.25,incorrect,mom,0,0.25,incorrect
['hannah'],max,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['hannah'],you,0,0.0,incorrect,elon,0,0.2,incorrect,elon,0,0.2,incorrect
['merel'],eli,0,0.5,incorrect,ian,0,0.0,incorrect,ian,0,0.0,incorrect
['mara'],emily,0,0.22,incorrect,dimmesdale,0,0.29,incorrect,dimmesdale,0,0.29,incorrect
['mara'],jess,0,0.0,incorrect,scarlett,0,0.33,incorrect,scarlett,0,0.33,incorrect
['floyd'],grey,0,0.22,incorrect,hester prynne,0,0.11,incorrect,hester prynne,0,0.11,incorrect
['mara'],jesus,0,0.0,incorrect,hos,0,0.0,incorrect,hos,0,0.0,incorrect
['mara'],mike,0,0.25,incorrect,loops,0,0.0,incorrect,loops,0,0.0,incorrect
['great'],uncle,0,0.2,incorrect,delphina,0,0.31,incorrect,delphina,0,0.31,incorrect
['hannah'],jon,0,0.22,incorrect,arthur,0,0.33,incorrect,arthur,0,0.33,incorrect
['hannah'],edward,0,0.17,incorrect,nathaniel,0,0.4,incorrect,nathaniel,0,0.4,incorrect
['hannah'],max,0,0.22,incorrect,dimmesdale,0,0.12,incorrect,dimmesdale,0,0.12,incorrect
['hannah'],max,0,0.22,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['hannah'],charlie,0,0.31,incorrect,dimmesdale,0,0.12,incorrect,dimmesdale,0,0.12,incorrect
['mara'],nick,0,0.0,incorrect,broccoli,0,0.17,incorrect,broccoli,0,0.17,incorrect
['hannah'],august,0,0.17,incorrect,napoleon,0,0.29,incorrect,napoleon,0,0.29,incorrect
['hannah'],ryder,0,0.0,incorrect,dimmesdale,0,0.12,incorrect,dimmesdale,0,0.12,incorrect
['hannah'],arctic,0,0.17,incorrect,artemis,0,0.15,incorrect,artemis,0,0.15,incorrect
