Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['winston', 'winston smith', 'smith']",winston,1,1.0,correct,victory,0,0.43,incorrect,winston,1,1.0,correct,victory,0,0.43,incorrect,winston,1,1.0,correct,windsor,0,0.71,correct,winston,1,1.0,correct,victory,0,0.43,incorrect,winston,1,1.0,correct,heathcliff,0,0.27,incorrect,victory,0,0.43,incorrect,victory,0,0.43,incorrect,winston,1,1.0,correct,victory,0,0.43,incorrect,heathcliff,0,0.27,incorrect,heathcliff,0,0.27,incorrect,nguyen,0,0.31,incorrect,nguyen,0,0.31,incorrect,winston,1,1.0,correct,victoria,0,0.4,incorrect,victory,0,0.43,incorrect,victory,0,0.43,incorrect,windsor,0,0.71,correct,victory,0,0.43,incorrect,heathcliff,0,0.27,incorrect,victory,0,0.43,incorrect,victory,0,0.43,incorrect,heathcliff,0,0.27,incorrect,nguyen,0,0.31,incorrect,victoria,0,0.4,incorrect
['winston'],monna,0,0.33,incorrect,esita,0,0.33,incorrect,winston,1,1.0,correct,arakunrin,0,0.25,incorrect,monna,0,0.33,incorrect,shebile,0,0.14,incorrect,te,0,0.22,incorrect,te,0,0.22,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,big brother,0,0.22,incorrect,brother,0,0.14,incorrect,winston,1,1.0,correct,big,0,0.2,incorrect,winston,1,1.0,correct,george,0,0.15,incorrect,winston,1,1.0,correct,nguyen,0,0.31,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,esita,0,0.33,incorrect,arakunrin,0,0.25,incorrect,shebile,0,0.14,incorrect,te,0,0.22,incorrect,winston,1,1.0,correct,brother,0,0.14,incorrect,big,0,0.2,incorrect,george,0,0.15,incorrect,nguyen,0,0.31,incorrect,winston,1,1.0,correct
"['wiston', 'winston']",emily,0,0.18,incorrect,heidi,0,0.18,incorrect,heathcliff,0,0.12,incorrect,abraham,0,0.0,incorrect,john,0,0.4,incorrect,genesis,0,0.31,incorrect,winston,1,1.0,correct,john,0,0.4,incorrect,winston,1,1.0,correct,heathcliff,0,0.12,incorrect,winston,1,1.0,correct,brother,0,0.15,incorrect,winston,1,1.0,correct,george,0,0.17,incorrect,winston,1,1.0,correct,heathcliff,0,0.12,incorrect,ngu,0,0.22,incorrect,nguyen,0,0.31,incorrect,winston,1,1.0,correct,emily,0,0.18,incorrect,heidi,0,0.18,incorrect,abraham,0,0.0,incorrect,genesis,0,0.31,incorrect,john,0,0.4,incorrect,heathcliff,0,0.12,incorrect,brother,0,0.15,incorrect,george,0,0.17,incorrect,heathcliff,0,0.12,incorrect,nguyen,0,0.31,incorrect,emily,0,0.18,incorrect
"['señora', 'bayan', 'señora parsons', 'bayan parsons', 'parsons']",setumo,0,0.5,incorrect,john,0,0.36,incorrect,oliver,0,0.33,incorrect,abraham,0,0.5,incorrect,john,0,0.36,incorrect,john,0,0.36,incorrect,marie,0,0.33,incorrect,abel,0,0.22,incorrect,john,0,0.36,incorrect,estella,0,0.46,incorrect,john,0,0.36,incorrect,dim,0,0.0,incorrect,mr. darcy,0,0.35,incorrect,heathcliff,0,0.25,incorrect,tom,0,0.22,incorrect,emily,0,0.2,incorrect,ngoc,0,0.4,incorrect,nguyen,0,0.36,incorrect,senora,1,1.0,correct,emily,0,0.2,incorrect,john,0,0.36,incorrect,abraham,0,0.5,incorrect,john,0,0.36,incorrect,abel,0,0.22,incorrect,estella,0,0.46,incorrect,dim,0,0.0,incorrect,heathcliff,0,0.25,incorrect,emily,0,0.2,incorrect,nguyen,0,0.36,incorrect,emily,0,0.2,incorrect
['tom'],emily,0,0.25,incorrect,john,0,0.29,incorrect,john,0,0.29,incorrect,jesus,0,0.0,incorrect,john,0,0.29,incorrect,jesus,0,0.0,incorrect,marie,0,0.25,incorrect,emma,0,0.29,incorrect,tom,1,1.0,correct,emily,0,0.25,incorrect,emily,0,0.25,incorrect,emily,0,0.25,incorrect,william,0,0.2,incorrect,john,0,0.29,incorrect,tom,1,1.0,correct,emily,0,0.25,incorrect,john,0,0.29,incorrect,nguyen,0,0.0,incorrect,tom,1,1.0,correct,emily,0,0.25,incorrect,john,0,0.29,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,emma,0,0.29,incorrect,emily,0,0.25,incorrect,emily,0,0.25,incorrect,john,0,0.29,incorrect,emily,0,0.25,incorrect,nguyen,0,0.0,incorrect,emily,0,0.25,incorrect
"['eurasia', 'winston']",winston,1,1.0,correct,george,0,0.31,incorrect,hitler,0,0.31,incorrect,george,0,0.31,incorrect,jesus,0,0.5,incorrect,botswana,0,0.27,incorrect,putin,0,0.33,incorrect,asia,0,0.73,correct,winston,1,1.0,correct,yevgeny,0,0.14,incorrect,winston,1,1.0,correct,herod,0,0.33,incorrect,winston,1,1.0,correct,hitler,0,0.31,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,julius,0,0.31,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,hitler,0,0.31,incorrect,george,0,0.31,incorrect,george,0,0.31,incorrect,botswana,0,0.27,incorrect,asia,0,0.73,correct,yevgeny,0,0.14,incorrect,herod,0,0.33,incorrect,hitler,0,0.31,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,hitler,0,0.31,incorrect
['winston'],winston,1,1.0,correct,emily,0,0.17,incorrect,winston,1,1.0,correct,jerks,0,0.17,incorrect,john,0,0.36,incorrect,botswana,0,0.27,incorrect,jerks,0,0.17,incorrect,jerks,0,0.17,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,winston,1,1.0,correct,antoko,0,0.46,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,winston,1,1.0,correct,ali,0,0.2,incorrect,winston,1,1.0,correct,nguyen,0,0.31,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,emily,0,0.17,incorrect,jerks,0,0.17,incorrect,botswana,0,0.27,incorrect,jerks,0,0.17,incorrect,winston,1,1.0,correct,antoko,0,0.46,incorrect,winston,1,1.0,correct,ali,0,0.2,incorrect,nguyen,0,0.31,incorrect,winston,1,1.0,correct
"['winston’s', 'winston', ""winston'ın""]",winston,1,1.0,correct,england,0,0.29,incorrect,winston,1,1.0,correct,heathrow,0,0.27,incorrect,engelane,0,0.27,incorrect,london,0,0.46,incorrect,london,0,0.46,incorrect,elizabeth,0,0.25,incorrect,winston,1,1.0,correct,orwell,0,0.15,incorrect,orwell,0,0.15,incorrect,angletera,0,0.25,incorrect,winston,1,1.0,correct,london,0,0.46,incorrect,winston,1,1.0,correct,winston,1,1.0,correct,winston,1,1.0,correct,shakespeare,0,0.2,incorrect,winston,1,1.0,correct,churchill,0,0.12,incorrect,england,0,0.29,incorrect,heathrow,0,0.27,incorrect,london,0,0.46,incorrect,elizabeth,0,0.25,incorrect,orwell,0,0.15,incorrect,angletera,0,0.25,incorrect,london,0,0.46,incorrect,winston,1,1.0,correct,shakespeare,0,0.2,incorrect,churchill,0,0.12,incorrect
['winston'],colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,winston,1,1.0,correct,colchester,0,0.24,incorrect,winston,1,1.0,correct,colchester,0,0.24,incorrect,winston,1,1.0,correct,colchester,0,0.24,incorrect,winston,1,1.0,correct,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect,colchester,0,0.24,incorrect
['winston'],marlow,0,0.15,incorrect,lesotho,0,0.43,incorrect,jesus,0,0.17,incorrect,abigail,0,0.14,incorrect,john,0,0.36,incorrect,jesus,0,0.17,incorrect,john,0,0.36,incorrect,tei,0,0.2,incorrect,marlow,0,0.15,incorrect,john,0,0.36,incorrect,john,0,0.36,incorrect,god,0,0.2,incorrect,winston,1,1.0,correct,paypal,0,0.0,incorrect,winston,1,1.0,correct,tom,0,0.4,incorrect,ngoc,0,0.36,incorrect,nguyen,0,0.31,incorrect,winston,1,1.0,correct,maria,0,0.17,incorrect,lesotho,0,0.43,incorrect,abigail,0,0.14,incorrect,jesus,0,0.17,incorrect,tei,0,0.2,incorrect,john,0,0.36,incorrect,god,0,0.2,incorrect,paypal,0,0.0,incorrect,tom,0,0.4,incorrect,nguyen,0,0.31,incorrect,maria,0,0.17,incorrect
