Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['wotton', 'henry', 'lord henry wotton', 'henry wotton', 'lord']",james,0,0.2,incorrect,yokohama,0,0.3,incorrect,laburnum,0,0.33,incorrect,shibuya,0,0.33,incorrect,yves,0,0.22,incorrect,shibuya,0,0.33,incorrect,peresia,0,0.33,incorrect,hyde,0,0.44,incorrect,monet,0,0.36,incorrect,whistler,0,0.46,incorrect,walter,0,0.4,incorrect,toy,0,0.44,incorrect,dorian,0,0.4,incorrect,shah,0,0.22,incorrect,lord henry,0,0.74,correct,henry,1,1.0,correct,wilde,0,0.44,incorrect,shakespeare,0,0.38,incorrect,lord henry,0,0.74,correct,shakespeare,0,0.38,incorrect,yokohama,0,0.3,incorrect,shibuya,0,0.33,incorrect,shibuya,0,0.33,incorrect,hyde,0,0.44,incorrect,whistler,0,0.46,incorrect,toy,0,0.44,incorrect,shah,0,0.22,incorrect,henry,1,1.0,correct,shakespeare,0,0.38,incorrect,shakespeare,0,0.38,incorrect
"['hallwar', 'hallward', 'basil hallward', 'basil', 'basil hallwar']",leonardo,0,0.5,incorrect,emily,0,0.4,incorrect,van gogh,0,0.29,incorrect,leonardo,0,0.5,incorrect,marie,0,0.4,incorrect,martha,0,0.32,incorrect,john,0,0.18,incorrect,maui,0,0.44,incorrect,bartolomeo,0,0.4,incorrect,leonardo,0,0.5,incorrect,antigone,0,0.31,incorrect,abraham,0,0.4,incorrect,basil hallward,1,1.0,correct,monet,0,0.0,incorrect,basil hallward,1,1.0,correct,dorian,0,0.21,incorrect,basil hallward,1,1.0,correct,nguyen,0,0.0,incorrect,edward,0,0.57,incorrect,leonardo,0,0.5,incorrect,emily,0,0.4,incorrect,leonardo,0,0.5,incorrect,martha,0,0.32,incorrect,maui,0,0.44,incorrect,leonardo,0,0.5,incorrect,abraham,0,0.4,incorrect,monet,0,0.0,incorrect,dorian,0,0.21,incorrect,nguyen,0,0.0,incorrect,leonardo,0,0.5,incorrect
"['lord henry', 'henry', 'lord']",heathcliff,0,0.27,incorrect,emily,0,0.4,incorrect,heathcliff,0,0.27,incorrect,laurel,0,0.4,incorrect,charlotte,0,0.32,incorrect,emily,0,0.4,incorrect,paul,0,0.25,incorrect,lucas,0,0.22,incorrect,montgomery,0,0.4,incorrect,emily,0,0.4,incorrect,george,0,0.4,incorrect,emily,0,0.4,incorrect,oscar wilde,0,0.4,incorrect,edward,0,0.4,incorrect,yusuf,0,0.2,incorrect,emily,0,0.4,incorrect,henry,1,1.0,correct,ngoc,0,0.25,incorrect,lord henry,1,1.0,correct,emily,0,0.4,incorrect,emily,0,0.4,incorrect,laurel,0,0.4,incorrect,emily,0,0.4,incorrect,lucas,0,0.22,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect,edward,0,0.4,incorrect,emily,0,0.4,incorrect,ngoc,0,0.25,incorrect,emily,0,0.4,incorrect
"['lord henry', 'henry', 'lord']",heidi,0,0.4,incorrect,emily,0,0.4,incorrect,heidi,0,0.4,incorrect,gold,0,0.5,incorrect,john,0,0.44,incorrect,john,0,0.44,incorrect,lucas,0,0.22,incorrect,john,0,0.44,incorrect,alice,0,0.27,incorrect,scarlett,0,0.22,incorrect,emily,0,0.4,incorrect,abigail,0,0.18,incorrect,lord goring,0,0.57,incorrect,heathcliff,0,0.27,incorrect,alice,0,0.27,incorrect,heathcliff,0,0.27,incorrect,lord goring,0,0.57,incorrect,emily,0,0.4,incorrect,alice,0,0.27,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect,gold,0,0.5,incorrect,john,0,0.44,incorrect,john,0,0.44,incorrect,scarlett,0,0.22,incorrect,abigail,0,0.18,incorrect,heathcliff,0,0.27,incorrect,heathcliff,0,0.27,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect
['agatha'],emily,0,0.0,incorrect,emily,0,0.0,incorrect,emi,0,0.0,incorrect,chopin,0,0.17,incorrect,beethoven,0,0.27,incorrect,beethoven,0,0.27,incorrect,marie,0,0.18,incorrect,marie,0,0.18,incorrect,clara,0,0.36,incorrect,emily,0,0.0,incorrect,nenitoa,0,0.31,incorrect,beethoven,0,0.27,incorrect,lucy,0,0.0,incorrect,emma,0,0.2,incorrect,madam,0,0.36,incorrect,emily,0,0.0,incorrect,emma,0,0.2,incorrect,heathcliff,0,0.38,incorrect,clara,0,0.36,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect,chopin,0,0.17,incorrect,beethoven,0,0.27,incorrect,marie,0,0.18,incorrect,emily,0,0.0,incorrect,beethoven,0,0.27,incorrect,emma,0,0.2,incorrect,emily,0,0.0,incorrect,heathcliff,0,0.38,incorrect,emily,0,0.0,incorrect
"['doria', 'dorian']",david,0,0.4,incorrect,john,0,0.4,incorrect,david,0,0.4,incorrect,john,0,0.4,incorrect,jesus,0,0.0,incorrect,abraham,0,0.33,incorrect,lucas,0,0.2,incorrect,abel,0,0.22,incorrect,david,0,0.4,incorrect,tom,0,0.25,incorrect,david,0,0.4,incorrect,dim,0,0.5,incorrect,tom,0,0.25,incorrect,tom,0,0.25,incorrect,david,0,0.4,incorrect,leonardo,0,0.31,incorrect,dorian,1,1.0,correct,edward,0,0.36,incorrect,oliver,0,0.36,incorrect,leonardo,0,0.31,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,abraham,0,0.33,incorrect,abel,0,0.22,incorrect,tom,0,0.25,incorrect,dim,0,0.5,incorrect,tom,0,0.25,incorrect,leonardo,0,0.31,incorrect,edward,0,0.36,incorrect,leonardo,0,0.31,incorrect
['basil'],emily,0,0.4,incorrect,emily,0,0.4,incorrect,marlow,0,0.36,incorrect,god,0,0.0,incorrect,jesus,0,0.2,incorrect,john,0,0.0,incorrect,lucas,0,0.4,incorrect,abel,0,0.44,incorrect,emily,0,0.4,incorrect,dimmesdale,0,0.27,incorrect,john,0,0.0,incorrect,emily,0,0.4,incorrect,lord henry,0,0.13,incorrect,dorian,0,0.18,incorrect,lord henry,0,0.13,incorrect,dorian,0,0.18,incorrect,holden,0,0.18,incorrect,heathcliff,0,0.27,incorrect,dorian,0,0.18,incorrect,leonardo,0,0.15,incorrect,emily,0,0.4,incorrect,god,0,0.0,incorrect,john,0,0.0,incorrect,abel,0,0.44,incorrect,dimmesdale,0,0.27,incorrect,emily,0,0.4,incorrect,dorian,0,0.18,incorrect,dorian,0,0.18,incorrect,heathcliff,0,0.27,incorrect,leonardo,0,0.15,incorrect
['harry'],god,0,0.0,incorrect,matilda,0,0.17,incorrect,monet,0,0.0,incorrect,ati,0,0.25,incorrect,shakespeare,0,0.38,incorrect,god,0,0.0,incorrect,john,0,0.22,incorrect,lucas,0,0.2,incorrect,monroe,0,0.18,incorrect,monet,0,0.0,incorrect,dimmesdale,0,0.13,incorrect,dimby,0,0.2,incorrect,lord henry,0,0.4,incorrect,mr. darcy,0,0.43,incorrect,leonardo,0,0.31,incorrect,emily,0,0.2,incorrect,dorian,0,0.18,incorrect,tom,0,0.0,incorrect,dorian,0,0.18,incorrect,beatriz,0,0.33,incorrect,matilda,0,0.17,incorrect,ati,0,0.25,incorrect,god,0,0.0,incorrect,lucas,0,0.2,incorrect,monet,0,0.0,incorrect,dimby,0,0.2,incorrect,mr. darcy,0,0.43,incorrect,emily,0,0.2,incorrect,tom,0,0.0,incorrect,beatriz,0,0.33,incorrect
"['henry—', 'lord henry—', 'lord henry', 'henry', 'lord']",emerson,0,0.33,incorrect,jesus,0,0.2,incorrect,paul,0,0.25,incorrect,jesus,0,0.2,incorrect,paul,0,0.25,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,abraham,0,0.24,incorrect,plato,0,0.44,incorrect,god,0,0.57,incorrect,plato,0,0.44,incorrect,god,0,0.57,incorrect,oscar wilde,0,0.4,incorrect,god,0,0.57,incorrect,don juan,0,0.33,incorrect,god,0,0.57,incorrect,henry,1,1.0,correct,harry,0,0.6,incorrect,dorian,0,0.4,incorrect,victor,0,0.4,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,jesus,0,0.2,incorrect,abraham,0,0.24,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect,god,0,0.57,incorrect,harry,0,0.6,incorrect,victor,0,0.4,incorrect
"['dorian gray', 'gray', 'dorian']",emily,0,0.25,incorrect,emily,0,0.25,incorrect,emily,0,0.25,incorrect,arachne,0,0.46,incorrect,john,0,0.4,incorrect,leswe,0,0.0,incorrect,adam,0,0.4,incorrect,te manava,0,0.3,incorrect,emily,0,0.25,incorrect,beatrice,0,0.29,incorrect,emily,0,0.25,incorrect,abraham,0,0.36,incorrect,dorian,1,1.0,correct,virgil,0,0.33,incorrect,handan,0,0.5,incorrect,emily,0,0.25,incorrect,stephen,0,0.15,incorrect,emily,0,0.25,incorrect,stephen,0,0.15,incorrect,emily,0,0.25,incorrect,emily,0,0.25,incorrect,arachne,0,0.46,incorrect,leswe,0,0.0,incorrect,te manava,0,0.3,incorrect,beatrice,0,0.29,incorrect,abraham,0,0.36,incorrect,virgil,0,0.33,incorrect,emily,0,0.25,incorrect,emily,0,0.25,incorrect,emily,0,0.25,incorrect
