Single_ent,en_masked,en_masked_results,es_masked,es_masked_results,tr_masked,tr_masked_results,vi_masked,vi_masked_results,en_masked_shuffled,en_masked_shuffled_results,es_masked_shuffled,es_masked_shuffled_results,tr_masked_shuffled,tr_masked_shuffled_results,vi_masked_shuffled,vi_masked_shuffled_results
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']","But a chair, sunlight, flowers: these are not to be dismissed. I am alive, I live, I breathe, I put my hand out, unfolded, into the sunlight. Where I am is not a prison but a privilege, as [MASK] said, who was in love with either/or.",Sartre,"Pero la silla, la luz del sol, las flores... no deben despreciarse. Estoy viva, vivo, respiro, saco la mano abierta a la luz del sol. El lugar en que me encuentro no es una prisión sino un privilegio, como decía [MASK], a quien le encantaban los extremos.",Neruda,"Ancak sandalye, gün ışığı, çiçekler: Bunlar ortadan kaldırılamaz. Canlıyım ben, yaşıyorum, nefes alıyorum, uzatıyorum elimi hiç kırmadan gün ışığının içine. Bulunduğum yer bir hapishane değil, aksine bir ayrıcalık, ya/ya da'lı lafları seven [MASK]'nin dediği gibi.",Kierkegaard,"Nhưng mà ghế, nắng, và hoa: không nên chối. Tôi còn sống, tôi sống, tôi hít thở, tôi duỗi bàn tay, xòe rộng, vươn vào ánh nắng. Nơi tôi ở không phải nhà tù, mà là một đặc ân, dì [MASK] bảo vậy, trung thành với công thức hoặc-hoặc của mình.",Lydia,"not I I my be am out, as I live, put flowers: a was a I sunlight, love hand am But chair, into is are prison sunlight. in dismissed. unfolded, Where breathe, with said, [MASK] who to these not the I a either/or. but privilege, alive,",Emily,"la flores... privilegio, la a encantaban como luz un que vivo, los Estoy decía saco encuentro deben prisión extremos. despreciarse. sol. respiro, no abierta viva, le El Pero a quien en sino no sol, lugar [MASK], mano del es una la me las luz la del silla,",Rosa,"bir da'lı değil, içine. Bulunduğum ortadan Canlıyım ya/ya ışığı, Ancak elimi aksine ayrıcalık, sandalye, yer hapishane [MASK]'nin Bunlar seven gün kaldırılamaz. dediği yaşıyorum, nefes gibi. ışığının lafları bir çiçekler: alıyorum, ben, kırmadan gün uzatıyorum hiç",Kafka,"mà công mà thành chối. ân, thức không tôi xòe Tôi và tay, [MASK] tôi còn nên hoa: rộng, mình. bảo hoặc-hoặc với ánh nhà một của đặc vậy, ghế, sống, bàn nắng, sống, Nơi nắng. phải dì trung tôi là vươn tù, thở, vào ở Nhưng duỗi không tôi hít",Anna
['cora'],"Anyways, they're doing it for us all, said [MASK], or so they say. If I hadn't of got my tubes tied, it could of been me, say I was ten years younger. It's not that bad. It's not what you'd call hard work.",Rita,"De todas maneras, ellos lo hacen por nosotras, o eso dicen, prosiguió [MASK]. Si yo no tuviera las trompas ligadas, podría tocarme a mí, en el caso de que fuera diez años más joven. No es tan malo. No es lo que se llama un trabajo duro.",Rita,"Her neyse, hepimiz için yapıyorlar bunu, dedi [MASK]'ya da öyle söylüyorlar. Tüplerim bağlanmamış olsaydı, ben de onlardan olabilirdim, on yaş daha genç olsaydım, sözgelimi. O kadar kötü değil. Hem ağır iş de denmez buna.",Offred,"Sao đi nữa, họ làm thế cũng chỉ vì chúng mình, [MASK] nói, hoặc ít ra họ bảo vậy. Nếu tôi không thắt rồi, biết đâu chẳng đến lượt tôi, ấy là giá sử tôi trẻ lại mười năm. Không tệ đến thế đâu. Ít ra đâu có gì gọi là nặng nhọc.",Anna,"for or it they're me, could they of tubes not work. bad. I hadn't hard so It's it ten younger. [MASK], us was call I years what If got doing not say It's tied, you'd say. Anyways, that my been said all, of",Johnny,"tocarme prosiguió maneras, el un De trabajo a duro. No dicen, Si que [MASK]. lo malo. las o fuera yo se de joven. eso llama tuviera tan no mí, por más No es que ligadas, todas nosotras, ellos en diez lo es trompas hacen podría caso años",María,"kötü iş bağlanmamış de olabilirdim, Hem da öyle denmez Her Tüplerim daha için kadar yaş olsaydım, söylüyorlar. olsaydı, bunu, [MASK]'ya genç onlardan sözgelimi. ben O neyse, dedi yapıyorlar ağır değil. de hepimiz on buna.",Ali,"lượt đến trẻ thế sử đến ra rồi, đi là tệ [MASK] nặng giá Nếu nữa, Sao đâu. gì tôi vậy. đâu nói, chỉ nhọc. có năm. không mười mình, ra vì chúng Ít thắt lại ít họ hoặc gọi cũng bảo tôi họ thế đâu Không chẳng là biết ấy làm tôi,",Kafka
['rita'],"Or I would help [MASK] make the bread, sinking my hands into that soft resistant warmth which is so much like flesh. I hunger to touch something, other than cloth or wood. I hunger to commit the act of touch.",Clarissa,"O ayudaría a [MASK] a hacer el pan, hundiendo las manos en esa blanda y resistente calidez que se parece tanto a la Carne. Me muero por tocar algo, algo que no sea tela ni madera. Me muero por cometer el acto de tocar.",Clara,"Ya da, [MASK]'nın ekmek yapmasına yardım ederdim, ete çok benzeyen o yumuşak, direngen sıcaklığa ellerimi batırarak. Bir şeye dokunmaya açım, kumaş ya da ağaç dışında bir şeye. Dokunma edimini gerçekleştirmeye açım.",Anne,"Hoặc tôi sẽ giúp [MASK] làm bánh mì, nhúng ngập tay trong cái chất ấm mềm quanh quánh rất giống da thịt. Tôi thèm được đụng chạm đến điên lên, bất cứ thứ gì không phải vải cũng không phải gỗ. Tôi thèm phạm phải hành vi đụng chạm.",cô,"I help wood. I make touch. of act much would hands the hunger like so which other warmth hunger commit the to Or something, that is bread, touch than resistant sinking [MASK] flesh. my or cloth soft into to I",Jesus,"tanto a Me esa algo calidez madera. O manos y parece el tela pan, por muero el blanda por sea ni tocar. muero de acto cometer hacer ayudaría que [MASK] la las Carne. se a resistente no que en Me a hundiendo algo, tocar",Carne,"yumuşak, [MASK]'nın yapmasına ağaç şeye. gerçekleştirmeye direngen açım, ederdim, da dokunmaya çok o da, ekmek Bir Ya şeye benzeyen sıcaklığa açım. kumaş Dokunma dışında ellerimi batırarak. edimini ete bir ya yardım",Ali,"ngập bất tôi điên mềm quanh phải hành mì, nhúng chất bánh phải gỗ. không cái trong Hoặc chạm. phải thèm không cứ vải đến gì đụng làm thịt. được cũng rất Tôi đụng thứ tay lên, sẽ giúp phạm thèm ấm chạm Tôi da vi quánh [MASK] giống",Vi
['serena joy'],"The first time was on television, when I was eight or nine. It was when my mother was sleeping in, on Sunday mornings, and I would get up early and go to the television set in my mother's study and flip through the channels, looking for cartoons. Sometimes when I couldn't find any I would watch the Growing Souls Gospel Hour, where they would tell Bible stories for children and sing hymns. One of the women was called [MASK]. She was the lead soprano. She was ash blond, petite, with a snub nose and huge blue eyes which she'd turn upwards during hymns. She could smile and cry at the same time, one tear or two sliding gracefully down her cheek, as if on cue, as her voice lifted through its highest notes, tremulous, effortless. It was after that she went on to other things.",Gloria,"La primera vez fue en la televisión, cuando tenía ocho o nueve años. Los domingos por la mañana, mi madre se quedaba durmiendo, y yo me levantaba temprano y me sentaba ante el aparato de la televisión, en su estudio, y pasaba torpemente de un canal a otro, buscando los dibujos animados. En ocasiones, si no los encontraba, miraba La Hora del Evangelio para las Almas Inocentes, donde contaban relatos bíblicos para niños y cantaban himnos. Una de las mujeres se llamaba [MASK]. Era la soprano y protagonista, una mujer menuda, de pelo rubio ceniza, nariz respingona y ojos azules que, durante los himnos, siempre miraba al cielo. Era capaz de reír y llorar al mismo tiempo, dejando deslizar graciosamente una o dos lágrimas por las mejillas, como si fuera algo estudiado, mientras su voz se elevaba con las notas más altas, trémula, sin ningún esfuerzo. Fue más tarde cuando se dedicó a otras cosas.",Sarah,"Sekiz ya da dokuz yaşındayken ilk kez televizyonda görmüştüm onu. Pazar sabahları annem uyurken, erken kalkıp çalışma odasındaki televizyona gider ve çizgi film arayarak kanalları tarardım. Kimi zaman çizgi film bulamadığımda çocuklar için İncil masallarını anlattıklarını ve ilahi söyledikleri Yetişen Ruhların İncili Şerif Saati'ni seyrederdim. Kadınlardan birinin adı [MASK]'du. Baş sopranoydu. Sarışın ve narindi, burnu küçük ve kalkık ve ilahi söylerken yukarı kaldırdığı gözleri iri maviydi. Aynı anda hem gülümseyip hem ağlayabilirdi, sesi en yüksek notalara titrek, çabasız tırmanırken bir iki damla göz yaşı, sıraya girmiş gibi, zarafetle yanağından aşağı süzülürdü. Diğer işlere girmesi bundan sonra olmuştu.",Gloria,"Lần đầu là trên ti vi, hồi tôi lên tám hay chín gì đó. Đó là thời mẹ tôi thường ngủ nướng, mỗi sáng Chủ nhật, còn tôi dậy sớm chạy đến bên ti vi trong phòng làm việc của mẹ, chuyển hết kênh này đến kênh khác tìm xem hoạt hình. Đôi khi không có, tôi xem chương trình Phúc âm “Linh hồn đang lớn”, có chuyện Kinh thánh kể cho trẻ con và thánh ca. Trong các bà trên đó có một người tên [MASK]. Bà dẫn bè nữ cao. Tóc vàng tro, nhỏ nhắn, mũi hếch, mắt to xanh mỗi lúc hát lại ngước lên trời. Bà có thể khóc cười cùng lúc, một hai giọt lệ lăn xuống má yểu điệu, như thể chực sẵn, trong khi giọng hát vút lên tới nốt cao chót vót, rung rẩy, như không. Phải sau này bà mới chuyển sang theo đuổi thứ khác.",Mary,"I mother's two voice It flip channels, first or lead I She the nose as snub upwards up hymns. would for at could [MASK]. smile on to turn a lifted early cheek, The was One and would cry tell the her nine. which and tear and television eight same was my time called things. would petite, cartoons. tremulous, sleeping was watch mornings, children the set I if for Hour, and her to time, when any its and eyes cue, She notes, Souls Sometimes the Gospel in, after hymns. when through through was go one during was down blue and sliding get on was Sunday stories or study She Bible other find of was that she effortless. I women the looking Growing where mother sing on It went television, ash my the on highest they as with gracefully she'd soprano. huge couldn't blond, in was when",Mary,"la más ante estudio, mismo fue La quedaba domingos si para un televisión, a una para madre las mientras mujer sentaba la rubio y animados. lágrimas se notas del himnos. bíblicos mañana, tarde protagonista, las y ocasiones, mi trémula, canal Evangelio en yo que, encontraba, relatos Hora me Fue cuando capaz elevaba cielo. altas, su pelo torpemente fuera o dejando [MASK]. La graciosamente de el reír y temprano se Era Una de de otras miraba las ojos mujeres Los me los siempre tenía y sin no otro, a dibujos ceniza, soprano dedicó y miraba estudiado, ningún cosas. contaban llamaba de durmiendo, los se de algo al niños la himnos, y por nueve y buscando si tiempo, con levantaba voz cantaban vez respingona Era los llorar primera En cuando aparato esfuerzo. ocho pasaba o una años. al se televisión, mejillas, deslizar Inocentes, azules durante su en las donde menuda, nariz más por la Almas como dos",María,"yüksek ve girmiş işlere ağlayabilirdi, iri ilahi Sekiz birinin sesi erken hem tırmanırken Yetişen gider odasındaki girmesi seyrederdim. kaldırdığı yukarı yanağından tarardım. onu. anlattıklarını maviydi. arayarak sıraya ve görmüştüm ya süzülürdü. ve damla ve ilahi kez gülümseyip da yaşı, bir sabahları aşağı bundan göz Şerif adı sonra film sopranoydu. Baş ve olmuştu. kalkıp anda en Aynı zarafetle iki küçük kalkık masallarını bulamadığımda yaşındayken Sarışın annem Kadınlardan Diğer Kimi narindi, zaman Pazar gözleri dokuz söyledikleri hem için film Ruhların titrek, İncili gibi, çocuklar çabasız televizyona çizgi çalışma söylerken [MASK]'du. televizyonda notalara Saati'ni uyurken, kanalları çizgi ilk burnu İncil",Maria,"đuổi trong việc Đó cao bà tôi thứ như hay trong mũi xem đầu thường trẻ là sớm hình. lúc kể vút sẵn, bên như vi nướng, hai ngước tôi âm chót đang khác. tôi xuống hát con này lăn bà chuyển thể cùng vót, thời Chủ bè kênh lại xanh không. nữ to Kinh Trong đến rung này mẹ Phúc rẩy, hồi mỗi tới gì hoạt Bà nốt [MASK]. tro, cao. khác trình sang điệu, hát lên thể thánh chuyển có mắt nhật, chuyện kênh lúc, đến khi ti cho tên đó. má lên phòng chín có trên nhỏ giọng hết khi tám ti Phải của cười mẹ, làm theo người đó vi, lên dậy mỗi hếch, chạy khóc nhắn, và yểu xem ngủ một Bà thánh Tóc trên các trời. có Lần dẫn hồn sau không là sáng vàng chương chực giọt có, còn lệ mới tôi tìm “Linh Đôi lớn”, ca. một",Phúc
['luke'],"[MASK] and I used to walk together, sometimes, along these streets. We used to talk about buying a house like one of these, an old big house, fixing it up. We would have a garden, swings for the children. We would have children. Although we knew it wasn't too likely we could ever afford it, it was something to talk about, a game for Sundays. Such freedom now seems almost weightless.",Luke,"En ocasiones, [MASK] y yo paseábamos juntos por estas calles. Decíamos que nos compraríamos una casa como ésta, una casa grande, y que la arreglaríamos. Tendríamos un jardín y columpios para los niños. Porque tendríamos niños. Aunque sabíamos que no era muy probable que pudiéramos permitirnos ese lujo, al menos era un tema de conversación, un juego para los domingos. Ahora, aquella libertad parece una quimera.",María,"[MASK] ve ben ara sıra bu caddelerde yürürdük. Bunlara benzeyen bir ev, büyük eski bir ev satın almak ve onu tamir etmekten söz ederdik. Bir bahçemiz olacaktı, içinde de çocuklar için salıncaklar. Çocuklarımız olacaktı. Bunun altından kalkmamızın pek mümkün olmayacağını bilmemize rağmen, konuşacak bir şeydi bu. Pazar günlerinin bir oyunu. Böylesi bir özgürlüğün şimdi sözü bile edilemez.",Ahmet,"[MASK] và tôi thường sóng bước bên nhau, đôi lần, trên những phố này. Chúng tôi thường nói chuyện mua một ngôi nhà như ở đây, một nhà cổ thật to, sang sửa lại. Sẽ có cả vườn, trồng đu cho các con. Chúng tôi sẽ có con. Dù biết xác suất thực hiện những xa xỉ đó là khá thấp, chúng tôi vẫn ưa nói về nó, một trò giải khuây Chủ nhật. Thứ tự do ấy giờ cảm giác như phi thực.",Người,"I buying like it game was could a afford to talk sometimes, it, big of to along walk We weightless. freedom these, these knew it wasn't Although have about, children. streets. likely a and used [MASK] to fixing old it used talk we a for the too have We now house, Such would together, an swings would for almost something seems Sundays. ever one children. about garden, we We up. house",Tom,"juntos los compraríamos quimera. grande, tendríamos que parece permitirnos aquella arreglaríamos. casa casa una tema jardín y En libertad lujo, los ésta, columpios probable era para pudiéramos por ese muy niños. paseábamos Aunque conversación, niños. un nos y Porque la como sabíamos que calles. una que de un para Decíamos [MASK] domingos. Tendríamos juego y un estas una menos era ocasiones, al yo no que Ahora,",Juan,"bir tamir eski benzeyen caddelerde Pazar ve bir büyük pek olacaktı, ederdik. söz konuşacak bahçemiz etmekten Böylesi günlerinin satın rağmen, salıncaklar. ev, ev bilmemize sözü ben bu bir bir Çocuklarımız olacaktı. için de Bunlara şimdi özgürlüğün edilemez. oyunu. Bir kalkmamızın Bunun bile mümkün sıra ara yürürdük. şeydi olmayacağını almak bu. [MASK] çocuklar altından ve içinde bir onu",Ali,"sang thật to, một khá sóng lại. mua tôi tôi ở giờ tự thấp, ưa lần, trò con. này. xỉ và nhà [MASK] sửa phố nó, tôi vẫn con. suất những tôi phi có chúng thực. thường cổ xác nói bước các hiện giải ấy cả ngôi Chúng thực nhau, khuây nhà nói đu vườn, sẽ bên giác những biết thường như Sẽ như trên có cảm Chủ đó trồng một về xa do Thứ đây, là cho Dù đôi nhật. một chuyện Chúng",Gatsby
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']","There is more than one kind of freedom, said [MASK]. Freedom to and freedom from. In the days of anarchy, it was freedom to. Now you are being given freedom from. Don't underrate it.",Aunt,"Hay más de un tipo de libertad, decía [MASK]. Libertad para y libertad de. En los tiempos de la anarquía, habla libertad para. Ahora nos dan libertad de. No la menospreciéis.",Atwood,"Birden fazla özgürlük çeşidi vardır, derdi [MASK]. Bir şeyler yapma ve bir şeylerden sakınma özgürlüğü. Anarşi günlerinde, bir şeyler yapma özgürlüğü vardı. Şimdiyse size sakınma özgürlüğü veriliyor. Azımsamayın bunu sakın.",Atwood,"Không phải chỉ có một thứ tự do, dì [MASK] bảo. Có tự do được hành động và có tự do nhờ giải thoát. Thời vô chính phủ, có tự do hành động. Giờ các cô được nhận tự do giải thoát. Đừng coi thường.",Lydia,"freedom [MASK]. being you to. and are of one the said it. freedom from. kind of it than underrate Don't In There Freedom Now was days given anarchy, from. is freedom, more to freedom",Freedom,"En los nos Ahora un libertad Libertad Hay y [MASK]. habla dan de libertad para tipo la tiempos de. de libertad, No de para. de. la decía anarquía, más libertad menospreciéis.",Orwell,"şeyler şeylerden Birden şeyler yapma özgürlüğü. özgürlüğü size Bir Anarşi [MASK]. veriliyor. çeşidi vardır, özgürlük sakınma bunu fazla bir derdi günlerinde, sakınma ve vardı. sakın. yapma özgürlüğü bir Azımsamayın Şimdiyse",Emma,"thoát. hành dì có có tự động tự giải do Không do động. các coi thoát. chỉ tự do Đừng giải cô Thời chính nhận được do, vô hành tự bảo. thứ tự được nhờ Giờ [MASK] có và phải Có do một phủ, thường.",Thời
['janine'],"[MASK] looks at me, then, and around the corners of her mouth there is the trace of a smirk. She glances down to where my own belly lies flat under my red robe, and the wings cover her face. I can see only a little of her forehead, and the pinkish tip of her nose.",Serena,"En aquellos tiempos, su nombre era [MASK]. [MASK] me mira y en las comisuras de sus labios asoma una sonrisa afectada. Baja la vista hasta mi vientre —una tabla debajo del traje rojo— y la toca le cubre la cara. Sólo puedo ver un pequeño trozo de su frente y la punta rosada de su nariz.",María,Önceki zamanda ismi [MASK]'di. [MASK] bana bakıyor ve ağzının kenarlarında bir sırıtışın çizgileri beliriyor. Elbisenin altında karnımın dümdüz kaldığı yere bakıyor ve kanatlar yüzümü kapatıyor. Sadece alnının küçük bir bölümünü ve burnunun pembemsi ucunu görebiliyorum.,Peter,"Tên cô, ngày đó, [MASK]. [MASK] nhìn tôi, thế đấy, và quanh khóe miệng nhíu bóng một cái cười khẩy. Cô ta trượt mắt xuống bụng tôi lép xẹp dưới tấm váy đỏ, rồi đôi cánh che khuất mặt cô. Tôi chỉ còn thấy chỏm trán, và cái đàu mũi hồng hồng.",Mary,"I red nose. forehead, to and and the glances corners of little of of at looks see the her where down face. robe, of and She [MASK] my pinkish wings own a can belly around me, there only then, trace the flat her mouth cover under is a her lies the my smirk. tip her",She,"[MASK] la hasta tiempos, trozo de vientre afectada. un rosada Baja labios sus cubre rojo— punta su de le Sólo la mira cara. debajo la era nariz. tabla [MASK]. comisuras vista ver en traje nombre aquellos las me asoma de pequeño una del su mi y En y puedo toca y frente sonrisa —una la su",Rosa,Önceki bölümünü kenarlarında beliriyor. bakıyor bir Elbisenin küçük kapatıyor. bir [MASK] Sadece çizgileri ve ve ucunu bakıyor burnunun [MASK]'di. altında sırıtışın kanatlar yüzümü alnının pembemsi ismi kaldığı zamanda dümdüz yere görebiliyorum. ağzının ve bana karnımın,Ali,"chỉ Tên khóe mũi [MASK] mắt rồi khẩy. ta xẹp đỏ, cái và chỏm miệng Cô che quanh ngày khuất đàu mặt lép hồng. xuống bụng đôi dưới váy tôi, cô. thế nhìn đó, hồng thấy tôi trán, Tôi [MASK]. một cái bóng nhíu cô, trượt cánh và còn cười tấm đấy,",Alice
['luke'],"I take the chicken, wrapped in butcher's paper and trussed with string. Not many things are plastic, anymore. I remember those endless white plastic shopping bags, from the supermarket; I hated to waste them and would stuff them in under the sink, until the day would come when there would be too many and I would open the cupboard door and they would bulge out, sliding over the floor. [MASK] used to complain about it. Periodically he would take all the bags and throw them out.",Luke,"Cojo el pollo, envuelto en papel parafinado y atado con un cordel. Ya no quedan muchas cosas de plástico. Recuerdo aquellas bolsas blancas de plástico que daban en los supermercados; como odiaba desperdiciarlas, las amontonaba debajo del fregadero hasta que llegaba un momento en que había tantas que al abrir la puerta del armario resbalaban hasta el suelo. [MASK] solía quejarse y de vez en cuando las sacaba todas y las tiraba.",María,"Kasap kağıdına sarılıp iple bağlanmış pilici alıyorum. Plastik olan pek bir şey kalmadı, artık. Sonu gelmez beyaz plastik alış veriş torbalarını hatırlıyorum, süpermarketten alınan; onları atmaktan nefret eder, lavabonun altına tıkıştırırdım, ta ki aşırı çoğalıp dolabın kapısını açtığımda dışarı fırlayarak yerlere saçılma günleri gelinceye kadar. [MASK] yakınırdı bundan. Belirli aralıklarla bütün torbaları toplayıp dışarı atardı.",Ann,"Tôi nhận con gà, quấn trong giấy phèn buộc dây. Đồ bằng chất dẻo không thấy mấy, không thấy nữa. Tôi nhớ đến thứ túi ni lông trắng to không thấy đáy, đựng đồ siêu thị mua về; tôi chẳng bao giờ muốn vứt chúng đi, toàn dúi vào dưới bồn rửa, tới một hôm nào đó khi tôi mở cửa tủ chúng đổ tràn ra, vung vãi trên sàn. [MASK] lúc nào cũng than phiền chuyện đó. Cứ đều đặn anh lại vơ tất cả đống túi quăng đi.",Anh,"the out. remember endless floor. the with open them until the I hated bulge door come I many in wrapped and would about the I it. would used shopping cupboard there those are would [MASK] bags, Periodically to stuff waste in many to from the I day would the under anymore. trussed and would take them things throw supermarket; string. sliding the paper butcher's plastic would complain they white them chicken, he be take and and and out, bags when all sink, plastic, over too Not",Hefty,"quejarse al y que quedan fregadero desperdiciarlas, tantas que atado odiaba en los puerta vez y en momento cuando el las parafinado que resbalaban llegaba suelo. Cojo sacaba que muchas Ya plástico. Recuerdo armario cordel. como un cosas daban blancas y envuelto el [MASK] hasta papel tiraba. pollo, del hasta debajo las amontonaba plástico aquellas bolsas del las en con de todas había en supermercados; abrir no solía la de de un",Kafka,"dışarı günleri ta eder, Sonu kadar. şey dışarı alınan; altına gelinceye nefret fırlayarak plastik alıyorum. beyaz atmaktan süpermarketten kapısını hatırlıyorum, aralıklarla yakınırdı veriş açtığımda [MASK] yerlere iple pek artık. torbaları ki bundan. bir Kasap kalmadı, toplayıp tıkıştırırdım, alış onları Plastik çoğalıp atardı. kağıdına lavabonun torbalarını gelmez saçılma bağlanmış Belirli pilici aşırı bütün olan dolabın sarılıp",Kasap,"về; bồn chúng [MASK] trên chẳng giấy hôm không bằng nào than cửa một tất đều túi quăng trắng dúi muốn cũng đáy, dẻo toàn lông rửa, lúc thị thấy chuyện thứ tới thấy nào đi, đến mua cả Đồ siêu tràn giờ ni phèn Tôi túi vứt đựng đống gà, vung ra, không lại dưới to trong sàn. thấy quấn mở đó. đặn nhận dây. vào vơ tủ đi. mấy, bao con khi chúng Tôi phiền Cứ tôi chất đổ đồ vãi nhớ đó buộc nữa. anh tôi không",Tom
"['gleninki', 'ofglen', 'deglen']","I stop walking. [MASK] stops beside me and I know that she too cannot take her eyes off these women. We are fascinated, but also repelled. They seem undressed. It has taken so little time to change our minds, about things like this.",Offred,Me detengo. [MASK] se para junto a mí y comprendo que ella tampoco puede quitarles los ojos de encima a esas mujeres. Nos fascinan y al mismo tiempo nos repugnan. Parece que fueran desnudas. Qué poco tiempo han tardado en cambiar nuestra mentalidad con respecto a este tipo de cosas.,María,"Yürümekten vazgeçiyorum. [MASK] de duruyor yanımda ve onun da gözlerini bu kadınlardan ayıramadığını biliyorum. Büyülendik, ancak tiksindik de. Çıplak gibiler. Çok kısa sürmüş, fikrimizi değiştirmemiz, bu tür şeyler hakkında.",Oğuz,"Tôi dừng bước. Bên tôi [MASK] cũng ngừng lại và tôi biết cô ta cũng không thể rời mắt khỏi đám đàn bà kia. Chúng tôi mê hồn, nhưng cũng kinh tởm. Họ cứ như lõa thể. Chỉ sau chút ít thời gian đầu óc chúng tôi đã đổi cả, về những chuyện thế này.",Mary,"this. are It me off beside but has also repelled. she eyes and seem walking. so change like cannot stops little taken take women. that They I I stop We to these her things too [MASK] our about know fascinated, undressed. time minds,",Emma,desnudas. Me esas nos encima detengo. puede nuestra cosas. a se comprendo ojos han [MASK] este mentalidad a de y en tipo ella que tiempo mismo los repugnan. Qué poco al mí quitarles fueran y fascinan mujeres. cambiar Nos tiempo con de Parece tardado respecto tampoco a junto para que,Freud,"de. fikrimizi Yürümekten ve onun yanımda şeyler de kadınlardan biliyorum. Çıplak [MASK] tür Büyülendik, değiştirmemiz, kısa tiksindik gibiler. duruyor ayıramadığını hakkında. vazgeçiyorum. da ancak bu bu Çok gözlerini sürmüş,",Adam,"cũng thể. tôi kia. nhưng chút đổi đám không sau đầu Chỉ [MASK] bà Họ gian những thể cả, rời mắt tôi kinh thời ít về và dừng bước. tôi như cũng cô tởm. cứ Bên óc đã thế cũng ngừng Chúng lõa khỏi này. Tôi hồn, tôi đàn mê chúng ta biết chuyện lại",Họ
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']","I also know better than to say yes. Modesty is invisibility, said [MASK]. Never forget it. To be seen—to be seen—is to be—her voice trembled—penetrated. What you must be, girls, is impenetrable. She called us girls.",Aunt Lydia,"También me cuido muy bien de decir que sí. Recato e invisibilidad son sinónimos, decía [MASK]. No lo olvidéis nunca. Si os ven —si os v en es como si os penetraran, decía con voz temblorosa. Y vosotras, niñas, debéis ser impenetrables. Nos llamaba niñas.",Kafka,"Evet demeyecek kadar da akıllıyım. Alçak gönüllülük görünmezliktir, derdi [MASK]. Asla unutmayın bunu. Görülmek -görülmek derken sesi titriyordu- ulaşılmaktır. Olmanız gereken şey, kızlar, ulaşılmazlık. Kızlar derdi bize.",Görünmez,"Tôi cũng biết khôn hồn đừng nói vâng. Khiêm cung là phải vô hình, dì [MASK] bảo thế. Đừng bao giờ quên. Bị nhìn thấy - bị nhìn thấy - cũng tức là - giọng dì run rẩy - bị xuyên thủng. Bổn phận của các cô là không để bị xuyên thấu, các cô bé ạ. Dì gọi chúng tôi là các cô bé.",Ly,"said be What say to I you know us be, be girls. impenetrable. to it. seen—is girls, invisibility, also be—her trembled—penetrated. seen—to yes. voice must is called Never To Modesty She forget [MASK]. than is better",Modesty,"[MASK]. vosotras, También os me sí. debéis cuido como ser olvidéis penetraran, nunca. sinónimos, No en es lo Si de os decir —si impenetrables. v bien temblorosa. son decía os Recato Y ven voz muy si e niñas, invisibilidad decía con Nos niñas. que llamaba",Alicia,"gönüllülük [MASK]. derken kızlar, derdi kadar Görülmek -görülmek şey, görünmezliktir, Kızlar bunu. derdi akıllıyım. Evet titriyordu- Alçak gereken bize. demeyecek Asla ulaşılmaktır. Olmanız unutmayın sesi ulaşılmazlık. da",Görülmek,"bị rẩy - cũng cô bị vâng. Đừng bảo không - phải thế. là tức Tôi xuyên biết Khiêm [MASK] dì nhìn run các thủng. chúng bé. tôi xuyên bị giờ dì các là các cô nhìn cũng nói khôn - thấu, phận vô cô giọng thấy của Bổn ạ. Bị để là - bé Dì hồn bao thấy quên. cung đừng là hình, gọi",Khiêm
