cont_cnt,latency,longest_suffix,prob,prompt_cnt,suffix_len,token_ids,tokens
169,624.5119571685791,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches",1.0,169,74,"[3645, 278, 11155, 310, 278, 1933, 273, 310, 9034, 713, 269, 22352, 29899, 29890, 810, 373, 607, 540, 471, 19214, 29892, 1560, 17223, 29892, 408, 471, 670, 2888, 29892, 297, 14068, 274, 25667, 698, 267, 29892, 6171, 6498, 399, 327, 880, 1033, 925, 4380, 278, 27003, 314, 310, 278, 298, 4992, 29899, 29879, 16668, 322, 298, 4992, 29899, 1054, 14076, 1999, 2209, 4835, 310, 263, 9775, 595, 398, 29892, 5069, 14586, 352, 681, 14202, 6140]","['▁From', '▁the', '▁corner', '▁of', '▁the', '▁div', 'an', '▁of', '▁Pers', 'ian', '▁s', 'addle', '-', 'b', 'ags', '▁on', '▁which', '▁he', '▁was', '▁lying', ',', '▁sm', 'oking', ',', '▁as', '▁was', '▁his', '▁custom', ',', '▁in', 'numerable', '▁c', 'igare', 'tt', 'es', ',', '▁Lord', '▁Henry', '▁W', 'ot', 'ton', '▁could', '▁just', '▁catch', '▁the', '▁gle', 'am', '▁of', '▁the', '▁h', 'oney', '-', 's', 'weet', '▁and', '▁h', 'oney', '-', 'col', 'oured', '▁bl', 'oss', 'oms', '▁of', '▁a', '▁lab', 'urn', 'um', ',', '▁whose', '▁trem', 'ul', 'ous', '▁branches', '▁seemed']"
254,1546.6210842132568,"hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a",1.0,254,59,"[15155, 2221, 304, 11460, 278, 6866, 1145, 310, 263, 15409, 577, 1652, 314, 5037, 446, 408, 1009, 29879, 29936, 322, 1286, 322, 769, 278, 13568, 6288, 528, 23626, 310, 17952, 297, 16286, 1652, 4430, 4822, 278, 1472, 260, 1558, 487, 29899, 25590, 29895, 3151, 2408, 29879, 393, 892, 16116, 287, 297, 4565, 310, 278, 12176, 3474, 29892, 20811, 263, 2924]","['▁hardly', '▁able', '▁to', '▁bear', '▁the', '▁bur', 'den', '▁of', '▁a', '▁beauty', '▁so', '▁fl', 'am', 'eli', 'ke', '▁as', '▁their', 's', ';', '▁and', '▁now', '▁and', '▁then', '▁the', '▁fant', 'astic', '▁sh', 'adows', '▁of', '▁birds', '▁in', '▁flight', '▁fl', 'itted', '▁across', '▁the', '▁long', '▁t', 'uss', 'ore', '-', 'sil', 'k', '▁cur', 'tain', 's', '▁that', '▁were', '▁stretch', 'ed', '▁in', '▁front', '▁of', '▁the', '▁huge', '▁window', ',', '▁producing', '▁a', '▁kind']"
99,988.9233112335205,"of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion. The sullen murmur of the bees should",1.0,99,60,"[310, 3256, 653, 10369, 2779, 29892, 322, 3907, 1075, 1348, 310, 1906, 282, 497, 333, 29892, 432, 1943, 29899, 17470, 287, 6788, 2153, 310, 20377, 1058, 29892, 1549, 278, 18350, 310, 385, 1616, 393, 338, 12695, 5198, 5249, 29892, 16508, 304, 27769, 278, 4060, 310, 12086, 2264, 322, 10884, 29889, 450, 23416, 264, 25234, 332, 310, 278, 367, 267, 881, 3241]","['▁of', '▁moment', 'ary', '▁Japanese', '▁effect', ',', '▁and', '▁making', '▁him', '▁think', '▁of', '▁those', '▁p', 'all', 'id', ',', '▁j', 'ade', '-', 'fac', 'ed', '▁pain', 'ters', '▁of', '▁Tokyo', '▁who', ',', '▁through', '▁the', '▁medium', '▁of', '▁an', '▁art', '▁that', '▁is', '▁necessarily', '▁imm', 'obile', ',', '▁seek', '▁to', '▁convey', '▁the', '▁sense', '▁of', '▁swift', 'ness', '▁and', '▁motion', '.', '▁The', '▁sull', 'en', '▁murm', 'ur', '▁of', '▁the', '▁be', 'es', '▁should', 'ering']"
143,1231.0731410980225,"their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive. The dim roar of London was like the bourdon note of a distant organ",1.0,143,63,"[1009, 982, 1549, 278, 1472, 443, 29885, 776, 17455, 29892, 470, 5902, 19914, 411, 21196, 265, 681, 1663, 11416, 4513, 278, 19786, 29891, 22921, 25341, 29879, 310, 278, 380, 1431, 29887, 1847, 8112, 26062, 29892, 6140, 304, 1207, 278, 1603, 2264, 901, 4575, 1253, 573, 29889, 450, 3964, 696, 279, 310, 4517, 471, 763, 278, 289, 473, 9176, 4443, 310, 263, 21188, 2894, 29889]","['▁their', '▁way', '▁through', '▁the', '▁long', '▁un', 'm', 'own', '▁grass', ',', '▁or', '▁cir', 'cling', '▁with', '▁monot', 'on', 'ous', '▁ins', 'istence', '▁round', '▁the', '▁dust', 'y', '▁gilt', '▁horn', 's', '▁of', '▁the', '▁st', 'rag', 'g', 'ling', '▁wood', 'bine', ',', '▁seemed', '▁to', '▁make', '▁the', '▁still', 'ness', '▁more', '▁opp', 'ress', 'ive', '.', '▁The', '▁dim', '▁ro', 'ar', '▁of', '▁London', '▁was', '▁like', '▁the', '▁b', 'our', 'don', '▁note', '▁of', '▁a', '▁distant', '▁organ', '.']"
34,1086.5483283996582,"In the centre of the room, clamped to an upright easel, stood the full-length",1.0,34,23,"[512, 278, 8442, 310, 278, 5716, 29892, 1067, 1160, 287, 304, 385, 318, 558, 523, 2240, 295, 29892, 8389, 278, 2989, 29899, 2848, 21760]","['▁In', '▁the', '▁centre', '▁of', '▁the', '▁room', ',', '▁cl', 'amp', 'ed', '▁to', '▁an', '▁u', 'pr', 'ight', '▁eas', 'el', ',', '▁stood', '▁the', '▁full', '-', 'length', '▁portrait']"
189,557.4078559875488,"of a young man of extraordinary personal beauty, and in front of it, some",1.0,189,16,"[310, 263, 4123, 767, 310, 28163, 7333, 15409, 29892, 322, 297, 4565, 310, 372, 29892, 777, 2217]","['▁of', '▁a', '▁young', '▁man', '▁of', '▁extraordinary', '▁personal', '▁beauty', ',', '▁and', '▁in', '▁front', '▁of', '▁it', ',', '▁some', '▁little']"
158,1299.1864681243896,"distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years",0.9875,160,20,"[5418, 3448, 29892, 471, 16246, 278, 7664, 3654, 29892, 4886, 309, 6573, 1328, 29892, 5069, 8327, 8796, 21711, 777, 2440, 8020]","['▁distance', '▁away', ',', '▁was', '▁sitting', '▁the', '▁artist', '▁himself', ',', '▁Bas', 'il', '▁Hall', 'ward', ',', '▁whose', '▁sudden', '▁disapp', 'earance', '▁some', '▁years', '▁ago']"
99,848.8302230834961,"caused, at the time, such public excitement and gave rise to so many strange conjectures",0.9801980198019802,101,18,"[8581, 29892, 472, 278, 931, 29892, 1316, 970, 29163, 322, 4846, 14451, 304, 577, 1784, 8515, 25466, 1973, 29889]","['▁caused', ',', '▁at', '▁the', '▁time', ',', '▁such', '▁public', '▁excitement', '▁and', '▁gave', '▁rise', '▁to', '▁so', '▁many', '▁strange', '▁conject', 'ures', '.']"
2,910.2091789245605,"“Being natural is simply a pose, and the most irritating pose I know,” cried",1.0,2,20,"[1346, 3629, 292, 5613, 338, 3763, 263, 18593, 29892, 322, 278, 1556, 3805, 768, 1218, 18593, 306, 1073, 3995, 10680, 6171]","['▁“', 'Be', 'ing', '▁natural', '▁is', '▁simply', '▁a', '▁pose', ',', '▁and', '▁the', '▁most', '▁ir', 'rit', 'ating', '▁pose', '▁I', '▁know', ',”', '▁cried', '▁Lord']"
68,26.645660400390625,"Henry, laughing; and the two young men went out into the garden together and enscon",1.0,68,19,"[6498, 29892, 425, 29700, 29936, 322, 278, 1023, 4123, 1757, 3512, 714, 964, 278, 16423, 4208, 322, 5662, 535, 1133]","['▁Henry', ',', '▁la', 'ughing', ';', '▁and', '▁the', '▁two', '▁young', '▁men', '▁went', '▁out', '▁into', '▁the', '▁garden', '▁together', '▁and', '▁ens', 'con', 'ced']"
