filename,passage,count,approx
1984_non_NE.csv,"He sat back. A sense of complete helplessness had descended upon him. To begin with, he did not know with any certainty that this was 1984. It must be round about that date, since he was fairly sure that his age was thirty-nine, and he believed that he had been born in 1944 or 1945; but it was never possible nowadays to pin down any date within a year or two.",2,False
1984_non_NE.csv,"Suddenly he began writing in sheer panic, only imperfectly aware of what he was setting down. His small but childish handwriting straggled up and down the page, shedding first its capital letters and finally even its full stops:",0,False
1984_non_NE.csv,"April 4th, 1984. Last night to the flicks. All warfilms. One very good one of a ship full of refugees being bombed somewhere in the Mediterranean. Audience much amused by shots of a great huge fat man trying to swim away with a helicopter after him. first you saw him wallowing along in the water like a porpoise, then you saw him through the helicopters gunsights, then he was full of holes and the sea round him turned pink and he sank as suddenly as though the holes had let in the water. audience shouting with laughter when he sank. then you saw a lifeboat full of children with a helicopter hovering over it. there was a middleaged woman might have been a jewess sitting up in the bow with a little boy about three years old in her arms. little boy screaming with fright and hiding his head between her breasts as if he was trying to burrow right into her and the woman putting her arms round him and comforting him although she was blue with fright herself. all the time covering him up as",0,False
1984_non_NE.csv,much as possible as if she thought her arms could keep the bullets off him. then the helicopter planted a 20 kilo bomb in among them terrific flash and the boat went all to matchwood. then there was a wonderful shot of a childs arm going up up up right up into the air a helicopter with a camera in its nose must have followed it up and there was a lot of applause from the party seats but a woman down in the prole part of the house suddenly started kicking up a fuss and shouting they didnt oughter of showed it not in front of kids they didnt it aint right not in front of kids it aint until the police turned her turned her out i dont suppose anything happened to her nobody cares what the proles say typical prole reaction they never—,6,False
1984_non_NE.csv,"His eyes refocused on the page. He discovered that while he sat helplessly musing he had also been writing, as though by automatic action. And it was no longer the same cramped, awkward handwriting as before. His pen had slid voluptuously over the smooth paper, printing in large neat capitals—",0,False
1984_non_NE.csv,"He could not help feeling a twinge of panic. It was absurd, since the writing of those particular words was not more dangerous than the initial act of opening the diary; but for a moment he was tempted to tear out the spoiled pages and abandon the enterprise altogether.",0,False
1984_non_NE.csv,"He sat back in his chair, slightly ashamed of himself, and laid down the pen. The next moment he started violently. There was a knocking at the door.",8,False
1984_non_NE.csv,"“Oh, comrade,” she began in a dreary, whining sort of voice, “I thought I heard you come in. Do you think you could come across and have a look at our kitchen sink? It’s got blocked up and—”",0,False
1984_non_NE.csv,"“Attention! Your attention, please! A newsflash has this moment arrived from the Malabar front. Our forces in South India have won a glorious victory. I am authorized to say that the action we are now reporting may well bring the war within measurable distance of its end. Here is the newsflash—”",0,False
1984_non_NE.csv,"Curiously, the chiming of the hour seemed to have put new heart into him. He was a lonely ghost uttering a truth that nobody would ever hear. But so long as he uttered it, in some obscure way the continuity was not broken. It was not by making yourself heard but by staying sane that you carried on the human heritage. He went back to the table, dipped his pen, and wrote:",2,False
1984_non_NE.csv,"To the future or to the past, to a time when thought is free, when men are different from one another and do not live alone—to a time when truth exists and what is done cannot be undone:",1,False
1984_non_NE.csv,"At this moment his mother was sitting in some place deep down beneath him, with his young sister in her arms. He did not remember his sister at all, except as a tiny, feeble baby, always silent, with large, watchful eyes. Both of them were looking up at him. They were down in some subterranean place—the bottom of a well, for instance, or a very deep grave—but it was a place which, already far below him, was itself moving downwards. They were in the saloon of a sinking ship, looking up at him through the darkening water. There was still air in the saloon, they could still see him and he them, but all the while they were sinking down, down into the green waters which in another moment must hide them from sight forever. He was out in the light and air while they were being sucked down to death, and they were down there because he was up here. He knew it and they knew it, and he could see the knowledge in their faces. There was no reproach either in their faces or in their hearts, only the",0,False
1984_non_NE.csv,"knowledge that they must die in order that he might remain alive, and that this was part of the unavoidable order of things.",91,False
1984_non_NE.csv,"Suddenly he was standing on short springy turf, on a summer evening when the slanting rays of the sun gilded the ground. The landscape that he was looking at recurred so often in his dreams that he was never fully certain whether or not he had seen it in the real world. In his waking thoughts he called it the Golden Country. It was an old, rabbit-bitten pasture, with a foot track wandering across it and a molehill here and there. In the ragged hedge on the opposite side of the field the boughs of the elm trees were swaying very faintly in the breeze, their leaves just stirring in dense masses like women’s hair. Somewhere near at hand, though out of sight, there was a clear, slow-moving stream where dace were swimming in the pools under the willow trees.",0,False
1984_non_NE.csv,"His earlier thought returned to him: probably she was not actually a member of the Thought Police, but then it was precisely the amateur spy who was the greatest danger of all. He did not know how long she had been looking at him, but perhaps for as much as five minutes, and it was possible that his features had not been perfectly under control. It was terribly dangerous to let your thoughts wander when you were in any public place or within range of a telescreen. The smallest thing could give you away. A nervous tic, an unconscious look of anxiety, a habit of muttering to yourself—anything that carried with it the suggestion of abnormality, of having something to hide. In any case, to wear an improper expression on your face (to look incredulous when a victory was announced, for example) was itself a punishable offense. There was even a word for it in Newspeak: facecrime, it was called.",0,False
1984_non_NE.csv,"When he had gone with that woman it had been his first lapse in two years or thereabouts. Consorting with prostitutes was forbidden, of course, but it was one of those rules that you could occasionally nerve yourself to break. It was dangerous, but it was not a life-and-death matter. To be caught with a prostitute might mean five years in a forced-labor camp: not more, if you had committed no other offense. And it was easy enough, provided that you could avoid being caught in the act. The poorer quarters swarmed with women who were ready to sell themselves. Some could even be purchased for a bottle of gin, which the proles were not supposed to drink. Tacitly the Party was even inclined to encourage prostitution, as an outlet for instincts which could not be altogether suppressed. Mere debauchery did not matter very much, so long as it was furtive and joyless, and only involved the women of a submerged and despised class. The unforgivable crime was promiscuity between Party members.",0,False
1984_non_NE.csv,But—though this was one of the crimes that the accused in the great purges invariably confessed to—it was difficult to imagine any such thing actually happening.,8,False
1984_non_NE.csv,"When I saw her in the light she was quite an old woman, fifty years old at least. But I went ahead and did it just the same.",0,False
1984_non_NE.csv,"He had gone straight on working. As soon as he saw what the photograph was, and what it meant, he had covered it up with another sheet of paper. Luckily, when he unrolled it, it had been upside-down from the point of view of the telescreen.",0,False
